keys,hold,pressed
0,22,
8,8,right
9,5,up|right
1,4,up
5,1,up|left
4,12,left
20,2,left|fire
22,2,down|left|fire
18,4,down|fire
26,7,down|right|fire
24,14,right|fire
16,7,fire
17,7,up|fire
16,1,fire
20,15,left|fire
0,13,
2,9,down
0,2,
1,4,up
17,4,up|fire
16,5,fire
24,6,right|fire
8,6,right
0,3,
4,1,left
6,6,down|left
22,4,down|left|fire
20,12,left|fire
28,1,left|right|fire
24,6,right|fire
16,3,fire
20,4,left|fire
16,7,fire
24,3,right|fire
16,6,fire
24,14,right|fire
16,1,fire
0,2,
2,4,down
1,2,up
17,2,up|fire
24,3,right|fire
26,2,down|right|fire
18,1,down|fire
16,3,fire
20,9,left|fire
16,1,fire
24,6,right|fire
16,13,fire
17,3,up|fire
25,3,up|right|fire
24,4,right|fire
16,9,fire
18,6,down|fire
16,1,fire
20,17,left|fire
16,7,fire
24,26,right|fire
16,3,fire
0,2,
2,3,down
0,1,
1,2,up
17,3,up|fire
20,11,left|fire
22,1,down|left|fire
18,8,down|fire
16,5,fire
20,12,left|fire
16,1,fire
24,18,right|fire
20,7,left|fire
16,5,fire
20,15,left|fire
21,1,up|left|fire
17,5,up|fire
16,3,fire
18,9,down|fire
16,2,fire
24,17,right|fire
16,11,fire
20,12,left|fire
16,3,fire
20,3,left|fire
16,1,fire
24,17,right|fire
16,25,fire
20,13,left|fire
24,15,right|fire
16,2,fire
20,14,left|fire
28,1,left|right|fire
24,17,right|fire
16,2,fire
20,14,left|fire
16,1,fire
24,7,right|fire
16,10,fire
1,14,up
0,2,
2,13,down
0,39,
8,8,right
24,13,right|fire
16,4,fire
20,7,left|fire
25,4,up|right|fire
24,1,right|fire
16,18,fire
17,7,up|fire
20,33,left|fire
22,6,down|left|fire
18,3,down|fire
24,2,right|fire
16,4,fire
24,2,right|fire
16,5,fire
24,6,right|fire
16,7,fire
20,6,left|fire
16,6,fire
17,8,up|fire
25,2,up|right|fire
24,2,right|fire
26,9,down|right|fire
22,12,down|left|fire
20,6,left|fire
21,1,up|left|fire
25,4,up|right|fire
24,24,right|fire
25,2,up|right|fire
17,5,up|fire
16,2,fire
20,5,left|fire
22,5,down|left|fire
30,1,down|left|right|fire
26,11,down|right|fire
24,4,right|fire
25,6,up|right|fire
17,4,up|fire
20,21,left|fire
22,8,down|left|fire
20,14,left|fire
28,1,left|right|fire
24,46,right|fire
16,1,fire
20,34,left|fire
16,1,fire
24,15,right|fire
16,2,fire
0,2,
2,3,down
0,1,
1,2,up
17,2,up|fire
16,1,fire
18,2,down|fire
26,6,down|right|fire
24,3,right|fire
25,9,up|right|fire
17,4,up|fire
16,1,fire
20,3,left|fire
22,1,down|left|fire
18,4,down|fire
22,7,down|left|fire
16,1,fire
24,3,right|fire
16,17,fire
17,12,up|fire
20,21,left|fire
22,5,down|left|fire
18,1,down|fire
16,2,fire
24,2,right|fire
16,7,fire
22,6,down|left|fire
20,6,left|fire
28,1,left|right|fire
24,19,right|fire
16,1,fire
20,8,left|fire
24,19,right|fire
16,19,fire
20,16,left|fire
16,9,fire
17,8,up|fire
25,11,up|right|fire
27,1,up|down|right|fire
26,13,down|right|fire
18,1,down|fire
22,2,down|left|fire
20,14,left|fire
28,1,left|right|fire
25,6,up|right|fire
24,7,right|fire
16,2,fire
20,3,left|fire
16,45,fire
20,18,left|fire
22,7,down|left|fire
30,1,down|left|right|fire
26,7,down|right|fire
24,4,right|fire
16,3,fire
20,4,left|fire
28,2,left|right|fire
24,20,right|fire
16,2,fire
20,4,left|fire
16,7,fire
20,24,left|fire
16,1,fire
24,4,right|fire
16,15,fire
24,14,right|fire
16,21,fire
24,24,right|fire
16,2,fire
20,45,left|fire
28,4,left|right|fire
24,14,right|fire
16,3,fire
17,5,up|fire
16,1,fire
20,8,left|fire
22,4,down|left|fire
20,3,left|fire
21,1,up|left|fire
25,8,up|right|fire
24,8,right|fire
26,21,down|right|fire
24,2,right|fire
25,1,up|right|fire
17,11,up|fire
16,5,fire
18,54,down|fire
20,20,left|fire
21,1,up|left|fire
17,2,up|fire
25,4,up|right|fire
24,3,right|fire
26,10,down|right|fire
24,1,right|fire
16,1,fire
20,4,left|fire
16,13,fire
20,21,left|fire
16,6,fire
24,19,right|fire
16,2,fire
20,16,left|fire
4,3,left
2,4,down
1,1,up
17,1,up|fire
25,2,up|right|fire
24,1,right|fire
26,23,down|right|fire
24,2,right|fire
20,38,left|fire
17,6,up|fire
25,4,up|right|fire
24,9,right|fire
26,7,down|right|fire
16,1,fire
20,16,left|fire
28,1,left|right|fire
24,39,right|fire
16,4,fire
20,32,left|fire
28,1,left|right|fire
24,12,right|fire
16,1,fire
20,8,left|fire
24,10,right|fire
16,1,fire
20,16,left|fire
16,45,fire
0,21,
64,1,leftSidekick
192,17,leftSidekick|rightSidekick
196,11,left|leftSidekick|rightSidekick
192,3,leftSidekick|rightSidekick
193,1,up|leftSidekick|rightSidekick
201,6,up|right|leftSidekick|rightSidekick
200,10,right|leftSidekick|rightSidekick
202,6,down|right|leftSidekick|rightSidekick
194,1,down|leftSidekick|rightSidekick
198,5,down|left|leftSidekick|rightSidekick
196,6,left|leftSidekick|rightSidekick
192,24,leftSidekick|rightSidekick
64,4,leftSidekick
68,2,left|leftSidekick
196,5,left|leftSidekick|rightSidekick
192,27,leftSidekick|rightSidekick
200,14,right|leftSidekick|rightSidekick
72,2,right|leftSidekick
0,4,
64,1,leftSidekick
192,22,leftSidekick|rightSidekick
200,4,right|leftSidekick|rightSidekick
192,25,leftSidekick|rightSidekick
196,17,left|leftSidekick|rightSidekick
192,8,leftSidekick|rightSidekick
200,15,right|leftSidekick|rightSidekick
216,1,right|fire|leftSidekick|rightSidekick
208,4,fire|leftSidekick|rightSidekick
192,21,leftSidekick|rightSidekick
194,3,down|leftSidekick|rightSidekick
193,2,up|leftSidekick|rightSidekick
209,3,up|fire|leftSidekick|rightSidekick
208,1,fire|leftSidekick|rightSidekick
216,2,right|fire|leftSidekick|rightSidekick
200,5,right|leftSidekick|rightSidekick
202,6,down|right|leftSidekick|rightSidekick
200,3,right|leftSidekick|rightSidekick
192,4,leftSidekick|rightSidekick
196,10,left|leftSidekick|rightSidekick
212,9,left|fire|leftSidekick|rightSidekick
208,6,fire|leftSidekick|rightSidekick
216,11,right|fire|leftSidekick|rightSidekick
208,4,fire|leftSidekick|rightSidekick
212,9,left|fire|leftSidekick|rightSidekick
196,5,left|leftSidekick|rightSidekick
192,119,leftSidekick|rightSidekick
208,4,fire|leftSidekick|rightSidekick
192,63,leftSidekick|rightSidekick
196,2,left|leftSidekick|rightSidekick
198,6,down|left|leftSidekick|rightSidekick
196,2,left|leftSidekick|rightSidekick
64,1,leftSidekick
0,2,
2,3,down
0,1,
1,3,up
17,2,up|fire
18,1,down|fire
2,1,down
6,3,down|left
22,15,down|left|fire
20,1,left|fire
17,13,up|fire
16,2,fire
2,2,down
18,7,down|fire
26,1,down|right|fire
24,2,right|fire
16,4,fire
20,7,left|fire
17,15,up|fire
16,4,fire
24,4,right|fire
26,15,down|right|fire
10,1,down|right
8,1,right
0,3,
2,1,down
0,1,
17,3,up|fire
25,1,up|right|fire
24,1,right|fire
26,5,down|right|fire
25,1,up|right|fire
