id,drain,shotRepeat,multi,weaponAnimation,max,tx,ty,aim,attack,del,sx,sy,bx,by,sg,acceleration,accelerationX,circleSize,sound,trail,shipBlastFilter
0,0,0,0,0,0,0,0,0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0,0,0,0,255,240
1,10,5,1,0,1,0,0,0,1|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,12|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,67|0|0|0|0|0|0|0,0,0,0,28,255,208
2,10,4,1,0,1,0,0,0,3|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,4|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,146|0|0|0|0|0|0|0,0,0,0,4,255,208
3,10,4,1,0,1,0,0,0,3|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,-3|0|0|0|0|0|0|0,3|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,147|0|0|0|0|0|0|0,0,0,0,4,255,208
4,10,4,1,0,1,0,0,0,3|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,-3|0|0|0|0|0|0|0,3|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,145|0|0|0|0|0|0|0,0,0,0,4,255,208
5,20,5,1,0,1,0,0,0,2|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,12|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,245|0|0|0|0|0|0|0,0,0,0,28,255,208
6,10,4,1,0,1,0,0,0,1|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,8|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,146|0|0|0|0|0|0|0,0,0,0,4,255,208
7,10,4,1,0,1,0,0,0,1|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,-6|0|0|0|0|0|0|0,6|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,147|0|0|0|0|0|0|0,0,0,0,4,255,208
8,10,4,1,0,1,0,0,0,1|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,-6|0|0|0|0|0|0|0,6|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,145|0|0|0|0|0|0|0,0,0,0,4,255,208
9,0,0,1,0,4,0,0,0,1|1|1|1|0|0|0|0,255|255|255|255|0|0|0|0,-14|-14|-14|-14|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,-5|-5|-5|-5|0|0|0|0,286|287|286|288|0|0|0|0,0,0,0,6,255,208
10,120,3,4,0,4,0,0,0,3|3|3|3|0|0|0|0,255|255|255|255|0|0|0|0,-3|3|-3|3|0|0|0|0,3|3|-3|-3|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,302|0|0|0|0|0|0|0,0,0,0,1,255,208
11,30,2,1,0,1,0,0,0,2|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,20|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,148|0|0|0|0|0|0|0,-1,0,0,28,255,208
12,0,0,1,0,1,0,0,0,2|0|0|0|0|0|0|0,8|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,-1|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,20|0|0|0|0|0|0|0,0,0,0,9,1,112
13,0,0,8,0,8,0,0,0,1|1|2|1|2|1|1|1,8|8|8|8|8|8|8|8,0|0|3|5|-3|-5|-6|6,2|-2|0|0|0|0|0|0,0|0|0|4|0|-4|-4|4,0|0|0|0|0|0|0|0,20|20|20|20|20|20|20|20,0,0,0,12,1,112
14,0,0,8,0,8,0,0,0,1|1|1|1|2|2|2|2,8|8|8|8|8|8|8|8,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,20|20|20|20|20|20|20|20,0,0,0,12,1,112
15,0,8,5,0,5,1,0,0,114|114|114|114|114|0|0|0,255|255|255|255|255|0|0|0,0|0|0|0|0|0|0|0,0|-1|-1|-4|-4|0|0|0,0|-4|4|-7|7|0|0|0,0|0|0|0|0|0|0|0,34|34|34|34|34|0|0|0,1,0,0,7,6,208
16,0,0,8,0,8,0,0,0,1|1|1|1|1|1|1|1,8|8|8|8|8|8|8|8,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,20|20|20|20|20|20|20|20,0,0,0,12,1,112
17,0,5,2,0,2,1,0,0,10|10|0|0|0|0|0|0,255|255|0|0|0|0|0|0,-2|2|0|0|0|0|0|0,-2|-2|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,68|68|0|0|0|0|0|0,1,0,0,7,6,208
18,0,5,4,0,4,1,0,0,6|6|6|6|0|0|0|0,255|255|255|255|0|0|0|0,-1|1|-3|3|0|0|0|0,-2|-2|-3|-3|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,72|72|72|72|0|0|0|0,1,0,0,7,6,208
19,0,10,2,0,2,0,0,0,120|120|0|0|0|0|0|0,255|255|0|0|0|0|0|0,1|-1|0|0|0|0|0|0,7|7|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,142|142|0|0|0|0|0|0,0,0,0,7,6,208
20,0,0,4,0,4,0,0,0,121|121|121|121|0|0|0|0,255|255|255|255|0|0|0|0,4|-4|4|-4|0|0|0|0,4|4|-4|-4|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,100|100|100|100|0|0|0|0,0,0,0,6,255,208
21,0,0,8,0,8,0,0,0,1|1|1|1|1|1|1|1,255|255|255|255|255|255|255|255,3|-3|3|-3|5|-5|0|0,3|3|-3|-3|0|0|5|-5,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,99|99|99|99|99|99|99|99,0,0,0,6,255,208
22,0,50,4,0,4,0,0,0,136|136|136|136|0|0|0|0,255|255|255|255|0|0|0|0,0|-6|6|0|0|0|0|0,6|0|0|-6|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,75|56|18|94|0|0|0|0,0,0,0,11,1,208
23,160,8,8,0,8,0,0,0,3|3|3|3|3|3|3|3,255|255|255|255|255|255|255|255,1|-1|2|-2|3|-3|4|-4,3|3|2|2|1|1|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,73|73|73|73|73|73|73|73,1,0,0,13,255,192
24,0,8,1,0,1,0,0,0,4|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,6|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,91|0|0|0|0|0|0|0,0,0,0,11,255,208
25,40,3,1,0,1,0,0,0,8|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,13|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,73|0|0|0|0|0|0|0,0,0,0,13,255,192
26,30,2,1,0,5,0,0,0,112|112|112|112|112|0|0|0,255|255|255|255|255|0|0|0,0|-2|2|1|-1|0|0|0,-3|-3|-3|-3|-3|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,52|52|52|52|52|0|0|0,1,0,0,7,6,208
27,0,0,1,0,1,0,0,0,4|0|0|0|0|0|0|0,8|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,-1|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,20|0|0|0|0|0|0|0,0,0,0,9,1,112
28,0,0,8,0,8,0,0,0,1|1|1|1|0|0|0|0,8|8|8|8|4|4|4|4,3|-3|3|-3|0|4|-4|0,3|3|-3|-3|4|0|0|-4,3|-3|3|-3|0|4|-4|0,3|3|-3|-3|4|0|0|-4,20|20|20|20|20|20|20|20,0,0,0,12,1,112
29,10,20,1,3,1,0,0,0,128|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,271|0|0|0|0|0|0|0,0,0,0,8,255,208
30,40,1,2,2,4,0,0,0,2|2|2|2|0|0|0|0,255|255|255|255|0|0|88|63,116|124|116|124|0|0|-96|34,12|12|12|12|-1|-1|45|0,-4|4|-4|4|0|-80|72|63,0|0|0|0|0|0|120|17,206|206|207|207|0|80|43008|16232,0,0,0,8,255,208
31,30,3,3,0,3,0,0,0,1|1|1|1|0|176|120|128,255|255|255|0|0|0|58|31,0|0|0|81|-50|127|1|0,12|13|14|0|0|0|3|0,0|0|0|-128|-42|127|0|0,0|0|0|0|0|0|40|46,135|116|97|0|0|0|0|0,0,0,0,8,255,144
32,40,4,4,0,4,0,0,0,1|1|1|1|0|0|58|46,255|255|255|255|206|127|255|255,-1|-1|1|1|0|0|2|0,13|14|13|14|-50|127|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|-76|81,135|97|135|97|32718|53144|32719|0,0,0,0,8,255,144
33,50,5,5,0,5,0,0,0,1|1|1|1|1|0|0|0,255|255|255|255|255|0|0|0,0|0|0|0|0|0|0|0,12|13|14|15|16|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,135|116|116|116|97|0|0|0,0,0,0,8,255,144
34,60,3,3,0,3,0,0,0,2|2|2|0|0|0|0|0,255|255|255|0|0|0|0|0,0|0|0|0|0|0|0|0,14|12|13|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,101|139|120|33176|32726|0|0|28474,0,0,0,8,255,144
35,80,4,4,0,4,0,0,0,2|2|2|2|0|0|0|0,255|255|255|255|0|0|64|255,-1|-1|1|1|0|0|0|0,13|14|13|14|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,139|101|139|101|0|0|0|0,0,0,0,8,255,144
36,0,50,6,0,6,0,0,0,116|116|116|116|116|116|0|0,255|255|255|255|255|255|0|0,-6|6|5|-5|5|-5|0|0,0|0|5|5|-5|-5|0|0,-8|8|5|-5|5|-5|0|0,0|0|5|5|-5|-5|0|0,102|104|122|121|141|140|0|0,0,0,0,11,1,208
37,0,7,2,0,2,0,0,0,1|1|0|0|0|0|0|0,255|255|0|0|0|0|0|0,0|0|80|39|-118|-63|32|39,6|6|0|0|0|0|0|0,0|0|0|0|0|0|0|0,4|-4|0|0|0|0|0|0,227|227|0|0|0|0|0|0,0,0,0,26,255,208
