time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,8,23,20,17,0,0
0,14,0,0,0,0,0,0
0,21,0,0,0,0,0,0
12,10,570,176,0,9,-24,0
12,10,571,128,0,9,-24,0
12,10,569,150,0,9,-48,0
12,10,572,150,0,9,0,0
12,10,568,152,0,9,-24,0
20,6,461,100,2,19,-20,0
20,10,260,100,-2,18,0,0
20,45,628,0,0,19,0,0
30,19,0,1,0,19,0,0
30,19,0,1,0,18,0,0
40,6,461,180,2,17,-20,0
40,10,260,180,-2,16,0,0
40,19,0,0,0,19,0,0
40,19,0,0,0,18,0,0
40,20,0,-10,0,19,0,0
40,45,628,0,0,17,0,0
50,6,461,140,2,15,-20,0
50,10,260,140,-2,14,0,0
50,19,0,1,0,16,0,0
50,19,0,1,0,18,0,0
50,19,0,1,0,17,0,0
50,45,628,0,0,15,0,0
60,19,0,0,0,16,0,0
60,19,0,0,0,17,0,0
60,19,0,1,0,15,0,0
60,19,0,1,0,14,0,0
60,20,0,-10,0,17,0,0
70,19,0,1,0,16,0,0
70,19,0,0,0,15,0,0
70,19,0,0,0,14,0,0
70,20,0,-10,0,15,0,0
80,19,0,1,0,14,0,0
160,6,198,90,0,1,0,0
160,6,198,114,0,2,0,0
160,6,198,186,0,3,0,0
160,6,198,210,0,4,0,0
160,33,513,0,0,2,0,0
160,33,513,0,0,4,0,0
188,6,456,18,0,10,0,0
188,60,1,1,0,10,0,0
200,24,10,2,1,2,0,0
200,24,10,2,1,3,0,0
210,24,19,12,2,3,0,0
210,24,10,2,1,1,0,0
210,24,19,12,2,2,0,0
210,24,10,2,1,4,0,0
210,31,0,0,0,3,40,0
210,31,0,0,0,2,40,0
220,24,19,12,2,1,0,0
220,24,19,12,2,4,0,0
220,31,0,0,0,1,40,0
220,31,0,0,0,4,40,0
328,12,313,114,0,20,0,0
328,12,313,186,0,21,0,0
384,6,457,138,0,19,0,0
384,45,602,0,0,19,0,0
385,61,1,0,10,0,0,0
386,60,2,1,0,19,0,0
552,6,457,186,0,18,0,0
552,45,603,0,0,18,0,0
553,61,2,0,10,0,0,0
554,60,3,1,0,18,0,0
580,6,338,234,0,22,-56,0
580,12,339,234,0,22,0,0
636,6,272,90,0,0,0,0
636,6,272,114,0,0,0,0
636,6,325,138,0,0,0,0
636,6,325,162,0,0,0,0
636,6,272,186,0,0,0,0
636,6,272,210,0,0,0,0
