time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,28,11,12,29,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,43,0,0,0,0,0,0
0,48,0,0,0,0,0,0
20,6,790,10,0,1,-28,0
20,6,791,10,0,1,0,0
30,20,6,0,0,1,0,0
40,6,790,220,0,2,-28,0
40,6,791,220,0,2,0,0
50,20,-6,0,0,1,0,0
50,20,-5,0,0,2,0,0
60,6,790,10,0,3,-28,0
60,6,791,10,0,3,0,0
70,20,0,5,0,1,0,0
70,20,5,0,0,2,0,0
70,20,5,0,0,3,0,0
80,6,790,230,0,4,-28,0
80,6,791,230,0,4,0,0
90,20,0,5,0,2,0,0
90,20,-5,0,0,3,0,0
90,20,-6,0,0,4,0,0
100,6,790,10,0,5,-28,0
100,6,791,10,0,5,0,0
110,20,0,5,0,3,0,0
110,20,6,0,0,4,0,0
110,20,7,0,0,5,0,0
120,6,790,220,0,6,-28,0
120,6,791,220,0,6,0,0
120,6,790,10,0,7,-28,0
120,6,791,10,0,7,0,0
130,20,-6,0,0,6,0,0
130,20,0,5,0,4,0,0
130,20,-7,0,0,5,0,0
130,20,5,0,0,7,0,0
130,20,0,5,0,2,0,0
140,6,791,220,0,8,0,0
140,6,790,220,0,8,-28,0
150,20,6,0,0,6,0,0
150,20,0,5,0,5,0,0
150,20,-7,0,0,8,0,0
150,20,-5,0,0,7,0,0
160,6,791,10,0,1,0,0
160,6,790,10,0,1,-28,0
170,20,0,5,0,7,0,0
170,20,0,5,0,6,0,0
170,20,8,0,0,1,0,0
170,20,7,0,0,8,0,0
180,6,791,270,0,2,0,0
180,6,790,270,0,2,-28,0
190,20,-8,0,0,1,0,0
190,20,-7,0,0,2,0,0
190,20,0,5,0,8,0,0
200,6,790,10,0,3,-28,0
200,6,791,10,0,3,0,0
210,20,7,0,0,2,0,0
210,20,0,5,0,1,0,0
210,20,4,0,0,3,0,0
220,6,790,270,0,4,-28,0
220,6,791,270,0,4,0,0
230,20,-4,0,0,3,0,0
230,20,-6,0,0,4,0,0
250,20,0,5,0,3,0,0
250,20,6,0,0,4,0,0
270,20,0,5,0,4,0,0
280,16,8,128,0,0,0,0
290,18,792,-30,0,0,-20,0
290,18,792,-10,0,0,-20,0
290,18,792,-10,0,0,0,0
310,18,793,260,0,0,-20,0
310,18,793,240,0,0,-20,0
310,18,793,230,0,0,0,0
330,18,792,-30,0,0,-40,0
330,18,792,-10,0,0,-40,0
330,18,792,-10,0,0,-20,0
350,18,793,270,0,0,-60,0
350,18,793,250,0,0,-60,0
350,18,793,240,0,0,-40,0
370,18,792,-30,0,0,-60,0
370,18,792,-10,0,0,-60,0
370,18,792,-10,0,0,-40,0
390,18,793,280,0,0,-40,0
390,18,793,260,0,0,-40,0
390,18,793,250,0,0,-20,0
410,18,792,60,0,0,-20,0
410,18,792,80,0,0,-20,0
410,18,792,80,0,0,0,0
430,18,793,230,0,0,-20,0
430,18,793,210,0,0,-20,0
430,18,793,200,0,0,0,0
450,18,792,20,0,0,-20,0
450,18,792,40,0,0,-20,0
450,18,792,40,0,0,0,0
470,18,793,200,0,0,-20,0
470,18,793,180,0,0,-20,0
470,18,793,170,0,0,0,0
490,18,792,-30,0,0,-20,0
490,18,792,-10,0,0,-20,0
490,18,792,-10,0,0,0,0
500,7,795,10,0,10,0,0
500,20,10,0,0,10,0,0
510,18,793,230,0,0,0,0
510,18,793,260,0,0,-20,0
510,18,793,240,0,0,-20,0
520,7,795,10,0,11,0,0
520,20,9,0,0,11,0,0
530,18,792,-10,0,0,-40,0
530,18,792,-10,0,0,-20,0
530,18,792,-30,0,0,-40,0
540,7,795,10,0,12,0,0
540,20,-10,0,0,10,0,0
540,20,8,0,0,12,0,0
550,18,793,250,0,0,-60,0
550,18,793,240,0,0,-40,0
550,18,793,270,0,0,-60,0
550,31,6,0,0,10,0,0
560,7,795,10,0,13,0,0
560,20,-9,0,0,11,0,0
560,20,7,0,0,13,0,0
570,18,792,-10,0,0,-40,0
570,18,792,-30,0,0,-60,0
570,18,792,-10,0,0,-60,0
