time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,5,8,17,23,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
0,46,-1,0,1,0,0,0
1,2,8,0,0,0,0,0
92,6,567,242,0,11,-24,0
92,6,567,32,0,12,-24,0
92,10,582,240,0,11,-48,0
92,10,585,240,0,11,0,0
92,10,583,274,0,11,-24,0
92,10,583,64,0,12,-24,0
92,10,584,2,0,12,-24,0
92,10,582,30,0,12,-48,0
92,10,585,30,0,12,0,0
92,10,584,212,0,11,-24,0
100,2,7,0,0,0,0,0
180,2,6,0,0,0,0,0
200,15,284,20,2,0,0,0
200,15,284,200,2,0,0,0
210,15,284,60,2,0,0,0
210,15,284,160,2,16,0,0
210,45,603,0,0,16,0,0
210,45,612,0,0,17,0,0
240,2,5,0,0,0,0,0
260,15,284,140,2,0,0,0
260,15,284,80,2,0,0,0
270,15,284,120,2,17,0,0
270,15,284,100,2,0,0,0
272,6,552,-30,0,0,0,0
272,10,553,282,0,0,0,0
290,2,4,0,0,0,0,0
300,6,552,18,0,0,0,0
300,6,552,-6,0,0,0,0
300,10,553,258,0,0,0,0
300,10,553,234,0,0,0,0
320,2,3,0,0,0,0,0
328,6,552,42,0,0,0,0
328,10,553,210,0,0,0,0
328,10,586,90,0,1,0,0
328,10,588,114,0,1,0,0
328,10,589,138,0,1,0,0
328,10,587,162,0,1,0,0
340,15,284,50,0,6,0,0
340,15,284,130,0,8,0,0
340,20,1,0,0,6,0,0
340,20,1,0,0,8,0,0
340,27,5,0,0,6,0,0
340,27,5,0,0,8,0,0
340,45,828,0,0,6,0,0
340,45,612,0,0,8,0,0
350,2,2,0,0,0,0,0
350,15,284,90,0,7,0,0
350,20,1,0,0,7,0,0
350,27,5,0,0,7,0,0
350,45,623,0,0,7,0,0
404,52,153,76,5,64,-78,-1
404,52,155,100,5,64,-78,-1
404,52,157,124,5,64,-78,-1
404,52,159,148,5,64,-78,-1
404,52,191,76,5,64,-50,-1
404,52,193,100,5,64,-50,-1
404,52,195,124,5,64,-50,-1
404,52,197,148,5,64,-50,-1
412,6,554,90,0,0,0,0
412,6,554,162,0,0,0,0
432,52,127,114,5,63,-64,0
440,6,554,258,0,0,0,0
440,6,554,-6,0,0,0,0
446,52,125,114,5,62,-64,0
460,52,87,114,5,61,-64,0
461,19,1,0,0,61,0,0
461,19,2,0,0,62,0,0
461,19,3,0,0,63,0,0
461,19,4,0,0,64,0,0
461,20,24,0,0,61,0,0
461,20,8,0,0,63,0,0
461,20,12,0,0,62,0,0
461,20,6,0,0,64,0,0
461,27,3,0,0,63,0,0
461,27,1,0,0,61,0,0
461,27,2,0,0,62,0,0
461,27,4,0,0,64,0,0
496,10,586,-6,0,2,0,0
496,10,588,18,0,2,0,0
496,10,589,42,0,2,0,0
496,10,587,66,0,2,0,0
496,10,586,186,0,3,0,0
496,10,588,210,0,3,0,0
496,10,589,234,0,3,0,0
496,10,588,258,0,3,0,0
496,10,587,282,0,3,0,0
524,49,121,114,5,60,0,0
524,49,123,138,5,60,0,0
524,49,83,114,5,60,-28,0
524,49,85,138,5,60,-28,0
550,2,1,0,1,0,0,0
580,6,554,162,0,0,0,0
600,51,163,-14,5,11,0,10
601,19,4,0,0,11,0,0
608,6,552,-6,0,0,0,0
608,6,554,234,0,0,0,0
620,51,163,-14,5,12,0,10
621,19,4,0,0,12,0,0
636,6,552,18,0,0,0,0
640,51,163,-14,5,13,0,10
641,19,4,0,0,13,0,0
660,51,163,-14,5,14,0,10
661,19,4,0,0,14,0,0
664,10,553,162,0,0,0,0
664,10,586,66,0,4,0,0
664,10,589,90,0,4,0,0
664,10,587,114,0,4,0,0
664,45,628,0,0,4,0,0
680,51,163,-14,5,15,0,10
681,19,4,0,0,15,0,0
681,45,612,0,0,15,0,0
692,6,552,162,0,0,0,0
692,10,586,210,0,5,0,0
692,10,589,234,0,5,0,0
692,10,587,258,0,5,0,0
692,45,628,0,0,5,0,0
700,51,161,300,5,16,40,10
701,19,-4,0,0,16,0,0
720,51,161,300,5,17,40,10
721,19,-4,0,0,17,0,0
740,51,161,300,5,18,40,10
741,19,-4,0,0,18,0,0
748,6,554,138,0,0,0,0
760,51,161,300,5,19,40,10
761,19,-4,0,0,19,0,0
776,6,554,210,0,0,0,0
780,51,161,300,5,10,40,10
781,19,-4,0,0,10,0,0
781,45,617,0,0,10,0,0
800,51,163,-14,5,11,0,10
801,19,4,0,0,11,0,0
801,20,0,2,0,11,0,0
801,27,0,4,0,11,0,0
810,51,163,-14,5,12,0,10
811,19,4,0,0,12,0,0
811,20,0,2,0,12,0,0
811,27,0,4,0,12,0,0
820,51,163,-14,5,13,0,10
821,19,4,0,0,13,0,0
821,20,0,2,0,13,0,0
821,27,0,4,0,13,0,0
830,51,163,-14,5,14,0,10
