time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,7,25,24,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,29,0,0,0,0,0,0
0,43,0,0,0,0,0,0
0,46,-1,1,0,0,0,0
10,10,599,40,1,42,-56,0
10,10,598,40,1,41,-28,0
10,10,599,40,1,42,0,0
10,20,1,0,0,41,0,0
10,20,1,0,0,42,0,0
10,26,1,0,0,0,0,0
10,27,14,0,0,41,0,0
10,27,14,0,0,42,0,0
10,33,534,0,0,41,0,0
100,15,226,200,2,1,0,0
100,15,227,224,2,1,0,0
100,45,628,0,0,1,0,0
130,15,226,200,2,2,0,0
130,15,227,224,2,2,0,0
130,45,628,0,0,2,0,0
160,15,226,200,2,3,0,0
160,15,227,224,2,3,0,0
160,45,628,0,0,3,0,0
200,6,514,128,0,11,0,0
200,15,227,34,2,4,0,0
200,15,226,10,2,4,0,0
200,45,628,0,0,4,0,0
210,6,514,128,0,12,0,0
220,6,514,128,0,13,0,0
220,20,1,0,0,11,0,0
220,27,9,0,0,11,0,0
220,33,395,0,0,11,0,0
220,45,607,0,0,11,0,0
230,15,227,34,2,5,0,0
230,15,226,10,2,5,0,0
230,20,1,0,0,12,0,0
230,27,9,0,0,12,0,0
230,33,395,0,0,12,0,0
230,45,628,0,0,5,0,0
230,45,602,0,0,11,0,0
240,20,1,0,0,13,0,0
240,27,9,0,0,13,0,0
240,33,395,0,0,13,0,0
240,45,608,0,0,11,0,0
260,15,227,34,2,6,0,0
260,15,226,10,2,6,0,0
260,45,628,0,0,6,0,0
300,15,227,224,3,7,0,0
300,15,226,200,3,7,0,0
300,45,628,0,0,7,0,0
320,15,227,224,3,8,0,0
320,15,226,200,3,8,0,0
320,45,628,0,0,8,0,0
340,15,227,224,3,9,0,0
340,15,226,200,3,9,0,0
340,45,628,0,0,9,0,0
380,15,227,34,3,1,0,0
380,15,226,10,3,1,0,0
380,45,628,0,0,1,0,0
400,6,514,108,1,11,0,0
400,15,226,10,3,2,0,0
400,15,227,34,3,2,0,0
400,45,628,0,0,2,0,0
410,6,514,108,1,12,0,0
420,6,514,108,1,13,0,0
420,15,226,10,3,3,0,0
