time,type,data,data2,data3,data4,data5,data6
0,2,2,4,6,0,0,0
0,5,10,33,32,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
50,2,1,2,3,0,0,0
50,6,500,40,3,0,0,0
50,62,7,0,0,0,0,0
60,6,500,80,3,0,0,0
60,62,7,0,0,0,0,0
70,6,500,120,3,0,0,0
70,62,7,0,0,0,0,0
75,6,500,160,3,0,0,0
75,62,7,0,0,0,0,0
76,6,171,72,0,20,-22,0
76,6,172,66,0,20,0,0
76,6,173,66,0,20,28,0
76,6,171,96,0,21,-22,0
76,6,172,90,0,21,0,0
76,6,173,90,0,21,28,0
80,6,500,200,3,0,0,0
80,62,7,0,0,0,0,0
85,6,500,100,3,0,0,0
85,62,7,0,0,0,0,0
100,2,1,2,3,0,0,0
100,6,500,140,3,0,0,0
100,62,7,0,0,0,0,0
110,6,500,180,3,0,0,0
110,62,7,0,0,0,0,0
120,6,500,220,3,0,0,0
120,62,7,0,0,0,0,0
125,6,500,160,3,0,0,0
125,62,7,0,0,0,0,0
130,6,500,200,3,0,0,0
130,62,7,0,0,0,0,0
135,6,500,100,3,0,0,0
135,62,7,0,0,0,0,0
150,6,500,240,3,0,0,0
150,62,7,0,0,0,0,0
160,6,500,130,3,0,0,0
160,62,7,0,0,0,0,0
170,6,500,200,3,0,0,0
170,62,7,0,0,0,0,0
175,6,500,180,3,0,0,0
175,62,7,0,0,0,0,0
180,6,500,140,3,0,0,0
180,15,163,130,3,1,0,0
180,15,163,210,3,2,0,0
180,62,7,0,0,0,0,0
180,62,13,0,0,0,0,0
185,6,500,210,3,0,0,0
185,62,7,0,0,0,0,0
200,15,163,150,4,3,0,0
200,15,163,190,4,4,0,0
200,62,13,0,0,0,0,0
220,15,164,170,5,5,0,0
220,20,-3,0,0,1,2,0
220,20,3,0,0,2,3,0
220,20,-5,0,0,3,2,0
220,20,5,0,0,4,3,0
220,33,392,0,0,5,0,0
220,45,608,0,0,5,0,0
220,62,13,0,0,0,0,0
230,15,163,180,3,11,0,0
230,15,163,260,3,12,0,0
230,62,13,0,0,0,0,0
250,15,163,200,4,13,0,0
250,15,163,240,4,14,0,0
250,62,13,0,0,0,0,0
270,15,164,220,5,15,0,0
270,20,-3,0,0,11,2,0
270,20,3,0,0,12,3,0
270,20,-5,0,0,13,2,0
270,20,5,0,0,14,3,0
270,33,392,0,0,15,0,0
270,45,624,0,0,15,0,0
270,62,13,0,0,0,0,0
280,15,163,30,2,1,0,0
280,15,163,110,2,2,0,0
280,62,13,0,0,0,0,0
300,15,163,50,3,3,0,0
300,15,163,90,3,4,0,0
300,62,13,0,0,0,0,0
320,15,164,70,4,5,0,0
320,20,-6,0,0,1,2,0
320,20,6,0,0,2,3,0
320,20,-7,0,0,3,2,0
320,20,7,0,0,4,3,0
320,33,392,0,0,5,0,0
320,45,611,0,0,5,0,0
320,62,13,0,0,0,0,0
330,15,163,180,3,11,0,0
330,15,163,260,3,12,0,0
330,62,13,0,0,0,0,0
340,15,824,20,2,15,0,0
340,20,6,0,0,1,3,0
340,20,-6,0,0,2,2,0
340,20,7,0,0,3,3,0
340,20,-7,0,0,4,2,0
350,15,163,240,4,14,0,0
350,15,163,200,4,13,0,0
350,20,12,-20,0,15,3,0
350,31,10,0,0,15,0,0
350,62,13,0,0,0,0,0
370,15,164,220,5,15,0,0
370,15,824,20,2,16,0,0
370,20,-3,0,0,11,2,0
370,20,3,0,0,12,3,0
370,20,-5,0,0,13,2,0
370,20,5,0,0,14,3,0
370,33,392,0,0,15,0,0
370,45,827,0,0,15,0,0
370,62,13,0,0,0,0,0
380,15,163,80,2,1,0,0
380,15,163,160,2,2,0,0
380,20,12,-20,0,16,3,0
380,31,10,0,0,16,0,0
380,62,13,0,0,0,0,0
400,15,163,110,3,3,0,0
400,15,163,140,3,4,0,0
400,15,824,220,2,17,0,0
400,62,13,0,0,0,0,0
410,20,6,0,0,4,3,0
410,20,-5,0,0,1,2,0
410,20,5,0,0,2,3,0
410,20,-6,0,0,3,2,0
410,20,-12,-20,0,17,2,0
410,31,10,0,0,17,0,0
420,15,164,120,4,5,0,0
420,33,392,0,0,5,0,0
420,45,616,0,0,5,0,0
420,62,13,0,0,0,0,0
430,15,824,220,2,18,0,0
430,20,7,0,0,3,3,0
430,20,-7,0,0,4,2,0
430,20,6,0,0,1,3,0
430,20,-6,0,0,2,2,0
440,20,-12,-20,0,18,2,0
440,31,10,0,0,18,0,0
460,15,824,20,2,19,0,0
470,20,12,-20,0,19,3,0
470,31,10,0,0,19,0,0
490,15,824,20,2,11,0,0
496,6,172,18,0,22,0,0
496,6,173,18,0,22,28,0
496,6,171,24,0,22,-22,0
500,20,12,-20,0,11,3,0
500,31,10,0,0,11,0,0
520,15,824,220,2,12,0,0
530,20,-12,-20,0,12,2,0
530,31,10,0,0,12,0,0
550,15,824,220,2,13,0,0
560,20,-12,-20,0,13,2,0
560,31,10,0,0,13,0,0
580,15,824,20,2,14,0,0
590,20,12,-20,0,14,3,0
590,31,10,0,0,14,0,0
610,15,824,20,2,15,0,0
640,15,824,220,2,16,0,0
640,20,12,-20,0,15,3,0
640,31,10,0,0,15,0,0
650,20,-12,-20,0,16,2,0
650,31,10,0,0,16,0,0
670,15,824,220,2,17,0,0
680,20,-12,-20,0,17,2,0
680,31,10,0,0,17,0,0
700,15,739,200,3,19,0,0
700,15,740,224,3,19,0,0
700,15,741,248,3,19,0,0
720,6,171,120,0,24,-22,0
720,6,172,114,0,24,0,0
720,6,173,114,0,24,28,0
720,6,171,96,0,23,-22,0
720,6,172,90,0,23,0,0
720,6,173,90,0,23,28,0
740,31,0,0,2,19,0,0
750,31,0,0,0,19,0,0
800,15,739,40,3,16,0,0
800,15,740,64,3,16,0,0
800,15,741,88,3,16,0,0
840,31,0,2,0,16,0,0
850,31,0,0,0,16,0,0
900,15,739,100,2,10,0,0
900,15,740,124,2,10,0,0
900,15,741,148,2,10,0,0
900,45,474,0,0,10,0,0
920,19,0,0,0,10,0,0
940,19,5,0,0,10,0,0
940,20,5,-10,0,10,0,0
940,27,5,-2,0,10,0,0
940,31,60,0,0,10,0,0
941,15,824,20,2,15,0,0
951,20,12,-20,0,15,3,0
951,31,10,0,0,15,0,0
970,15,824,20,2,16,0,0
980,20,12,-20,0,16,3,0
980,31,10,0,0,16,0,0
1000,15,824,220,2,17,0,0
1010,20,-12,-20,0,17,2,0
1010,31,10,0,0,17,0,0
1030,15,824,220,2,18,0,0
1040,20,-12,-20,0,18,2,0
1040,31,10,0,0,18,0,0
1060,15,824,20,2,19,0,0
1070,20,12,-20,0,19,3,0
1070,31,10,0,0,19,0,0
1090,15,824,20,2,11,0,0
1100,20,12,-20,0,11,3,0
1100,31,10,0,0,11,0,0
1120,15,824,220,2,12,0,0
1130,20,-12,-20,0,12,2,0
1130,31,10,0,0,12,0,0
1150,15,824,220,2,13,0,0
1160,20,-12,-20,0,13,2,0
1160,31,10,0,0,13,0,0
1180,15,824,20,2,14,0,0
1190,20,12,-20,0,14,3,0
1190,31,10,0,0,14,0,0
1210,15,824,20,2,15,0,0
1240,15,824,220,2,16,0,0
1240,20,12,-20,0,15,3,0
1240,31,10,0,0,15,0,0
1250,20,-12,-20,0,16,2,0
1250,31,10,0,0,16,0,0
1280,15,163,80,2,1,0,0
1280,15,163,160,2,2,0,0
1280,62,13,0,0,0,0,0
1300,15,163,110,3,3,0,0
1300,15,163,140,3,4,0,0
1300,62,13,0,0,0,0,0
1310,20,-5,0,0,1,2,0
1310,20,5,0,0,2,3,0
1310,20,-6,0,0,3,2,0
1310,20,6,0,0,4,3,0
1320,15,164,120,4,5,0,0
1320,33,513,0,0,5,0,0
1320,45,623,0,0,5,0,0
1320,62,13,0,0,0,0,0
1330,20,6,0,0,1,3,0
1330,20,-6,0,0,2,2,0
1330,20,7,0,0,3,3,0
1330,20,-7,0,0,4,2,0
1400,15,742,0,1,19,-28,0
1400,15,743,24,1,19,-28,0
1400,15,744,12,1,19,0,0
1400,20,10,16,0,19,0,0
1410,15,742,0,1,18,-28,0
1410,15,743,24,1,18,-28,0
1410,15,744,12,1,18,0,0
1410,20,10,16,0,18,0,0
1420,15,742,0,1,17,-28,0
1420,15,743,24,1,17,-28,0
1420,15,744,12,1,17,0,0
1420,20,10,16,0,17,0,0
1430,15,742,0,1,16,-28,0
1430,15,743,24,1,16,-28,0
1430,15,744,12,1,16,0,0
1430,20,16,10,0,19,0,0
1430,20,10,16,0,16,0,0
1440,15,742,0,1,15,-28,0
1440,15,743,24,1,15,-28,0
1440,15,744,12,1,15,0,0
1440,20,16,10,0,18,0,0
1440,20,10,16,0,15,0,0
1450,20,16,10,0,17,0,0
1460,20,16,10,0,16,0,0
1470,20,16,10,0,15,0,0
1500,15,742,200,1,9,-28,0
1500,15,743,224,1,9,-28,0
1500,15,744,212,1,9,0,0
1500,20,-10,16,0,9,0,0
1510,15,742,200,1,8,-28,0
1510,15,743,224,1,8,-28,0
1510,15,744,212,1,8,0,0
1510,20,-10,16,0,8,0,0
1520,15,742,200,1,7,-28,0
1520,15,743,224,1,7,-28,0
1520,15,744,212,1,7,0,0
1520,20,-10,16,0,7,0,0
1530,15,742,200,1,6,-28,0
1530,15,743,224,1,6,-28,0
1530,15,744,212,1,6,0,0
1530,20,-16,10,0,9,0,0
1530,20,-10,16,0,6,0,0
1540,15,742,200,1,5,-28,0
1540,15,743,224,1,5,-28,0
1540,15,744,212,1,5,0,0
1540,20,-16,10,0,8,0,0
1540,20,-10,16,0,5,0,0
1550,20,-16,10,0,7,0,0
1560,20,-16,10,0,6,0,0
1570,20,-16,10,0,5,0,0
1600,15,742,200,1,1,-28,0
1600,15,743,224,1,1,-28,0
1600,15,744,212,1,1,0,0
1600,20,0,6,0,1,0,0
1610,15,742,20,1,2,-28,0
1610,15,743,44,1,2,-28,0
1610,15,744,32,1,2,0,0
1610,20,0,6,0,2,0,0
1620,15,742,200,1,3,-28,0
1620,15,743,224,1,3,-28,0
1620,15,744,212,1,3,0,0
1620,20,0,6,0,3,0,0
1630,15,742,20,1,4,-28,0
1630,15,743,44,1,4,-28,0
1630,15,744,32,1,4,0,0
1630,20,0,6,0,4,0,0
1640,15,742,200,1,5,-28,0
1640,15,743,224,1,5,-28,0
1640,15,744,212,1,5,0,0
1640,20,0,6,0,5,0,0
1650,15,742,20,1,6,-28,0
1650,15,743,44,1,6,-28,0
1650,15,744,32,1,6,0,0
1650,20,0,6,0,6,0,0
1660,15,742,200,1,7,-28,0
1660,15,743,224,1,7,-28,0
1660,15,744,212,1,7,0,0
1660,20,0,6,0,7,0,0
1670,15,742,20,1,8,-28,0
1670,15,743,44,1,8,-28,0
1670,15,744,32,1,8,0,0
1670,20,0,6,0,8,0,0
1672,6,173,90,0,25,28,0
1672,6,171,96,0,25,-22,0
1672,6,172,90,0,25,0,0
1700,15,742,200,1,10,-28,0
1700,15,743,224,1,10,-28,0
1700,15,744,212,1,10,0,0
1700,20,-8,16,0,10,0,0
1710,15,742,200,1,11,-28,0
1710,15,743,224,1,11,-28,0
1710,15,744,212,1,11,0,0
1710,20,-8,16,0,11,0,0
1720,15,742,200,1,12,-28,0
1720,15,743,224,1,12,-28,0
1720,15,744,212,1,12,0,0
1720,20,-8,16,0,12,0,0
1730,15,742,200,1,13,-28,0
1730,15,743,224,1,13,-28,0
1730,15,744,212,1,13,0,0
1730,20,-16,6,0,10,0,0
1730,20,-8,16,0,13,0,0
1740,15,742,200,1,14,-28,0
1740,15,743,224,1,14,-28,0
1740,15,744,212,1,14,0,0
1740,20,-16,6,0,11,0,0
1740,20,-8,16,0,14,0,0
1750,20,-16,6,0,12,0,0
1760,20,-16,6,0,13,0,0
1770,20,-16,6,0,14,0,0
1800,15,742,0,1,19,-28,0
1800,15,743,24,1,19,-28,0
1800,15,744,12,1,19,0,0
1800,20,8,16,0,19,0,0
1810,15,742,0,1,18,-28,0
1810,15,743,24,1,18,-28,0
1810,15,744,12,1,18,0,0
1810,20,8,16,0,18,0,0
1820,15,742,0,1,17,-28,0
1820,15,743,24,1,17,-28,0
1820,15,744,12,1,17,0,0
1820,20,8,16,0,17,0,0
1830,15,742,0,1,16,-28,0
1830,15,743,24,1,16,-28,0
1830,15,744,12,1,16,0,0
1830,20,16,6,0,19,0,0
1830,20,8,16,0,16,0,0
1840,15,742,0,1,15,-28,0
1840,15,743,24,1,15,-28,0
1840,15,744,12,1,15,0,0
1840,20,16,6,0,18,0,0
1840,20,8,16,0,15,0,0
1850,20,16,6,0,17,0,0
1860,20,16,6,0,16,0,0
1870,20,16,6,0,15,0,0
1900,15,742,200,1,10,-28,0
1900,15,743,224,1,10,-28,0
1900,15,744,212,1,10,0,0
1900,20,-8,16,0,10,0,0
1910,15,742,200,1,11,-28,0
1910,15,743,224,1,11,-28,0
1910,15,744,212,1,11,0,0
1910,20,-8,16,0,11,0,0
1920,15,742,200,1,12,-28,0
1920,15,743,224,1,12,-28,0
1920,15,744,212,1,12,0,0
1920,20,-8,16,0,12,0,0
1930,15,742,200,1,13,-28,0
1930,15,743,224,1,13,-28,0
1930,15,744,212,1,13,0,0
1930,20,-16,6,0,10,0,0
1930,20,-8,16,0,13,0,0
1940,15,742,200,1,14,-28,0
1940,15,743,224,1,14,-28,0
1940,15,744,212,1,14,0,0
1940,20,-16,6,0,11,0,0
1940,20,-8,16,0,14,0,0
1950,20,-16,6,0,12,0,0
1952,6,173,162,0,26,28,0
1952,6,171,168,0,26,-22,0
1952,6,172,162,0,26,0,0
1960,20,-16,6,0,13,0,0
1970,20,-16,6,0,14,0,0
2000,15,742,0,1,19,-28,0
2000,15,743,24,1,19,-28,0
2000,15,744,12,1,19,0,0
2000,20,8,16,0,19,0,0
2010,15,742,0,1,18,-28,0
2010,15,743,24,1,18,-28,0
2010,15,744,12,1,18,0,0
2010,20,8,16,0,18,0,0
2020,15,742,0,1,17,-28,0
2020,15,743,24,1,17,-28,0
2020,15,744,12,1,17,0,0
2020,20,8,16,0,17,0,0
