time,type,data,data2,data3,data4,data5,data6
0,2,1,1,1,0,0,0
0,5,31,32,0,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,48,0,0,0,0,0,0
0,64,2,1,7,0,0,0
20,6,256,210,0,0,0,0
20,7,202,94,0,1,0,0
21,19,0,0,0,1,0,0
21,33,395,0,0,1,0,0
43,7,259,120,0,2,0,0
48,6,252,138,0,20,0,0
48,6,253,186,0,0,0,0
48,6,251,138,0,20,-28,0
48,7,259,120,0,3,0,0
50,20,1,1,0,2,0,0
50,27,8,7,0,2,0,0
53,7,259,120,0,4,0,0
55,20,1,1,0,3,0,0
55,27,8,7,0,3,0,0
60,20,1,1,0,4,0,0
60,27,8,7,0,4,0,0
76,6,251,234,0,21,-28,0
76,6,252,234,0,21,0,0
100,15,174,200,1,9,-28,0
100,15,175,224,1,9,-28,0
100,15,176,248,1,9,-28,0
100,15,177,272,1,9,-28,0
100,15,178,200,1,9,0,0
100,15,179,224,1,9,0,0
100,15,180,248,1,9,0,0
100,15,181,272,1,9,0,0
120,7,202,144,0,5,0,0
121,19,0,0,0,5,0,0
121,33,395,0,0,5,0,0
143,7,259,170,0,6,0,0
148,7,259,170,0,7,0,0
150,20,1,1,0,6,0,0
150,27,8,7,0,6,0,0
153,7,259,170,0,8,0,0
155,20,1,1,0,7,0,0
155,27,8,7,0,7,0,0
160,20,1,1,0,8,0,0
160,27,8,7,0,8,0,0
244,6,251,90,0,22,-28,0
244,6,252,90,0,22,0,0
300,6,251,138,0,23,-28,0
300,6,252,138,0,23,0,0
300,7,223,0,0,10,0,0
300,15,174,100,1,9,-28,0
300,15,175,124,1,9,-28,0
300,15,176,148,1,9,-28,0
300,15,177,172,1,9,-28,0
300,15,178,100,1,9,0,0
300,15,179,124,1,9,0,0
300,15,180,148,1,9,0,0
300,15,181,172,1,9,0,0
300,45,628,0,0,10,0,0
330,7,223,0,0,11,0,0
330,45,628,0,0,11,0,0
356,6,253,186,0,0,0,0
360,7,223,0,0,12,0,0
360,45,628,0,0,12,0,0
390,7,223,0,0,13,0,0
390,45,628,0,0,13,0,0
400,15,826,160,2,41,0,0
400,15,174,60,1,19,-28,0
400,15,175,84,1,19,-28,0
400,15,176,108,1,19,-28,0
400,15,177,132,1,19,-28,0
400,15,178,60,1,19,0,0
400,15,179,84,1,19,0,0
400,15,180,108,1,19,0,0
400,15,181,132,1,19,0,0
400,45,602,0,0,41,0,0
450,19,1,-1,0,12,0,0
450,19,1,-1,0,13,0,0
450,19,1,-1,0,10,0,0
450,19,1,-1,0,11,0,0
490,20,8,0,0,12,0,0
490,20,8,0,0,13,0,0
490,20,8,0,0,10,0,0
490,20,8,0,0,11,0,0
496,6,251,210,0,24,-28,0
496,6,252,210,0,24,0,0
500,7,224,324,0,16,0,0
500,15,826,220,2,61,0,0
500,45,628,0,0,16,0,0
500,45,603,0,0,61,0,0
524,6,251,114,0,25,-28,0
524,6,252,114,0,25,0,0
530,7,224,324,0,17,0,0
530,45,628,0,0,17,0,0
560,7,224,324,0,18,0,0
560,45,628,0,0,18,0,0
590,7,224,324,0,19,0,0
590,45,628,0,0,19,0,0
600,15,826,90,2,41,0,0
600,45,611,0,0,41,0,0
650,19,-1,-1,0,18,0,0
650,19,-1,-1,0,19,0,0
650,19,-1,-1,0,16,0,0
650,19,-1,-1,0,17,0,0
690,20,-8,0,0,18,0,0
690,20,-8,0,0,19,0,0
690,20,-8,0,0,16,0,0
690,20,-8,0,0,17,0,0
700,15,826,120,2,61,0,0
700,45,626,0,0,61,0,0
748,6,253,42,0,0,0,0
750,15,826,70,2,81,0,0
750,45,615,0,0,81,0,0
776,6,256,210,0,0,0,0
800,14,0,0,0,0,0,0
800,15,826,150,2,221,0,0
800,37,99,0,0,0,0,0
800,45,605,0,0,221,0,0
804,6,253,186,0,0,0,0
804,6,253,210,0,0,0,0
820,37,98,0,0,0,0,0
830,15,826,100,2,241,0,0
830,45,604,0,0,241,0,0
840,37,97,0,0,0,0,0
860,15,826,120,2,5,0,0
860,37,96,0,0,0,0,0
860,45,620,0,0,5,0,0
880,37,95,0,0,0,0,0
900,15,826,90,2,41,0,0
900,37,94,0,0,0,0,0
900,45,627,0,0,41,0,0
916,6,253,-30,0,0,0,0
920,37,93,0,0,0,0,0
940,37,92,0,0,0,0,0
