time,type,data,data2,data3,data4,data5,data6
0,2,2,4,2,0,0,0
0,5,31,32,0,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,29,0,0,0,0,0,0
0,65,0,0,0,0,0,0
48,6,221,162,0,0,-56,0
48,6,183,258,0,0,0,0
48,6,222,174,0,0,-56,0
48,7,217,114,0,0,-56,0
48,7,218,138,0,0,-84,0
48,7,220,138,0,0,-56,0
48,7,213,90,0,0,-84,0
48,7,214,114,0,0,-84,0
48,7,219,162,0,0,-70,0
48,7,216,90,0,0,-56,0
48,10,395,132,-1,0,-78,0
48,10,395,120,-1,0,-78,0
48,10,212,72,0,0,-78,0
48,10,215,66,0,0,-56,0
132,6,221,162,0,0,-56,0
132,6,222,174,0,0,-56,0
132,7,216,90,0,0,-56,0
132,7,217,114,0,0,-56,0
132,7,218,138,0,0,-84,0
132,7,220,138,0,0,-56,0
132,7,213,90,0,0,-84,0
132,7,219,162,0,0,-70,0
132,7,214,114,0,0,-84,0
132,10,215,66,0,0,-56,0
132,10,395,132,-1,0,-78,0
132,10,395,120,-1,0,-78,0
132,10,212,72,0,0,-78,0
244,7,213,258,0,0,-84,0
244,7,214,282,0,0,-84,0
244,7,216,258,0,0,-56,0
244,7,217,282,0,0,-56,0
244,10,212,240,0,0,-78,0
244,10,215,234,0,0,-56,0
244,10,395,300,-1,0,-78,0
244,10,395,288,-1,0,-78,0
328,6,183,42,0,0,0,0
328,6,183,90,0,0,0,0
328,6,221,258,0,0,-56,0
328,6,222,270,0,0,-56,0
328,7,216,186,0,0,-56,0
328,7,217,210,0,0,-56,0
328,7,218,234,0,0,-84,0
328,7,220,234,0,0,-56,0
328,7,213,186,0,0,-84,0
328,7,219,258,0,0,-70,0
328,7,214,210,0,0,-84,0
328,10,215,162,0,0,-56,0
328,10,395,228,-1,0,-78,0
328,10,395,216,-1,0,-78,0
328,10,212,168,0,0,-78,0
468,6,183,18,0,0,0,0
468,6,183,66,0,0,0,0
468,6,221,234,0,0,-56,0
468,6,222,246,0,0,-56,0
468,7,216,162,0,0,-56,0
468,7,217,186,0,0,-56,0
468,7,218,210,0,0,-84,0
468,7,220,210,0,0,-56,0
468,7,213,162,0,0,-84,0
468,7,219,234,0,0,-70,0
468,7,214,186,0,0,-84,0
468,10,215,138,0,0,-56,0
468,10,395,204,-1,0,-78,0
468,10,395,192,-1,0,-78,0
468,10,212,144,0,0,-78,0
580,6,221,162,0,0,-56,0
580,6,183,234,0,0,0,0
580,6,183,258,0,0,0,0
580,6,222,174,0,0,-56,0
580,7,218,138,0,0,-84,0
580,7,220,138,0,0,-56,0
580,7,213,90,0,0,-84,0
580,7,214,114,0,0,-84,0
580,7,216,90,0,0,-56,0
580,7,219,162,0,0,-70,0
580,7,217,114,0,0,-56,0
580,10,395,120,-1,0,-78,0
580,10,212,72,0,0,-78,0
580,10,215,66,0,0,-56,0
580,10,395,132,-1,0,-78,0
664,6,221,162,0,0,-56,0
664,6,183,234,0,0,0,0
664,6,183,258,0,0,0,0
664,6,222,174,0,0,-56,0
664,7,218,138,0,0,-84,0
664,7,220,138,0,0,-56,0
664,7,213,90,0,0,-84,0
664,7,214,114,0,0,-84,0
664,7,216,90,0,0,-56,0
664,7,219,162,0,0,-70,0
664,7,217,114,0,0,-56,0
664,10,395,120,-1,0,-78,0
664,10,212,72,0,0,-78,0
664,10,215,66,0,0,-56,0
664,10,395,132,-1,0,-78,0
804,6,183,114,0,0,0,0
804,6,221,282,0,0,-56,0
804,6,222,294,0,0,-56,0
804,7,216,210,0,0,-56,0
804,7,217,234,0,0,-56,0
804,7,218,258,0,0,-84,0
804,7,220,258,0,0,-56,0
804,7,213,210,0,0,-84,0
804,7,219,282,0,0,-70,0
804,7,214,234,0,0,-84,0
804,10,215,186,0,0,-56,0
804,10,395,252,-1,0,-78,0
