time,type,data,data2,data3,data4,data5,data6
0,2,1,2,2,0,0,0
0,5,31,32,34,15,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,46,-1,1,0,0,0,0
0,64,1,1,0,0,0,0
2,7,380,40,1,1,0,0
2,20,1,0,0,1,0,0
2,27,10,0,0,1,0,0
2,45,609,0,0,1,0,0
7,7,380,40,1,2,0,0
7,20,1,0,0,2,0,0
7,27,10,0,0,2,0,0
12,7,380,40,1,3,0,0
12,20,1,0,0,3,0,0
12,27,10,0,0,3,0,0
17,7,380,40,1,4,0,0
17,20,1,0,0,4,0,0
17,27,10,0,0,4,0,0
22,7,380,40,1,5,0,0
22,20,1,0,0,5,0,0
22,27,10,0,0,5,0,0
27,7,380,40,1,6,0,0
27,20,1,0,0,6,0,0
27,27,10,0,0,6,0,0
32,7,380,40,1,7,0,0
32,20,1,0,0,7,0,0
32,27,10,0,0,7,0,0
37,7,380,40,1,8,0,0
37,20,1,0,0,8,0,0
37,27,10,0,0,8,0,0
42,7,380,40,1,9,0,0
42,20,1,0,0,9,0,0
42,27,10,0,0,9,0,0
42,45,628,0,0,9,0,0
100,7,380,300,1,11,0,0
100,20,-1,0,0,11,0,0
100,27,-10,0,0,11,0,0
100,45,612,0,0,11,0,0
105,7,380,300,1,12,0,0
105,20,-1,0,0,12,0,0
105,27,-10,0,0,12,0,0
110,7,380,300,1,13,0,0
110,20,-1,0,0,13,0,0
110,27,-10,0,0,13,0,0
115,7,380,300,1,14,0,0
115,20,-1,0,0,14,0,0
115,27,-10,0,0,14,0,0
120,7,380,300,1,15,0,0
120,20,-1,0,0,15,0,0
120,27,-10,0,0,15,0,0
125,7,380,300,1,16,0,0
125,20,-1,0,0,16,0,0
125,27,-10,0,0,16,0,0
130,7,380,300,1,17,0,0
130,20,-1,0,0,17,0,0
130,27,-10,0,0,17,0,0
135,7,380,300,1,18,0,0
135,20,-1,0,0,18,0,0
135,27,-10,0,0,18,0,0
140,7,380,300,1,19,0,0
140,20,-1,0,0,19,0,0
140,27,-10,0,0,19,0,0
140,45,628,0,0,19,0,0
200,15,380,10,0,1,0,0
200,19,0,6,0,1,0,0
206,19,6,0,0,1,0,0
210,15,380,10,0,2,0,0
210,19,0,6,0,2,0,0
216,19,6,0,0,2,0,0
220,15,380,10,0,3,0,0
220,19,0,6,0,3,0,0
226,19,6,0,0,3,0,0
230,15,380,10,0,4,0,0
230,19,0,6,0,4,0,0
236,19,6,0,0,4,0,0
246,19,0,6,0,1,0,0
250,7,174,0,2,162,-28,0
250,7,175,24,2,162,-28,0
250,7,176,48,2,162,-28,0
250,7,177,72,2,162,-28,0
250,7,178,0,2,162,0,0
250,7,179,24,2,162,0,0
250,7,180,48,2,162,0,0
250,7,181,72,2,162,0,0
250,7,384,24,3,21,-14,0
250,7,384,48,3,22,-14,0
250,15,381,120,1,33,0,0
250,31,0,0,0,33,0,0
250,45,602,0,0,34,0,0
250,66,2,1,0,0,0,0
251,45,605,0,0,34,0,0
256,19,0,6,0,2,0,0
266,19,0,6,0,3,0,0
270,19,-6,0,0,1,0,0
270,55,93,93,0,22,0,0
270,55,93,93,0,21,0,0
270,62,23,0,0,0,0,0
276,19,0,6,0,4,0,0
279,66,3,1,0,0,0,0
280,15,381,160,1,34,0,0
280,19,-6,0,0,2,0,0
280,31,0,0,0,34,0,0
290,19,0,0,0,33,0,0
290,19,-6,0,0,3,0,0
290,31,0,0,1,33,0,0
300,19,-6,0,0,4,0,0
320,19,0,0,0,34,0,0
320,31,0,0,1,34,0,0
350,20,0,5,0,33,0,0
350,31,0,0,0,33,0,0
380,20,0,5,0,34,0,0
380,31,0,0,0,34,0,0
400,15,380,260,0,1,0,0
400,19,0,6,0,1,0,0
406,19,-6,0,0,1,0,0
410,15,380,260,0,2,0,0
410,19,0,6,0,2,0,0
416,19,-6,0,0,2,0,0
420,15,380,260,0,3,0,0
420,19,0,6,0,3,0,0
426,19,-6,0,0,3,0,0
430,15,380,260,0,4,0,0
430,19,0,6,0,4,0,0
436,19,-6,0,0,4,0,0
446,19,0,6,0,1,0,0
450,7,174,260,2,182,-28,0
450,7,175,284,2,182,-28,0
450,7,176,308,2,182,-28,0
450,7,177,332,2,182,-28,0
450,7,178,260,2,182,0,0
450,7,179,284,2,182,0,0
450,7,180,308,2,182,0,0
450,7,181,332,2,182,0,0
450,7,384,284,3,23,-14,0
450,7,384,308,3,24,-14,0
450,15,381,120,1,33,0,0
450,31,0,0,0,33,0,0
450,45,629,0,0,33,0,0
456,19,0,6,0,2,0,0
466,19,0,6,0,3,0,0
470,19,6,0,0,1,0,0
470,55,93,93,0,24,0,0
470,55,93,93,0,23,0,0
470,62,23,0,0,0,0,0
476,19,0,6,0,4,0,0
479,66,3,1,0,0,0,0
480,15,381,80,1,34,0,0
480,19,6,0,0,2,0,0
480,31,0,0,0,34,0,0
490,19,0,0,0,33,0,0
490,19,6,0,0,3,0,0
490,31,0,0,1,33,0,0
500,19,6,0,0,4,0,0
520,19,0,0,0,34,0,0
520,31,0,0,1,34,0,0
550,20,0,5,0,33,0,0
550,31,0,0,0,33,0,0
580,20,0,5,0,34,0,0
580,31,0,0,0,34,0,0
600,18,380,60,0,1,0,0
600,18,380,160,0,2,0,0
600,20,8,-9,0,1,0,0
600,20,-8,-9,0,2,0,0
600,62,6,0,0,0,0,0
610,18,380,40,0,3,0,0
610,18,380,180,0,4,0,0
610,20,7,-9,0,3,0,0
610,20,-7,-9,0,4,0,0
610,62,6,0,0,0,0,0
620,18,380,20,0,5,0,0
620,18,380,200,0,6,0,0
620,20,6,-9,0,5,0,0
620,20,-6,-9,0,6,0,0
620,62,6,0,0,0,0,0
630,18,380,10,0,7,0,0
630,18,380,210,0,8,0,0
630,20,-8,-9,0,1,0,0
630,20,5,-9,0,7,0,0
630,20,8,-9,0,2,0,0
630,20,-5,-9,0,8,0,0
630,62,6,0,0,0,0,0
640,18,380,0,0,9,0,0
640,18,380,220,0,10,0,0
640,20,-7,-9,0,3,0,0
640,20,4,-9,0,9,0,0
640,20,7,-9,0,4,0,0
640,20,-4,-9,0,10,0,0
640,62,6,0,0,0,0,0
650,18,380,0,0,11,0,0
650,18,380,220,0,12,0,0
650,20,-6,-9,0,5,0,0
650,20,4,-9,0,11,0,0
650,20,6,-9,0,6,0,0
650,20,-4,-9,0,12,0,0
650,62,6,0,0,0,0,0
660,18,380,0,0,13,0,0
660,18,380,220,0,14,0,0
660,20,-5,-9,0,7,0,0
660,20,0,-9,0,2,0,0
660,20,0,-9,0,1,0,0
660,20,4,-9,0,13,0,0
660,20,5,-9,0,8,0,0
660,20,-4,-9,0,14,0,0
660,62,6,0,0,0,0,0
669,66,3,1,0,0,0,0
670,15,381,110,1,34,0,0
670,18,380,0,0,15,0,0
