time,type,data,data2,data3,data4,data5,data6
0,2,0,0,0,0,0,0
0,5,33,31,34,28,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,46,-1,1,0,0,0,0
0,48,0,0,0,0,0,0
0,53,0,0,0,0,0,0
0,64,2,1,5,0,0,0
0,65,0,0,0,0,0,0
68,10,446,118,1,14,0,0
68,10,447,142,1,14,0,0
68,10,448,166,1,14,0,0
68,10,449,190,1,14,0,0
96,10,442,118,1,14,0,0
96,10,443,142,1,14,0,0
96,10,444,166,1,14,0,0
96,10,445,190,1,14,0,0
99,6,450,188,1,141,-28,0
99,6,451,120,1,161,-56,0
99,6,324,144,1,161,-56,0
99,6,451,120,1,181,-28,0
99,6,450,188,1,121,-56,0
99,6,321,164,1,121,-56,0
100,6,313,154,1,19,-28,0
100,6,314,178,1,19,-28,0
100,6,315,130,1,19,-42,0
100,6,316,178,1,19,-42,0
100,6,317,142,1,19,-56,0
100,6,318,166,1,19,-56,0
100,6,309,130,1,19,0,0
100,6,310,154,1,19,0,0
100,6,311,178,1,19,0,0
100,6,312,130,1,19,-28,0
100,10,434,120,1,16,-80,0
100,10,435,144,1,16,-80,0
100,10,436,120,1,16,-52,0
100,10,437,144,1,16,-52,0
100,10,438,162,1,15,-80,0
100,10,439,186,1,15,-80,0
100,10,440,162,1,15,-52,0
100,10,441,186,1,15,-52,0
100,45,628,0,0,121,0,0
100,45,628,0,0,141,0,0
100,45,628,0,0,161,0,0
100,45,628,0,0,181,0,0
100,45,628,0,0,19,0,0
101,6,358,120,1,18,-14,0
101,6,359,132,1,18,-14,0
101,6,360,120,1,18,0,0
101,6,361,132,1,18,14,0
101,6,362,178,1,17,-14,0
101,6,363,190,1,17,-14,0
101,6,364,178,1,17,14,0
101,6,365,190,1,17,0,0
101,45,628,0,0,17,0,0
101,45,628,0,0,16,0,0
101,45,628,0,0,18,0,0
101,45,628,0,0,15,0,0
101,45,628,0,0,14,0,0
190,19,2,1,0,14,0,0
190,19,2,1,0,15,0,0
190,19,2,1,0,16,0,0
190,19,2,1,0,17,0,0
190,19,2,1,0,18,0,0
190,19,2,1,0,19,0,0
190,19,2,1,0,121,0,0
190,19,2,1,0,141,0,0
190,19,2,1,0,161,0,0
190,19,2,1,0,181,0,0
230,19,0,0,0,14,0,0
230,19,0,0,0,15,0,0
230,19,0,0,0,16,0,0
230,19,0,0,0,17,0,0
230,19,0,0,0,18,0,0
230,19,0,0,0,19,0,0
230,19,0,0,0,121,0,0
230,19,0,0,0,141,0,0
230,19,0,0,0,161,0,0
230,19,0,0,0,181,0,0
290,19,-1,0,0,161,0,0
300,6,416,200,2,1,120,0
300,19,-1,0,0,181,0,0
300,19,0,0,0,161,0,0
300,25,100,0,0,1,0,0
300,31,0,0,0,1,0,0
300,62,23,0,0,0,0,0
310,19,0,0,0,181,0,0
310,62,23,0,0,0,0,0
320,19,-1,0,0,18,0,0
320,31,0,0,0,181,4,0
320,31,0,0,0,161,4,0
340,19,0,0,0,1,0,0
340,19,0,0,0,18,0,0
340,62,19,0,0,0,0,0
349,7,349,170,0,2,120,0
349,25,254,0,0,18,0,0
349,79,18,0,0,0,0,0
350,31,0,0,0,1,0,0
355,55,93,0,0,1,0,0
395,19,0,0,0,1,0,0
395,55,0,0,0,1,0,0
400,31,0,1,0,1,0,0
420,31,0,0,0,1,0,0
450,7,516,234,-2,0,60,0
450,62,26,0,0,0,0,0
450,70,1000,18,0,0,0,0
455,7,516,234,-2,0,60,0
455,55,93,0,0,1,0,0
455,62,26,0,0,0,0,0
460,7,516,234,-2,0,60,0
460,62,26,0,0,0,0,0
465,7,516,234,-2,0,60,0
465,62,26,0,0,0,0,0
470,7,516,234,-2,0,60,0
470,62,26,0,0,0,0,0
480,7,517,40,0,3,0,0
480,45,602,0,0,3,0,0
490,7,517,170,0,4,0,0
490,45,611,0,0,4,0,0
495,19,0,0,0,1,0,0
495,55,0,0,0,1,0,0
500,7,517,130,0,5,0,0
500,31,0,1,0,1,0,0
500,45,613,0,0,5,0,0
510,7,517,70,0,6,0,0
510,45,607,0,0,6,0,0
520,7,517,110,0,7,0,0
520,31,0,0,0,1,0,0
520,45,623,0,0,7,0,0
550,31,5,0,0,18,0,0
550,70,1000,18,0,0,0,0
555,55,93,0,0,1,0,0
570,31,0,0,0,18,0,0
580,31,0,10,0,16,0,0
590,20,-4,0,0,16,0,0
590,62,4,0,0,0,0,0
595,19,0,0,0,1,0,0
595,55,0,0,0,1,0,0
600,31,0,1,0,1,0,0
600,31,0,0,0,16,0,0
610,20,4,0,0,16,0,0
620,31,0,0,0,1,0,0
630,20,0,0,0,16,0,0
640,31,0,0,1,16,0,0
655,55,93,0,0,1,0,0
670,31,0,0,0,16,0,0
680,20,4,0,0,16,0,0
695,19,0,0,0,1,0,0
695,55,0,0,0,1,0,0
700,20,-4,0,0,16,0,0
700,31,0,1,0,1,0,0
720,20,0,0,0,16,0,0
720,31,0,0,0,1,0,0
720,62,23,0,0,0,0,0
750,54,350,0,0,0,0,0
1000,19,0,3,0,1,0,0
1000,19,0,8,0,2,0,0
1000,31,0,0,0,1,0,0
1040,19,1,0,0,161,0,0
1050,19,0,0,0,161,0,0
1050,19,1,0,0,181,0,0
1050,62,23,0,0,0,0,0
1060,19,0,0,0,181,0,0
1060,31,0,0,0,161,0,0
1060,31,0,0,0,181,0,0
1060,62,23,0,0,0,0,0
1080,19,0,2,0,14,0,0
1080,19,0,2,0,15,0,0
1080,19,0,2,0,16,0,0
1080,19,0,2,0,17,0,0
1080,19,0,2,0,19,0,0
1080,19,0,2,0,121,0,0
1080,19,0,2,0,141,0,0
1080,19,0,2,0,161,0,0
1080,19,0,2,0,181,0,0
1080,31,0,0,80,19,0,0
1105,19,-3,0,0,14,0,0
1105,19,-3,0,0,15,0,0
1105,19,-3,0,0,16,0,0
1105,19,-3,0,0,17,0,0
1105,19,-3,0,0,19,0,0
1105,19,-3,0,0,121,0,0
1105,19,-3,0,0,141,0,0
1105,19,-3,0,0,161,0,0
1105,19,-3,0,0,181,0,0
1165,19,0,-2,0,14,0,0
1165,19,0,-2,0,15,0,0
1165,19,0,-2,0,16,0,0
1165,19,0,-2,0,17,0,0
1165,19,0,-2,0,19,0,0
1165,19,0,-2,0,121,0,0
1165,19,0,-2,0,141,0,0
1165,19,0,-2,0,161,0,0
1165,19,0,-2,0,181,0,0
1190,19,0,0,0,14,0,0
1190,19,0,0,0,15,0,0
1190,19,0,0,0,16,0,0
1190,19,0,0,0,17,0,0
1190,19,0,0,0,19,0,0
1190,19,0,0,0,121,0,0
1190,19,0,0,0,141,0,0
1190,19,0,0,0,161,0,0
1190,19,0,0,0,181,0,0
1199,31,0,0,0,19,0,0
1200,19,1,0,0,121,0,0
1210,19,0,0,0,121,0,0
1210,19,1,0,0,141,0,0
1210,62,23,0,0,0,0,0
1220,19,0,0,0,141,0,0
1220,62,23,0,0,0,0,0
1229,19,1,0,0,17,0,0
1230,31,0,0,0,121,4,0
1230,31,0,0,0,141,4,0
1249,7,350,120,0,10,120,0
1249,19,0,0,0,17,0,0
1249,25,254,0,0,17,0,0
1249,62,19,0,0,0,0,0
