time,type,data,data2,data3,data4,data5,data6
0,2,1,2,1,0,0,0
0,5,8,23,20,17,0,0
0,14,0,0,0,0,0,0
55,15,545,30,2,1,0,0
60,15,545,50,2,2,0,0
60,15,545,10,2,3,0,0
80,15,545,160,2,6,0,0
80,19,-2,0,0,3,0,0
80,19,2,0,0,2,0,0
85,15,545,180,2,4,0,0
90,15,545,200,2,5,0,0
90,19,0,3,0,3,0,0
90,19,0,3,0,2,0,0
100,19,2,0,0,5,0,0
100,19,-2,0,0,6,0,0
110,19,0,3,0,5,0,0
110,19,0,3,0,6,0,0
132,6,271,66,0,0,0,0
132,10,276,42,0,0,0,0
150,15,545,120,6,10,0,0
160,15,545,120,6,11,0,0
160,19,4,0,0,10,0,0
170,15,545,120,6,12,0,0
170,19,4,0,0,11,0,0
170,19,0,6,0,10,0,0
180,15,545,120,6,13,0,0
180,19,-4,0,0,10,0,0
180,19,4,0,0,12,0,0
180,19,0,6,0,11,0,0
190,19,-4,0,0,11,0,0
190,19,0,6,0,12,0,0
190,19,0,6,0,10,0,0
190,19,4,0,0,13,0,0
200,19,-4,0,0,12,0,0
200,19,0,6,0,11,0,0
200,19,4,0,0,10,0,0
200,19,0,6,0,13,0,0
210,19,0,6,0,12,0,0
210,19,-4,0,0,11,0,0
210,19,-4,0,0,13,0,0
220,19,0,-6,0,11,0,0
220,19,4,0,0,12,0,0
220,19,0,6,0,13,0,0
230,19,0,-6,0,10,0,0
230,19,-4,0,0,13,0,0
240,19,0,-6,0,13,0,0
250,19,0,-6,0,12,0,0
272,6,274,162,0,0,0,0
272,6,274,210,0,0,0,0
272,10,276,186,0,0,0,0
300,6,456,186,0,0,0,0
496,6,270,210,0,0,0,0
524,6,270,234,0,0,0,0
888,10,276,210,0,0,0,0
888,10,276,234,0,0,0,0
1000,6,271,186,0,0,0,0
1364,10,276,42,0,0,0,0
1364,10,276,66,0,0,0,0
1364,10,276,90,0,0,0,0
1392,6,273,66,0,0,0,0
1392,6,273,90,0,0,0,0
1420,6,274,210,0,0,0,0
1476,6,274,258,0,0,0,0
1504,6,274,234,0,0,0,0
1532,6,270,138,0,0,0,0
1560,6,1042,186,0,20,-1,0
1560,6,1041,186,0,20,-29,0
1616,6,270,210,0,0,0,0
1644,6,270,258,0,0,0,0
1784,6,270,66,0,0,0,0
1812,6,275,66,0,0,0,0
1840,6,274,66,0,0,0,0
1868,6,1042,90,0,21,-1,0
1868,6,1041,90,0,21,-29,0
1924,6,270,66,0,0,0,0
1924,10,276,42,0,0,0,0
2148,6,270,66,0,0,0,0
2148,10,1035,138,0,22,-57,0
2148,10,1036,162,0,22,-57,0
2148,12,1037,138,0,22,-1,0
2204,6,270,-6,0,0,0,0
2204,10,1024,66,0,23,-57,0
2204,10,1025,90,0,23,-57,0
2204,12,1026,66,0,23,-1,0
2232,6,1043,114,0,0,-1,0
2288,6,270,42,0,0,0,0
2288,6,270,210,0,0,0,0
2288,10,1024,234,0,24,-57,0
2288,10,1025,258,0,24,-57,0
2288,12,1026,234,0,24,-1,0
2344,10,1035,42,0,25,-57,0
2344,10,1036,66,0,25,-57,0
2344,12,1037,42,0,25,-1,0
2372,10,1035,234,0,26,-57,0
2372,10,1036,258,0,26,-57,0
2372,12,1037,234,0,26,-1,0
2400,6,270,90,0,0,0,0
2400,6,270,282,0,0,0,0
2512,10,276,90,0,0,0,0
2512,10,276,114,0,0,0,0
2540,6,270,210,0,0,0,0
2568,6,270,42,0,0,0,0
2652,6,456,234,0,0,0,0
2652,6,456,258,0,0,0,0
2652,6,456,282,0,0,0,0
2680,6,1042,42,0,27,-1,0
2680,6,1041,42,0,27,-29,0
2680,6,1042,66,0,28,-1,0
2680,6,1041,66,0,28,-29,0
2680,6,1042,90,0,29,-1,0
2680,6,1041,90,0,29,-29,0
2736,6,274,18,0,0,0,0
2736,6,271,210,0,0,0,0
2764,6,456,-6,0,0,0,0
2960,6,274,18,0,0,0,0
2960,6,275,138,0,0,0,0
2988,6,275,66,0,0,0,0
2988,6,275,138,0,0,0,0
3016,6,275,66,0,0,0,0
3044,6,270,282,0,0,0,0
3072,6,270,282,0,0,0,0
3072,10,276,162,0,0,0,0
3072,10,276,138,0,0,0,0
3100,6,275,114,0,0,0,0
3128,6,275,114,0,0,0,0
3128,10,276,-6,0,0,0,0
3128,10,276,-30,0,0,0,0
3156,6,275,138,0,0,0,0
3184,6,275,138,0,0,0,0
3212,6,270,90,0,0,0,0
3212,10,276,210,0,0,0,0
3212,10,276,234,0,0,0,0
3240,6,270,18,0,0,0,0
3268,6,270,66,0,0,0,0
3352,6,273,90,0,0,0,0
3352,6,273,258,0,0,0,0
3380,6,275,42,0,0,0,0
3380,6,273,186,0,0,0,0
3408,6,275,42,0,0,0,0
3436,6,275,66,0,0,0,0
3436,6,273,210,0,0,0,0
3464,6,275,66,0,0,0,0
3492,6,275,66,0,0,0,0
3548,6,1042,234,0,30,-1,0
3548,6,1041,234,0,30,-29,0
3604,6,270,114,0,0,0,0
3604,6,270,234,0,0,0,0
3604,10,276,162,0,0,0,0
3604,10,276,186,0,0,0,0
3604,10,276,210,0,0,0,0
3604,10,276,138,0,0,0,0
3800,6,456,138,0,0,0,0
3800,6,456,234,0,0,0,0
3828,6,275,138,0,0,0,0
3828,6,1043,186,0,0,-1,0
3828,6,275,234,0,0,0,0
3856,6,456,138,0,0,0,0
3856,6,456,234,0,0,0,0
3884,6,270,18,0,0,0,0
3884,6,274,186,0,0,0,0
3884,6,274,210,0,0,0,0
3884,6,270,282,0,0,0,0
4836,6,275,-6,0,0,0,0
4836,6,1043,258,0,0,-1,0
4864,10,276,-6,0,0,0,0
4864,10,276,18,0,0,0,0
4864,10,276,234,0,0,0,0
4864,10,276,258,0,0,0,0
4892,6,275,-6,0,0,0,0
4892,6,1043,18,0,0,-1,0
4892,6,1043,234,0,0,-1,0
4892,6,275,258,0,0,0,0
4920,10,276,-6,0,0,0,0
4920,10,276,18,0,0,0,0
4920,10,276,234,0,0,0,0
4920,10,276,258,0,0,0,0
4948,6,1043,-6,0,0,-1,0
4948,6,275,18,0,0,0,0
4948,6,270,210,0,0,0,0
4948,6,275,234,0,0,0,0
4948,6,1043,258,0,0,-1,0
4976,6,275,234,0,0,0,0
4976,10,276,18,0,0,0,0
4976,10,276,-6,0,0,0,0
5004,6,275,-6,0,0,0,0
5004,6,1043,18,0,0,-1,0
5004,6,275,234,0,0,0,0
5032,6,275,234,0,0,0,0
5032,10,276,18,0,0,0,0
5032,10,276,-6,0,0,0,0
5060,6,1043,-6,0,0,-1,0
5060,6,275,18,0,0,0,0
5060,10,276,234,0,0,0,0
5060,10,276,258,0,0,0,0
5088,6,1043,234,0,0,-1,0
5088,6,275,258,0,0,0,0
5088,10,276,-6,0,0,0,0
5088,10,276,18,0,0,0,0
5116,6,275,-6,0,0,0,0
5116,6,1043,18,0,0,-1,0
5116,10,276,234,0,0,0,0
5116,10,276,258,0,0,0,0
5144,6,275,234,0,0,0,0
5144,6,1043,258,0,0,-1,0
5144,10,276,-6,0,0,0,0
5144,10,276,18,0,0,0,0
5172,6,1043,-6,0,0,-1,0
5172,6,275,18,0,0,0,0
5172,10,276,234,0,0,0,0
5172,10,276,258,0,0,0,0
5200,6,270,42,0,0,0,0
5200,6,1043,234,0,0,-1,0
5200,6,275,258,0,0,0,0
5200,10,276,18,0,0,0,0
5200,10,276,-6,0,0,0,0
5228,6,275,-6,0,0,0,0
5228,6,1043,18,0,0,-1,0
5228,6,270,210,0,0,0,0
5256,10,276,-6,0,0,0,0
5256,10,276,18,0,0,0,0
5284,6,1043,-6,0,0,-1,0
5284,6,275,18,0,0,0,0
5284,10,276,234,0,0,0,0
5284,10,276,258,0,0,0,0
5312,6,275,234,0,0,0,0
5312,6,1043,258,0,0,-1,0
5312,10,276,-6,0,0,0,0
5312,10,276,18,0,0,0,0
5340,6,275,-6,0,0,0,0
5340,6,1043,18,0,0,-1,0
5340,6,270,42,0,0,0,0
5340,10,276,234,0,0,0,0
5368,6,275,234,0,0,0,0
5368,10,276,18,0,0,0,0
5368,10,276,-6,0,0,0,0
5396,6,1043,-6,0,0,-1,0
5396,6,275,18,0,0,0,0
5396,6,271,186,0,0,0,0
5396,6,270,210,0,0,0,0
5396,6,275,234,0,0,0,0
5424,6,275,234,0,0,0,0
5424,10,276,18,0,0,0,0
5424,10,276,-6,0,0,0,0
5452,6,275,-6,0,0,0,0
5452,6,1043,18,0,0,-1,0
5452,6,275,234,0,0,0,0
5480,10,276,-6,0,0,0,0
5480,10,276,18,0,0,0,0
5480,10,276,234,0,0,0,0
5480,10,276,258,0,0,0,0
5508,6,1043,-6,0,0,-1,0
5508,6,275,18,0,0,0,0
5508,6,1043,234,0,0,-1,0
5508,6,275,258,0,0,0,0
5536,10,276,-6,0,0,0,0
5536,10,276,18,0,0,0,0
5536,10,276,234,0,0,0,0
5536,10,276,258,0,0,0,0
5564,6,275,-6,0,0,0,0
5564,6,1043,18,0,0,-1,0
5564,6,270,42,0,0,0,0
5564,6,275,234,0,0,0,0
5564,6,1043,258,0,0,-1,0
5592,10,276,-6,0,0,0,0
5592,10,276,18,0,0,0,0
5592,10,276,234,0,0,0,0
5592,10,276,258,0,0,0,0
5620,6,1043,-6,0,0,-1,0
5620,6,275,18,0,0,0,0
5620,6,1043,234,0,0,-1,0
5620,6,275,258,0,0,0,0
5648,10,276,-6,0,0,0,0
5648,10,276,18,0,0,0,0
5648,10,276,258,0,0,0,0
5648,10,276,282,0,0,0,0
5676,6,275,-6,0,0,0,0
5676,6,1043,18,0,0,-1,0
5676,6,1043,258,0,0,-1,0
5732,6,270,42,0,0,0,0
5732,6,456,138,0,0,0,0
5732,6,456,162,0,0,0,0
5760,12,1001,138,0,31,-1,0
5788,6,271,114,0,0,0,0
6200,16,2,30,0,0,0,0
6264,6,271,138,0,0,0,0
6264,6,271,162,0,0,0,0
6264,6,271,186,0,0,0,0
6264,6,271,210,0,0,0,0
6264,6,456,282,0,0,0,0
6292,6,456,66,0,0,0,0
6292,6,274,234,0,0,0,0
6292,6,1082,144,0,254,-28,0
6292,6,1083,168,0,254,-28,0
6292,6,1084,192,0,254,-28,0
6292,6,1085,144,0,254,0,0
6292,6,1086,168,0,254,0,0
6292,6,1087,192,0,254,0,0
6292,57,6400,0,0,0,0,0
6292,79,254,0,0,0,0,0
6320,6,274,114,0,0,0,0
6320,6,274,258,0,0,0,0
6320,10,276,234,0,0,0,0
6348,10,276,258,0,0,0,0
