time,type,data,data2,data3,data4,data5,data6
0,2,1,2,3,0,0,0
0,5,10,13,0,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,29,0,0,0,0,0,0
0,84,1,10000,55,0,0,0
50,15,168,20,3,5,0,0
60,15,167,40,3,6,0,0
60,31,20,0,0,5,0,0
60,33,502,0,0,5,0,0
80,15,168,240,3,8,0,0
90,15,167,220,3,7,0,0
90,31,20,0,0,8,0,0
90,33,502,0,0,8,0,0
120,15,167,160,3,9,0,0
130,15,168,190,3,10,0,0
130,31,20,0,0,10,0,0
130,33,502,0,0,10,0,0
150,6,166,50,1,16,0,0
150,33,391,0,0,16,0,0
160,6,166,30,1,17,0,0
160,33,391,0,0,17,0,0
170,6,166,50,1,18,0,0
170,33,391,0,0,18,0,0
170,45,628,0,0,18,0,0
180,6,166,30,1,19,0,0
180,20,6,0,0,16,3,0
180,33,391,0,0,19,0,0
185,20,6,0,0,17,3,0
190,6,166,50,1,20,0,0
190,20,6,0,0,18,3,0
190,33,391,0,0,20,0,0
195,20,6,0,0,19,3,0
200,15,163,130,3,1,0,0
200,15,163,210,3,2,0,0
200,20,6,0,0,20,3,0
200,20,-6,0,0,16,2,0
200,62,13,0,0,0,0,0
205,20,-6,0,0,17,2,0
210,20,-6,0,0,18,2,0
215,20,-6,0,0,19,2,0
220,15,163,150,4,3,0,0
220,15,163,190,4,4,0,0
220,20,-6,0,0,20,2,0
220,62,13,0,0,0,0,0
240,15,164,170,5,5,0,0
240,20,-6,0,0,1,2,0
240,20,6,0,0,2,3,0
240,20,-8,0,0,3,2,0
240,20,8,0,0,4,3,0
240,45,623,0,0,5,0,0
240,62,13,0,0,0,0,0
280,15,163,30,3,6,0,0
280,15,163,110,3,7,0,0
280,62,13,0,0,0,0,0
300,6,302,234,4,1,-56,-2
300,6,303,258,4,1,-56,-2
300,6,304,210,4,1,-28,-2
300,6,305,234,4,1,-28,-2
300,6,306,258,4,1,-28,-2
300,6,307,282,4,1,-28,-2
300,6,308,246,4,2,0,-2
300,15,163,90,4,9,0,0
300,15,163,50,4,8,0,0
300,33,506,0,0,2,0,0
300,45,628,0,0,1,0,0
300,62,13,0,0,0,0,0
301,39,2,1,0,0,0,0
320,15,164,70,5,10,0,0
320,19,0,3,0,1,0,0
320,20,8,0,0,9,3,0
320,20,-6,0,0,6,2,0
320,20,6,0,0,7,3,0
320,20,-8,0,0,8,2,0
320,45,618,0,0,10,0,0
320,62,13,0,0,0,0,0
330,15,170,80,1,18,0,0
330,19,0,2,0,1,0,0
330,31,6,0,0,18,0,0
330,45,533,0,0,18,0,0
340,19,0,1,0,1,0,0
360,20,8,0,0,18,3,0
380,20,-8,0,0,18,2,0
380,20,6,10,0,1,0,0
400,6,1091,10,1,11,-84,0
400,6,1092,34,1,11,-84,0
400,6,1093,58,1,11,-84,0
400,6,1094,82,1,11,-84,0
400,6,1095,10,1,11,-56,0
400,6,1096,34,1,11,-56,0
400,6,1097,58,1,11,-56,0
400,6,1098,82,1,11,-56,0
400,6,1099,10,1,11,-28,0
400,6,1100,34,1,11,-28,0
400,6,1101,58,1,11,-28,0
400,6,1102,82,1,11,-28,0
400,6,1103,22,1,11,0,0
400,6,1104,46,1,11,0,0
400,6,1105,70,1,11,0,0
400,10,1091,200,1,10,-84,0
400,10,1092,224,1,10,-84,0
400,10,1093,248,1,10,-84,0
400,10,1094,272,1,10,-84,0
400,10,1095,200,1,10,-56,0
400,10,1096,224,1,10,-56,0
400,10,1097,248,1,10,-56,0
