time,type,data,data2,data3,data4,data5,data6
0,0,0,0,0,0,0,0
0,2,1,2,1,0,0,0
0,5,16,17,0,0,0,0
0,13,0,0,0,0,0,0
50,15,1150,60,0,1,0,0
50,19,1,0,0,1,0,0
50,20,-6,6,0,1,0,0
68,20,6,-6,0,1,0,0
70,15,1150,30,0,2,0,0
70,19,1,0,0,2,0,0
70,20,-6,6,0,2,0,0
86,20,12,6,0,1,0,0
86,31,6,0,0,1,0,0
88,20,6,-6,0,2,0,0
90,15,1150,0,0,3,0,0
90,19,1,0,0,3,0,0
90,20,-6,6,0,3,0,0
90,45,603,0,0,3,0,0
104,6,1190,90,0,20,-1,0
104,6,1189,66,0,20,-1,0
104,20,-6,-6,0,1,0,0
104,31,0,0,0,1,0,0
106,20,12,6,0,2,0,0
106,31,6,0,0,2,0,0
108,20,6,-6,0,3,0,0
112,20,-12,-6,0,1,0,0
124,20,-6,-6,0,2,0,0
124,31,0,0,0,2,0,0
126,20,12,6,0,3,0,0
126,31,6,0,0,3,0,0
130,20,6,6,0,1,0,0
132,6,1187,210,0,21,-1,0
132,6,1188,234,0,21,-1,0
132,20,-12,-6,0,2,0,0
144,20,-6,-6,0,3,0,0
144,31,0,0,0,3,0,0
148,20,-6,0,0,1,0,0
150,15,1150,160,0,4,0,0
150,19,-1,0,0,4,0,0
150,20,6,6,0,4,0,0
150,20,6,6,0,2,0,0
152,20,-12,-6,0,3,0,0
152,20,-12,-6,0,3,0,0
168,20,-6,0,0,2,0,0
168,20,-6,-6,0,4,0,0
170,15,1150,190,0,5,0,0
170,19,-1,0,0,5,0,0
170,20,6,6,0,3,0,0
170,20,6,6,0,5,0,0
186,20,-12,6,0,4,0,0
186,31,-6,0,0,4,0,0
188,20,-6,0,0,3,0,0
188,20,-6,-6,0,5,0,0
190,15,1150,220,0,6,0,0
190,19,-1,0,0,6,0,0
190,20,6,6,0,6,0,0
190,45,608,0,0,6,0,0
200,6,1168,136,2,41,-40,0
200,6,1169,136,2,41,-30,0
200,10,1164,124,2,51,-28,0
200,10,1165,148,2,51,-28,0
200,10,1162,124,2,51,0,0
200,10,1163,148,2,51,0,0
200,10,1166,124,2,141,-56,0
200,10,1167,148,2,141,-56,0
204,20,6,-6,0,4,0,0
204,31,0,0,0,4,0,0
206,20,-12,6,0,5,0,0
206,31,-6,0,0,5,0,0
208,20,-6,-6,0,6,0,0
212,20,12,-6,0,4,0,0
220,19,0,1,0,41,0,0
220,19,0,1,0,141,0,0
220,19,0,1,0,51,0,0
224,20,6,-6,0,5,0,0
224,31,0,0,0,5,0,0
226,20,-12,6,0,6,0,0
226,31,-6,0,0,6,0,0
230,19,0,0,0,141,0,0
230,19,0,0,0,51,0,0
230,19,0,0,0,41,0,0
230,20,-6,6,0,4,0,0
232,20,12,-6,0,5,0,0
240,19,0,-1,0,41,0,0
240,19,0,-1,0,141,0,0
240,19,0,-1,0,51,0,0
244,6,1189,162,0,22,-1,0
244,6,1190,186,0,22,-1,0
244,20,6,-6,0,6,0,0
244,31,0,0,0,6,0,0
248,20,6,0,0,4,0,0
250,15,1150,60,0,1,0,0
250,19,0,1,0,51,0,0
250,19,1,0,0,1,0,0
250,20,-6,6,0,5,0,0
250,20,-6,6,0,1,0,0
252,20,12,-6,0,6,0,0
268,20,6,0,0,5,0,0
268,20,6,-6,0,1,0,0
270,15,1150,30,0,2,0,0
270,19,1,0,0,2,0,0
270,19,0,-2,0,41,0,0
270,19,0,-2,0,141,0,0
270,20,-6,6,0,6,0,0
270,20,-6,6,0,2,0,0
272,6,1146,162,0,23,-29,0
272,6,1147,186,0,23,-29,0
286,20,12,6,0,1,0,0
286,31,6,0,0,1,0,0
288,20,6,0,0,6,0,0
288,20,6,-6,0,2,0,0
290,15,1150,0,0,3,0,0
290,19,1,0,0,3,0,0
290,20,-6,6,0,3,0,0
290,45,611,0,0,3,0,0
300,6,1145,42,0,24,-29,0
300,6,1144,18,0,24,-29,0
304,20,-6,-6,0,1,0,0
304,31,0,0,0,1,0,0
306,20,12,6,0,2,0,0
306,31,6,0,0,2,0,0
308,20,6,-6,0,3,0,0
312,20,-12,-6,0,1,0,0
324,20,-6,-6,0,2,0,0
324,31,0,0,0,2,0,0
326,20,12,6,0,3,0,0
326,31,6,0,0,3,0,0
328,6,1146,138,0,25,-29,0
328,6,1147,162,0,25,-29,0
330,20,6,6,0,1,0,0
332,20,-12,-6,0,2,0,0
344,20,-6,-6,0,3,0,0
344,31,0,0,0,3,0,0
348,20,-6,0,0,1,0,0
350,15,1150,160,0,4,0,0
350,19,-1,0,0,4,0,0
350,20,6,6,0,4,0,0
350,20,6,6,0,2,0,0
356,6,1145,66,0,26,-29,0
356,6,1144,42,0,26,-29,0
368,20,-6,-6,0,4,0,0
368,20,-6,0,0,2,0,0
370,15,1150,190,0,5,0,0
370,19,-1,0,0,5,0,0
370,20,6,6,0,5,0,0
370,20,6,6,0,3,0,0
386,20,-12,6,0,4,0,0
386,31,-6,0,0,4,0,0
388,20,-6,-6,0,5,0,0
388,20,-6,0,0,3,0,0
390,15,1150,220,0,6,0,0
390,19,-1,0,0,6,0,0
390,20,6,6,0,6,0,0
390,45,614,0,0,6,0,0
404,20,6,-6,0,4,0,0
404,31,0,0,0,4,0,0
406,20,-12,6,0,5,0,0
406,31,-6,0,0,5,0,0
408,20,-6,-6,0,6,0,0
412,6,1144,66,0,27,-29,0
412,6,1145,90,0,27,-29,0
412,20,12,-6,0,4,0,0
424,20,6,-6,0,5,0,0
424,31,0,0,0,5,0,0
426,20,-12,6,0,6,0,0
426,31,-6,0,0,6,0,0
430,20,-6,6,0,4,0,0
432,20,12,-6,0,5,0,0
444,20,6,-6,0,6,0,0
444,31,0,0,0,6,0,0
448,20,6,0,0,4,0,0
450,20,-6,6,0,5,0,0
452,20,12,-6,0,6,0,0
468,6,1146,162,0,29,-29,0
468,6,1147,186,0,29,-29,0
468,6,1195,42,0,28,-1,0
468,6,1196,66,0,28,-1,0
468,10,1193,42,0,28,-29,0
468,10,1194,66,0,28,-29,0
468,10,1191,42,0,28,-57,0
468,10,1192,66,0,28,-57,0
468,20,6,0,0,5,0,0
470,20,-6,6,0,6,0,0
488,20,6,0,0,6,0,0
496,6,1144,18,0,30,-29,0
496,6,1145,42,0,30,-29,0
500,10,1159,240,1,10,0,0
510,10,1159,240,1,11,0,0
520,10,1159,240,1,12,0,0
520,45,628,0,0,12,0,0
530,20,-6,0,0,10,0,0
540,20,-6,0,0,11,0,0
550,6,1169,116,2,61,-30,0
550,6,1168,116,2,61,-40,0
550,10,1167,128,2,161,-56,0
550,10,1164,104,2,71,-28,0
550,10,1165,128,2,71,-28,0
550,10,1162,104,2,71,0,0
550,10,1163,128,2,71,0,0
550,10,1166,104,2,161,-56,0
550,20,-6,0,0,12,0,0
552,6,1146,186,0,31,-29,0
552,6,1147,210,0,31,-29,0
560,20,6,0,0,10,0,0
570,19,0,1,0,71,0,0
570,19,0,1,0,61,0,0
