id,name,shipGraphic,itemGraphic,animation,speed,damageFactor,cost,bigShipGraphic,displayName
0,None                          ,0,1,2,0,0,0,0,None
1,USP Talon   Light Fighter     ,233,277,2,0,10,6000,32,USP Talon   Light Fighter
2,SuperCarrot                   ,119,281,2,-2,26,65000,32,SuperCarrot
3,Gencore Phoenix               ,157,273,2,-1,17,12000,28,Gencore Phoenix
4,Gencore Maelstrom             ,157,273,2,0,20,15000,28,Gencore Maelstrom
5,MicroCorp Stalker             ,195,275,2,-2,25,20000,33,MicroCorp Stalker
6,MicroCorp Stalker-B           ,195,275,2,-2,27,25000,33,MicroCorp Stalker-B
7,Prototype Stalker-C           ,195,275,2,0,28,50000,33,Prototype Stalker-C
8,Stalker                       ,195,275,2,0,15,10000,33,Stalker
9,USP Fang    Light Fighter     ,233,277,2,0,14,8000,32,USP Fang    Light Fighter
10,U-Ship                        ,271,277,2,0,8,8000,32,U-Ship
11,Silver Ship                   ,81,277,2,0,10,8000,32,Silver Ship
12,Nort Ship                     ,1,277,2,0,30,65000,32,Nort Ship
