id,drain,shotRepeat,multi,weaponAnimation,max,tx,ty,aim,attack,del,sx,sy,bx,by,sg,acceleration,accelerationX,circleSize,sound,trail,shipBlastFilter
0,0,0,0,0,0,0,0,0,80|196|126|22|38|139|5|45,12|0|80|106|17|154|79|18,7|2|-60|126|26|38|-117|5,45|17|0|80|-60|126|22|38,-117|5|64|64|80|106|18|-102,79|18|7|2|-60|126|26|38,1419|4869|20480|32452|9750|1419|16448|27216,0,0,0,0,255,240
1,10,5,1,0,1,0,0,0,1|126|22|38|139|5|5|16,255|80|106|20|154|79|18|7,0|-60|126|26|38|-117|5|45,12|0|80|-60|126|22|38|-117,0|5|16|0|80|106|21|-102,0|18|7|2|-60|126|26|38,67|1797|20480|32452|9750|1419|4101|20480,0,0,0,28,255,208
2,10,4,1,0,1,0,0,0,3|154|22|17|7|2|154|192,255|7|2|138|70|255|201|202,0|0|85|-119|-27|-118|70|6,4|-28|-117|-8|-58|-123|27|-92,0|-118|70|6|48|-28|-117|-8,0|-67|51|-92|11|115|34|-118,146|58416|63627|48512|41939|30464|32775|28222,0,0,0,1,255,208
3,10,4,1,0,1,0,0,0,3|129|6|198|163|232|3|131,255|200|163|0|201|202|2|0,-3|8|0|0|-118|70|6|48,3|107|-64|37|-60|62|66|-31,0|-8|-119|126|-4|-116|70|-2,0|-118|69|34|60|1|117|95,147|13828|32128|270|10869|106|2922|14079,0,0,0,1,255,208
4,10,4,1,0,1,0,0,0,3|38|255|117|35|139|126|4,255|138|69|14|80|154|204|29,-3|2|-21|40|106|0|106|11,3|54|66|108|-1|54|68|108,0|54|8|-30|-1|54|10|-30,0|126|-4|38|-1|117|35|-117,145|35382|3653|39504|7628|519|10473|15363,0,0,0,1,255,208
5,20,5,1,0,1,0,0,0,2|48|228|139|248|128|189|173,255|0|117|85|160|129|109|48,0|-117|-8|-63|-25|5|-127|-57,12|81|30|7|-119|126|-8|-116,0|-6|-95|94|108|38|59|5,0|6|38|-1|77|4|-21|15,245|50284|63614|15142|32005|9732|17919|41220,0,0,0,28,255,208
6,10,4,1,0,1,0,0,0,1|161|96|108|196|126|248|38,255|69|2|125|4|38|255|69,0|-128|62|-127|109|60|117|-110,8|-84|2|60|3|117|18|-58,0|106|89|50|-58|6|24|-92,0|-58|6|-3|23|21|-23|-106,146|29700|59651|159|1734|28033|60161|65028,0,0,0,1,255,208
7,10,4,1,0,1,0,0,0,1|160|129|109|48|228|139|248,255|231|7|128|189|19|24|0,-6|104|-96|-127|109|48|-28|-117,6|-63|-25|7|-125|-67|-3|23,0|116|87|-96|-127|109|48|-28,0|-8|-63|-25|7|-127|-57|-92,147|35079|63614|18060|41466|27742|15142|325,0,0,0,1,255,208
8,10,4,1,0,1,0,0,0,1|1|125|4|38|254|77|5,255|96|108|196|126|248|38|59,-6|3|126|6|38|-2|69|6,6|16|-95|96|108|-60|126|-8,0|59|69|3|125|4|38|-2,0|6|-128|62|-127|109|100|116,145|65387|61673|15361|29701|15391|29702|15387,0,0,0,1,255,208
9,30,4,1,0,1,0,0,0,3|116|7|60|16|116|3|233,255|1|131|62|108|89|0|117,0|-58|6|110|89|1|-60|126,6|38|-117|69|35|-93|-76|109,0|6|-74|109|0|-58|6|112,0|0|38|-118|69|34|60|5,60|1734|28081|50695|45574|621|1735|22892,0,0,0,28,255,208
