time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,8,23,20,17,0,0
0,9,0,0,0,0,0,0
0,14,0,0,0,0,0,0
0,21,0,0,0,0,0,0
104,10,194,22,0,1,0,0
104,19,0,2,0,1,7,0
104,33,390,0,0,1,0,0
104,45,602,0,0,1,0,0
117,19,1,1,0,1,8,0
119,19,2,0,0,1,5,0
140,7,284,70,2,0,0,0
140,7,284,280,2,0,0,0
160,7,284,120,2,0,0,0
160,7,284,230,2,0,0,0
224,19,1,-1,0,1,3,0
226,19,0,-2,0,1,2,0
244,12,313,138,0,20,0,0
279,19,-1,-1,0,1,1,0
281,19,-2,0,0,1,4,0
339,19,-1,-1,0,1,1,0
341,19,0,-2,0,1,2,0
356,6,272,66,0,0,0,0
356,6,272,138,0,0,0,0
384,10,194,-6,0,2,0,0
384,10,194,258,0,4,0,0
384,19,2,0,0,2,5,0
384,19,-2,0,0,4,4,0
384,45,628,0,0,4,0,0
384,45,629,0,0,2,0,0
400,33,533,0,0,1,0,0
401,19,0,0,0,1,3,0
404,19,0,0,0,1,5,0
407,19,0,0,0,1,8,0
410,19,0,-1,0,1,7,0
412,10,194,-6,0,3,0,0
412,10,194,282,0,5,0,0
412,19,2,0,0,3,5,0
412,19,-2,0,0,5,4,0
412,33,512,0,0,5,0,0
412,45,619,0,0,5,0,0
412,45,628,0,0,3,0,0
413,19,0,-2,0,1,7,0
415,31,30,0,0,1,0,0
430,19,1,1,0,2,8,0
432,19,0,2,0,2,7,0
434,19,0,1,0,2,7,0
436,19,0,0,0,2,7,0
438,19,0,-1,0,2,7,0
440,6,272,138,0,0,0,0
440,6,272,66,0,0,0,0
440,19,0,-2,0,2,7,0
445,31,30,0,0,2,0,0
454,19,-1,1,0,4,6,0
456,19,0,2,0,4,7,0
458,19,1,1,0,3,8,0
458,19,0,1,0,4,7,0
460,19,0,2,0,3,7,0
460,19,0,0,0,4,7,0
462,19,0,1,0,3,7,0
462,19,0,-1,0,4,7,0
464,19,0,0,0,3,7,0
464,19,0,-2,0,4,7,0
466,19,0,-1,0,3,7,0
468,19,0,-2,0,3,7,0
469,31,30,0,0,4,0,0
473,31,30,0,0,3,0,0
494,19,-1,1,0,5,6,0
496,19,0,2,0,5,7,0
498,19,0,1,0,5,7,0
500,19,0,0,0,5,7,0
502,19,0,-1,0,5,7,0
504,19,0,-2,0,5,7,0
