time,type,data,data2,data3,data4,data5,data6
0,2,1,0,0,0,0,0
0,2,3,0,0,0,0,0
0,5,5,9,0,0,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
160,6,554,42,0,0,0,0
200,2,2,0,0,0,0,0
300,6,554,210,0,0,0,0
384,10,555,138,0,0,0,0
412,6,554,42,0,0,0,0
440,6,554,210,0,0,0,0
496,6,554,114,0,0,0,0
608,6,552,-6,0,0,0,0
608,6,554,90,0,0,0,0
608,10,553,258,0,0,0,0
636,6,552,18,0,0,0,0
636,10,553,234,0,0,0,0
664,6,552,18,0,0,0,0
664,10,553,234,0,0,0,0
692,6,552,18,0,0,0,0
692,6,554,186,0,0,0,0
692,10,553,234,0,0,0,0
720,6,552,18,0,0,0,0
720,6,554,114,0,0,0,0
720,10,553,258,0,0,0,0
748,6,552,18,0,0,0,0
748,10,553,258,0,0,0,0
776,6,552,42,0,0,0,0
776,6,554,210,0,0,0,0
776,10,553,258,0,0,0,0
804,6,552,42,0,0,0,0
832,6,552,18,0,0,0,0
832,10,564,160,0,41,-24,0
832,10,564,160,0,42,24,0
832,10,565,162,0,50,0,0
832,19,-7,0,0,42,0,0
832,19,7,0,0,41,0,0
832,20,1,-1,0,42,0,0
832,20,-1,1,0,41,0,0
832,27,7,-7,0,42,0,0
832,27,-7,7,0,41,0,0
832,45,607,0,0,50,0,0
860,6,552,18,0,0,0,0
860,10,553,282,0,0,0,0
888,6,552,18,0,0,0,0
888,6,554,114,0,0,0,0
888,10,553,282,0,0,0,0
916,6,552,42,0,0,0,0
916,6,554,234,0,0,0,0
944,6,552,66,0,0,0,0
972,6,552,66,0,0,0,0
1000,10,553,282,0,0,0,0
1028,10,553,258,0,0,0,0
1028,10,566,210,0,0,0,0
1056,10,566,186,0,0,0,0
1056,10,553,282,0,0,0,0
1084,6,552,-30,0,0,0,0
1084,6,554,42,0,0,0,0
1084,10,566,162,0,0,0,0
1112,6,552,-6,0,0,0,0
1112,10,553,138,0,0,0,0
1112,10,553,162,0,0,0,0
1140,6,552,18,0,0,0,0
1140,10,553,162,0,0,0,0
1168,6,552,18,0,0,0,0
1168,6,554,66,0,0,0,0
1168,10,553,186,0,0,0,0
1196,6,552,-6,0,0,0,0
1196,10,553,186,0,0,0,0
1224,6,552,-6,0,0,0,0
1224,6,554,114,0,0,0,0
1224,10,553,186,0,0,0,0
1252,6,552,-6,0,0,0,0
1252,6,554,42,0,0,0,0
1252,10,553,162,0,0,0,0
1280,6,552,-6,0,0,0,0
1308,6,552,-6,0,0,0,0
1336,6,552,18,0,0,0,0
1336,10,553,114,0,0,0,0
1364,6,397,210,0,0,0,0
1400,2,3,0,0,0,0,0
1420,10,565,78,0,50,0,0
1420,10,564,76,0,41,-24,0
1420,10,564,76,0,42,24,0
1420,19,-7,0,0,42,0,0
1420,19,7,0,0,41,0,0
1420,20,1,-1,0,42,0,0
1420,20,-1,1,0,41,0,0
1420,27,7,-7,0,42,0,0
1420,27,-7,7,0,41,0,0
1420,45,619,0,0,50,0,0
1504,6,552,18,0,0,0,0
1504,10,553,138,0,0,0,0
1532,6,552,18,0,0,0,0
1532,6,554,258,0,0,0,0
1532,6,554,282,0,0,0,0
1532,10,553,162,0,0,0,0
1560,6,552,-6,0,0,0,0
1560,10,553,186,0,0,0,0
1560,10,555,234,0,0,0,0
1588,6,552,-6,0,0,0,0
1588,10,553,186,0,0,0,0
1616,6,552,-30,0,0,0,0
1644,6,554,162,0,0,0,0
1672,6,554,18,0,0,0,0
1672,6,554,114,0,0,0,0
1672,6,554,138,0,0,0,0
1700,6,554,42,0,0,0,0
1728,6,554,42,0,0,0,0
