time,type,data,data2,data3,data4,data5,data6
0,0,0,0,0,0,0,0
0,2,1,2,3,0,0,0
0,5,11,12,18,20,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
1,7,189,194,0,1,0,-2
2,19,0,0,0,1,0,0
2,33,534,0,0,1,0,0
20,7,191,220,0,2,0,-2
25,7,191,220,0,3,0,-2
27,20,1,1,0,2,0,0
27,27,7,7,0,2,0,0
29,7,423,140,0,120,-50,0
29,7,422,140,0,120,-78,0
30,7,424,140,0,124,-10,0
30,7,424,140,0,123,-20,0
30,7,424,140,0,122,-30,0
30,7,424,140,0,121,-40,0
30,7,191,220,0,4,0,-2
30,7,425,140,0,126,10,0
30,7,424,140,0,125,0,0
30,20,1,0,0,126,1,0
32,20,1,0,0,125,1,0
32,20,1,1,0,3,0,0
32,27,7,7,0,3,0,0
34,20,1,0,0,124,1,0
36,20,1,0,0,123,1,0
37,20,1,1,0,4,0,0
37,27,7,7,0,4,0,0
38,20,1,0,0,122,1,0
40,20,1,0,0,121,1,0
42,20,1,0,0,120,1,0
49,7,423,60,0,140,-50,0
49,7,422,60,0,140,-78,0
50,7,424,60,0,143,-20,0
50,7,424,60,0,142,-30,0
50,7,424,60,0,141,-40,0
50,7,425,60,0,146,10,0
50,7,424,60,0,145,0,0
50,7,424,60,0,144,-10,0
50,20,1,0,0,146,1,0
52,20,1,0,0,145,1,0
54,20,1,0,0,144,1,0
56,20,1,0,0,143,1,0
58,20,1,0,0,142,1,0
60,20,1,0,0,141,1,0
62,20,1,0,0,140,1,0
121,15,413,126,0,70,0,2
121,15,412,102,0,70,0,2
135,15,415,126,0,70,0,2
135,15,414,102,0,70,0,2
149,15,416,114,0,70,0,2
150,15,417,110,0,70,0,2
151,15,418,104,0,70,0,2
152,15,419,70,0,70,0,2
153,15,421,30,0,70,28,2
153,15,420,30,0,70,0,2
269,15,423,90,0,100,-50,0
269,15,422,90,0,100,-78,0
270,15,424,90,0,103,-20,0
270,15,424,90,0,102,-30,0
270,15,424,90,0,101,-40,0
270,15,425,90,0,106,10,0
270,15,424,90,0,105,0,0
270,15,424,90,0,104,-10,0
270,20,1,0,0,106,0,0
270,45,603,0,0,106,0,0
272,20,1,0,0,105,0,0
274,20,1,0,0,104,0,0
276,20,1,0,0,103,0,0
278,20,1,0,0,102,0,0
280,20,1,0,0,101,0,0
282,20,1,0,0,100,0,0
329,7,423,140,0,120,-50,0
329,7,422,200,0,140,-78,0
329,7,423,200,0,140,-50,0
329,7,422,140,0,120,-78,0
330,7,424,140,0,121,-40,0
330,7,425,140,0,126,10,0
330,7,424,140,0,125,0,0
330,7,425,200,0,146,10,0
330,7,424,200,0,145,0,0
330,7,424,200,0,144,-10,0
330,7,424,200,0,143,-20,0
330,7,424,200,0,142,-30,0
330,7,424,200,0,141,-40,0
330,7,424,140,0,124,-10,0
330,7,424,140,0,123,-20,0
330,7,424,140,0,122,-30,0
330,20,2,0,0,146,0,0
330,20,1,0,0,126,0,0
330,45,627,0,0,146,0,0
330,45,604,0,0,126,0,0
332,20,2,0,0,145,0,0
332,20,1,0,0,125,0,0
334,20,2,0,0,144,0,0
334,20,1,0,0,124,0,0
336,20,2,0,0,143,0,0
336,20,1,0,0,123,0,0
338,20,2,0,0,142,0,0
338,20,1,0,0,122,0,0
340,20,2,0,0,141,0,0
340,20,1,0,0,121,0,0
342,20,2,0,0,140,0,0
342,20,1,0,0,120,0,0
348,15,153,30,2,0,0,0
348,15,153,102,2,0,0,0
348,15,153,174,2,0,0,0
348,15,153,246,2,0,0,0
348,15,153,-42,2,0,0,0
359,7,423,50,0,160,-50,0
359,7,422,50,0,160,-78,0
360,7,424,50,0,163,-20,0
