time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,1,23,9,14,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
100,6,16,82,0,1,0,0
100,6,16,94,0,2,0,0
100,6,16,106,0,3,0,0
100,6,16,118,0,4,0,0
100,6,16,142,0,6,0,0
100,6,16,154,0,7,0,0
100,6,16,166,0,8,0,0
100,6,16,178,0,9,0,0
100,6,568,70,0,0,-48,0
100,6,568,118,0,0,-48,0
100,6,568,142,0,0,-48,0
100,6,568,190,0,0,-48,0
100,10,4,142,0,0,-24,0
100,10,4,118,0,0,-24,0
100,10,4,166,0,0,-48,0
100,10,4,94,0,0,-48,0
100,10,17,118,0,13,-72,0
100,10,17,142,0,14,-72,0
100,19,0,2,99,0,0,0
100,20,0,0,99,0,0,0
100,31,0,0,99,0,0,0
120,19,0,1,99,0,0,0
140,19,0,0,99,0,0,0
150,19,0,-1,99,0,0,0
155,20,5,0,99,0,0,0
155,27,4,0,99,0,0,0
155,31,0,0,99,0,30,0
180,19,0,2,0,4,0,0
180,19,0,2,0,6,0,0
180,20,-2,0,0,4,0,0
180,20,2,0,0,6,0,0
200,19,0,1,0,3,0,0
200,19,0,1,0,7,0,0
200,20,2,0,0,3,0,0
200,20,-2,0,0,7,0,0
280,19,0,2,0,2,0,0
280,19,0,2,0,8,0,0
280,20,-1,0,0,2,0,0
280,20,-1,0,0,8,0,0
310,19,0,2,0,1,0,0
310,19,0,2,0,9,0,0
310,20,3,0,0,1,0,0
310,20,-3,0,0,9,0,0
380,19,0,2,0,13,0,0
380,19,0,2,0,14,0,0
380,20,0,0,0,13,0,0
380,20,0,0,0,14,0,0
380,33,394,0,0,13,0,0
380,33,394,0,0,14,0,0
420,31,0,0,0,19,0,0
520,19,0,-1,99,0,0,0
530,19,0,-2,99,0,0,0
550,19,0,-5,99,0,0,0
599,49,13,118,14,1,0,40
599,49,15,142,14,1,0,40
599,49,51,118,14,1,28,40
599,49,53,142,14,1,28,40
599,49,131,118,14,10,-28,15
599,49,131,142,14,11,-28,15
600,6,16,166,0,6,0,0
600,6,16,178,0,7,0,0
600,6,4,70,0,16,-48,0
600,6,16,82,0,3,0,0
600,6,16,94,0,4,0,0
600,6,4,190,0,17,-48,0
600,10,686,70,0,0,-24,0
600,10,4,94,0,0,-48,0
600,10,686,94,0,0,-24,0
600,10,686,166,0,0,-24,0
600,10,4,166,0,0,-48,0
600,10,686,190,0,0,-24,0
600,10,17,94,0,12,-72,0
600,10,17,118,0,13,-72,0
600,10,17,142,0,14,-72,0
600,10,17,166,0,15,-72,0
600,19,0,2,99,0,0,0
600,20,0,0,99,0,0,0
600,31,0,0,99,0,0,0
620,19,0,1,99,0,0,0
640,19,0,0,99,0,0,0
650,19,0,-1,99,0,0,0
655,20,5,0,99,0,0,0
655,27,4,0,99,0,0,0
660,31,0,0,99,0,10,0
680,19,0,2,0,6,0,0
680,20,-2,0,0,6,0,0
700,19,0,2,0,4,0,0
700,20,2,0,0,4,0,0
720,19,0,1,0,3,0,0
720,20,2,0,0,3,0,0
740,19,0,1,0,7,0,0
740,20,-2,0,0,7,0,0
780,19,0,2,0,17,0,0
780,20,0,0,0,17,0,0
780,33,394,0,0,17,0,0
800,19,0,2,0,16,0,0
800,20,0,0,0,16,0,0
800,33,394,0,0,16,0,0
820,19,0,2,0,12,0,0
820,20,0,0,0,12,0,0
820,33,394,0,0,12,0,0
840,19,0,2,0,15,0,0
840,20,0,0,0,15,0,0
840,33,394,0,0,15,0,0
860,19,0,2,0,13,0,0
860,20,0,0,0,13,0,0
860,33,394,0,0,13,0,0
880,19,0,2,0,14,0,0
880,20,0,0,0,14,0,0
880,33,394,0,0,14,0,0
1100,19,0,-1,99,0,0,0
1110,19,0,-2,99,0,0,0
1160,19,0,-5,99,0,0,0
1199,49,13,70,14,1,-28,40
1199,49,15,94,14,1,-28,40
1199,49,51,70,14,1,0,40
1199,49,53,94,14,1,0,40
1199,49,13,166,14,2,-28,40
1199,49,15,190,14,2,-28,40
1199,49,51,166,14,2,0,40
1199,49,53,190,14,2,0,40
1199,49,131,118,14,10,-26,15
1199,49,131,142,14,11,-26,15
1200,6,16,142,0,6,0,0
1200,6,16,154,0,7,0,0
1200,6,16,118,0,3,0,0
1200,6,16,130,0,4,0,0
1200,10,686,70,0,0,-50,0
1200,10,17,94,0,12,-50,0
1200,10,17,166,0,13,-50,0
1200,10,686,190,0,0,-50,0
1200,10,17,118,0,14,-76,0
1200,10,17,142,0,15,-76,0
1200,19,0,2,99,0,0,0
1200,20,0,0,99,0,0,0
1200,31,0,0,99,0,0,0
1220,19,0,1,99,0,0,0
1240,19,0,0,99,0,0,0
1250,19,0,-1,99,0,0,0
1250,36,0,0,0,0,0,0
1255,20,5,0,99,0,0,0
1255,27,4,0,99,0,0,0
1255,31,0,0,99,0,30,0
1280,19,0,2,0,7,0,0
1280,20,-2,0,0,7,0,0
1300,19,0,2,0,3,0,0
1300,20,2,0,0,3,0,0
1320,19,0,1,0,6,0,0
1320,20,2,0,0,6,0,0
1340,19,0,1,0,4,0,0
1340,20,-2,0,0,4,0,0
1400,19,0,2,0,13,0,0
1400,20,0,0,0,13,0,0
1400,33,395,0,0,13,0,0
1440,19,0,2,0,12,0,0
1440,20,0,0,0,12,0,0
1440,33,394,0,0,12,0,0
1480,19,0,2,0,14,0,0
1480,20,0,0,0,14,0,0
1480,33,395,0,0,14,0,0
1520,19,0,2,0,15,0,0
1520,20,0,0,0,15,0,0
1520,33,395,0,0,15,0,0
1560,19,0,2,0,1,0,0
1560,20,0,0,0,1,0,0
1560,33,394,0,0,1,0,0
1600,19,0,2,0,2,0,0
1600,20,0,0,0,2,0,0
1600,33,395,0,0,2,0,0
1800,19,0,-1,99,0,0,0
1810,19,0,-2,99,0,0,0
1900,11,0,0,0,0,0,0
8100,11,0,0,0,0,0,0
