time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,8,23,20,0,0,0
0,14,0,0,0,0,0,0
0,15,531,100,2,1,0,0
0,21,0,0,0,0,0,0
0,33,800,0,0,1,0,0
0,46,-1,0,0,0,0,0
10,15,282,70,2,0,0,0
10,15,282,130,2,0,0,0
21,6,270,-6,0,0,0,0
21,6,270,18,0,0,0,0
21,6,270,42,0,0,0,0
49,6,270,-6,0,0,0,0
49,6,270,18,0,0,0,0
49,6,270,42,0,0,0,0
105,6,271,162,0,0,0,0
105,6,271,186,0,0,0,0
189,6,272,42,0,0,0,0
189,6,272,66,0,0,0,0
245,6,325,42,0,0,0,0
245,6,325,66,0,0,0,0
329,6,270,66,0,0,0,0
400,15,531,100,2,1,0,0
400,33,800,0,0,1,0,0
400,45,628,0,0,1,0,0
410,15,282,70,2,0,0,0
410,15,282,130,2,0,0,0
460,15,282,20,2,0,0,0
460,15,282,80,2,0,0,0
470,15,531,50,2,2,0,0
470,33,800,0,0,2,0,0
470,45,628,0,0,2,0,0
500,15,531,200,2,3,0,0
500,33,800,0,0,3,0,0
510,15,282,170,2,0,0,0
510,15,282,230,2,0,0,0
530,15,282,40,2,0,0,0
530,15,282,100,2,0,0,0
540,15,531,70,2,4,0,0
540,33,800,0,0,4,0,0
540,45,628,0,0,4,0,0
560,15,282,120,2,0,0,0
560,15,282,180,2,0,0,0
570,15,531,150,2,5,0,0
570,33,800,0,0,5,0,0
581,6,270,258,0,0,0,0
590,15,282,10,2,0,0,0
590,15,282,70,2,0,0,0
600,15,531,40,2,6,0,0
600,33,800,0,0,1,0,0
600,45,628,0,0,6,0,0
609,6,270,258,0,0,0,0
637,6,270,258,0,0,0,0
640,15,826,160,1,201,0,0
641,60,1,1,0,201,0,0
665,6,270,258,0,0,0,0
693,6,338,162,0,20,-56,0
693,6,270,258,0,0,0,0
693,12,339,162,0,20,0,0
805,12,313,162,0,21,0,0
917,6,273,186,0,0,0,0
945,6,276,-6,0,0,0,0
945,6,272,18,0,0,0,0
973,6,275,18,0,0,0,0
973,6,270,114,0,0,0,0
973,12,313,162,0,22,0,0
973,12,313,210,0,23,0,0
1001,6,275,18,0,0,0,0
1001,6,270,114,0,0,0,0
1029,6,275,18,0,0,0,0
1029,6,271,114,0,0,0,0
1057,6,276,-6,0,0,0,0
1057,6,272,18,0,0,0,0
1057,12,313,186,0,24,0,0
1225,6,272,210,0,0,0,0
1225,6,270,234,0,0,0,0
1225,6,272,258,0,0,0,0
1281,6,272,42,0,0,0,0
1281,6,270,66,0,0,0,0
1281,6,272,90,0,0,0,0
1281,6,272,210,0,0,0,0
1281,6,270,234,0,0,0,0
1281,6,272,258,0,0,0,0
1300,15,282,120,2,0,0,0
1300,15,282,180,2,0,0,0
1310,15,531,150,2,7,0,0
1310,33,800,0,0,7,0,0
1310,45,617,0,0,7,0,0
1421,6,272,18,0,0,0,0
1421,6,270,42,0,0,0,0
