time,type,data,data2,data3,data4,data5,data6
0,0,0,0,0,0,0,0
0,2,1,2,2,0,0,0
0,5,12,14,11,29,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,46,1,0,0,0,0,0
48,6,821,210,0,1,0,0
77,6,750,234,0,0,-28,0
88,19,0,-2,0,1,0,0
133,6,750,186,0,0,-28,0
144,19,-2,0,0,1,0,0
188,6,820,210,0,0,0,0
217,6,757,210,0,20,0,0
217,6,756,186,0,20,0,0
356,6,821,114,0,2,0,0
356,6,821,66,0,1,0,0
357,10,759,42,0,21,0,0
357,10,758,42,0,21,-28,0
384,6,819,114,0,4,0,0
384,6,819,66,0,3,0,0
385,10,758,162,0,22,-28,0
385,10,759,162,0,22,0,0
424,19,0,-2,0,4,0,0
424,19,0,-2,0,3,0,0
426,19,0,-2,0,2,0,0
426,19,0,-2,0,1,0,0
480,19,-2,0,0,3,0,0
492,19,0,-2,0,3,0,0
496,19,-2,0,0,1,0,0
497,10,758,186,0,23,-28,0
497,10,759,186,0,23,0,0
506,19,-2,0,0,3,0,0
508,19,-2,0,0,4,0,0
508,19,0,0,0,1,0,0
520,19,0,-2,0,4,0,0
524,6,821,66,0,6,0,0
524,19,-2,0,0,2,0,0
536,19,0,-2,0,2,0,0
562,19,2,0,0,4,0,0
564,19,0,-2,0,6,0,0
574,19,0,-2,0,4,0,0
578,19,2,0,0,2,0,0
581,10,759,138,0,24,0,0
581,10,758,138,0,24,-28,0
588,19,2,0,0,4,0,0
590,19,0,0,0,2,0,0
620,19,-2,0,0,6,0,0
634,19,0,-2,0,4,0,0
644,19,0,0,0,6,0,0
662,19,2,0,0,4,0,0
664,6,821,138,0,1,0,0
665,6,754,42,0,25,0,0
665,6,753,18,0,25,0,0
692,6,821,66,0,5,0,0
704,19,2,0,0,1,0,0
728,19,0,-2,0,1,0,0
732,19,-2,0,0,5,0,0
744,19,0,-2,0,5,0,0
748,6,820,-6,0,7,0,0
770,19,-2,0,0,1,0,0
782,19,0,-2,0,1,0,0
786,19,2,0,0,5,0,0
804,6,819,210,0,0,0,0
810,19,0,0,0,5,0,0
818,19,2,0,0,7,0,0
824,19,2,0,0,1,0,0
830,19,0,-2,0,7,0,0
848,19,0,0,0,1,0,0
860,6,821,186,0,9,0,0
861,10,759,18,0,26,0,0
861,10,758,18,0,26,-28,0
872,19,2,0,0,7,0,0
889,10,758,138,0,27,-28,0
889,10,759,138,0,27,0,0
889,10,758,234,0,28,-28,0
889,10,759,234,0,28,0,0
896,19,0,-2,0,7,0,0
910,19,2,0,0,7,0,0
917,10,759,66,0,29,0,0
917,10,758,66,0,29,-28,0
922,19,0,-2,0,7,0,0
940,19,0,-2,0,9,0,0
1066,19,2,0,0,9,0,0
1090,19,2,0,0,7,0,0
1102,19,0,0,0,7,0,0
1140,6,820,162,0,12,0,0
1168,6,819,114,0,8,0,0
1180,19,2,0,0,12,0,0
1192,19,0,-2,0,12,0,0
1196,6,820,234,0,13,0,0
1208,19,-2,0,0,8,0,0
1220,19,-2,0,0,12,0,0
1225,6,750,234,0,0,-28,0
1236,19,-2,0,0,13,0,0
1244,19,0,2,0,12,0,0
1244,19,0,-2,0,8,0,0
1248,19,0,-2,0,13,0,0
1272,19,2,0,0,12,0,0
1276,19,2,0,0,13,0,0
1280,6,821,42,0,14,0,0
1286,19,2,0,0,8,0,0
1288,19,0,-2,0,13,0,0
1296,19,0,-2,0,12,0,0
1320,19,0,-2,0,14,0,0
1322,19,0,-2,0,8,0,0
1324,19,-2,0,0,12,0,0
1330,19,2,0,0,13,0,0
1336,6,821,-6,0,16,0,0
1336,6,821,162,0,17,0,0
1336,6,821,18,0,15,0,0
1336,19,-2,0,0,8,0,0
1346,19,0,2,0,12,0,0
1348,19,0,-2,0,8,0,0
1362,19,2,0,0,8,0,0
1362,19,2,0,0,14,0,0
1374,19,0,-2,0,8,0,0
1376,19,0,-2,0,15,0,0
1386,19,2,0,0,16,0,0
1388,19,-2,0,0,8,0,0
1390,19,2,0,0,15,0,0
1392,6,820,210,0,18,0,0
1396,19,2,0,0,17,0,0
1398,19,0,-2,0,16,0,0
1400,19,0,0,0,8,0,0
1408,19,0,-2,0,17,0,0
1410,19,0,0,0,14,0,0
1412,19,2,0,0,16,0,0
1424,19,0,0,0,16,0,0
1432,19,-2,0,0,18,0,0
1436,19,-2,0,0,17,0,0
1438,19,0,0,0,15,0,0
1444,19,0,-2,0,18,0,0
1448,6,821,162,0,19,0,0
1448,19,0,-2,0,17,0,0
1458,19,2,0,0,18,0,0
1462,19,-2,0,0,17,0,0
1476,6,820,90,0,10,0,0
1482,19,0,2,0,18,0,0
1488,19,2,0,0,19,0,0
1496,19,2,0,0,18,0,0
1500,19,0,-2,0,19,0,0
1508,19,0,-2,0,18,0,0
1514,19,-2,0,0,19,0,0
1516,19,2,0,0,10,0,0
1522,19,0,-2,0,17,0,0
1526,19,0,-2,0,19,0,0
1528,19,0,-2,0,10,0,0
1536,19,2,0,0,17,0,0
1556,19,-2,0,0,10,0,0
1560,19,0,-2,0,17,0,0
1564,19,-2,0,0,18,0,0
1568,19,0,-2,0,10,0,0
1568,19,2,0,0,19,0,0
1580,19,0,-2,0,19,0,0
1582,19,-2,0,0,10,0,0
1588,6,820,90,0,11,0,0
1588,19,0,-2,0,18,0,0
1588,19,-2,0,0,17,0,0
1594,19,-2,0,0,19,0,0
1600,19,0,0,0,17,0,0
1606,19,0,0,0,19,0,0
1606,19,0,-2,0,10,0,0
1616,19,2,0,0,18,0,0
1628,19,0,-2,0,11,0,0
1628,19,0,-2,0,18,0,0
1634,19,2,0,0,10,0,0
1642,19,2,0,0,11,0,0
1644,6,821,162,0,3,0,0
1646,19,0,-2,0,10,0,0
1660,19,-2,0,0,10,0,0
1670,19,-2,0,0,18,0,0
1672,6,820,186,0,2,0,0
1678,19,0,-2,0,11,0,0
1684,19,0,-2,0,3,0,0
1692,19,2,0,0,11,0,0
1694,19,0,0,0,18,0,0
1696,19,2,0,0,3,0,0
1712,19,0,-2,0,2,0,0
1728,19,0,-2,0,11,0,0
1740,19,2,0,0,2,0,0
1752,19,0,-2,0,2,0,0
1756,19,-2,0,0,11,0,0
1766,19,0,-2,0,3,0,0
1778,19,0,0,0,3,0,0
1780,19,0,2,0,11,0,0
1780,19,2,0,0,2,0,0
1784,6,821,90,0,4,0,0
1794,19,0,0,0,11,0,0
1808,19,0,0,0,2,0,0
1824,19,-2,0,0,4,0,0
1836,19,0,-2,0,4,0,0
1840,6,819,18,0,5,0,0
1850,19,2,0,0,4,0,0
1862,19,0,-2,0,4,0,0
1876,19,2,0,0,4,0,0
1900,19,0,-2,0,5,0,0
1914,19,2,0,0,5,0,0
1924,19,0,2,0,4,0,0
1938,19,0,-2,0,5,0,0
1938,19,2,0,0,4,0,0
1950,19,0,-2,0,4,0,0
1952,6,820,162,0,6,0,0
1978,19,-2,0,0,4,0,0
1981,6,750,282,0,0,-28,0
1981,6,750,234,0,0,-28,0
1990,19,0,-2,0,4,0,0
1992,19,0,-2,0,6,0,0
2006,19,2,0,0,6,0,0
2018,19,-2,0,0,4,0,0
2030,19,0,-2,0,6,0,0
2037,10,758,282,0,31,-28,0
2037,10,759,282,0,31,0,0
2037,10,758,234,0,30,-28,0
2037,10,759,234,0,30,0,0
2044,19,2,0,0,6,0,0
2050,19,0,0,0,5,0,0
2054,19,0,0,0,4,0,0
2068,19,0,-2,0,6,0,0
2093,10,759,90,0,32,0,0
2093,10,758,90,0,32,-28,0
2096,19,-2,0,0,6,0,0
2120,19,0,2,0,6,0,0
2132,19,0,0,0,6,0,0
2176,6,820,138,0,7,0,0
2216,19,0,-2,0,7,0,0
2230,19,2,0,0,7,0,0
2242,19,0,-2,0,7,0,0
2261,10,758,114,0,33,-28,0
2261,10,759,114,0,33,0,0
2270,19,-2,0,0,7,0,0
2282,19,0,2,0,7,0,0
2289,10,759,162,0,34,0,0
2289,10,758,162,0,34,-28,0
2296,19,2,0,0,7,0,0
2320,19,0,-2,0,7,0,0
2373,6,757,258,0,35,0,0
2373,6,756,234,0,35,0,0
2428,6,820,18,0,9,0,0
2468,19,2,0,0,9,0,0
2504,19,0,-2,0,9,0,0
2518,19,-2,0,0,9,0,0
2530,19,0,-2,0,9,0,0
2541,6,756,234,0,36,0,0
2541,6,757,258,0,36,0,0
2544,19,-2,0,0,9,0,0
2568,19,0,-2,0,9,0,0
2597,6,753,42,0,37,0,0
2597,6,754,66,0,37,0,0
2638,19,2,0,0,9,0,0
2653,6,757,258,0,38,0,0
2653,6,756,234,0,38,0,0
2662,19,0,-2,0,9,0,0
2676,19,2,0,0,9,0,0
2681,6,757,258,0,39,0,0
2681,6,750,114,0,0,-28,0
2681,6,756,234,0,39,0,0
2688,19,0,-2,0,9,0,0
2702,19,-2,0,0,9,0,0
2714,19,0,0,0,9,0,0
2848,6,820,186,0,8,0,0
2877,10,758,114,0,21,-28,0
2877,10,759,114,0,21,0,0
2877,10,758,138,0,22,-28,0
2877,10,759,138,0,22,0,0
2877,10,758,90,0,40,-28,0
2877,10,759,90,0,40,0,0
2888,19,-2,0,0,8,0,0
2900,19,0,-2,0,8,0,0
2914,19,0,0,0,8,0,0
3044,6,820,234,0,11,0,0
3044,6,821,258,0,12,0,0
3044,6,821,210,0,10,0,0
3084,19,-2,0,0,10,0,0
3094,19,-2,0,0,11,0,0
3104,19,-2,0,0,12,0,0
3148,19,0,0,0,12,0,0
3158,19,0,0,0,11,0,0
3168,19,0,0,0,10,0,0
3268,6,820,-6,0,13,0,0
3308,19,2,0,0,13,0,0
3324,6,821,162,0,19,0,0
3324,6,819,210,0,1,0,0
3324,6,821,258,0,2,0,0
3324,6,820,114,0,14,0,0
3332,19,0,2,0,13,0,0
3346,19,2,0,0,13,0,0
3358,19,0,-2,0,13,0,0
3364,19,2,0,0,19,0,0
3364,19,-2,0,0,2,0,0
3364,19,-2,0,0,14,0,0
3372,19,2,0,0,13,0,0
3376,19,2,0,0,2,0,0
3376,19,-2,0,0,19,0,0
3384,19,0,-2,0,13,0,0
3388,19,0,2,0,14,0,0
3400,19,-2,0,0,2,0,0
3400,19,2,0,0,19,0,0
3402,19,-2,0,0,14,0,0
3412,19,-2,0,0,13,0,0
3424,19,0,-2,0,13,0,0
3424,19,2,0,0,2,0,0
3424,19,-2,0,0,19,0,0
3426,19,0,2,0,14,0,0
3436,19,0,0,0,2,0,0
3436,19,0,0,0,19,0,0
3438,19,-2,0,0,13,0,0
3440,19,-2,0,0,14,0,0
3450,19,0,2,0,13,0,0
3452,19,0,2,0,14,0,0
3464,19,-2,0,0,13,0,0
3476,19,0,2,0,13,0,0
3480,19,2,0,0,14,0,0
3490,19,2,0,0,13,0,0
3492,19,0,2,0,14,0,0
3504,19,0,0,0,18,0,0
3506,19,2,0,0,14,0,0
3514,19,0,0,0,13,0,0
3530,19,0,-2,0,14,0,0
3544,19,2,0,0,14,0,0
3556,19,0,-2,0,14,0,0
3570,19,-2,0,0,14,0,0
3582,19,0,0,0,14,0,0
3660,6,821,18,0,15,0,0
3660,6,821,42,0,16,0,0
3660,6,821,66,0,17,0,0
3688,6,820,-6,0,18,0,0
3700,19,2,0,0,15,0,0
3700,19,2,0,0,17,0,0
3700,19,2,0,0,16,0,0
3724,19,0,2,0,17,0,0
3736,19,0,2,0,16,0,0
3738,19,2,0,0,17,0,0
3748,19,0,-2,0,18,0,0
3748,19,0,2,0,15,0,0
3750,19,2,0,0,16,0,0
3762,19,2,0,0,15,0,0
3801,6,757,186,0,23,0,0
3801,6,756,162,0,23,0,0
3828,6,821,90,0,3,0,0
3856,6,820,162,0,4,0,0
3857,6,753,-30,0,24,0,0
3857,6,754,-6,0,24,0,0
3868,19,2,0,0,3,0,0
3892,19,-2,0,0,3,0,0
3916,19,0,-2,0,4,0,0
3952,19,2,0,0,3,0,0
3958,19,0,0,0,4,0,0
3968,6,821,90,0,5,0,0
3996,6,820,18,0,0,0,0
4008,19,-2,0,0,5,0,0
4012,19,-2,0,0,3,0,0
4020,19,2,0,0,5,0,0
4056,19,-2,0,0,5,0,0
4072,19,2,0,0,3,0,0
4080,6,820,18,0,0,0,0
4092,19,2,0,0,5,0,0
4128,19,-2,0,0,5,0,0
4164,6,820,18,0,0,0,0
4164,19,2,0,0,5,0,0
4220,6,820,42,0,7,0,0
4220,6,820,18,0,6,0,0
4248,6,820,258,0,0,0,0
4260,19,2,0,0,6,0,0
4260,19,0,-2,0,7,0,0
4272,19,0,-2,0,6,0,0
4274,19,2,0,0,7,0,0
4276,6,821,42,0,9,0,0
4286,19,2,0,0,6,0,0
4304,6,820,42,0,8,0,0
4322,19,0,0,0,6,0,0
4336,19,0,-2,0,9,0,0
4344,19,0,-2,0,8,0,0
4346,19,0,0,0,7,0,0
4361,6,757,306,0,25,0,0
4361,6,756,282,0,25,0,0
4372,19,2,0,0,8,0,0
4378,19,2,0,0,9,0,0
4388,6,820,210,0,1,0,0
4389,6,756,282,0,26,0,0
4389,6,757,306,0,26,0,0
4414,19,0,0,0,9,0,0
4417,6,756,282,0,27,0,0
4417,6,757,306,0,27,0,0
4428,19,2,0,0,1,0,0
4440,19,0,-2,0,1,0,0
4444,19,0,-2,0,8,0,0
4445,6,757,306,0,28,0,0
4445,6,756,282,0,28,0,0
4454,19,-2,0,0,1,0,0
4458,19,2,0,0,8,0,0
4466,19,0,-2,0,1,0,0
4480,19,-2,0,0,1,0,0
4482,19,0,2,0,8,0,0
4492,19,0,0,0,1,0,0
4496,19,2,0,0,8,0,0
4501,10,758,210,0,29,-28,0
4501,10,759,210,0,29,0,0
4508,19,0,0,0,8,0,0
4529,10,759,258,0,30,0,0
4529,10,758,258,0,30,-28,0
4800,16,2,30,0,0,0,0
4800,34,0,0,0,0,0,0
4898,41,0,0,0,0,0,0
4900,7,773,188,0,64,-56,0
4900,7,774,164,0,64,-28,0
4900,7,775,188,0,64,-28,0
4900,7,772,164,0,64,-56,0
4900,31,0,0,0,64,0,0
4900,35,6,0,0,0,0,0
4900,36,0,0,0,0,0,0
4900,51,155,164,14,64,-84,-6
4900,51,197,212,14,64,-56,-6
4900,51,229,140,14,64,-28,-6
4900,51,157,188,14,64,-84,-6
4900,51,159,212,14,64,-84,-6
4900,51,235,212,14,64,-28,-6
4900,51,267,152,14,64,0,-6
4900,51,269,176,14,64,0,-6
4900,51,271,200,14,64,0,-6
4900,51,191,140,14,64,-56,-6
4900,51,153,140,14,64,-84,-6
4940,19,0,-2,0,64,0,0
4960,31,0,3,0,64,0,0
4970,20,0,2,0,64,0,0
4970,31,20,0,0,64,0,0
4980,20,0,-4,0,64,0,0
5000,19,0,-4,0,64,0,0
5000,20,0,0,0,64,0,0
5030,19,0,-2,0,64,0,0
5040,20,8,8,0,64,0,0
5040,31,0,10,0,64,0,0
5070,20,0,0,0,64,0,0
5070,31,20,0,0,64,0,0
5080,20,-8,-8,0,64,0,0
5110,20,-8,-6,0,64,0,0
5110,31,0,10,0,64,0,0
5140,20,0,0,0,64,0,0
5140,31,20,0,0,64,0,0
5150,20,8,6,0,64,0,0
5180,20,-8,10,0,64,0,0
5180,31,0,10,0,64,0,0
5200,2,0,0,0,0,0,0
5200,19,-99,-99,0,64,0,2
5200,53,0,0,0,0,0,0
5210,20,0,0,0,64,0,0
5210,31,20,0,0,64,0,0
5220,20,8,-10,0,64,0,0
5250,20,8,-15,0,64,0,0
5250,31,0,10,0,64,0,0
5280,20,0,0,0,64,0,0
5280,31,20,0,0,64,0,0
5290,20,-8,15,0,64,0,0
5320,20,10,10,0,64,0,0
5320,31,0,10,0,64,0,0
5350,20,0,0,0,64,0,0
5350,31,20,0,0,64,0,0
5360,20,-10,-10,0,64,0,0
5390,20,-10,-20,0,64,0,0
5390,31,0,10,0,64,0,0
5420,20,0,0,0,64,0,0
5420,31,20,0,0,64,0,0
5430,20,10,20,0,64,0,0
5460,20,-20,-20,0,64,0,0
5460,31,0,10,0,64,0,0
5490,20,20,20,0,64,0,0
5490,31,20,0,0,64,0,0
5520,20,15,8,0,64,0,0
5520,31,0,10,0,64,0,0
5550,20,-15,-8,0,64,0,0
5550,31,20,0,0,64,0,0
5580,20,10,-10,0,64,0,0
5580,31,0,10,0,64,0,0
5610,20,-10,10,0,64,0,0
5610,31,20,0,0,64,0,0
5640,20,-8,10,0,64,0,0
5640,31,0,10,0,64,0,0
5670,20,8,-10,0,64,0,0
5670,31,20,0,0,64,0,0
5700,20,-20,-12,0,64,0,0
5700,31,0,10,0,64,0,0
5730,20,20,12,0,64,0,0
5730,31,20,0,0,64,0,0
5760,20,10,-12,0,64,0,0
5760,31,0,10,0,64,0,0
5790,20,-10,12,0,64,0,0
5790,31,20,0,0,64,0,0
5820,20,12,20,0,64,0,0
5820,31,0,10,0,64,0,0
5850,20,-12,-20,0,64,0,0
5850,31,20,0,0,64,0,0
5880,20,-10,20,0,64,0,0
5880,31,0,10,0,64,0,0
5910,20,10,-20,0,64,0,0
5910,31,20,0,0,64,0,0
5940,20,-10,-12,0,64,0,0
5940,31,0,10,0,64,0,0
5970,20,10,12,0,64,0,0
5970,31,20,0,0,64,0,0
6000,20,-12,12,0,64,0,0
6000,31,0,10,0,64,0,0
6030,20,12,-12,0,64,0,0
6030,31,20,0,0,64,0,0
6060,20,10,-12,0,64,0,0
6060,31,0,10,0,64,0,0
6090,20,-10,12,0,64,0,0
6090,31,20,0,0,64,0,0
6120,20,10,12,0,64,0,0
6120,31,0,10,0,64,0,0
6150,20,-10,-12,0,64,0,0
6150,31,20,0,0,64,0,0
6180,20,-10,-12,0,64,0,0
6180,31,0,10,0,64,0,0
6210,20,10,12,0,64,0,0
6210,31,20,0,0,64,0,0
6240,20,-10,18,0,64,0,0
6240,31,0,10,0,64,0,0
6270,20,10,-18,0,64,0,0
6270,31,20,0,0,64,0,0
6300,20,7,16,0,64,0,0
6300,31,0,10,0,64,0,0
6330,20,-7,-16,0,64,0,0
6330,31,20,0,0,64,0,0
6360,20,-7,16,0,64,0,0
6360,31,0,10,0,64,0,0
6390,20,7,-16,0,64,0,0
6390,31,20,0,0,64,0,0
6420,20,7,18,0,64,0,0
6420,31,0,10,0,64,0,0
6450,20,-7,-18,0,64,0,0
6450,31,20,0,0,64,0,0
6480,20,-7,-18,0,64,0,0
6480,31,0,10,0,64,0,0
6510,20,7,18,0,64,0,0
6510,31,20,0,0,64,0,0
6540,20,6,-18,0,64,0,0
6540,31,0,10,0,64,0,0
6570,20,-6,18,0,64,0,0
6570,31,20,0,0,64,0,0
6600,20,-6,-18,0,64,0,0
6600,31,0,10,0,64,0,0
6630,20,6,18,0,64,0,0
6630,31,20,0,0,64,0,0
6660,20,6,-18,0,64,0,0
6660,31,0,10,0,64,0,0
6690,20,-6,18,0,64,0,0
6690,31,20,0,0,64,0,0
6720,20,-6,18,0,64,0,0
6720,31,0,10,0,64,0,0
6750,20,6,18,0,64,0,0
6750,31,20,0,0,64,0,0
8800,11,0,0,0,0,0,0
