time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,3,6,15,8,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
50,15,595,240,0,10,0,0
50,20,0,10,0,10,13,14
60,15,595,240,0,11,0,0
60,20,0,10,0,11,13,14
70,15,595,240,0,12,0,0
70,20,0,10,0,12,13,14
80,15,595,240,0,13,0,0
80,20,-10,-10,0,10,1,2
80,20,0,10,0,13,13,14
90,15,595,240,0,14,0,0
90,20,-10,-10,0,11,1,2
90,20,0,10,0,14,13,14
90,45,603,0,0,14,0,0
100,20,-10,-10,0,12,1,2
100,20,0,-10,0,10,3,4
110,20,-10,-10,0,13,1,2
110,20,0,-10,0,11,3,4
120,20,-10,0,0,10,7,8
120,20,0,-10,0,12,3,4
120,20,-10,-10,0,14,1,2
130,20,-10,0,0,11,7,8
130,20,0,-10,0,13,3,4
140,20,10,10,0,10,15,16
140,20,-10,0,0,12,7,8
140,20,0,-10,0,14,3,4
150,20,-10,0,0,13,7,8
150,20,10,10,0,11,15,16
160,20,10,10,0,12,15,16
160,20,-10,0,0,14,7,8
170,20,10,10,0,13,15,16
180,20,10,10,0,14,15,16
210,15,133,10,0,41,0,0
210,15,133,240,0,61,0,0
216,6,84,162,0,0,0,0
220,15,133,40,0,42,0,0
220,15,133,210,0,62,0,0
230,20,0,3,0,41,0,0
230,20,0,3,0,61,0,0
240,20,0,3,0,42,0,0
240,20,0,3,0,62,0,0
350,15,133,100,0,81,0,0
350,15,133,170,0,143,0,0
360,15,133,120,0,82,0,0
360,15,133,150,0,144,0,0
370,20,0,3,0,81,0,0
370,20,0,3,0,143,0,0
380,20,0,3,0,82,0,0
380,20,0,3,0,144,0,0
384,6,86,18,0,1,0,0
412,6,85,18,0,1,0,0
440,15,594,70,2,0,0,0
440,15,594,190,2,0,0,0
450,15,594,135,2,0,0,0
468,6,84,186,0,0,0,0
550,15,131,150,1,0,0,0
555,15,132,100,1,0,0,0
555,15,132,200,1,0,0,0
565,15,132,70,1,0,0,0
565,15,132,230,1,0,0,0
575,15,132,30,1,0,0,0
575,15,132,270,1,0,0,0
600,20,0,3,0,41,0,0
600,20,0,3,0,61,0,0
600,27,99,99,0,41,0,0
600,27,99,99,0,61,0,0
610,20,0,3,0,42,0,0
610,20,0,3,0,62,0,0
610,27,99,99,0,42,0,0
610,27,99,99,0,62,0,0
692,6,86,42,0,2,0,0
700,20,0,3,0,81,0,0
700,20,0,3,0,143,0,0
700,27,99,99,0,81,0,0
700,27,99,99,0,143,0,0
710,20,0,3,0,82,0,0
710,20,0,3,0,144,0,0
710,27,99,99,0,82,0,0
710,27,99,99,0,144,0,0
720,6,85,42,0,2,0,0
720,6,86,138,0,3,0,0
748,6,85,138,0,3,0,0
750,15,132,100,0,18,0,0
750,15,132,90,0,9,0,0
750,15,132,170,0,10,0,0
750,15,132,180,0,11,0,0
750,15,132,190,0,12,0,0
750,15,132,200,0,13,0,0
750,15,132,210,0,14,0,0
750,15,131,150,0,1,0,0
750,15,132,130,0,15,0,0
750,15,132,120,0,16,0,0
750,15,132,110,0,17,0,0
750,33,534,0,0,1,0,0
760,19,1,1,0,15,0,0
760,19,-1,1,0,10,0,0
765,19,1,1,0,16,0,0
765,19,-1,1,0,11,0,0
770,19,1,1,0,17,0,0
770,19,-1,1,0,12,0,0
770,20,-10,8,0,15,0,0
770,20,10,8,0,10,0,0
775,19,1,1,0,18,0,0
775,19,-1,1,0,13,0,0
775,20,-10,8,0,16,0,0
775,20,10,8,0,11,0,0
780,19,1,1,0,9,0,0
780,19,-1,1,0,14,0,0
780,20,-10,8,0,17,0,0
780,20,10,8,0,12,0,0
785,20,10,8,0,13,0,0
785,20,-10,8,0,18,0,0
790,20,-10,8,0,9,0,0
790,20,10,8,0,14,0,0
800,20,0,8,0,1,0,0
850,15,595,50,0,11,0,0
850,20,0,10,0,11,13,14
860,15,595,50,0,12,0,0
860,20,0,10,0,12,13,14
870,15,595,50,0,13,0,0
870,20,0,10,0,13,13,14
880,15,595,50,0,14,0,0
880,20,10,-10,0,11,5,6
880,20,0,10,0,14,13,14
888,6,86,18,0,4,0,0
890,15,595,50,0,15,0,0
890,20,0,10,0,15,13,14
890,20,10,-10,0,12,5,6
890,45,611,0,0,15,0,0
900,20,10,10,0,11,15,16
900,20,10,-10,0,13,5,6
910,20,-10,0,0,11,7,8
910,20,10,-10,0,14,5,6
910,20,10,10,0,12,15,16
916,6,85,18,0,4,0,0
916,6,86,138,0,5,0,0
920,20,-10,0,0,12,7,8
920,20,10,10,0,13,15,16
920,20,10,-10,0,15,5,6
930,20,10,10,0,14,15,16
930,20,-10,0,0,13,7,8
940,20,10,10,0,15,15,16
940,20,-10,0,0,14,7,8
944,6,85,138,0,5,0,0
950,20,-10,0,0,15,7,8
960,15,129,50,1,0,0,0
1028,6,86,306,0,6,0,0
1030,15,129,125,1,0,0,0
1050,15,595,220,0,16,0,0
1050,20,0,10,0,16,13,14
1056,6,85,306,0,6,0,0
1056,6,86,234,0,7,0,0
1060,15,595,220,0,17,0,0
1060,20,0,10,0,17,13,14
1070,15,595,220,0,18,0,0
1070,15,129,210,1,0,0,0
1070,20,0,10,0,18,13,14
1080,15,595,220,0,19,0,0
1080,20,0,10,0,19,13,14
1084,6,85,234,0,7,0,0
1090,15,595,220,0,10,0,0
1090,20,0,10,0,10,13,14
1090,20,-10,-10,0,16,1,2
1090,45,607,0,0,10,0,0
1100,20,-10,-10,0,17,1,2
1110,20,-10,-10,0,18,1,2
1120,20,-10,-10,0,19,1,2
1130,20,-10,-10,0,10,1,2
1150,15,595,70,0,11,0,0
1150,20,0,10,0,11,13,14
1160,15,595,70,0,12,0,0
1160,20,0,10,0,12,13,14
1170,15,595,70,0,13,0,0
1170,20,0,10,0,13,13,14
1180,15,595,70,0,14,0,0
1180,20,0,10,0,14,13,14
1190,15,595,70,0,15,0,0
1190,20,0,10,0,15,13,14
1190,20,10,-10,0,11,5,6
1190,45,625,0,0,15,0,0
1200,20,10,-10,0,12,5,6
1210,20,10,-10,0,13,5,6
1220,20,10,-10,0,14,5,6
1230,20,10,-10,0,15,5,6
1240,16,1,128,0,0,0,0
1280,18,595,20,0,16,0,0
1280,20,0,-10,0,16,3,4
1290,18,595,20,0,17,0,0
1290,20,0,-10,0,17,3,4
1300,18,595,20,0,18,0,0
1300,20,0,-10,0,18,3,4
1300,20,10,0,0,16,9,10
1308,6,84,42,0,0,0,0
1308,6,84,66,0,0,0,0
1310,18,595,20,0,19,0,0
1310,20,0,-10,0,19,3,4
1310,20,10,0,0,17,9,10
1320,18,595,20,0,9,0,0
1320,20,0,-10,0,9,3,4
1320,20,10,0,0,18,9,10
1320,45,608,0,0,9,0,0
1330,20,0,-10,0,16,3,4
1330,20,10,0,0,19,9,10
1340,20,10,0,0,9,9,10
1340,20,0,-10,0,17,3,4
1350,20,0,-10,0,18,3,4
1360,20,0,-10,0,19,3,4
1370,20,0,-10,0,9,3,4
1392,6,84,66,0,0,0,0
1392,6,84,42,0,0,0,0
1400,15,220,140,2,19,0,0
1400,15,221,164,2,19,0,0
1400,15,222,188,2,19,0,0
1400,15,223,212,2,19,0,0
1414,15,215,128,2,19,0,0
1414,15,216,152,2,19,0,0
