time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,8,23,20,17,0,0
0,14,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,46,-1,0,0,0,0,0
328,6,276,114,0,0,0,0
328,6,276,138,0,0,0,0
328,6,276,162,0,0,0,0
356,6,271,114,0,0,0,0
356,6,271,162,0,0,0,0
384,6,338,162,0,20,-56,0
384,12,339,162,0,20,0,0
400,15,689,100,0,1,0,0
400,45,606,0,0,1,0,0
412,6,338,42,0,21,-56,0
412,10,550,102,0,99,-24,0
412,12,546,90,0,10,0,1
412,12,339,42,0,21,0,0
412,20,0,0,0,10,0,0
412,20,0,0,0,99,0,0
412,24,1,0,0,10,0,0
412,31,0,0,0,10,0,0
412,33,474,0,0,99,0,0
412,39,99,10,0,0,0,0
412,45,628,0,0,10,0,0
496,12,313,90,0,22,0,0
524,12,313,162,0,23,0,0
608,12,313,162,0,24,0,0
800,15,689,180,0,1,0,0
800,45,627,0,0,1,0,0
1028,6,272,42,0,0,0,0
1056,6,272,42,0,0,0,0
1084,6,272,42,0,0,0,0
1112,6,325,162,0,0,0,0
1200,15,689,80,0,1,0,0
1200,45,622,0,0,1,0,0
1252,6,272,258,0,0,0,0
1280,6,269,138,0,0,0,0
1280,6,269,186,0,0,0,0
1280,6,272,258,0,0,0,0
1308,6,271,186,0,0,0,0
1308,6,272,258,0,0,0,0
1308,6,271,138,0,0,0,0
1308,6,276,162,0,0,0,0
1308,10,568,30,0,99,-24,0
1308,12,546,18,0,10,0,1
1308,20,0,0,0,10,0,0
1308,20,0,0,0,99,0,0
1308,24,1,0,0,10,0,0
1308,31,0,0,0,10,0,0
1308,33,474,0,0,99,0,0
1308,39,99,10,0,0,0,0
1308,45,628,0,0,10,0,0
1336,6,536,138,0,5,-28,0
1336,6,537,162,0,95,-28,0
1336,6,538,186,0,5,-28,0
1336,6,539,138,0,5,0,0
1336,6,540,162,0,5,0,0
1336,6,541,186,0,5,0,0
1336,33,476,0,0,95,0,0
1336,39,95,5,0,0,0,0
1476,6,273,162,0,0,0,0
1600,15,689,140,0,1,0,0
1600,45,629,0,0,1,0,0
1616,6,271,162,0,0,0,0
1644,6,269,66,0,0,0,0
1672,6,272,42,0,0,0,0
1672,6,272,66,0,0,0,0
1784,6,288,42,0,25,0,0
1784,6,287,42,0,25,-28,0
1784,6,325,66,0,0,0,0
1784,6,271,162,0,0,0,0
