time,type,data,data2,data3,data4,data5,data6
0,2,1,2,3,0,0,0
0,5,27,4,22,0,0,0
0,8,0,0,0,0,0,0
0,14,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,28,0,0,0,0,0,0
34,10,426,162,1,13,-28,0
34,10,427,186,1,13,-28,0
34,10,428,162,1,13,0,0
34,10,429,186,1,13,0,0
34,45,628,0,0,13,0,0
40,10,430,90,0,10,-28,0
40,10,431,114,0,10,-28,0
40,10,432,90,0,10,0,0
40,10,433,114,0,10,0,0
40,45,628,0,0,11,0,0
62,19,0,-1,0,13,0,0
62,24,10,1,1,13,0,0
70,20,0,-1,0,10,0,0
70,24,5,1,1,10,0,0
71,24,20,17,0,13,0,0
75,20,0,5,0,10,0,0
75,24,7,6,0,10,0,0
76,20,2,4,0,13,0,0
76,27,6,0,0,13,0,0
80,51,129,220,4,201,0,10
81,60,1,1,0,201,0,0
104,6,290,90,0,20,0,0
104,6,291,66,0,20,-28,0
104,6,292,90,0,20,-28,0
104,6,289,114,0,21,0,0
104,6,290,138,0,21,0,0
104,6,291,114,0,21,-28,0
104,6,292,138,0,21,-28,0
104,6,289,66,0,20,0,0
122,10,429,174,0,11,0,0
122,10,428,150,0,11,0,0
150,10,427,174,0,11,0,0
150,10,426,150,0,11,0,0
150,45,628,0,0,11,0,0
180,19,0,-2,0,11,0,0
180,24,10,1,1,11,0,0
188,6,292,186,0,22,-28,0
188,6,289,210,0,23,0,0
188,6,290,234,0,23,0,0
188,6,291,210,0,23,-28,0
188,6,292,234,0,23,-28,0
188,6,289,162,0,22,0,0
188,6,290,186,0,22,0,0
188,6,291,162,0,22,-28,0
189,24,20,17,0,11,0,0
194,20,0,4,0,11,0,0
200,10,91,0,0,5,0,0
200,10,92,24,0,5,0,0
200,10,91,-24,0,6,28,0
200,10,92,0,0,6,28,0
272,6,289,114,0,25,0,0
272,6,290,138,0,25,0,0
272,6,291,114,0,25,-28,0
272,6,292,138,0,25,-28,0
272,6,289,66,0,24,0,0
272,6,290,90,0,24,0,0
272,6,291,66,0,24,-28,0
272,6,292,90,0,24,-28,0
350,10,91,0,0,5,0,0
350,10,92,24,0,5,0,0
350,10,91,-24,0,6,28,0
350,10,92,0,0,6,28,0
356,6,289,162,0,26,0,0
356,6,290,186,0,26,0,0
356,6,291,162,0,26,-28,0
356,6,292,186,0,26,-28,0
356,6,289,210,0,27,0,0
356,6,290,234,0,27,0,0
356,6,291,210,0,27,-28,0
356,6,292,234,0,27,-28,0
390,15,105,180,0,10,0,0
400,15,105,180,0,0,0,0
410,15,105,180,0,9,0,0
410,45,827,0,0,10,0,0
410,45,828,0,0,9,0,0
420,15,105,180,0,0,0,0
420,15,93,100,0,0,0,0
420,45,533,0,0,7,0,0
430,15,93,100,0,0,0,0
430,15,105,180,0,11,0,0
430,45,627,0,0,11,0,0
440,15,93,100,0,7,0,0
450,15,93,100,0,0,0,0
460,15,93,100,0,0,0,0
470,15,99,130,0,0,0,0
474,10,433,180,0,11,0,0
474,10,430,156,0,11,-28,0
474,10,431,180,0,11,-28,0
474,10,432,156,0,11,0,0
474,45,628,0,0,11,0,0
480,15,99,130,0,0,0,0
490,15,99,130,0,8,0,0
490,45,534,0,0,8,0,0
500,15,99,130,0,0,0,0
504,20,0,-1,0,11,0,0
504,24,5,1,1,11,0,0
509,20,0,5,0,11,0,0
509,24,7,6,0,11,0,0
510,15,99,130,0,0,0,0
567,10,430,168,0,12,-28,0
567,10,431,192,0,12,-28,0
567,10,432,168,0,12,0,0
567,10,433,192,0,12,0,0
567,45,628,0,0,12,0,0
579,61,1,0,1,0,0,0
580,51,129,160,4,201,0,10
581,60,2,1,0,201,0,0
597,20,0,-1,0,12,0,0
597,24,5,1,1,12,0,0
602,20,0,5,0,12,0,0
602,24,7,6,0,12,0,0
636,6,293,66,0,28,0,0
636,6,294,90,0,28,0,0
636,6,295,114,0,28,0,0
636,6,296,66,0,28,-28,0
636,6,297,90,0,28,-28,0
636,6,298,114,0,28,-28,0
636,6,299,66,0,28,-56,0
636,6,300,90,0,28,-56,0
636,6,301,114,0,28,-56,0
700,15,434,30,3,1,-28,0
700,15,435,54,3,1,-28,0
700,15,436,78,3,1,-28,0
700,15,437,30,3,1,0,0
700,15,438,54,3,1,0,0
700,15,439,78,3,1,0,0
700,15,434,200,3,2,-28,0
700,15,435,224,3,2,-28,0
700,15,436,248,3,2,-28,0
700,15,437,200,3,2,0,0
700,15,438,224,3,2,0,0
700,15,439,248,3,2,0,0
700,45,628,0,0,1,0,0
700,45,628,0,0,2,0,0
750,15,434,110,3,3,-28,0
750,15,435,134,3,3,-28,0
750,15,436,158,3,3,-28,0
750,15,437,110,3,3,0,0
750,15,438,134,3,3,0,0
750,15,439,158,3,3,0,0
750,15,434,180,3,4,-28,0
750,15,435,204,3,4,-28,0
750,15,436,228,3,4,-28,0
750,15,437,180,3,4,0,0
750,15,438,204,3,4,0,0
750,15,439,228,3,4,0,0
750,45,628,0,0,3,0,0
750,45,628,0,0,4,0,0
800,7,117,-10,-2,8,0,0
800,7,111,14,-2,8,0,0
800,7,114,38,-2,8,0,0
800,7,114,62,-2,8,0,0
800,7,114,86,-2,8,0,0
800,7,111,110,-2,8,0,0
800,7,120,134,-2,8,0,0
800,7,116,-10,-2,8,-28,0
800,7,110,14,-2,8,-28,0
800,7,113,38,-2,8,-28,0
800,7,113,62,-2,8,-28,0
800,7,113,86,-2,8,-28,0
800,7,110,110,-2,8,-28,0
800,7,119,134,-2,8,-28,0
800,7,115,-10,-2,8,-56,0
800,7,109,14,-2,8,-56,0
800,7,112,38,-2,8,-56,0
800,7,112,62,-2,8,-56,0
800,7,112,86,-2,8,-56,0
800,7,109,110,-2,8,-56,0
800,7,118,134,-2,8,-56,0
820,10,101,70,4,3,0,0
820,10,100,70,4,3,-28,0
840,20,3,0,0,8,0,0
840,27,8,0,0,8,0,0
850,10,101,230,4,4,0,0
850,10,100,230,4,4,-28,0
890,10,101,140,4,3,0,0
890,10,100,140,4,3,-28,0
940,10,101,190,4,4,0,0
940,10,100,190,4,4,-28,0
950,10,104,60,1,1,0,0
950,45,612,0,0,1,0,0
970,10,104,170,1,2,0,0
970,45,605,0,0,2,0,0
990,10,104,130,1,3,0,0
990,45,621,0,0,3,0,0
1010,7,192,100,0,5,0,0
1010,7,193,124,0,5,0,0
1010,45,398,0,0,5,0,0
1020,7,192,160,0,6,0,0
1020,7,193,184,0,6,0,0
1020,45,398,0,0,6,0,0
1028,6,291,210,0,30,-28,0
1028,6,292,234,0,30,-28,0
1028,6,289,162,0,29,0,0
1028,6,290,186,0,29,0,0
1028,6,291,162,0,29,-28,0
1028,6,292,186,0,29,-28,0
1028,6,289,210,0,30,0,0
1028,6,290,234,0,30,0,0
1074,10,430,156,0,11,-28,0
1074,10,431,180,0,11,-28,0
1074,10,432,156,0,11,0,0
1074,10,433,180,0,11,0,0
1074,45,628,0,0,11,0,0
1084,6,298,186,0,31,-28,0
1084,6,299,138,0,31,-56,0
1084,6,300,162,0,31,-56,0
1084,6,301,186,0,31,-56,0
1084,6,293,138,0,31,0,0
1084,6,294,162,0,31,0,0
1084,6,295,186,0,31,0,0
1084,6,296,138,0,31,-28,0
1084,6,297,162,0,31,-28,0
1104,20,0,-1,0,11,0,0
1104,24,5,1,1,11,0,0
1109,20,0,5,0,11,0,0
1109,24,7,6,0,11,0,0
1167,10,430,168,0,12,-28,0
1167,10,431,192,0,12,-28,0
1167,10,432,168,0,12,0,0
1167,10,433,192,0,12,0,0
1167,45,628,0,0,12,0,0
1179,61,2,0,1,0,0,0
1180,51,129,160,4,201,0,10
1181,60,3,1,0,201,0,0
1197,20,0,-1,0,12,0,0
1197,24,5,1,1,12,0,0
1202,20,0,5,0,12,0,0
1202,24,7,6,0,12,0,0
1224,10,430,56,0,13,-28,0
1224,10,431,80,0,13,-28,0
1224,10,432,56,0,13,0,0
1224,10,433,80,0,13,0,0
1224,45,628,0,0,13,0,0
1254,20,0,-1,0,13,0,0
1254,24,5,1,1,13,0,0
1259,20,0,5,0,13,0,0
1259,24,7,6,0,13,0,0
1267,10,430,188,0,14,-28,0
1267,10,431,212,0,14,-28,0
1267,10,432,188,0,14,0,0
1267,10,433,212,0,14,0,0
1267,45,628,0,0,14,0,0
1297,20,0,-1,0,14,0,0
1297,24,5,1,1,14,0,0
1302,20,0,5,0,14,0,0
1302,24,7,6,0,14,0,0
1317,10,430,108,0,15,-28,0
1317,10,431,132,0,15,-28,0
1317,10,432,108,0,15,0,0
1317,10,433,132,0,15,0,0
1317,45,628,0,0,15,0,0
1347,10,430,148,0,16,-28,0
1347,10,431,172,0,16,-28,0
1347,10,432,148,0,16,0,0
1347,10,433,172,0,16,0,0
1347,20,0,-1,0,15,0,0
1347,24,5,1,1,15,0,0
1347,45,628,0,0,16,0,0
1352,20,0,5,0,15,0,0
1352,24,7,6,0,15,0,0
1367,10,430,108,0,17,-28,0
1367,10,431,132,0,17,-28,0
1367,10,432,108,0,17,0,0
1367,10,433,132,0,17,0,0
1367,45,628,0,0,17,0,0
1377,20,0,-1,0,16,0,0
1377,24,5,1,1,16,0,0
1382,20,0,5,0,16,0,0
1382,24,7,6,0,16,0,0
1397,20,0,-1,0,17,0,0
1397,24,5,1,1,17,0,0
1400,7,117,-10,-2,8,0,0
1400,7,111,14,-2,8,0,0
1400,7,114,38,-2,8,0,0
1400,7,114,62,-2,8,0,0
1400,7,114,86,-2,8,0,0
1400,7,111,110,-2,8,0,0
1400,7,120,134,-2,8,0,0
1400,7,116,-10,-2,8,-28,0
1400,7,110,14,-2,8,-28,0
1400,7,113,38,-2,8,-28,0
1400,7,113,62,-2,8,-28,0
1400,7,113,86,-2,8,-28,0
1400,7,110,110,-2,8,-28,0
1400,7,119,134,-2,8,-28,0
1400,7,115,-10,-2,8,-56,0
1400,7,109,14,-2,8,-56,0
1400,7,112,38,-2,8,-56,0
1400,7,112,62,-2,8,-56,0
1400,7,112,86,-2,8,-56,0
1400,7,109,110,-2,8,-56,0
1400,7,118,134,-2,8,-56,0
1402,20,0,5,0,17,0,0
1402,24,7,6,0,17,0,0
1440,20,3,0,0,8,0,0
1440,27,8,0,0,8,0,0
1500,6,117,-10,0,7,0,0
1500,6,111,14,0,7,0,0
1500,6,114,38,0,7,0,0
1500,6,114,62,0,7,0,0
1500,6,114,86,0,7,0,0
1500,6,111,110,0,7,0,0
1500,6,120,134,0,7,0,0
1500,6,116,-10,0,7,-28,0
1500,6,110,14,0,7,-28,0
1500,6,113,38,0,7,-28,0
1500,6,113,62,0,7,-28,0
1500,6,113,86,0,7,-28,0
1500,6,110,110,0,7,-28,0
1500,6,119,134,0,7,-28,0
1500,6,115,-10,0,7,-56,0
