time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,5,8,17,23,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
0,46,-1,0,1,0,0,0
48,15,394,0,0,0,0,0
104,15,394,162,0,0,0,0
106,49,121,38,5,60,0,0
106,49,123,62,5,60,0,0
106,49,83,38,5,60,-28,0
106,49,85,62,5,60,-28,0
106,49,125,98,5,62,-28,0
106,49,127,122,5,63,-28,0
106,52,87,68,5,61,-28,0
106,52,77,132,5,64,-42,-1
106,52,79,156,5,64,-42,-1
106,52,81,180,5,64,-42,-1
106,52,115,132,5,64,-14,-1
106,52,117,156,5,64,-14,-1
106,52,119,180,5,64,-14,-1
107,19,0,4,0,62,0,0
107,19,0,2,0,61,0,0
107,19,0,6,0,63,0,0
107,19,0,8,0,64,0,0
107,20,-6,6,0,62,0,0
107,20,-4,4,0,63,0,0
107,20,-12,12,0,61,0,0
107,20,-3,3,0,64,0,0
107,27,-6,6,0,63,0,0
107,27,-4,4,0,62,0,0
107,27,-2,2,0,61,0,0
107,27,-8,8,0,64,0,0
160,15,394,0,0,0,0,0
160,15,394,114,0,0,0,0
160,49,121,198,5,80,0,0
160,49,123,222,5,80,0,0
160,49,83,198,5,80,-28,0
160,49,85,222,5,80,-28,0
160,49,125,258,5,82,-28,0
160,49,127,282,5,83,-28,0
160,52,87,228,5,81,-28,0
160,52,77,292,5,84,-42,-1
160,52,79,316,5,84,-42,-1
160,52,81,340,5,84,-42,-1
160,52,115,292,5,84,-14,-1
160,52,117,316,5,84,-14,-1
160,52,119,340,5,84,-14,-1
161,19,0,4,0,82,0,0
161,19,0,2,0,81,0,0
161,19,0,6,0,83,0,0
161,19,0,8,0,84,0,0
161,20,-6,6,0,82,0,0
161,20,-4,4,0,83,0,0
161,20,-12,12,0,81,0,0
161,20,-3,3,0,84,0,0
161,27,-6,6,0,83,0,0
161,27,-4,4,0,82,0,0
161,27,-2,2,0,81,0,0
161,27,-8,8,0,84,0,0
272,15,562,42,0,0,0,0
272,15,394,258,0,0,0,0
272,49,121,138,5,40,0,0
272,49,123,162,5,40,0,0
272,49,83,138,5,40,-28,0
272,49,85,162,5,40,-28,0
272,49,125,198,5,42,-28,0
272,49,127,222,5,43,-28,0
272,52,87,168,5,41,-28,0
272,52,77,232,5,44,-42,-1
272,52,79,256,5,44,-42,-1
272,52,81,280,5,44,-42,-1
272,52,115,232,5,44,-14,-1
272,52,117,256,5,44,-14,-1
272,52,119,280,5,44,-14,-1
273,19,0,4,0,42,0,0
273,19,0,2,0,41,0,0
273,19,0,6,0,43,0,0
273,19,0,8,0,44,0,0
273,20,-6,6,0,42,0,0
273,20,-4,4,0,43,0,0
273,20,-12,12,0,41,0,0
273,20,-3,3,0,44,0,0
273,27,-6,6,0,43,0,0
273,27,-4,4,0,42,0,0
273,27,-2,2,0,41,0,0
273,27,-8,8,0,44,0,0
412,15,394,138,0,0,0,0
466,52,153,126,5,74,-78,-1
466,52,155,150,5,74,-78,-1
466,52,157,174,5,74,-78,-1
466,52,159,198,5,74,-78,-1
466,52,191,126,5,74,-50,-1
466,52,193,150,5,74,-50,-1
466,52,195,174,5,74,-50,-1
466,52,197,198,5,74,-50,-1
468,49,83,198,5,80,-28,0
468,49,85,222,5,80,-28,0
468,49,125,258,5,82,-28,0
468,49,127,282,5,83,-28,0
468,49,121,198,5,80,0,0
468,49,123,222,5,80,0,0
468,52,77,292,5,84,-42,-1
468,52,79,316,5,84,-42,-1
468,52,81,340,5,84,-42,-1
468,52,115,292,5,84,-14,-1
468,52,117,316,5,84,-14,-1
468,52,119,340,5,84,-14,-1
468,52,87,228,5,81,-28,0
469,19,0,4,0,82,0,0
469,19,0,2,0,81,0,0
469,19,0,6,0,83,0,0
469,19,0,8,0,84,0,0
469,20,-6,6,0,82,0,0
469,20,-4,4,0,83,0,0
469,20,-12,12,0,81,0,0
469,20,-3,3,0,84,0,0
469,27,-6,6,0,83,0,0
469,27,-4,4,0,82,0,0
469,27,-2,2,0,81,0,0
469,27,-8,8,0,84,0,0
494,52,127,164,5,73,-64,0
508,52,125,164,5,72,-64,0
522,52,87,164,5,71,-64,0
523,19,1,0,0,71,0,0
523,19,2,0,0,72,0,0
523,19,3,0,0,73,0,0
523,19,4,0,0,74,0,0
523,20,24,0,0,71,0,0
523,20,8,0,0,73,0,0
523,20,12,0,0,72,0,0
523,20,6,0,0,74,0,0
523,27,3,0,0,73,0,0
523,27,1,0,0,71,0,0
523,27,2,0,0,72,0,0
523,27,4,0,0,74,0,0
524,15,394,186,0,0,0,0
526,49,127,182,5,63,-28,0
526,49,121,90,5,60,0,0
526,49,123,114,5,60,0,0
526,49,83,90,5,60,-28,0
526,49,85,114,5,60,-28,0
526,49,125,158,5,62,-28,0
526,52,79,216,5,64,-42,-1
