keys,hold,pressed
0,36,
8,15,right
0,6,
4,27,left
0,5,
16,9,fire
24,1,right|fire
16,23,fire
24,31,right|fire
16,5,fire
20,25,left|fire
16,5,fire
24,15,right|fire
16,1,fire
20,24,left|fire
16,4,fire
24,36,right|fire
16,1,fire
20,21,left|fire
16,16,fire
20,5,left|fire
16,2,fire
17,10,up|fire
25,1,up|right|fire
24,20,right|fire
18,6,down|fire
22,1,down|left|fire
20,19,left|fire
16,2,fire
0,23,
8,19,right
24,4,right|fire
16,3,fire
18,5,down|fire
16,1,fire
20,8,left|fire
16,19,fire
20,12,left|fire
16,3,fire
24,4,right|fire
16,18,fire
24,14,right|fire
16,12,fire
17,4,up|fire
25,4,up|right|fire
24,3,right|fire
16,4,fire
18,5,down|fire
22,2,down|left|fire
20,2,left|fire
16,3,fire
24,6,right|fire
16,3,fire
17,18,up|fire
16,4,fire
0,34,
2,17,down
0,8,
128,37,rightSidekick
129,9,up|rightSidekick
128,1,rightSidekick
132,6,left|rightSidekick
134,8,down|left|rightSidekick
132,1,left|rightSidekick
128,1,rightSidekick
136,6,right|rightSidekick
128,31,rightSidekick
192,14,leftSidekick|rightSidekick
200,8,right|leftSidekick|rightSidekick
192,2,leftSidekick|rightSidekick
196,4,left|leftSidekick|rightSidekick
192,15,leftSidekick|rightSidekick
128,20,rightSidekick
130,3,down|rightSidekick
134,4,down|left|rightSidekick
132,8,left|rightSidekick
128,16,rightSidekick
0,1,
64,20,leftSidekick
72,16,right|leftSidekick
64,7,leftSidekick
192,3,leftSidekick|rightSidekick
128,4,rightSidekick
136,3,right|rightSidekick
8,4,right
0,5,
8,5,right
0,7,
4,2,left
20,21,left|fire
16,2,fire
0,7,
64,5,leftSidekick
192,5,leftSidekick|rightSidekick
128,3,rightSidekick
8,2,right
72,4,right|leftSidekick
64,1,leftSidekick
192,1,leftSidekick|rightSidekick
128,2,rightSidekick
136,4,right|rightSidekick
8,1,right
0,1,
64,2,leftSidekick
68,3,left|leftSidekick
65,6,up|leftSidekick
81,5,up|fire|leftSidekick
80,1,fire|leftSidekick
84,3,left|fire|leftSidekick
86,13,down|left|fire|leftSidekick
84,1,left|fire|leftSidekick
80,2,fire|leftSidekick
88,7,right|fire|leftSidekick
80,10,fire|leftSidekick
84,5,left|fire|leftSidekick
80,2,fire|leftSidekick
88,5,right|fire|leftSidekick
80,6,fire|leftSidekick
84,9,left|fire|leftSidekick
80,2,fire|leftSidekick
88,10,right|fire|leftSidekick
16,6,fire
0,28,
1,7,up
0,1,
4,3,left
22,5,down|left|fire
18,2,down|fire
16,1,fire
24,6,right|fire
16,12,fire
17,3,up|fire
16,8,fire
18,6,down|fire
16,7,fire
24,2,right|fire
16,1,fire
17,7,up|fire
16,7,fire
18,2,down|fire
22,2,down|left|fire
20,4,left|fire
16,4,fire
24,14,right|fire
16,7,fire
18,9,down|fire
16,2,fire
24,13,right|fire
16,18,fire
20,3,left|fire
16,16,fire
20,2,left|fire
22,5,down|left|fire
18,1,down|fire
16,3,fire
24,23,right|fire
16,5,fire
20,6,left|fire
16,12,fire
17,6,up|fire
25,2,up|right|fire
24,7,right|fire
26,6,down|right|fire
24,2,right|fire
16,3,fire
17,3,up|fire
20,15,left|fire
16,2,fire
17,2,up|fire
1,2,up
0,3,
2,5,down
0,3,
4,4,left
1,5,up
0,3,
16,7,fire
20,1,left|fire
16,1,fire
18,9,down|fire
16,8,fire
17,8,up|fire
16,1,fire
20,3,left|fire
16,10,fire
18,6,down|fire
16,1,fire
24,4,right|fire
16,3,fire
20,4,left|fire
16,8,fire
24,8,right|fire
16,11,fire
20,5,left|fire
16,2,fire
17,6,up|fire
16,3,fire
20,2,left|fire
22,3,down|left|fire
18,3,down|fire
16,8,fire
20,6,left|fire
16,2,fire
18,3,down|fire
16,2,fire
24,8,right|fire
16,17,fire
17,7,up|fire
25,2,up|right|fire
24,3,right|fire
26,9,down|right|fire
16,3,fire
20,26,left|fire
24,8,right|fire
16,11,fire
24,4,right|fire
16,9,fire
20,15,left|fire
16,14,fire
24,8,right|fire
16,6,fire
24,7,right|fire
16,15,fire
