file,bytes,category,contents,readBy,sourceReferences,dumpedTo,dumped
cubetxt1.dat,35780,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
cubetxt2.dat,8109,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
cubetxt3.dat,12277,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
cubetxt4.dat,61763,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
cubetxt5.dat,7024,text,Datacube text for one episode,src/game_menu.c load_cube,episodes.c,text/datacubes,1
demo.1,2745,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_1.json,1
demo.2,2193,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_2.json,1
demo.3,1974,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_3.json,1
demo.4,699,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_4.json,1
demo.5,1122,demos,Recorded attract-mode input for one level,src/mainint.c load_next_demo and replay_demo_keys,mainint.c,demos/demo_5.json,1
dpmi16bi.ovl,50544,executable,DOS extender overlay,not read at runtime,,raw/executable/dpmi16bi.ovl|raw/executable/dpmi16bi.ovl.strings.txt,1
estpa.shp,119552,sprites,"Ending sprites in the same format, unused by the game",not read at runtime; browsable in the debug sprite viewer,mainint.c,sprites/standalone/estpa_shp,1
estsc.shp,115338,sprites,Ending and credits sprites,src/mainint.c JE_playCredits,mainint.c,sprites/standalone/estsc_shp,1
exitmsg.bin,4000,text,80x25 DOS text screen shown on exit,not read at runtime,,text/exitmsg.txt,1
file0001.exe,386313,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/file0001.exe|raw/executable/file0001.exe.strings.txt,1
gm.sf2,3208108,audio,General MIDI SoundFont for the FluidSynth music device,"src/fluid_music.c, through the soundfont path in opentyrian.cfg",,raw/audio/gm.sf2,1
gme.dll,368640,library,Runtime library for the shipped Tyrian 2000 build,not read at runtime by this port,,raw/library/gme.dll,1
levels1.dat,9600,levels,"Episode script: shop stock, planets, datacubes, text and level order",src/tyrian2.c JE_loadMap,episodes.c|game_menu.c,text/episode_scripts,1
levels2.dat,5534,levels,"Episode script: shop stock, planets, datacubes, text and level order",src/tyrian2.c JE_loadMap,episodes.c|game_menu.c,text/episode_scripts,1
levels3.dat,6052,levels,"Episode script: shop stock, planets, datacubes, text and level order",src/tyrian2.c JE_loadMap,episodes.c|game_menu.c,text/episode_scripts,1
levels4.dat,11116,levels,"Episode script: shop stock, planets, datacubes, text and level order",src/tyrian2.c JE_loadMap,episodes.c|game_menu.c,text/episode_scripts,1
levels5.dat,4257,levels,"Episode script: shop stock, planets, datacubes, text and level order",src/tyrian2.c JE_loadMap,episodes.c|game_menu.c,text/episode_scripts,1
libxmp.dll,550912,library,Runtime library for the shipped Tyrian 2000 build,not read at runtime by this port,,raw/library/libxmp.dll,1
loudness.awe,34382,audio,AWE32 instrument bank from the DOS build,not read at runtime,,raw/audio/loudness.awe,1
midiproc_shared.dll,508928,library,Runtime library for the shipped Tyrian 2000 build,not read at runtime by this port,,raw/library/midiproc_shared.dll,1
music.mus,153482,audio,LOUDNESS (LDS) AdLib songs,src/loudness.c load_music; src/lds_play.c lds_load,loudness.c,audio/music,1
newsh#.shp,17750,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh#,1
newsh$.shp,18016,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",editship.c|mainint.c|sprite.c,sprites/newsh/newsh$,1
newsh%.shp,40244,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh%,1
newsh'.shp,35108,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh',1
