time,type,data,data2,data3,data4,data5,data6
0,2,1,2,3,0,0,0
0,5,1,2,9,8,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,22,0,0,0,0,0,0
0,28,0,0,0,0,0,0
0,42,0,0,0,0,0,0
50,7,12,270,1,16,0,-3
50,45,612,0,0,16,0,0
60,7,12,270,1,17,0,-3
70,7,12,270,1,18,0,-3
80,7,12,270,1,19,0,-3
90,7,12,270,1,1,0,-3
100,7,10,40,1,1,0,-3
100,33,393,0,0,1,0,0
100,33,512,0,0,1,0,0
100,45,628,0,0,1,0,0
110,7,10,40,1,2,0,-3
110,20,-12,-6,0,16,0,0
120,7,10,40,1,3,0,-3
120,20,-12,-6,0,17,0,0
130,7,10,40,1,4,0,-3
130,20,-12,-6,0,18,0,0
140,7,10,40,1,5,0,-3
140,20,-12,-6,0,19,0,0
140,45,607,0,0,5,0,0
150,7,12,190,1,6,0,-3
150,20,-12,-6,0,1,0,0
150,45,608,0,0,6,0,0
160,7,12,190,1,7,0,-3
160,20,12,-6,0,1,0,0
170,7,12,190,1,8,0,-3
170,20,12,-6,0,2,0,0
180,7,12,190,1,9,0,-3
180,20,12,-6,0,3,0,0
190,7,12,190,1,10,0,-3
190,20,12,-6,0,4,0,0
190,33,393,0,0,10,0,0
190,45,628,0,0,10,0,0
200,7,10,130,1,11,0,-3
200,20,-12,-6,0,6,0,0
200,20,12,-6,0,5,0,0
200,45,625,0,0,11,-3,0
210,7,10,130,1,12,0,-3
210,20,-12,-6,0,7,0,0
220,7,10,130,1,13,0,-3
220,20,-12,-6,0,8,0,0
230,7,10,130,1,14,0,-3
230,20,-12,-6,0,9,0,0
240,7,10,130,1,15,0,-3
240,20,-12,-6,0,10,0,0
240,33,393,0,0,15,0,0
240,45,628,0,0,15,0,0
250,7,12,270,1,16,0,-3
250,33,512,0,0,16,0,0
250,45,612,0,0,16,0,0
260,7,12,270,1,17,0,-3
260,20,12,-6,0,11,0,0
270,7,12,270,1,18,0,-3
270,20,12,-6,0,12,0,0
280,7,12,270,1,19,0,-3
280,20,12,-6,0,13,0,0
290,7,12,270,1,1,0,-3
290,20,12,-6,0,14,0,0
300,20,12,-6,0,15,0,0
300,33,393,0,0,1,0,0
310,20,-12,-6,0,16,0,0
320,20,-12,-6,0,17,0,0
330,20,-12,-6,0,18,0,0
340,20,-12,-6,0,19,0,0
350,20,-12,-6,0,1,0,0
450,7,11,50,0,0,0,-3
450,7,11,260,0,0,0,-3
457,7,31,150,1,62,0,0
457,45,628,0,0,62,0,0
463,7,30,150,1,61,0,0
463,7,28,138,1,0,0,0
463,7,29,162,1,0,0,0
463,33,391,0,0,61,0,0
469,7,30,150,1,61,0,0
469,7,28,138,1,0,0,0
469,7,29,162,1,0,0,0
469,33,391,0,0,61,0,0
475,7,30,150,1,61,0,0
475,7,28,138,1,0,0,0
475,7,29,162,1,0,0,0
475,33,391,0,0,61,0,0
500,7,11,50,0,0,0,-3
500,7,11,260,0,0,0,-3
520,7,822,40,0,1,0,-3
520,20,6,0,0,1,0,0
520,27,6,0,0,1,0,0
525,7,822,40,0,2,0,-3
525,20,6,0,0,2,0,0
525,27,6,0,0,2,0,0
530,7,822,40,0,3,0,-3
530,20,6,0,0,3,0,0
530,27,6,0,0,3,0,0
535,7,822,40,0,4,0,-3
535,20,6,0,0,4,0,0
535,27,6,0,0,4,0,0
540,7,822,40,0,5,0,-3
540,20,6,0,0,5,0,0
540,27,6,0,0,5,0,0
545,7,822,40,0,6,0,-3
545,20,6,0,0,6,0,0
545,27,6,0,0,6,0,0
550,7,11,50,0,0,0,-3
550,7,11,260,0,0,0,-3
550,7,822,40,0,7,0,-3
550,20,6,0,0,7,0,0
550,27,6,0,0,7,0,0
555,7,822,40,0,8,0,-3
555,20,6,0,0,8,0,0
555,27,6,0,0,8,0,0
560,7,822,270,0,11,0,-3
560,20,-6,0,0,11,0,0
560,27,-6,0,0,11,0,0
565,7,822,270,0,12,0,-3
565,20,-6,0,0,12,0,0
565,27,-6,0,0,12,0,0
570,7,822,270,0,13,0,-3
570,7,13,40,1,9,0,-3
570,7,14,64,1,9,0,-3
570,20,-6,0,0,13,0,0
570,27,-6,0,0,13,0,0
570,33,392,0,0,9,0,0
575,7,822,270,0,14,0,-3
575,20,-6,0,0,14,0,0
575,27,-6,0,0,14,0,0
580,7,822,270,0,15,0,-3
580,20,-6,0,0,15,0,0
580,27,-6,0,0,15,0,0
585,7,822,270,0,16,0,-3
585,20,-6,0,0,16,0,0
585,27,-6,0,0,16,0,0
590,7,822,270,0,17,0,-3
590,20,-6,0,0,17,0,0
590,27,-6,0,0,17,0,0
595,7,822,270,0,18,0,-3
595,20,-6,0,0,18,0,0
595,27,-6,0,0,18,0,0
600,7,11,260,0,0,0,-3
600,7,11,50,0,0,0,-3
600,19,2,0,0,9,0,0
650,7,11,50,0,0,0,-3
650,7,11,260,0,0,0,-3
680,7,24,-10,0,10,0,-2
680,20,0,0,0,10,0,0
700,20,10,0,0,10,0,0
710,7,25,300,0,19,0,-2
710,20,0,0,0,19,0,0
725,7,121,120,0,20,-1,0
725,7,122,144,0,20,-1,0
725,7,123,120,0,20,-29,0
725,7,124,144,0,20,-29,0
725,7,125,168,0,21,-1,0
725,7,126,192,0,21,-1,0
725,7,127,168,0,21,-29,0
725,7,128,192,0,21,-29,0
730,20,-10,0,0,19,0,0
740,7,24,-10,0,1,0,-2
740,20,0,0,0,1,0,0
740,20,10,0,0,1,0,0
760,7,24,-10,0,2,0,-2
760,20,0,0,0,2,0,0
760,20,10,0,0,2,0,0
780,7,25,300,0,3,0,-2
780,20,0,0,0,3,0,0
780,20,-10,0,0,3,0,0
