time,type,data,data2,data3,data4,data5,data6
0,2,3,6,9,0,0,0
0,5,10,13,0,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,42,0,0,0,0,0,0
0,46,-1,0,0,0,0,0
50,6,500,180,3,0,0,0
50,62,7,0,0,0,0,0
60,6,500,80,3,0,0,0
60,62,7,0,0,0,0,0
70,2,2,4,6,0,0,0
70,6,500,110,3,0,0,0
70,62,7,0,0,0,0,0
80,6,500,220,3,0,0,0
80,62,7,0,0,0,0,0
90,6,500,20,3,0,0,0
90,62,7,0,0,0,0,0
100,2,1,2,3,0,0,0
100,6,500,160,3,0,0,0
100,62,7,0,0,0,0,0
104,6,173,210,0,21,0,0
104,6,171,186,0,20,-56,0
104,6,172,186,0,20,-28,0
104,6,173,186,0,20,0,0
104,6,171,210,0,21,-56,0
104,6,172,210,0,21,-28,0
150,6,500,60,3,0,0,0
150,62,7,0,0,0,0,0
160,6,500,20,3,0,0,0
160,62,7,0,0,0,0,0
170,6,500,120,3,0,0,0
170,62,7,0,0,0,0,0
180,6,500,50,3,0,0,0
180,62,7,0,0,0,0,0
190,6,500,90,3,0,0,0
190,62,7,0,0,0,0,0
216,6,171,18,0,22,-56,0
216,6,172,18,0,22,-28,0
216,6,173,18,0,22,0,0
216,6,171,42,0,23,-56,0
216,6,172,42,0,23,-28,0
216,6,173,42,0,23,0,0
216,6,171,66,0,24,-56,0
216,6,172,66,0,24,-28,0
216,6,173,66,0,24,0,0
300,6,500,260,3,0,0,0
300,62,7,0,0,0,0,0
310,6,500,220,3,0,0,0
310,62,7,0,0,0,0,0
320,6,500,140,3,0,0,0
320,62,7,0,0,0,0,0
330,6,500,100,3,0,0,0
330,62,7,0,0,0,0,0
340,6,500,160,3,0,0,0
340,62,7,0,0,0,0,0
350,6,500,190,3,0,0,0
350,62,7,0,0,0,0,0
360,6,500,120,3,0,0,0
360,62,7,0,0,0,0,0
370,6,500,250,3,0,0,0
370,62,7,0,0,0,0,0
380,6,500,200,3,0,0,0
380,62,7,0,0,0,0,0
390,6,500,110,3,0,0,0
390,62,7,0,0,0,0,0
400,7,302,144,3,8,-56,-2
400,7,303,168,3,8,-56,-2
400,7,304,120,3,8,-28,-2
400,7,305,144,3,8,-28,-2
400,7,306,168,3,8,-28,-2
400,7,307,192,3,8,-28,-2
400,7,308,156,3,8,0,-2
400,45,628,0,0,8,0,0
412,6,162,18,0,0,0,0
412,6,162,258,0,0,0,0
420,19,0,2,0,8,0,0
430,19,0,1,0,8,0,0
440,6,162,90,0,0,0,0
440,19,0,0,0,8,0,0
468,6,162,210,0,0,0,0
480,20,-6,10,0,8,0,0
500,7,302,244,3,9,-56,-2
500,7,303,268,3,9,-56,-2
500,7,304,220,3,9,-28,-2
500,7,305,244,3,9,-28,-2
500,7,306,268,3,9,-28,-2
500,7,307,292,3,9,-28,-2
500,7,308,256,3,9,0,-2
500,45,628,0,0,9,0,0
520,19,0,2,0,9,0,0
524,6,162,18,0,0,0,0
530,19,0,1,0,9,0,0
540,19,0,0,0,9,0,0
580,6,162,66,0,0,0,0
580,6,162,162,0,0,0,0
580,20,6,10,0,9,0,0
600,7,302,184,3,8,-56,-2
600,7,303,208,3,8,-56,-2
600,7,304,160,3,8,-28,-2
600,7,305,184,3,8,-28,-2
600,7,306,208,3,8,-28,-2
600,7,307,232,3,8,-28,-2
600,7,308,196,3,8,0,-2
600,45,628,0,0,8,0,0
610,19,0,2,0,8,0,0
620,19,0,1,0,8,0,0
630,19,0,0,0,8,0,0
640,19,0,-1,0,8,0,0
680,20,-6,10,0,8,0,0
692,6,162,138,0,0,0,0
692,6,162,42,0,0,0,0
700,20,6,10,0,8,0,0
748,6,162,186,0,0,0,0
760,10,164,175,0,12,0,5
760,10,164,205,0,13,0,5
760,10,164,125,0,14,-20,5
760,10,164,255,0,15,-20,5
760,33,533,0,0,13,0,0
760,62,7,0,0,0,0,0
761,20,0,7,0,12,0,0
761,20,8,7,0,14,0,0
761,20,0,7,0,13,0,0
761,20,-8,7,0,15,0,0
776,6,162,18,0,0,0,0
781,20,-8,-7,0,14,0,0
781,20,0,-7,0,12,0,0
781,20,0,-7,0,13,0,0
781,20,8,-7,0,15,0,0
801,20,0,0,0,13,0,0
801,20,0,0,0,12,0,0
801,20,0,0,0,14,0,0
801,20,0,0,0,15,0,0
804,6,162,66,0,0,0,0
860,10,164,75,0,16,0,5
860,10,164,105,0,17,0,5
860,10,164,25,0,18,-20,5
860,10,164,155,0,19,-20,5
860,62,7,0,0,0,0,0
861,20,0,7,0,16,0,0
861,20,8,7,0,18,0,0
861,20,0,7,0,17,0,0
861,20,-8,7,0,19,0,0
881,20,-8,-7,0,18,0,0
881,20,0,-7,0,16,0,0
881,20,0,-7,0,17,0,0
881,20,8,-7,0,19,0,0
888,6,172,186,0,25,-28,0
888,6,173,186,0,25,0,0
888,6,171,186,0,25,-56,0
901,20,0,0,0,17,0,0
901,20,0,0,0,16,0,0
901,20,0,0,0,18,0,0
901,20,0,0,0,19,0,0
940,15,167,20,3,5,0,0
940,33,390,0,0,5,0,0
950,15,167,20,3,6,0,0
950,33,390,0,0,6,0,0
955,20,4,-8,0,5,3,0
955,31,10,0,0,5,0,0
965,20,4,-8,0,6,3,0
965,31,10,0,0,6,0,0
980,15,167,220,3,7,0,0
980,33,390,0,0,7,0,0
990,15,167,220,3,8,0,0
990,33,391,0,0,8,0,0
995,20,-4,-8,0,7,2,0
995,31,10,0,0,7,0,0
1005,20,-4,-8,0,8,2,0
1005,31,10,0,0,8,0,0
1020,15,167,20,3,9,0,0
1020,33,391,0,0,9,0,0
1028,6,173,90,0,26,0,0
1028,6,171,90,0,26,-56,0
1028,6,172,90,0,26,-28,0
1030,15,167,20,3,1,0,0
1030,33,391,0,0,1,0,0
1035,20,4,-8,0,9,3,0
1035,31,10,0,0,9,0,0
1045,20,4,-8,0,1,3,0
1045,31,10,0,0,1,0,0
1060,15,167,220,3,2,0,0
1060,33,391,0,0,2,0,0
1070,15,167,220,3,3,0,0
1070,33,392,0,0,3,0,0
1075,20,-4,-8,0,2,2,0
1075,31,10,0,0,2,0,0
1085,20,-4,-8,0,3,2,0
1085,31,10,0,0,3,0,0
1100,15,167,20,3,4,0,0
1100,33,392,0,0,4,0,0
1110,15,167,20,3,5,0,0
1110,33,392,0,0,5,0,0
1115,20,4,-8,0,4,3,0
1115,31,10,0,0,4,0,0
1125,20,4,-8,0,5,3,0
1125,31,10,0,0,5,0,0
1140,15,167,220,3,6,0,0
1140,33,393,0,0,6,0,0
1150,15,167,220,3,7,0,0
1150,33,513,0,0,7,0,0
1155,20,-4,-8,0,6,2,0
1155,31,10,0,0,6,0,0
1165,20,-4,-8,0,7,2,0
1165,31,10,0,0,7,0,0
1168,6,171,138,0,27,-56,0
1168,6,172,138,0,27,-28,0
1168,6,173,138,0,27,0,0
1168,6,171,162,0,28,-56,0
1168,6,172,162,0,28,-28,0
1168,6,173,162,0,28,0,0
1196,6,171,18,0,29,-56,0
1196,6,172,18,0,29,-28,0
1196,6,173,18,0,29,0,0
1196,6,171,42,0,30,-56,0
1196,6,172,42,0,30,-28,0
1196,6,173,42,0,30,0,0
1280,6,171,210,0,31,-56,0
1280,6,172,210,0,31,-28,0
1280,6,173,210,0,31,0,0
1364,6,171,66,0,32,-56,0
1364,6,172,66,0,32,-28,0
1364,6,173,66,0,32,0,0
1364,6,171,90,0,33,-56,0
1364,6,172,90,0,33,-28,0
1364,6,173,90,0,33,0,0
1400,7,302,84,3,8,-56,-2
1400,7,303,108,3,8,-56,-2
1400,7,304,60,3,8,-28,-2
1400,7,305,84,3,8,-28,-2
1400,7,306,108,3,8,-28,-2
1400,7,307,132,3,8,-28,-2
1400,7,308,96,3,8,0,-2
1400,45,628,0,0,8,0,0
1410,19,0,2,0,8,0,0
1420,19,0,1,0,8,0,0
1430,19,0,0,0,8,0,0
1440,19,0,-1,0,8,0,0
1460,10,164,75,0,16,0,5
1460,10,164,105,0,17,0,5
1460,10,164,25,0,18,-20,5
1460,10,164,155,0,19,-20,5
1460,20,-6,10,0,8,0,0
1460,62,7,0,0,0,0,0
1461,20,0,7,0,16,0,0
1461,20,8,7,0,18,0,0
1461,20,0,7,0,17,0,0
1461,20,-8,7,0,19,0,0
1475,20,6,10,0,8,0,0
