time,type,data,data2,data3,data4,data5,data6
0,0,0,0,0,0,0,0
0,2,1,1,2,0,0,0
0,5,1,2,10,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
0,42,0,0,0,0,0,0
0,64,6,1,1,0,0,0
0,64,1,1,3,0,0,0
10,15,5,0,0,1,28,0
10,19,4,0,0,1,0,0
10,62,26,0,0,0,0,0
20,15,5,0,0,2,28,0
20,19,4,0,0,2,0,0
20,62,26,0,0,0,0,0
30,15,5,0,0,3,28,0
30,19,4,0,0,3,0,0
30,45,602,0,0,3,0,0
30,62,26,0,0,0,0,0
40,15,5,0,0,4,28,0
40,19,4,0,0,4,0,0
40,62,26,0,0,0,0,0
50,15,5,0,0,5,28,0
50,19,4,0,0,5,0,0
50,62,26,0,0,0,0,0
70,19,0,0,0,1,0,0
75,19,0,0,0,2,0,0
80,19,0,0,0,3,0,0
85,19,0,0,0,4,0,0
90,19,0,6,0,1,0,0
90,19,0,0,0,5,0,0
95,19,0,6,0,2,0,0
100,19,0,6,0,3,0,0
105,19,0,6,0,4,0,0
110,15,5,260,0,11,28,0
110,19,-4,0,0,11,0,0
110,19,0,6,0,5,0,0
110,62,26,0,0,0,0,0
120,15,5,260,0,12,28,0
120,19,-4,0,0,12,0,0
120,62,26,0,0,0,0,0
130,15,5,260,0,13,28,0
130,19,-4,0,0,13,0,0
130,45,614,0,0,13,0,0
130,62,26,0,0,0,0,0
140,15,5,260,0,14,28,0
140,19,-4,0,0,14,0,0
140,62,26,0,0,0,0,0
150,15,5,260,0,15,28,0
150,19,-4,0,0,15,0,0
150,62,26,0,0,0,0,0
170,19,0,0,0,11,0,0
175,19,0,0,0,12,0,0
180,19,0,0,0,13,0,0
185,19,0,0,0,14,0,0
190,19,0,0,0,15,0,0
200,19,0,6,0,11,0,0
205,19,0,6,0,12,0,0
210,15,5,0,0,1,28,0
210,19,4,0,0,1,0,0
210,19,0,6,0,13,0,0
210,62,26,0,0,0,0,0
215,19,0,6,0,14,0,0
220,15,5,0,0,2,28,0
220,19,4,0,0,2,0,0
220,19,0,6,0,15,0,0
