time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,1,5,9,0,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,29,0,0,0,0,0,0
0,43,0,0,0,0,0,0
0,46,0,0,20,0,0,0
0,53,0,0,0,0,0,0
0,65,0,0,0,0,0,0
1,54,50,0,0,0,0,0
100,2,1,2,0,0,0,0
200,2,0,0,0,0,0,0
200,7,474,-99,2,1,0,0
210,7,4,-99,2,2,0,0
210,19,1,0,0,1,0,0
210,20,0,10,0,1,0,0
210,25,20,0,0,2,0,0
210,33,800,0,0,2,0,0
210,74,270,176,0,1,0,0
220,7,5,-99,2,3,0,0
220,19,-2,0,0,2,0,0
220,20,0,10,0,2,0,0
220,25,20,0,0,3,0,0
220,74,270,176,0,2,0,0
230,7,5,-99,2,4,0,0
230,19,3,0,0,3,0,0
230,20,0,8,0,3,0,0
230,25,20,0,0,4,0,0
230,74,270,176,0,3,0,0
240,7,12,-99,2,5,0,0
240,19,-3,0,0,4,0,0
240,20,0,8,0,4,0,0
240,25,30,0,0,5,0,0
240,74,270,176,0,4,0,0
250,7,10,-99,2,6,0,0
250,19,-1,0,0,5,0,0
250,20,0,6,0,5,0,0
250,25,30,0,0,6,0,0
250,74,270,176,0,5,0,0
260,19,1,0,0,6,0,0
260,20,0,6,0,6,0,0
260,74,270,176,0,6,0,0
300,70,1000,0,0,0,0,0
310,54,300,0,0,0,0,0
1000,2,1,2,0,0,0,0
1100,2,0,0,0,0,0,0
1100,7,554,-99,2,1,0,0
1100,25,10,0,0,1,0,0
1110,19,3,0,0,1,0,0
1110,20,0,8,0,1,0,0
1110,74,270,176,0,1,0,0
1150,7,554,-99,2,2,0,0
1150,25,10,0,0,2,0,0
1160,19,-3,0,0,2,0,0
1160,20,0,8,0,2,0,0
1160,74,270,176,0,2,0,0
1200,7,554,-99,2,3,0,0
1200,25,10,0,0,3,0,0
1210,19,-3,0,0,3,0,0
1210,20,0,8,0,3,0,0
1210,74,270,176,0,3,0,0
1250,7,555,-99,2,4,0,0
1250,25,20,0,0,4,0,0
1260,19,-5,0,0,4,0,0
1260,20,0,10,0,4,0,0
1260,74,270,176,0,4,0,0
1300,7,554,-99,2,5,0,0
1300,25,10,0,0,5,0,0
1310,19,3,0,0,5,0,0
1310,20,0,8,0,5,0,0
1310,74,270,176,0,5,0,0
1350,7,701,-99,0,6,0,0
1350,25,255,0,0,6,0,0
1360,19,-3,0,0,6,0,0
1360,20,0,8,0,6,0,0
1360,74,270,176,0,6,0,0
1400,7,474,-99,2,7,0,0
1410,19,1,0,0,7,0,0
1410,20,0,10,0,7,0,0
1410,74,270,176,0,7,0,0
1450,7,478,-99,2,8,0,0
1450,25,10,0,0,8,0,0
1460,19,3,0,0,8,0,0
1460,20,0,8,0,8,0,0
1460,74,270,176,0,8,0,0
1500,7,555,-99,2,9,0,0
1500,25,20,0,0,9,0,0
1510,19,-5,0,0,9,0,0
1510,20,0,10,0,9,0,0
1510,74,270,176,0,9,0,0
1550,7,555,-99,2,10,0,0
1550,25,20,0,0,10,0,0
1560,19,5,0,0,10,0,0
1560,20,0,10,0,10,0,0
1560,74,270,176,0,10,0,0
1600,70,2000,0,0,0,0,0
1610,54,1600,0,0,0,0,0
2000,2,1,2,0,0,0,0
2100,2,0,0,0,0,0,0
2100,7,12,-99,2,1,0,0
2100,25,30,0,0,1,0,0
2110,19,-1,0,0,1,0,0
2110,20,0,6,0,1,0,0
2110,74,270,176,0,1,0,0
2120,7,10,-99,2,2,0,0
2120,25,30,0,0,2,0,0
2130,19,1,0,0,2,0,0
2130,20,0,6,0,2,0,0
2130,74,270,176,0,2,0,0
2140,7,12,-99,2,3,0,0
2140,25,30,0,0,3,0,0
2150,19,-1,0,0,3,0,0
2150,20,0,6,0,3,0,0
2150,74,270,176,0,3,0,0
2160,7,10,-99,2,4,0,0
2160,25,30,0,0,4,0,0
2170,19,1,0,0,4,0,0
2170,20,0,6,0,4,0,0
2170,74,270,176,0,4,0,0
2180,7,12,-99,2,5,0,0
2180,25,30,0,0,5,0,0
2190,19,-1,0,0,5,0,0
2190,20,0,6,0,5,0,0
2190,74,270,176,0,5,0,0
2200,7,474,-99,2,7,0,0
2200,7,10,-99,2,6,0,0
2200,25,30,0,0,6,0,0
2210,19,-1,0,0,7,0,0
2210,19,1,0,0,6,0,0
2210,20,0,6,0,6,0,0
2210,20,0,10,0,7,0,0
2210,74,270,176,0,7,0,0
2210,74,270,176,0,6,0,0
2300,70,2400,0,0,0,0,0
2310,54,2300,0,0,0,0,0
2400,7,12,-99,2,11,0,0
2400,25,30,0,0,11,0,0
2410,19,-1,0,0,11,0,0
2410,20,0,6,0,11,0,0
2410,74,270,176,0,11,0,0
2420,7,10,-99,2,12,0,0
2420,25,30,0,0,12,0,0
2430,19,1,0,0,12,0,0
2430,20,0,6,0,12,0,0
2430,74,270,176,0,12,0,0
2440,7,12,-99,2,13,0,0
2440,25,30,0,0,13,0,0
2450,19,-1,0,0,13,0,0
2450,20,0,6,0,13,0,0
2450,74,270,176,0,13,0,0
2460,7,10,-99,2,14,0,0
2460,25,30,0,0,14,0,0
2470,19,1,0,0,14,0,0
2470,20,0,6,0,14,0,0
2470,74,270,176,0,14,0,0
2480,7,12,-99,2,15,0,0
2480,25,30,0,0,15,0,0
2490,19,-1,0,0,15,0,0
2490,20,0,6,0,15,0,0
2490,74,270,176,0,15,0,0
2500,7,474,-99,2,17,0,0
2500,7,10,-99,2,16,0,0
2500,25,30,0,0,16,0,0
2510,19,1,0,0,17,0,0
2510,19,1,0,0,16,0,0
2510,20,0,6,0,16,0,0
2510,20,0,10,0,17,0,0
2510,74,270,176,0,17,0,0
2510,74,270,176,0,16,0,0
2600,70,3000,0,0,0,0,0
2610,54,2600,0,0,0,0,0
3000,2,1,2,0,0,0,0
3000,7,17,-99,2,1,0,0
3000,25,20,0,0,1,0,0
3010,19,2,0,0,1,0,0
3010,20,0,6,0,1,0,0
3010,74,270,176,0,1,0,0
3040,7,17,-99,2,2,0,0
3040,25,20,0,0,2,0,0
3050,19,-2,0,0,2,0,0
3050,20,0,6,0,2,0,0
3050,74,270,176,0,2,0,0
3080,7,17,-99,2,3,0,0
3080,25,20,0,0,3,0,0
3090,19,-2,0,0,3,0,0
3090,20,0,6,0,3,0,0
3090,74,270,176,0,3,0,0
3100,2,0,0,0,0,0,0
3120,7,474,-99,2,4,0,0
3130,19,1,0,0,4,0,0
3130,20,0,10,0,4,0,0
3130,74,270,176,0,4,0,0
3300,7,17,-99,2,5,0,0
3300,25,20,0,0,5,0,0
3310,19,2,0,0,5,0,0
3310,20,0,6,0,5,0,0
3310,74,270,176,0,5,0,0
3340,7,17,-99,2,6,0,0
3340,25,20,0,0,6,0,0
3350,19,-2,0,0,6,0,0
3350,20,0,6,0,6,0,0
3350,74,270,176,0,6,0,0
3380,7,17,-99,2,7,0,0
3380,25,20,0,0,7,0,0
3390,19,-2,0,0,7,0,0
3390,20,0,6,0,7,0,0
3390,74,270,176,0,7,0,0
3420,7,474,-99,2,8,0,0
3430,19,1,0,0,8,0,0
3430,20,0,10,0,8,0,0
3430,74,270,176,0,8,0,0
3500,70,4000,0,0,0,0,0
3510,54,3500,0,0,0,0,0
4000,2,1,2,0,0,0,0
4100,2,0,0,0,0,0,0
4100,7,5,-99,2,2,0,0
4100,7,5,-99,2,1,0,0
4100,25,20,0,0,2,0,0
4100,25,20,0,0,1,0,0
4110,19,-3,0,0,2,0,0
4110,19,3,0,0,1,0,0
4110,20,0,8,0,1,0,0
