time,type,data,data2,data3,data4,data5,data6
0,2,1,2,3,0,0,0
0,5,5,11,17,0,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
1,15,788,114,0,10,60,0
1,15,789,138,0,10,60,0
40,10,776,160,2,2,0,0
41,6,777,150,2,1,0,0
41,6,777,170,2,3,0,0
55,19,0,1,0,2,0,0
60,19,0,0,0,2,0,0
60,19,0,3,0,1,0,0
60,19,0,3,0,3,0,0
70,10,776,120,2,5,0,0
71,6,777,110,2,4,0,0
71,6,777,130,2,6,0,0
81,19,0,-8,0,10,0,0
85,19,0,1,0,5,0,0
90,10,776,190,2,8,0,0
90,19,0,0,0,5,0,0
90,19,0,3,0,4,0,0
90,19,0,3,0,6,0,0
90,19,0,1,0,2,0,0
91,6,777,180,2,7,0,0
91,6,777,200,2,9,0,0
95,19,0,2,0,2,0,0
105,19,0,1,0,8,0,0
110,19,0,0,0,8,0,0
110,19,0,3,0,7,0,0
110,19,0,3,0,9,0,0
120,10,776,70,2,15,0,0
120,19,0,1,0,5,0,0
121,6,777,60,2,14,0,0
121,6,777,80,2,16,0,0
125,19,0,2,0,5,0,0
135,19,0,1,0,15,0,0
140,10,776,30,2,12,0,0
140,19,0,0,0,15,0,0
140,19,0,3,0,14,0,0
140,19,0,3,0,16,0,0
140,19,0,1,0,8,0,0
141,6,777,20,2,11,0,0
141,6,777,40,2,13,0,0
145,19,0,2,0,8,0,0
155,19,0,1,0,12,0,0
160,19,0,0,0,12,0,0
160,19,0,3,0,11,0,0
160,19,0,3,0,13,0,0
170,10,776,220,2,18,0,0
170,19,0,1,0,15,0,0
171,6,777,210,2,17,0,0
171,6,777,230,2,19,0,0
175,19,0,2,0,15,0,0
180,10,776,80,2,2,0,0
181,6,777,70,2,1,0,0
181,6,777,90,2,3,0,0
185,19,0,1,0,18,0,0
190,19,0,3,0,19,0,0
190,19,0,1,0,12,0,0
190,19,0,0,0,18,0,0
190,19,0,3,0,17,0,0
195,19,0,2,0,12,0,0
195,19,0,1,0,2,0,0
200,10,776,140,2,5,0,0
200,19,0,3,0,1,0,0
200,19,0,3,0,3,0,0
200,19,0,0,0,2,0,0
201,6,777,130,2,4,0,0
201,6,777,150,2,6,0,0
215,19,0,1,0,5,0,0
220,19,0,1,0,18,0,0
220,19,0,0,0,5,0,0
220,19,0,3,0,4,0,0
220,19,0,3,0,6,0,0
225,19,0,2,0,18,0,0
230,19,0,1,0,2,0,0
235,19,0,2,0,2,0,0
250,10,778,150,2,10,0,0
250,19,0,1,0,5,0,0
255,19,0,2,0,5,0,0
255,55,93,0,0,10,0,0
260,10,778,50,2,11,0,0
265,55,93,0,0,11,0,0
270,10,778,220,2,12,0,0
275,55,93,0,0,12,0,0
280,10,778,110,2,13,0,0
285,55,93,0,0,13,0,0
300,6,777,160,1,2,0,0
302,6,777,130,1,1,0,0
302,6,777,190,1,3,0,0
302,20,10,0,1,1,0,0
302,20,-10,0,1,3,0,0
302,27,3,0,1,1,0,0
302,27,-3,0,1,3,0,0
320,6,777,160,1,5,0,0
320,45,603,160,1,5,0,0
322,6,777,130,1,4,0,0
322,6,777,190,1,6,0,0
322,20,10,0,1,4,0,0
322,20,-10,0,1,6,0,0
322,27,3,0,1,4,0,0
322,27,-3,0,1,6,0,0
340,6,777,160,1,8,0,0
342,6,777,130,1,7,0,0
342,6,777,190,1,9,0,0
342,20,10,0,1,7,0,0
342,20,-10,0,1,9,0,0
342,27,3,0,1,7,0,0
342,27,-3,0,1,9,0,0
370,6,780,25,2,45,-28,0
370,6,781,49,2,45,-28,0
370,6,782,25,2,45,0,0
370,6,783,49,2,45,0,0
370,6,784,240,2,45,-28,0
370,6,785,264,2,45,-28,0
370,6,786,240,2,45,0,0
370,6,787,264,2,45,0,0
400,6,777,140,3,0,0,0
402,6,777,110,3,11,0,0
402,6,777,170,3,12,0,0
402,20,10,0,3,11,0,0
402,20,-10,0,3,12,0,0
402,27,3,0,3,11,0,0
402,27,-3,0,3,12,0,0
420,6,777,140,3,14,0,0
