time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,28,11,0,0,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
60,15,796,112,0,1,0,0
60,15,797,136,0,1,0,0
60,15,798,160,0,1,0,0
60,15,806,136,0,1,-6,0
60,33,395,0,0,1,0,0
98,19,-5,0,0,1,0,0
98,20,9,0,0,1,0,0
98,27,5,-99,0,1,0,0
160,15,796,12,0,10,0,0
160,15,807,36,0,10,0,0
160,15,798,60,0,10,0,0
160,15,804,36,0,10,-6,0
190,15,796,212,0,11,0,0
190,15,807,236,0,11,0,0
190,15,798,260,0,11,0,0
190,15,804,236,0,11,-6,0
400,6,796,92,0,20,0,0
400,6,808,116,0,20,0,0
400,6,798,140,0,20,0,0
400,6,805,116,0,20,-6,0
400,17,809,130,0,0,0,0
400,17,809,190,0,0,0,0
400,17,809,160,0,0,0,0
500,6,796,12,0,21,0,0
500,6,808,36,0,21,0,0
500,6,798,60,0,21,0,0
500,6,805,36,0,21,-6,0
500,17,809,190,0,0,0,0
500,17,809,250,0,0,0,0
500,17,809,220,0,0,0,0
560,15,798,160,0,2,0,0
560,15,806,136,0,2,-6,0
560,15,796,112,0,2,0,0
560,15,797,136,0,2,0,0
560,33,395,0,0,2,0,0
598,19,-5,0,0,2,0,0
598,20,9,0,0,2,0,0
598,27,5,-99,0,2,0,0
600,6,796,212,0,21,0,0
600,6,808,236,0,21,0,0
600,6,798,260,0,21,0,0
600,6,805,236,0,21,-6,0
600,17,809,30,0,0,0,0
600,17,809,90,0,0,0,0
600,17,809,60,0,0,0,0
750,15,796,112,0,11,0,0
750,15,807,136,0,11,0,0
750,15,798,160,0,11,0,0
750,15,804,136,0,11,-6,0
750,31,0,0,0,11,10,0
760,33,396,0,0,11,0,0
800,17,809,20,0,0,0,0
800,17,809,270,0,0,0,0
810,17,809,240,0,0,0,0
810,17,809,50,0,0,0,0
820,17,809,210,0,0,0,0
820,17,809,80,0,0,0,0
1000,6,796,-48,0,22,60,0
1000,6,808,-24,0,22,60,0
1000,6,798,0,0,22,60,0
1000,6,805,-24,0,22,54,0
1000,6,796,252,0,21,30,0
1000,6,808,276,0,21,30,0
1000,6,798,300,0,21,30,0
1000,6,805,276,0,21,24,0
1000,19,3,-1,0,22,0,0
1000,19,-3,-1,0,21,0,0
1000,20,0,-10,0,1,0,0
1050,6,796,-48,0,24,60,0
1050,6,808,-24,0,24,60,0
1050,6,798,0,0,24,60,0
1050,6,805,-24,0,24,54,0
1050,6,796,252,0,23,30,0
1050,6,808,276,0,23,30,0
1050,6,798,300,0,23,30,0
1050,6,805,276,0,23,24,0
1050,19,3,-1,0,24,0,0
1050,19,-3,-1,0,23,0,0
1100,17,796,-48,0,26,-60,0
1100,17,808,-24,0,26,-60,0
1100,17,798,0,0,26,-60,0
1100,17,805,-24,0,26,-66,0
1100,17,796,252,0,25,-30,0
1100,17,808,276,0,25,-30,0
1100,17,798,300,0,25,-30,0
1100,17,805,276,0,25,-36,0
1100,19,3,-1,0,26,0,0
1100,19,-3,-1,0,25,0,0
1200,6,796,-48,0,28,60,0
1200,6,808,-24,0,28,60,0
1200,6,798,0,0,28,60,0
1200,6,805,-24,0,28,54,0
1200,6,796,252,0,27,30,0
1200,6,808,276,0,27,30,0
1200,6,798,300,0,27,30,0
1200,6,805,276,0,27,24,0
1200,19,3,-1,0,28,0,0
1200,19,-3,-1,0,27,0,0
1300,17,796,-48,0,22,-60,0
1300,17,808,-24,0,22,-60,0
1300,17,798,0,0,22,-60,0
1300,17,805,-24,0,22,-66,0
1300,17,796,252,0,21,-30,0
1300,17,808,276,0,21,-30,0
1300,17,798,300,0,21,-30,0
1300,17,805,276,0,21,-36,0
1300,19,3,-1,0,22,0,0
1300,19,-3,-1,0,21,0,0
1400,6,796,-48,0,28,60,0
1400,6,808,-24,0,28,60,0
1400,6,798,0,0,28,60,0
1400,6,805,-24,0,28,54,0
1400,6,796,252,0,27,30,0
1400,6,808,276,0,27,30,0
1400,6,798,300,0,27,30,0
1400,6,805,276,0,27,24,0
1400,15,796,2,0,10,0,0
1400,15,807,26,0,10,0,0
1400,15,798,50,0,10,0,0
1400,15,804,26,0,10,-6,0
1400,15,796,192,0,11,0,0
1400,15,807,216,0,11,0,0
1400,15,798,240,0,11,0,0
1400,15,804,216,0,11,-6,0
1400,19,3,-1,0,28,0,0
1400,19,-3,-1,0,27,0,0
1400,33,397,0,0,10,0,0
1400,33,396,0,0,11,0,0
1500,17,798,0,0,22,-60,0
1500,17,805,-24,0,22,-66,0
1500,17,796,252,0,21,-30,0
1500,17,808,276,0,21,-30,0
1500,17,798,300,0,21,-30,0
1500,17,805,276,0,21,-36,0
1500,17,796,-48,0,22,-60,0
1500,17,808,-24,0,22,-60,0
1500,19,3,-1,0,22,0,0
1500,19,-3,-1,0,21,0,0
1500,20,0,-10,0,2,0,0
1560,15,797,136,0,3,0,0
1560,15,798,160,0,3,0,0
1560,15,806,136,0,3,-6,0
1560,15,796,112,0,3,0,0
1560,33,395,0,0,3,0,0
1598,19,-5,0,0,3,0,0
1598,20,9,0,0,3,0,0
1598,27,5,-99,0,3,0,0
1600,17,796,-48,0,22,-60,0
1600,17,808,-24,0,22,-60,0
1600,17,798,0,0,22,-60,0
1600,17,805,-24,0,22,-66,0
1600,17,796,252,0,21,-30,0
1600,17,808,276,0,21,-30,0
1600,17,798,300,0,21,-30,0
1600,17,805,276,0,21,-36,0
1600,19,3,-1,0,22,0,0
1600,19,-3,-1,0,21,0,0
1700,17,796,-48,0,24,-60,0
1700,17,808,-24,0,24,-60,0
1700,17,798,0,0,24,-60,0
1700,17,805,-24,0,24,-66,0
1700,17,796,252,0,23,-30,0
1700,17,808,276,0,23,-30,0
1700,17,798,300,0,23,-30,0
1700,17,805,276,0,23,-36,0
1700,19,3,-1,0,24,0,0
1700,19,-3,-1,0,23,0,0
1800,17,796,-48,0,26,-60,0
1800,17,808,-24,0,26,-60,0
1800,17,798,0,0,26,-60,0
1800,17,805,-24,0,26,-66,0
1800,17,796,252,0,25,-30,0
1800,17,808,276,0,25,-30,0
1800,17,798,300,0,25,-30,0
1800,17,805,276,0,25,-36,0
1800,19,3,-1,0,26,0,0
1800,19,-3,-1,0,25,0,0
1900,7,796,112,0,11,0,0
1900,7,807,136,0,11,0,0
1900,7,798,160,0,11,0,0
1900,7,804,136,0,11,-6,0
1900,31,0,0,0,11,5,0
1900,33,396,0,0,11,0,0
2000,17,796,-48,0,26,-60,0
2000,17,808,-24,0,26,-60,0
2000,17,798,0,0,26,-60,0
2000,17,805,-24,0,26,-66,0
2000,17,796,252,0,25,-30,0
