time,type,data,data2,data3,data4,data5,data6
0,2,0,0,0,0,0,0
0,5,28,11,12,17,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,53,0,0,0,0,0,0
10,6,818,80,0,1,0,0
40,6,818,200,0,2,0,0
80,6,818,140,0,3,0,0
100,7,795,10,0,10,0,0
100,20,10,0,0,10,0,0
120,7,795,10,0,11,0,0
120,20,9,0,0,11,0,0
140,7,795,10,0,12,0,0
140,20,-10,0,0,10,0,0
140,20,8,0,0,12,0,0
150,31,6,0,0,10,0,0
160,7,795,10,0,13,0,0
160,20,-9,0,0,11,0,0
160,20,7,0,0,13,0,0
170,31,6,0,0,11,0,0
170,31,0,0,0,10,0,0
180,7,795,10,0,14,0,0
180,20,-8,0,0,12,0,0
180,20,6,0,0,14,0,0
180,33,395,0,0,14,0,0
180,45,607,0,0,14,0,0
180,49,55,40,11,201,0,10
181,19,0,2,0,201,0,0
181,60,1,1,0,201,0,0
190,31,0,0,0,11,0,0
190,31,6,0,0,12,0,0
200,20,-7,0,0,13,0,0
210,31,0,0,0,12,0,0
210,31,6,0,0,13,0,0
220,20,-6,0,0,14,0,0
230,31,0,0,0,13,0,0
230,31,6,0,0,14,0,0
250,31,0,0,0,14,0,0
270,10,776,220,2,8,0,0
271,6,777,210,2,7,0,0
271,6,777,230,2,9,0,0
280,10,776,40,2,2,0,0
281,6,777,30,2,1,0,0
281,6,777,50,2,3,0,0
285,19,0,1,0,8,0,0
290,19,0,0,0,8,0,0
290,19,0,3,0,7,0,0
290,19,0,3,0,9,0,0
295,19,0,1,0,2,0,0
300,10,776,180,2,5,0,0
300,19,0,0,0,2,0,0
300,19,0,3,0,1,0,0
300,19,0,3,0,3,0,0
300,45,607,0,0,5,0,0
301,6,777,190,2,6,0,0
301,6,777,170,2,4,0,0
315,19,0,1,0,5,0,0
320,10,776,70,2,12,0,0
320,19,0,1,0,8,0,0
320,19,0,0,0,5,0,0
320,19,0,3,0,4,0,0
320,19,0,3,0,6,0,0
320,45,615,0,0,12,0,0
321,6,777,60,2,11,0,0
321,6,777,80,2,13,0,0
325,19,0,2,0,8,0,0
330,19,0,1,0,2,0,0
335,19,0,2,0,2,0,0
335,19,0,1,0,12,0,0
340,10,776,120,2,22,0,0
340,10,776,170,2,25,0,0
340,19,0,3,0,13,0,0
340,19,0,0,0,12,0,0
340,19,0,3,0,11,0,0
341,6,777,130,2,23,0,0
341,6,777,160,2,24,0,0
341,6,777,110,2,21,0,0
341,6,777,180,2,26,0,0
350,19,0,1,0,5,0,0
355,19,0,1,0,22,0,0
355,19,0,2,0,5,0,0
355,19,0,1,0,25,0,0
360,19,0,5,0,21,0,0
360,19,0,5,0,23,0,0
360,19,0,0,0,22,0,0
360,19,0,0,0,25,0,0
360,19,0,5,0,24,0,0
360,19,0,5,0,26,0,0
370,19,0,1,0,12,0,0
375,19,0,2,0,12,0,0
390,19,0,1,0,22,0,0
390,19,0,1,0,25,0,0
