time,type,data,data2,data3,data4,data5,data6
0,2,1,2,3,0,0,0
0,5,27,4,22,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,28,0,0,0,0,0,0
0,37,1,0,0,0,0,0
40,7,430,90,0,10,-28,0
40,7,431,114,0,10,-28,0
40,7,432,90,0,10,0,0
40,7,433,114,0,10,0,0
40,45,628,0,0,11,0,0
70,20,0,-1,0,10,0,0
70,24,5,1,1,10,0,0
75,20,0,5,0,10,0,0
75,24,7,6,0,10,0,0
100,15,93,130,0,0,0,0
110,15,93,130,0,0,0,0
120,15,93,130,0,6,0,0
120,45,603,0,0,6,0,0
122,6,429,174,0,11,0,0
122,6,428,150,0,11,0,0
130,15,93,130,0,0,0,0
140,15,93,130,0,0,0,0
150,6,427,174,0,11,0,0
150,6,426,150,0,11,0,0
150,45,628,0,0,11,0,0
180,19,0,-2,0,11,0,0
180,24,10,1,1,11,0,0
189,24,20,17,0,11,0,0
190,15,94,150,0,0,0,0
190,15,95,162,0,0,0,0
190,15,96,174,0,7,0,0
190,15,97,186,0,0,0,0
190,15,98,198,0,0,0,0
190,45,613,0,0,7,0,0
194,20,0,4,0,11,0,0
260,15,94,120,0,0,0,0
260,15,95,132,0,0,0,0
260,15,96,144,0,8,0,0
260,15,97,156,0,0,0,0
260,15,98,168,0,0,0,0
260,45,620,0,0,8,0,0
300,15,99,170,0,0,0,0
310,15,99,170,0,0,0,0
320,15,99,170,0,9,0,0
320,45,624,0,0,9,0,0
320,45,533,0,0,7,0,0
330,15,99,170,0,0,0,0
340,15,99,170,0,0,0,0
450,6,100,60,1,1,-28,0
450,6,101,60,1,1,0,0
474,7,433,180,0,11,0,0
474,7,430,156,0,11,-28,0
474,7,431,180,0,11,-28,0
474,7,432,156,0,11,0,0
474,45,628,0,0,11,0,0
480,6,100,190,1,2,-28,0
480,6,101,190,1,2,0,0
500,6,92,24,0,5,0,0
500,6,91,0,0,5,0,0
500,45,627,0,0,5,0,0
504,20,0,-1,0,11,0,0
504,24,5,1,1,11,0,0
509,20,0,5,0,11,0,0
509,24,7,6,0,11,0,0
520,6,100,70,1,3,-28,0
520,6,101,70,1,3,0,0
567,7,432,168,0,12,0,0
567,7,433,192,0,12,0,0
567,7,430,168,0,12,-28,0
567,7,431,192,0,12,-28,0
567,45,628,0,0,12,0,0
570,6,100,180,1,4,-28,0
570,6,101,180,1,4,0,0
597,20,0,-1,0,12,0,0
597,24,5,1,1,12,0,0
600,6,92,24,0,5,0,0
600,6,91,-24,0,6,28,0
600,6,92,0,0,6,28,0
600,6,91,0,0,5,0,0
600,45,829,0,0,6,0,0
600,45,828,0,0,5,0,0
602,20,0,5,0,12,0,0
602,24,7,6,0,12,0,0
620,15,93,100,0,0,0,0
630,15,93,100,0,0,0,0
640,15,93,100,0,7,0,0
650,15,93,100,0,0,0,0
660,15,93,100,0,0,0,0
670,15,99,130,0,0,0,0
680,15,99,130,0,0,0,0
690,15,99,130,0,8,0,0
690,45,534,0,0,8,0,0
700,15,99,130,0,0,0,0
710,15,99,130,0,0,0,0
740,15,102,30,0,0,0,0
740,15,103,230,0,0,0,0
750,15,102,30,0,0,0,0
750,15,103,230,0,0,0,0
760,15,102,30,0,0,0,0
760,15,103,230,0,0,0,0
765,6,102,120,-2,0,0,0
765,6,102,180,-2,0,0,0
770,15,102,30,0,0,0,0
770,15,103,250,0,0,0,0
775,6,102,120,-2,0,0,0
775,6,102,180,-2,0,0,0
780,15,102,30,0,0,0,0
780,15,103,230,0,0,0,0
785,6,102,120,-2,0,0,0
785,6,102,180,-2,0,0,0
790,15,102,30,0,0,0,0
790,15,103,230,0,0,0,0
795,6,102,120,-2,0,0,0
795,6,102,180,-2,0,0,0
800,15,102,30,0,0,0,0
800,15,103,230,0,0,0,0
800,16,7,128,0,0,0,0
805,6,102,120,-1,0,0,0
805,6,102,180,-1,0,0,0
820,2,2,4,6,0,0,0
840,2,3,6,9,0,0,0
870,2,4,8,12,0,0,0
920,2,3,6,9,0,0,0
922,6,101,130,-2,1,0,0
922,6,100,130,-2,1,-28,0
922,6,101,170,-2,2,0,0
922,6,100,170,-2,2,-28,0
950,6,101,70,1,3,0,0
950,6,100,70,1,3,-28,0
970,6,101,230,1,4,0,0
970,6,100,230,1,4,-28,0
1080,2,2,4,6,0,0,0
1100,7,435,54,0,1,-28,0
1100,7,436,78,0,1,-28,0
1100,7,437,30,0,1,0,0
1100,7,438,54,0,1,0,0
1100,7,439,78,0,1,0,0
1100,7,434,200,0,2,-28,0
1100,7,435,224,0,2,-28,0
1100,7,436,248,0,2,-28,0
1100,7,437,200,0,2,0,0
1100,7,438,224,0,2,0,0
1100,7,439,248,0,2,0,0
1100,7,434,30,0,1,-28,0
1100,45,628,0,0,2,0,0
1100,45,628,0,0,1,0,0
1120,2,1,2,3,0,0,0
1120,31,0,0,0,1,80,0
1120,31,0,0,0,2,80,0
1150,6,104,90,1,7,0,0
1150,45,617,0,0,7,0,0
1170,6,104,200,1,8,0,0
1170,45,607,0,0,8,0,0
1190,6,104,160,1,9,0,0
1190,45,612,0,0,9,0,0
1339,15,107,54,2,5,0,0
1339,15,107,150,2,6,0,0
1353,15,106,54,2,5,0,0
1353,15,106,150,2,6,0,0
1370,24,11,0,1,5,0,0
1374,20,0,5,0,5,0,0
1375,24,11,0,1,6,0,0
1379,20,0,5,0,6,0,0
1490,15,105,180,0,0,0,0
1493,15,107,102,2,7,0,0
1493,15,107,150,2,8,0,0
1493,15,107,198,2,9,0,0
1500,15,105,180,0,0,0,0
1507,15,106,102,2,7,0,0
1507,15,106,150,2,8,0,0
1507,15,106,198,2,9,0,0
1510,15,105,180,0,0,0,0
1510,24,11,0,1,7,0,0
1510,24,11,0,1,9,0,0
1514,20,0,5,0,7,0,0
1514,20,0,5,0,9,0,0
1520,15,105,180,0,0,0,0
1530,15,105,180,0,0,0,0
1535,24,11,0,1,8,0,0
1539,20,0,5,0,8,0,0
1590,15,105,210,0,0,0,0
1600,15,105,210,0,0,0,0
1610,15,105,210,0,10,0,0
1610,45,604,0,0,10,0,0
1620,15,105,210,0,0,0,0
1630,15,105,210,0,0,0,0
1703,15,107,54,2,5,0,0
1703,15,107,102,2,6,0,0
1703,15,107,150,2,7,0,0
1703,15,107,198,2,8,0,0
1717,15,106,54,2,5,0,0
1717,15,106,102,2,6,0,0
1717,15,106,150,2,7,0,0
1717,15,106,198,2,8,0,0
1725,24,11,0,1,5,0,0
1729,20,0,5,0,5,0,0
1730,24,11,0,1,6,0,0
1734,20,0,5,0,6,0,0
1735,24,11,0,1,7,0,0
1739,20,0,5,0,7,0,0
1740,24,11,0,1,8,0,0
1744,20,0,5,0,8,0,0
1820,6,117,-10,0,9,0,0
1820,6,111,14,0,9,0,0
1820,6,114,38,0,9,0,0
1820,6,111,62,0,9,0,0
1820,6,120,86,0,9,0,0
1820,6,116,-10,0,9,-28,0
1820,6,110,14,0,9,-28,0
1820,6,113,38,0,9,-28,0
1820,6,110,62,0,9,-28,0
1820,6,119,86,0,9,-28,0
1820,6,115,-10,0,9,-56,0
1820,6,109,14,0,9,-56,0
1820,6,112,38,0,9,-56,0
1820,6,109,62,0,9,-56,0
1820,6,118,86,0,9,-56,0
1910,20,3,0,0,9,0,0
1930,20,-3,0,0,9,0,0
1950,20,0,0,0,9,0,0
1980,16,8,128,0,0,0,0
2010,7,192,100,0,5,0,0
2010,7,193,124,0,5,0,0
2010,45,628,0,0,9,0,0
2020,7,192,160,0,6,0,0
2020,7,193,184,0,6,0,0
2020,45,628,0,0,9,0,0
2022,6,428,190,0,10,0,0
2022,6,429,214,0,10,0,0
2030,18,108,20,1,0,0,0
2032,6,428,50,0,11,0,0
2032,6,429,74,0,11,0,0
2040,18,108,40,1,0,0,0
2042,6,428,120,0,12,0,0
2042,6,429,144,0,12,0,0
2050,6,426,190,0,10,0,0
2050,6,427,214,0,10,0,0
2050,18,108,60,1,0,0,0
2050,45,628,0,0,10,0,0
2060,6,426,50,0,11,0,0
2060,6,427,74,0,11,0,0
2060,18,108,80,1,0,0,0
2060,45,628,0,0,11,0,0
2070,6,426,120,0,12,0,0
2070,6,427,144,0,12,0,0
2070,18,108,100,1,0,0,0
2070,45,628,0,0,12,0,0
2080,19,0,-2,0,10,0,0
2080,24,10,1,1,10,0,0
2089,24,20,17,0,10,0,0
2090,19,0,-2,0,11,0,0
2090,24,10,1,1,11,0,0
2094,20,0,4,0,10,0,0
2099,24,20,17,0,11,0,0
2100,18,108,240,2,10,0,0
2100,19,0,-2,0,12,0,0
2100,20,-4,10,0,10,0,0
2100,24,10,1,1,12,0,0
2104,20,0,4,0,11,0,0
2109,24,20,17,0,12,0,0
2110,18,108,230,2,11,0,0
2110,20,-4,10,0,11,0,0
2114,20,0,4,0,12,0,0
2120,7,111,14,0,8,0,0
2120,7,114,38,0,8,0,0
2120,7,114,62,0,8,0,0
2120,7,114,86,0,8,0,0
2120,7,111,110,0,8,0,0
2120,7,120,134,0,8,0,0
2120,7,116,-10,0,8,-28,0
2120,7,110,14,0,8,-28,0
2120,7,113,38,0,8,-28,0
2120,7,113,62,0,8,-28,0
2120,7,113,86,0,8,-28,0
2120,7,110,110,0,8,-28,0
2120,7,119,134,0,8,-28,0
2120,7,115,-10,0,8,-56,0
2120,7,109,14,0,8,-56,0
2120,7,112,38,0,8,-56,0
2120,7,112,62,0,8,-56,0
2120,7,112,86,0,8,-56,0
2120,7,109,110,0,8,-56,0
2120,7,118,134,0,8,-56,0
2120,7,117,-10,0,8,0,0
2120,18,108,220,2,12,0,0
2120,20,-4,10,0,12,0,0
2130,18,108,210,2,13,0,0
2130,20,-4,10,0,13,0,0
2140,18,108,200,2,14,0,0
2140,20,-4,10,0,14,0,0
2160,15,116,110,1,6,-28,0
2160,15,110,134,1,6,-28,0
2160,15,113,158,1,6,-28,0
2160,15,113,182,1,6,-28,0
2160,15,113,206,1,6,-28,0
2160,15,110,230,1,6,-28,0
2160,15,119,254,1,6,-28,0
2160,15,115,110,1,6,-56,0
2160,15,109,134,1,6,-56,0
2160,15,112,158,1,6,-56,0
2160,15,112,182,1,6,-56,0
2160,15,112,206,1,6,-56,0
2160,15,109,230,1,6,-56,0
2160,15,118,254,1,6,-56,0
2160,15,117,110,1,6,0,0
2160,15,111,134,1,6,0,0
2160,15,114,158,1,6,0,0
2160,15,114,182,1,6,0,0
2160,15,114,206,1,6,0,0
2160,15,111,230,1,6,0,0
2160,15,120,254,1,6,0,0
2190,20,3,0,0,8,0,0
2190,27,8,0,0,8,0,0
2200,10,116,110,1,7,-28,0
2200,10,110,134,1,7,-28,0
2200,10,113,158,1,7,-28,0
2200,10,113,182,1,7,-28,0
