time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,9,15,5,19,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,15,722,100,2,57,-56,0
0,15,723,124,2,57,-56,0
0,15,724,100,2,57,-28,0
0,15,725,100,2,57,0,0
0,15,726,112,2,57,0,0
0,15,727,124,2,58,-56,0
0,15,728,148,2,58,-56,0
0,15,729,148,2,58,-28,0
0,15,730,136,2,58,0,0
0,15,731,148,2,58,0,0
0,15,732,124,2,59,-56,0
0,15,733,124,2,59,-28,0
0,21,0,0,0,0,0,0
0,33,397,0,0,59,0,0
0,48,0,0,0,0,0,0
1,15,734,124,2,59,-70,0
2,14,0,0,0,0,0,0
5,15,734,124,2,59,-70,0
10,15,734,124,2,59,-70,0
15,15,734,124,2,59,-70,0
20,15,734,124,2,59,-70,0
25,15,734,124,2,59,-70,0
60,19,0,0,0,57,0,0
60,19,0,0,0,58,0,0
60,19,0,0,0,59,0,0
60,19,-1,0,0,57,0,0
60,19,1,0,0,58,0,0
60,31,40,3,0,59,0,0
70,19,1,0,0,57,0,0
70,19,-1,0,0,58,0,0
80,19,0,0,0,57,0,0
80,19,0,0,0,58,0,0
80,31,0,0,0,59,0,0
90,20,-3,0,0,59,0,0
90,20,-3,0,0,58,0,0
90,20,-3,0,0,57,0,0
100,20,3,0,0,59,0,0
100,20,3,0,0,58,0,0
100,20,3,0,0,57,0,0
110,19,-1,0,0,57,0,0
110,19,1,0,0,58,0,0
110,20,0,0,0,57,0,0
110,20,0,0,0,59,0,0
110,20,0,0,0,58,0,0
110,31,40,3,0,59,0,0
120,19,1,0,0,57,0,0
120,19,-1,0,0,58,0,0
130,19,0,0,0,57,0,0
130,19,0,0,0,58,0,0
130,31,0,0,0,59,0,0
140,20,3,0,0,59,0,0
140,20,3,0,0,58,0,0
140,20,3,0,0,57,0,0
160,20,-3,0,0,59,0,0
160,20,-3,0,0,58,0,0
160,20,-3,0,0,57,0,0
180,20,0,0,0,59,0,0
180,20,0,0,0,58,0,0
180,20,0,0,0,57,0,0
190,19,-1,0,0,57,0,0
190,19,1,0,0,58,0,0
190,31,40,3,0,59,0,0
200,7,685,124,-1,1,0,0
200,7,686,124,0,4,-14,2
200,7,686,100,0,5,-14,2
200,7,686,124,0,2,-14,2
200,7,686,100,0,3,-14,2
200,7,682,100,-1,1,-28,0
200,7,683,124,-1,1,-28,0
200,7,684,100,-1,1,0,0
200,19,8,0,0,3,0,0
200,19,-6,0,0,4,0,0
200,19,-8,0,0,2,0,0
200,19,6,0,0,5,0,0
200,19,0,0,0,57,0,0
200,19,0,0,0,58,0,0
200,20,2,-6,0,5,0,0
