time,type,data,data2,data3,data4,data5,data6
0,2,1,0,2,0,0,0
0,5,7,25,24,33,0,0
0,7,66,0,1,1,0,0
0,7,67,24,1,1,0,0
0,7,70,160,0,21,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,42,0,0,0,0,0,0
0,45,628,0,0,21,0,0
9,66,4,2,0,0,0,0
10,7,68,300,1,2,0,0
10,7,69,324,1,2,0,0
10,7,70,150,0,22,0,0
10,7,70,170,0,23,0,0
10,19,2,0,0,1,0,0
10,45,628,0,0,22,0,0
10,45,628,0,0,23,0,0
20,7,66,0,1,3,0,0
20,7,67,24,1,3,0,0
20,7,70,140,0,24,0,0
20,7,70,180,0,25,0,0
20,19,-2,0,0,2,0,0
20,45,628,0,0,24,0,0
20,45,628,0,0,25,0,0
27,19,2,0,0,3,0,0
29,66,4,2,0,0,0,0
30,7,68,300,1,4,0,0
30,7,69,324,1,4,0,0
37,19,-2,0,0,4,0,0
39,66,4,2,0,0,0,0
40,7,66,0,1,5,0,0
40,7,67,24,1,5,0,0
44,19,2,0,0,5,0,0
50,7,68,300,1,6,0,0
50,7,69,324,1,6,0,0
54,19,-2,0,0,6,0,0
59,66,4,2,0,0,0,0
60,7,66,0,1,7,0,0
60,7,67,24,1,7,0,0
61,19,2,0,0,7,0,0
69,66,4,2,0,0,0,0
70,7,68,300,1,8,0,0
70,7,69,324,1,8,0,0
71,19,-2,0,0,8,0,0
80,7,66,24,1,9,0,0
80,7,67,48,1,9,0,0
80,19,2,0,0,9,0,0
90,7,68,276,1,10,0,0
90,7,69,300,1,10,0,0
90,19,-2,0,0,10,0,0
99,66,4,2,0,0,0,0
100,7,66,48,1,1,0,0
100,7,67,72,1,1,0,0
100,15,70,30,1,26,0,0
100,19,2,0,0,1,0,0
100,45,628,0,0,26,0,0
110,7,68,252,1,2,0,0
110,7,69,276,1,2,0,0
110,15,70,15,1,27,0,0
110,15,70,45,1,28,0,0
110,19,-2,0,0,2,0,0
110,45,628,0,0,27,0,0
110,45,628,0,0,28,0,0
120,7,66,72,1,3,0,0
120,7,67,96,1,3,0,0
120,15,70,0,1,29,0,0
120,15,70,60,1,30,0,0
120,19,2,0,0,3,0,0
120,45,628,0,0,29,0,0
120,45,628,0,0,30,0,0
130,7,68,228,1,4,0,0
130,7,69,252,1,4,0,0
130,19,-2,0,0,4,0,0
140,7,66,96,1,5,0,0
140,7,67,120,1,5,0,0
140,19,2,0,0,5,0,0
150,7,68,204,1,6,0,0
150,7,69,228,1,6,0,0
150,15,70,220,1,31,0,0
150,19,-2,0,0,6,0,0
150,45,628,0,0,31,0,0
160,7,66,120,1,7,0,0
160,7,67,144,1,7,0,0
160,15,70,205,1,32,0,0
160,15,70,235,1,33,0,0
160,19,2,0,0,7,0,0
160,45,628,0,0,32,0,0
160,45,628,0,0,33,0,0
170,7,68,180,1,8,0,0
170,7,69,204,1,8,0,0
170,15,70,190,1,34,0,0
170,15,70,250,1,35,0,0
170,19,-2,0,0,8,0,0
170,45,628,0,0,34,0,0
170,45,628,0,0,35,0,0
180,7,66,144,1,9,0,0
180,7,67,168,1,9,0,0
180,19,2,0,0,9,0,0
190,7,68,156,1,10,0,0
190,7,69,180,1,10,0,0
190,19,-2,0,0,10,0,0
200,7,66,168,1,1,0,0
200,7,67,192,1,1,0,0
200,15,70,130,1,36,0,0
200,19,2,0,0,1,0,0
200,45,628,0,0,36,0,0
210,7,68,132,1,2,0,0
210,7,69,156,1,2,0,0
210,15,70,115,1,37,0,0
210,15,70,145,1,38,0,0
210,19,-2,0,0,2,0,0
210,45,628,0,0,37,0,0
210,45,628,0,0,38,0,0
220,7,66,192,1,3,0,0
220,7,67,216,1,3,0,0
220,15,70,100,1,39,0,0
220,15,70,160,1,21,0,0
220,19,2,0,0,3,0,0
220,45,628,0,0,39,0,0
220,45,628,0,0,21,0,0
230,7,68,108,1,4,0,0
230,7,69,132,1,4,0,0
230,19,-2,0,0,4,0,0
240,7,66,216,1,5,0,0
240,7,67,240,1,5,0,0
240,19,2,0,0,5,0,0
250,7,68,84,1,6,0,0
250,7,69,110,1,6,0,0
250,19,-2,0,0,6,0,0
259,66,3,2,0,0,0,0
260,7,66,0,1,1,0,0
260,7,67,24,1,1,0,0
270,7,68,300,1,2,0,0
270,7,69,324,1,2,0,0
270,19,2,0,0,1,0,0
280,7,66,0,1,3,0,0
280,7,67,24,1,3,0,0
280,19,-2,0,0,2,0,0
287,19,2,0,0,3,0,0
289,66,4,2,0,0,0,0
290,7,68,300,1,4,0,0
290,7,69,324,1,4,0,0
297,19,-2,0,0,4,0,0
299,66,4,2,0,0,0,0
300,7,66,0,1,5,0,0
300,7,67,24,1,5,0,0
300,7,71,100,-2,0,0,0
304,19,2,0,0,5,0,0
310,7,69,324,1,6,0,0
310,7,68,300,1,6,0,0
314,19,-2,0,0,6,0,0
319,66,4,2,0,0,0,0
320,7,67,24,1,7,0,0
320,7,66,0,1,7,0,0
321,19,2,0,0,7,0,0
330,7,69,324,1,8,0,0
330,7,68,300,1,8,0,0
330,7,71,140,-2,0,0,0
331,19,-2,0,0,8,0,0
340,7,66,24,1,9,0,0
340,7,67,48,1,9,0,0
340,19,2,0,0,9,0,0
349,66,4,2,0,0,0,0
350,7,68,276,1,10,0,0
350,7,69,300,1,10,0,0
350,19,-2,0,0,10,0,0
360,7,66,48,1,1,0,0
360,7,67,72,1,1,0,0
360,7,71,200,-2,0,0,0
360,19,2,0,0,1,0,0
370,7,69,276,1,2,0,0
370,7,68,252,1,2,0,0
370,19,-2,0,0,2,0,0
379,66,4,2,0,0,0,0
380,7,67,96,1,3,0,0
380,7,66,72,1,3,0,0
380,19,2,0,0,3,0,0
389,66,4,2,0,0,0,0
390,7,69,252,1,4,0,0
390,7,68,228,1,4,0,0
390,7,71,70,-2,0,0,0
390,19,-2,0,0,4,0,0
