time,type,data,data2,data3,data4,data5,data6
0,2,1,1,1,0,0,0
0,5,31,32,0,0,0,0
0,7,380,40,0,1,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,20,1,0,0,1,0,0
0,27,10,0,0,1,0,0
0,45,609,0,0,1,0,0
0,48,0,0,0,0,0,0
0,64,1,1,7,0,0,0
5,7,380,40,0,2,0,0
5,20,1,0,0,2,0,0
5,27,10,0,0,2,0,0
10,7,380,40,0,3,0,0
10,20,1,0,0,3,0,0
10,27,10,0,0,3,0,0
15,7,380,40,0,4,0,0
15,20,1,0,0,4,0,0
15,27,10,0,0,4,0,0
20,7,380,40,0,5,0,0
20,20,1,0,0,5,0,0
20,27,10,0,0,5,0,0
25,7,380,40,0,6,0,0
25,20,1,0,0,6,0,0
25,27,10,0,0,6,0,0
30,7,380,40,0,7,0,0
30,20,1,0,0,7,0,0
30,27,10,0,0,7,0,0
35,7,380,40,0,8,0,0
35,20,1,0,0,8,0,0
35,27,10,0,0,8,0,0
40,7,380,40,0,9,0,0
40,20,1,0,0,9,0,0
40,27,10,0,0,9,0,0
40,45,628,0,0,9,0,0
100,7,380,300,0,11,0,0
100,15,381,130,1,41,0,0
100,20,-1,0,0,11,0,0
100,27,-10,0,0,11,0,0
100,45,629,0,0,11,0,0
105,7,380,300,0,12,0,0
105,20,-1,0,0,12,0,0
105,27,-10,0,0,12,0,0
110,7,380,300,0,13,0,0
110,20,-1,0,0,13,0,0
110,27,-10,0,0,13,0,0
115,7,380,300,0,14,0,0
115,20,-1,0,0,14,0,0
115,27,-10,0,0,14,0,0
120,7,380,300,0,15,0,0
120,20,-1,0,0,15,0,0
120,27,-10,0,0,15,0,0
125,7,380,300,0,16,0,0
125,20,-1,0,0,16,0,0
125,27,-10,0,0,16,0,0
130,7,380,300,0,17,0,0
130,20,-1,0,0,17,0,0
130,27,-10,0,0,17,0,0
135,7,380,300,0,18,0,0
135,20,-1,0,0,18,0,0
135,27,-10,0,0,18,0,0
140,7,380,300,0,19,0,0
140,19,0,0,0,41,0,0
140,20,-1,0,0,19,0,0
140,27,-10,0,0,19,0,0
140,45,628,0,0,9,0,0
150,15,174,0,0,162,-28,0
150,15,175,24,0,162,-28,0
150,15,176,48,0,162,-28,0
150,15,177,72,0,162,-28,0
150,15,178,0,0,162,0,0
150,15,179,24,0,162,0,0
150,15,180,48,0,162,0,0
150,15,181,72,0,162,0,0
150,15,382,24,1,161,-14,0
150,15,382,48,1,62,-14,0
200,15,174,200,0,182,-28,0
200,15,175,224,0,182,-28,0
200,15,176,248,0,182,-28,0
200,15,177,272,0,182,-28,0
200,15,178,200,0,182,0,0
200,15,179,224,0,182,0,0
200,15,180,248,0,182,0,0
200,15,181,272,0,182,0,0
200,15,382,224,1,181,-14,0
200,15,382,248,1,82,-14,0
200,20,-4,0,0,161,0,0
200,20,4,0,0,62,0,0
210,19,0,-1,0,162,0,0
210,20,-4,0,0,62,0,0
210,20,4,0,0,161,0,0
220,20,0,6,0,161,0,0
220,20,0,6,0,62,0,0
225,19,0,1,0,162,0,0
250,20,-4,0,0,181,0,0
250,20,4,0,0,82,0,0
260,19,0,-1,0,182,0,0
260,20,-4,0,0,82,0,0
260,20,4,0,0,181,0,0
270,20,0,6,0,181,0,0
270,20,0,6,0,82,0,0
275,19,0,1,0,182,0,0
300,7,380,40,0,1,0,0
300,15,381,90,1,39,0,0
300,20,0,5,0,41,0,0
300,20,1,0,0,1,0,0
300,27,10,0,0,1,0,0
300,31,0,0,0,41,0,0
300,45,625,0,0,1,0,0
305,7,380,40,0,2,0,0
305,20,1,0,0,2,0,0
305,27,10,0,0,2,0,0
310,7,380,40,0,3,0,0
310,20,1,0,0,3,0,0
310,27,10,0,0,3,0,0
315,7,380,40,0,4,0,0
315,20,1,0,0,4,0,0
315,27,10,0,0,4,0,0
320,7,380,40,0,5,0,0
320,20,1,0,0,5,0,0
320,27,10,0,0,5,0,0
325,7,380,40,0,6,0,0
325,20,1,0,0,6,0,0
325,27,10,0,0,6,0,0
330,7,380,40,0,7,0,0
330,20,1,0,0,7,0,0
330,27,10,0,0,7,0,0
335,7,380,40,0,8,0,0
335,20,1,0,0,8,0,0
335,27,10,0,0,8,0,0
340,7,380,40,0,9,0,0
340,19,0,0,0,39,0,0
340,20,1,0,0,9,0,0
