time,type,data,data2,data3,data4,data5,data6
0,2,1,2,1,0,0,0
0,5,27,14,33,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,48,0,0,0,0,0,0
22,6,428,190,0,10,0,0
22,6,429,214,0,10,0,0
32,6,428,50,0,11,0,0
32,6,429,74,0,11,0,0
42,6,428,120,0,12,0,0
42,6,429,144,0,12,0,0
50,6,426,190,0,10,0,0
50,6,427,214,0,10,0,0
50,45,628,0,0,10,0,0
52,6,426,220,0,13,-28,0
52,6,427,244,0,13,-28,0
52,6,428,220,0,13,0,0
52,6,429,244,0,13,0,0
52,45,628,0,0,13,0,0
60,6,427,74,0,11,0,0
60,6,426,50,0,11,0,0
60,45,628,0,0,11,0,0
70,6,427,144,0,12,0,0
70,6,426,120,0,12,0,0
70,45,628,0,0,12,0,0
80,19,0,-2,0,10,0,0
80,24,10,1,1,10,0,0
89,24,20,17,0,10,0,0
90,19,0,-2,0,11,0,0
90,24,10,1,1,11,0,0
94,20,0,4,0,10,0,0
99,24,20,17,0,11,0,0
100,19,0,-2,0,12,0,0
100,24,10,1,1,12,0,0
104,20,0,4,0,11,0,0
109,24,20,17,0,12,0,0
110,19,0,-2,0,13,0,0
110,24,10,1,1,13,0,0
114,20,0,4,0,12,0,0
119,24,20,17,0,13,0,0
124,20,0,4,0,13,0,0
150,16,2,30,0,0,0,0
150,34,0,0,0,0,0,0
180,6,426,90,0,64,-28,0
180,6,427,114,0,64,-28,0
180,6,428,90,0,64,0,0
180,6,429,114,0,64,0,0
180,6,426,178,0,163,-28,0
180,6,427,202,0,163,-28,0
180,6,428,178,0,163,0,0
180,6,429,202,0,163,0,0
180,25,255,0,0,64,0,0
180,25,255,0,0,163,0,0
180,45,628,0,0,163,0,0
180,45,628,0,0,64,0,0
200,10,772,134,0,164,-56,0
200,10,773,158,0,164,-56,0
200,10,774,134,0,164,-28,0
200,10,775,158,0,164,-28,0
200,35,6,0,0,0,0,0
200,36,0,0,0,0,0,0
200,52,153,110,14,164,-84,-6
200,52,155,134,14,164,-84,-6
200,52,197,182,14,164,-56,-6
200,52,229,110,14,164,-28,-6
200,52,157,158,14,164,-84,-6
200,52,159,182,14,164,-84,-6
200,52,235,182,14,164,-28,-6
200,52,267,122,14,164,0,-6
200,52,269,146,14,164,0,-6
200,52,271,170,14,164,0,-6
200,52,191,110,14,164,-56,-6
201,25,255,0,0,164,0,0
201,31,0,0,0,164,0,0
240,19,0,-1,0,64,0,0
240,19,0,-1,0,163,0,0
240,24,10,1,1,163,0,0
240,24,10,1,1,64,0,0
240,62,16,0,0,0,0,0
240,79,64,163,0,0,0,0
249,24,20,17,0,163,0,0
249,24,20,17,0,64,0,0
293,19,0,-1,0,164,0,0
293,62,19,0,0,0,0,0
