time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,34,16,33,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,29,0,0,0,0,0,0
0,46,0,0,20,0,0,0
0,65,0,0,0,0,0,0
100,15,645,100,1,29,-84,0
100,15,646,124,1,29,-84,0
100,15,647,100,1,29,-56,0
100,15,648,124,1,29,-56,0
100,15,649,100,1,29,-28,0
100,15,650,124,1,29,-28,0
100,15,651,100,1,29,0,0
100,15,652,124,1,29,0,0
110,15,653,64,1,28,-56,0
110,15,654,88,1,28,-56,0
110,15,655,64,1,28,-28,0
110,15,656,88,1,28,-28,0
110,15,657,64,1,28,0,0
110,15,658,88,1,28,0,0
110,15,653,136,1,27,-56,0
110,15,654,160,1,27,-56,0
110,15,655,136,1,27,-28,0
110,15,656,160,1,27,-28,0
110,15,657,136,1,27,0,0
110,15,658,160,1,27,0,0
120,2,0,0,0,0,0,0
120,7,659,10,1,26,-28,0
120,7,660,34,1,26,-28,0
120,7,661,10,1,26,0,0
120,7,662,34,1,26,0,0
120,7,663,58,1,26,-14,0
120,7,664,236,1,25,-14,0
120,7,665,260,1,25,-28,0
120,7,666,284,1,25,-28,0
120,7,667,260,1,25,0,0
120,7,668,284,1,25,0,0
120,19,0,0,0,28,0,0
120,19,0,0,0,27,0,0
120,19,0,0,0,29,0,0
120,53,0,0,0,0,0,0
160,19,0,0,0,26,0,0
160,19,0,0,0,25,0,0
180,31,2,0,0,26,0,0
180,31,2,0,0,25,0,0
200,7,669,-99,2,1,0,0
240,19,4,1,0,1,0,0
240,25,40,0,0,1,0,0
240,74,270,176,0,1,0,40
250,7,669,-99,2,2,0,0
290,19,4,1,0,2,0,0
290,25,40,0,0,2,0,0
290,74,270,176,0,2,0,40
300,7,669,-99,2,3,0,0
340,19,-4,1,0,3,0,0
340,25,40,0,0,3,0,0
340,74,270,176,0,3,0,40
350,7,670,-99,2,4,0,0
390,19,1,5,0,4,0,0
390,25,40,0,0,4,0,0
390,74,270,176,0,4,0,40
400,7,669,-99,2,5,0,0
