time,type,data,data2,data3,data4,data5,data6
0,0,0,0,0,0,0,0
0,2,1,2,0,0,0,0
0,5,16,33,0,0,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,29,0,0,0,0,0,0
0,43,0,0,0,0,0,0
0,46,0,0,20,0,0,0
0,53,0,0,0,0,0,0
0,65,0,0,0,0,0,0
1,54,-5536,0,0,0,0,0
100,2,1,2,0,0,0,0
100,41,0,0,0,0,0,0
101,2,1,2,0,0,0,0
120,6,722,94,0,2,0,0
120,6,722,108,0,3,0,0
120,6,722,122,0,4,0,0
120,6,722,136,0,5,0,0
120,6,722,150,0,6,0,0
120,6,722,164,0,7,0,0
120,6,722,178,0,8,0,0
120,6,722,192,0,9,0,0
120,6,722,206,0,10,0,0
120,6,723,80,0,11,-16,0
120,6,723,94,0,12,-16,0
120,6,723,108,0,13,-16,0
120,6,723,122,0,14,-16,0
120,6,723,136,0,15,-16,0
120,6,723,150,0,16,-16,0
120,6,723,164,0,17,-16,0
120,6,723,178,0,18,-16,0
120,6,723,192,0,19,-16,0
120,6,723,206,0,20,-16,0
120,6,722,80,0,1,0,0
120,10,724,94,0,22,-32,0
120,10,724,108,0,23,-32,0
120,10,724,122,0,24,-32,0
120,10,724,136,0,25,-32,0
120,10,724,150,0,26,-32,0
120,10,724,164,0,27,-32,0
120,10,724,178,0,28,-32,0
120,10,724,192,0,29,-32,0
120,10,724,206,0,30,-32,0
120,10,725,80,0,31,-48,0
120,10,725,94,0,32,-48,0
120,10,725,108,0,33,-48,0
120,10,725,122,0,34,-48,0
120,10,725,136,0,35,-48,0
120,10,725,150,0,36,-48,0
120,10,725,164,0,37,-48,0
120,10,725,178,0,38,-48,0
120,10,725,192,0,39,-48,0
120,10,725,206,0,40,-48,0
120,10,724,80,0,21,-32,0
200,2,0,0,0,0,0,0
200,19,3,0,99,0,0,0
200,20,10,0,0,0,0,0
200,27,3,-99,0,0,0,0
200,76,0,0,0,0,0,0
209,75,1,5,80,4,0,0
210,19,-1,-1,80,0,0,0
210,20,0,6,80,0,0,0
210,27,99,99,80,0,0,0
249,75,6,10,81,4,0,0
250,19,1,-1,81,0,0,0
250,20,0,6,81,0,0,0
250,27,99,99,81,0,0,0
289,75,11,15,82,7,0,0
290,19,-1,-1,82,0,0,0
290,20,-3,3,82,0,0,0
290,27,99,99,82,0,0,0
300,20,3,3,82,0,0,0
310,20,3,0,82,0,0,0
320,20,0,0,82,0,0,0
349,75,6,10,81,4,0,0
350,19,1,-1,81,0,0,0
350,20,0,6,81,0,0,0
350,27,99,99,81,0,0,0
389,75,1,5,80,4,0,0
390,19,-1,-1,80,0,0,0
