time,type,data,data2,data3,data4,data5,data6
0,0,0,0,0,0,0,0
0,2,1,20,0,0,0,0
0,5,10,33,32,5,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,43,3,0,0,0,0,0
0,64,4,1,3,0,0,0
100,2,1,16,0,0,0,0
124,6,524,126,1,6,0,0
124,10,522,114,1,5,0,0
124,10,523,138,1,5,0,0
124,45,608,0,0,6,0,0
124,45,628,0,0,5,0,0
144,6,524,176,1,2,0,0
144,10,522,164,1,1,0,0
144,10,523,188,1,1,0,0
144,20,0,2,0,6,0,0
144,20,0,6,0,5,0,0
144,25,20,0,0,5,0,0
144,45,608,0,0,2,0,0
144,45,628,0,0,1,0,0
164,20,0,6,0,1,0,0
164,20,0,2,0,2,0,0
164,25,20,0,0,1,0,0
170,6,803,49,1,31,-28,0
170,6,804,25,1,31,0,0
170,6,805,49,1,31,0,0
170,6,806,240,1,32,-28,0
170,6,807,264,1,32,-28,0
170,6,808,240,1,32,0,0
170,6,809,264,1,32,0,0
170,6,802,25,1,31,-28,0
200,2,1,17,0,0,0,0
200,15,742,0,1,19,-28,0
200,15,743,24,1,19,-28,0
200,15,744,12,1,19,0,0
200,20,10,16,0,19,0,0
210,15,742,0,1,18,-28,0
210,15,743,24,1,18,-28,0
210,15,744,12,1,18,0,0
210,20,10,16,0,18,0,0
220,15,742,0,1,17,-28,0
220,15,743,24,1,17,-28,0
220,15,744,12,1,17,0,0
220,20,1,0,0,31,0,0
220,20,-1,0,0,32,0,0
220,20,10,16,0,17,0,0
225,19,1,1,0,32,0,0
225,19,-1,1,0,31,0,0
225,20,0,0,0,32,0,0
225,20,0,0,0,31,0,0
230,15,742,0,1,16,-28,0
230,15,743,24,1,16,-28,0
230,15,744,12,1,16,0,0
230,20,10,16,0,16,0,0
230,20,6,0,0,31,0,0
230,20,-6,0,0,32,0,0
230,20,16,10,0,19,0,0
240,15,744,12,1,15,0,0
240,15,742,0,1,15,-28,0
240,15,743,24,1,15,-28,0
240,20,10,16,0,15,0,0
240,20,16,10,0,18,0,0
250,20,16,10,0,17,0,0
260,20,16,10,0,16,0,0
270,20,16,10,0,15,0,0
273,19,0,0,0,32,0,0
273,19,0,0,0,31,0,0
273,20,0,0,0,32,0,0
273,20,0,0,0,31,0,0
300,2,1,18,0,0,0,0
300,15,742,200,1,9,-28,0
300,15,743,224,1,9,-28,0
300,15,744,212,1,9,0,0
300,20,-10,16,0,9,0,0
310,15,742,200,1,8,-28,0
310,15,743,224,1,8,-28,0
310,15,744,212,1,8,0,0
310,20,-10,16,0,8,0,0
320,15,742,200,1,7,-28,0
320,15,743,224,1,7,-28,0
320,15,744,212,1,7,0,0
320,20,-10,16,0,7,0,0
330,15,742,200,1,6,-28,0
330,15,743,224,1,6,-28,0
330,15,744,212,1,6,0,0
330,20,-10,16,0,6,0,0
330,20,-16,10,0,9,0,0
340,15,742,200,1,5,-28,0
340,15,743,224,1,5,-28,0
340,15,744,212,1,5,0,0
340,20,-10,16,0,5,0,0
340,20,-16,10,0,8,0,0
350,20,-16,10,0,7,0,0
360,20,-16,10,0,6,0,0
370,20,-16,10,0,5,0,0
400,2,1,19,0,0,0,0
400,15,742,0,1,19,-28,0
400,15,743,24,1,19,-28,0
400,15,744,12,1,19,0,0
400,20,10,20,0,19,0,0
410,15,742,0,1,18,-28,0
410,15,743,24,1,18,-28,0
410,15,744,12,1,18,0,0
410,20,10,20,0,18,0,0
420,15,742,0,1,17,-28,0
420,15,743,24,1,17,-28,0
420,15,744,12,1,17,0,0
420,20,10,20,0,17,0,0
430,15,742,0,1,16,-28,0
430,15,743,24,1,16,-28,0
430,15,744,12,1,16,0,0
430,20,10,20,0,16,0,0
430,20,16,8,0,19,0,0
440,15,742,0,1,15,-28,0
440,15,743,24,1,15,-28,0
440,15,744,12,1,15,0,0
440,20,10,20,0,15,0,0
440,20,16,8,0,18,0,0
450,20,16,8,0,17,0,0
460,20,16,8,0,16,0,0
470,20,16,8,0,15,0,0
500,2,1,20,0,0,0,0
500,15,742,200,1,9,-28,0
500,15,743,224,1,9,-28,0
500,15,744,212,1,9,0,0
500,20,-10,20,0,9,0,0
510,15,742,200,1,8,-28,0
510,15,743,224,1,8,-28,0
510,15,744,212,1,8,0,0
510,20,-10,20,0,8,0,0
520,15,742,200,1,7,-28,0
520,15,743,224,1,7,-28,0
520,15,744,212,1,7,0,0
520,20,-10,20,0,7,0,0
530,15,742,200,1,6,-28,0
530,15,743,224,1,6,-28,0
530,15,744,212,1,6,0,0
530,20,-10,20,0,6,0,0
530,20,-16,8,0,9,0,0
540,15,742,200,1,5,-28,0
540,15,743,224,1,5,-28,0
540,15,744,212,1,5,0,0
540,20,-10,20,0,5,0,0
540,20,-16,8,0,8,0,0
550,20,-16,8,0,7,0,0
560,20,-16,8,0,6,0,0
570,20,-16,8,0,5,0,0
600,2,1,19,0,0,0,0
600,15,743,224,1,1,-28,0
600,15,744,212,1,1,0,0
600,15,132,20,3,7,0,0
600,15,742,200,1,1,-28,0
600,20,0,6,0,1,0,0
600,31,0,0,0,7,0,0
600,31,0,2,0,7,0,0
610,15,742,200,1,2,-28,0
610,15,743,224,1,2,-28,0
610,15,744,212,1,2,0,0
610,20,0,6,0,2,0,0
620,15,742,200,1,3,-28,0
620,15,743,224,1,3,-28,0
620,15,744,212,1,3,0,0
620,20,0,6,0,3,0,0
630,15,742,200,1,4,-28,0
630,15,743,224,1,4,-28,0
630,15,744,212,1,4,0,0
630,20,0,6,0,4,0,0
640,15,742,200,1,5,-28,0
640,15,743,224,1,5,-28,0
640,15,744,212,1,5,0,0
640,20,0,6,0,5,0,0
650,15,742,200,1,6,-28,0
650,15,743,224,1,6,-28,0
650,15,744,212,1,6,0,0
650,20,0,6,0,6,0,0
700,2,1,18,0,0,0,0
700,15,824,20,1,10,0,0
700,20,3,0,0,10,0,0
700,27,8,0,0,10,0,0
700,31,10,0,0,10,0,0
700,77,8174,16576,0,0,0,0
705,15,824,20,1,11,0,0
705,20,3,0,0,11,0,0
705,27,8,0,0,11,0,0
705,31,10,0,0,11,0,0
710,15,824,20,1,12,0,0
710,20,3,0,0,12,0,0
710,27,8,0,0,12,0,0
710,31,10,0,0,12,0,0
715,15,824,20,1,13,0,0
715,20,3,0,0,13,0,0
715,27,8,0,0,13,0,0
715,31,10,0,0,13,0,0
720,15,824,20,1,14,0,0
720,20,3,0,0,14,0,0
720,27,8,0,0,14,0,0
720,31,10,0,0,14,0,0
770,15,824,220,1,15,0,0
770,20,-3,0,0,15,0,0
770,27,-8,0,0,15,0,0
770,31,10,0,0,15,0,0
775,15,824,220,1,16,0,0
775,20,-3,0,0,16,0,0
775,27,-8,0,0,16,0,0
775,31,10,0,0,16,0,0
780,15,824,220,1,17,0,0
780,20,-3,0,0,17,0,0
780,27,-8,0,0,17,0,0
780,31,10,0,0,17,0,0
785,15,824,220,1,18,0,0
785,20,-3,0,0,18,0,0
785,27,-8,0,0,18,0,0
785,31,10,0,0,18,0,0
790,15,824,220,1,19,0,0
790,20,-3,0,0,19,0,0
790,27,-8,0,0,19,0,0
790,31,10,0,0,19,0,0
900,15,742,0,1,7,-28,0
900,15,743,24,1,7,-28,0
900,15,744,12,1,7,0,0
900,20,0,6,0,7,0,0
910,15,742,0,1,8,-28,0
910,15,743,24,1,8,-28,0
910,15,744,12,1,8,0,0
910,20,0,6,0,8,0,0
920,15,742,0,1,9,-28,0
920,15,743,24,1,9,-28,0
920,15,744,12,1,9,0,0
920,20,0,6,0,9,0,0
930,15,742,0,1,4,-28,0
930,15,743,24,1,4,-28,0
930,15,744,12,1,4,0,0
930,20,0,6,0,4,0,0
940,15,742,0,1,5,-28,0
940,15,743,24,1,5,-28,0
940,15,744,12,1,5,0,0
940,20,0,6,0,5,0,0
950,15,742,0,1,6,-28,0
950,15,743,24,1,6,-28,0
950,15,744,12,1,6,0,0
950,20,0,6,0,6,0,0
1000,15,742,0,1,1,-28,0
1000,15,743,24,1,1,-28,0
1000,15,744,12,1,1,0,0
1000,20,0,6,0,1,0,0
1010,15,742,0,1,2,-28,0
1010,15,743,24,1,2,-28,0
1010,15,744,12,1,2,0,0
1010,20,0,6,0,2,0,0
1020,15,742,0,1,3,-28,0
1020,15,743,24,1,3,-28,0
1020,15,744,12,1,3,0,0
1020,20,0,6,0,3,0,0
1030,15,742,0,1,4,-28,0
1030,15,743,24,1,4,-28,0
1030,15,744,12,1,4,0,0
1030,20,0,6,0,4,0,0
1040,15,742,0,1,5,-28,0
1040,15,743,24,1,5,-28,0
1040,15,744,12,1,5,0,0
1040,20,0,6,0,5,0,0
1050,15,742,0,1,6,-28,0
1050,15,743,24,1,6,-28,0
1050,15,744,12,1,6,0,0
1050,20,0,6,0,6,0,0
1100,15,739,220,3,7,0,0
1100,15,740,244,3,7,0,0
1100,15,741,268,3,7,0,0
1100,15,742,0,1,11,-28,0
1100,15,743,24,1,11,-28,0
1100,15,744,12,1,11,0,0
1100,20,0,6,0,11,0,0
1110,15,742,0,1,12,-28,0
1110,15,743,24,1,12,-28,0
1110,15,744,12,1,12,0,0
1110,20,0,6,0,12,0,0
1120,15,742,0,1,13,-28,0
1120,15,743,24,1,13,-28,0
1120,15,744,12,1,13,0,0
1120,20,0,6,0,13,0,0
1130,15,742,0,1,14,-28,0
1130,15,743,24,1,14,-28,0
1130,15,744,12,1,14,0,0
1130,20,0,6,0,14,0,0
1140,15,742,0,1,15,-28,0
1140,15,743,24,1,15,-28,0
1140,15,744,12,1,15,0,0
1140,20,0,6,0,15,0,0
1140,31,0,0,2,7,0,0
1142,31,0,0,0,7,0,0
1150,15,744,12,1,16,0,0
1150,15,742,0,1,16,-28,0
1150,15,743,24,1,16,-28,0
1150,20,0,6,0,16,0,0
1200,6,524,36,1,2,0,0
1200,10,522,24,1,1,0,0
1200,10,523,48,1,1,0,0
1200,45,628,0,0,1,0,0
1210,6,524,76,1,4,0,0
1210,10,522,64,1,3,0,0
1210,10,523,88,1,3,0,0
1210,45,628,0,0,3,0,0
1220,6,524,116,1,6,0,0
1220,10,522,104,1,5,0,0
1220,10,523,128,1,5,0,0
1220,45,628,0,0,5,0,0
1224,20,0,6,0,1,0,0
1224,20,0,2,0,2,0,0
1224,25,20,0,0,1,0,0
1230,6,524,156,1,8,0,0
1230,10,522,144,1,7,0,0
1230,10,523,168,1,7,0,0
1230,45,628,0,0,7,0,0
1234,20,0,6,0,3,0,0
1234,20,0,2,0,4,0,0
1234,25,20,0,0,3,0,0
1244,20,0,6,0,5,0,0
1244,20,0,2,0,6,0,0
1244,25,20,0,0,5,0,0
1250,6,524,226,1,2,0,0
1250,10,522,214,1,1,0,0
1250,10,523,238,1,1,0,0
1250,45,628,0,0,1,0,0
1254,20,0,6,0,7,0,0
1254,20,0,2,0,8,0,0
1254,25,20,0,0,7,0,0
1260,6,524,186,1,4,0,0
1260,10,522,174,1,3,0,0
1260,10,523,198,1,3,0,0
1260,45,628,0,0,3,0,0
1270,6,524,146,1,6,0,0
1270,10,522,134,1,5,0,0
1270,10,523,158,1,5,0,0
1270,45,628,0,0,5,0,0
1274,20,0,6,0,1,0,0
1274,20,0,2,0,2,0,0
1274,25,20,0,0,1,0,0
1284,20,0,6,0,3,0,0
1284,20,0,2,0,4,0,0
1284,25,20,0,0,3,0,0
1294,20,0,6,0,5,0,0
1294,20,0,2,0,6,0,0
1294,25,20,0,0,5,0,0
1300,15,731,20,1,10,0,0
1300,20,3,0,0,10,0,0
1300,27,8,0,0,10,0,0
1300,31,10,0,0,10,0,0
1305,15,731,20,1,11,0,0
1305,20,3,0,0,11,0,0
1305,27,8,0,0,11,0,0
1305,31,10,0,0,11,0,0
1310,15,731,20,1,12,0,0
1310,20,3,0,0,12,0,0
1310,27,8,0,0,12,0,0
1310,31,10,0,0,12,0,0
1315,15,731,20,1,13,0,0
1315,20,3,0,0,13,0,0
1315,27,8,0,0,13,0,0
1315,31,10,0,0,13,0,0
1320,15,731,20,1,14,0,0
1320,20,3,0,0,14,0,0
1320,27,8,0,0,14,0,0
1320,31,10,0,0,14,0,0
1320,45,608,0,0,14,0,0
1370,15,731,220,1,15,0,0
1370,20,-3,0,0,15,0,0
1370,27,-8,0,0,15,0,0
1370,31,10,0,0,15,0,0
1375,15,731,220,1,16,0,0
1375,20,-3,0,0,16,0,0
1375,27,-8,0,0,16,0,0
1375,31,10,0,0,16,0,0
1380,15,731,220,1,17,0,0
1380,20,-3,0,0,17,0,0
1380,27,-8,0,0,17,0,0
1380,31,10,0,0,17,0,0
1385,15,731,220,1,18,0,0
1385,20,-3,0,0,18,0,0
1385,27,-8,0,0,18,0,0
1385,31,10,0,0,18,0,0
1390,15,731,220,1,19,0,0
1390,20,-3,0,0,19,0,0
1390,27,-8,0,0,19,0,0
1390,31,10,0,0,19,0,0
1390,45,623,0,0,19,0,0
1470,15,731,220,1,30,0,0
1470,20,-3,0,0,30,0,0
1470,27,-8,0,0,30,0,0
1470,31,10,0,0,30,0,0
1475,15,731,220,1,31,0,0
1475,20,-3,0,0,31,0,0
1475,27,-8,0,0,31,0,0
1475,31,10,0,0,31,0,0
1480,15,731,220,1,32,0,0
1480,20,-3,0,0,32,0,0
1480,27,-8,0,0,32,0,0
1480,31,10,0,0,32,0,0
1485,15,731,220,1,33,0,0
1485,20,-3,0,0,33,0,0
1485,27,-8,0,0,33,0,0
1485,31,10,0,0,33,0,0
1490,15,731,220,1,34,0,0
1490,20,-3,0,0,34,0,0
1490,27,-8,0,0,34,0,0
1490,31,10,0,0,34,0,0
1490,45,625,0,0,34,0,0
1540,15,731,220,1,25,0,0
1540,20,-3,0,0,25,0,0
1540,27,-8,0,0,25,0,0
1540,31,10,0,0,25,0,0
1545,15,731,220,1,26,0,0
1545,20,-3,0,0,26,0,0
1545,27,-8,0,0,26,0,0
1545,31,10,0,0,26,0,0
1550,15,731,220,1,27,0,0
1550,20,-3,0,0,27,0,0
1550,27,-8,0,0,27,0,0
1550,31,10,0,0,27,0,0
1555,15,731,220,1,28,0,0
1555,20,-3,0,0,28,0,0
1555,27,-8,0,0,28,0,0
1555,31,10,0,0,28,0,0
1560,15,731,220,1,29,0,0
1560,20,-3,0,0,29,0,0
1560,27,-8,0,0,29,0,0
1560,31,10,0,0,29,0,0
1560,45,602,0,0,29,0,0
1600,77,8174,16576,0,0,0,0
1640,15,731,20,1,10,0,0
1640,20,3,0,0,10,0,0
1640,27,8,0,0,10,0,0
1640,31,10,0,0,10,0,0
1645,15,731,20,1,11,0,0
1645,20,3,0,0,11,0,0
1645,27,8,0,0,11,0,0
1645,31,10,0,0,11,0,0
1650,15,731,20,1,12,0,0
1650,20,3,0,0,12,0,0
1650,27,8,0,0,12,0,0
1650,31,10,0,0,12,0,0
1655,15,731,20,1,13,0,0
1655,20,3,0,0,13,0,0
1655,27,8,0,0,13,0,0
1655,31,10,0,0,13,0,0
1660,15,731,20,1,14,0,0
1660,20,3,0,0,14,0,0
1660,27,8,0,0,14,0,0
1660,31,10,0,0,14,0,0
1660,45,603,0,0,14,0,0
1700,15,742,200,1,11,-28,0
1700,15,743,224,1,11,-28,0
1700,15,744,212,1,11,0,0
