time,type,data,data2,data3,data4,data5,data6
0,2,1,2,3,0,0,0
0,5,7,28,15,12,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,29,0,0,0,0,0,0
0,43,0,0,0,0,0,0
0,48,0,0,0,0,0,0
0,84,1,10000,40,0,0,0
20,7,795,210,-2,13,-20,0
20,20,-6,0,0,13,0,0
20,45,533,0,0,13,0,0
30,15,1057,20,1,1,0,0
30,15,1058,44,1,1,0,0
30,31,4,0,0,13,0,0
30,33,394,0,0,1,0,0
40,31,0,0,0,13,0,0
50,20,6,0,0,13,0,0
60,15,1057,20,1,2,0,0
60,15,1058,44,1,2,0,0
60,31,4,0,0,13,0,0
60,33,394,0,0,2,0,0
70,15,1057,200,1,5,0,0
70,15,1058,224,1,5,0,0
70,31,0,0,0,13,0,0
70,33,394,0,0,5,0,0
80,19,2,1,0,1,0,0
80,20,-6,0,0,13,0,0
90,15,1058,44,1,3,0,0
90,15,1057,20,1,3,0,0
90,19,2,0,0,1,0,0
90,33,394,0,0,3,0,0
100,15,1057,200,1,6,0,0
100,15,1058,224,1,6,0,0
100,33,394,0,0,6,0,0
110,19,2,1,0,2,0,0
120,19,2,0,0,2,0,0
130,15,1057,200,1,7,0,0
130,15,1058,224,1,7,0,0
130,33,394,0,0,7,0,0
140,19,2,1,0,3,0,0
140,19,-2,1,0,5,0,0
150,18,1061,-20,0,8,0,0
150,19,-2,0,0,5,0,0
150,19,2,0,0,3,0,0
150,19,2,-2,0,8,0,0
150,45,828,0,0,8,0,0
170,19,-2,1,0,6,0,0
180,19,-2,0,0,6,0,0
200,18,1062,260,0,9,0,0
200,19,-2,1,0,7,0,0
200,19,-2,-2,0,9,0,0
200,45,603,0,0,9,0,0
210,19,-2,0,0,7,0,0
280,15,1057,20,1,1,0,0
280,15,1058,44,1,1,0,0
280,33,394,0,0,1,0,0
310,15,1057,20,1,2,0,0
310,15,1058,44,1,2,0,0
310,33,394,0,0,2,0,0
320,7,795,10,-2,13,-20,0
320,15,1057,200,1,5,0,0
320,15,1058,224,1,5,0,0
320,20,6,0,0,13,0,0
320,33,394,0,0,5,0,0
320,45,534,0,0,13,0,0
320,85,533,0,0,13,0,0
330,19,2,1,0,1,0,0
330,31,4,0,0,13,0,0
340,15,1058,44,1,3,0,0
340,15,1057,20,1,3,0,0
340,19,2,0,0,1,0,0
340,31,0,0,0,13,0,0
340,33,394,0,0,3,0,0
350,15,1057,200,1,6,0,0
350,15,1058,224,1,6,0,0
350,18,1062,270,0,9,0,0
350,19,-2,-2,0,9,0,0
350,20,-6,0,0,13,0,0
350,33,394,0,0,6,0,0
350,45,609,0,0,9,0,0
360,19,2,1,0,2,0,0
360,31,4,0,0,13,0,0
370,19,2,0,0,2,0,0
370,31,0,0,0,13,0,0
380,15,1058,224,1,7,0,0
380,15,1057,200,1,7,0,0
380,20,6,0,0,13,0,0
380,33,394,0,0,7,0,0
390,19,-2,1,0,5,0,0
390,19,2,1,0,3,0,0
400,18,1061,-30,0,8,0,0
400,19,-2,0,0,5,0,0
400,19,2,0,0,3,0,0
400,19,2,-2,0,8,0,0
400,45,611,0,0,8,0,0
400,85,607,0,0,8,0,0
420,19,-2,1,0,6,0,0
430,19,-2,0,0,6,0,0
450,19,-2,1,0,7,0,0
460,19,-2,0,0,7,0,0
520,7,795,10,-2,14,0,0
520,20,6,0,0,14,0,0
520,45,533,0,0,14,0,0
530,31,4,0,0,14,0,0
540,31,0,0,0,14,0,0
550,20,-6,0,0,14,0,0
550,49,85,300,28,11,20,10
550,49,87,324,28,11,20,10
551,19,-3,0,0,11,0,0
551,33,392,0,0,11,0,0
560,31,4,0,0,14,0,0
560,49,85,300,28,12,0,10
560,49,87,324,28,12,0,10
561,19,-3,0,0,12,0,0
561,33,392,0,0,12,0,0
570,31,0,0,0,14,0,0
570,49,85,300,28,13,-20,10
570,49,87,324,28,13,-20,10
571,19,-3,0,0,13,0,0
571,33,392,0,0,13,0,0
580,20,6,0,0,14,0,0
580,52,44,-60,28,9,60,10
580,52,46,-36,28,9,60,10
581,19,3,0,0,9,0,0
581,33,392,0,0,9,0,0
590,52,44,-60,28,8,40,10
590,52,46,-36,28,8,40,10
591,19,3,0,0,8,0,0
591,33,392,0,0,8,0,0
600,52,44,-60,28,10,20,10
600,52,46,-36,28,10,20,10
601,19,3,0,0,10,0,0
601,33,392,0,0,10,0,0
650,18,1061,-20,0,14,0,0
650,19,2,-2,0,14,0,0
650,45,615,0,0,14,0,0
650,49,87,324,28,4,0,10
650,49,85,300,28,4,0,10
650,85,625,0,0,14,0,0
651,19,-3,0,0,4,0,0
651,33,392,0,0,4,0,0
660,49,85,300,28,5,-20,10
660,49,87,324,28,5,-20,10
661,19,-3,0,0,5,0,0
661,33,392,0,0,5,0,0
670,49,85,300,28,6,-40,10
670,49,87,324,28,6,-40,10
671,19,-3,0,0,6,0,0
671,33,392,0,0,6,0,0
680,52,44,-60,28,1,40,10
680,52,46,-36,28,1,40,10
681,19,3,0,0,1,0,0
681,33,392,0,0,1,0,0
690,52,44,-60,28,2,20,10
690,52,46,-36,28,2,20,10
691,19,3,0,0,2,0,0
691,33,392,0,0,2,0,0
700,18,1062,260,0,15,0,0
700,19,-2,-2,0,15,0,0
700,45,618,0,0,15,0,0
700,52,46,-36,28,3,0,10
700,52,44,-60,28,3,0,10
701,19,3,0,0,3,0,0
701,33,392,0,0,3,0,0
750,49,87,324,28,4,60,10
750,49,85,300,28,4,60,10
751,19,-3,0,0,4,0,0
751,33,392,0,0,4,0,0
760,49,87,324,28,5,40,10
760,49,85,300,28,5,40,10
