time,type,data,data2,data3,data4,data5,data6
0,2,1,2,1,0,0,0
0,5,8,23,9,5,0,0
0,14,0,0,0,0,0,0
0,37,90,0,0,0,0,0
20,15,284,200,0,1,0,0
20,20,-2,0,0,1,0,0
20,27,-3,0,0,1,0,0
30,15,284,200,0,2,0,0
30,20,-2,0,0,2,0,0
30,27,-3,0,0,2,0,0
40,15,284,200,0,3,0,0
40,20,-2,0,0,3,0,0
40,27,-3,0,0,3,0,0
50,15,284,200,0,4,0,0
50,20,-2,0,0,4,0,0
50,27,-3,0,0,4,0,0
50,45,603,0,0,4,0,0
80,12,1107,-200,3,16,0,3
100,12,138,-200,3,13,0,3
110,6,1113,150,0,9,-63,0
110,6,1114,150,0,9,-49,0
110,6,1115,108,0,9,-28,0
110,6,1116,132,0,9,-28,0
110,6,1117,156,0,9,-28,0
110,6,1118,114,0,9,-7,0
110,6,1119,132,0,9,0,0
110,6,1120,156,0,9,0,0
110,6,1111,114,0,9,-49,0
110,6,1112,132,0,9,-56,0
120,12,1107,-200,4,17,0,3
120,15,284,20,0,5,0,0
120,20,2,0,0,5,0,0
120,27,3,0,0,5,0,0
130,15,284,20,0,6,0,0
130,20,2,0,0,6,0,0
130,27,3,0,0,6,0,0
140,15,284,20,0,7,0,0
140,20,2,0,0,7,0,0
140,27,3,0,0,7,0,0
150,15,284,20,0,8,0,0
150,20,2,0,0,8,0,0
150,27,3,0,0,8,0,0
150,45,616,0,0,8,0,0
180,12,138,-200,4,14,0,3
200,12,1107,-200,6,18,0,3
220,15,284,200,0,1,0,0
220,20,-2,0,0,1,0,0
220,27,-3,0,0,1,0,0
230,15,284,200,0,2,0,0
230,20,-2,0,0,2,0,0
230,27,-3,0,0,2,0,0
240,12,138,-200,6,15,0,3
240,15,284,200,0,3,0,0
240,20,-2,0,0,3,0,0
240,27,-3,0,0,3,0,0
250,15,284,200,0,4,0,0
250,20,-2,0,0,4,0,0
250,27,-3,0,0,4,0,0
250,45,623,0,0,4,0,0
300,12,1107,-200,2,19,0,3
320,15,284,20,0,5,0,0
320,20,2,0,0,5,0,0
320,27,3,0,0,5,0,0
330,15,284,20,0,6,0,0
330,20,2,0,0,6,0,0
330,27,3,0,0,6,0,0
340,15,284,20,0,7,0,0
340,20,2,0,0,7,0,0
340,27,3,0,0,7,0,0
350,15,284,20,0,8,0,0
350,20,2,0,0,8,0,0
350,27,3,0,0,8,0,0
350,45,611,0,0,8,0,0
390,12,138,-200,2,13,0,3
410,6,1119,162,0,10,0,0
410,6,1120,186,0,10,0,0
410,6,1111,144,0,10,-49,0
410,6,1112,162,0,10,-56,0
410,6,1113,180,0,10,-63,0
410,6,1114,180,0,10,-49,0
410,6,1115,138,0,10,-28,0
410,6,1116,162,0,10,-28,0
410,6,1117,186,0,10,-28,0
410,6,1118,144,0,10,-7,0
420,12,1107,-200,4,16,0,3
420,15,284,200,0,1,0,0
420,20,-2,0,0,1,0,0
420,27,-3,0,0,1,0,0
430,15,284,200,0,2,0,0
430,20,-2,0,0,2,0,0
430,27,-3,0,0,2,0,0
440,15,284,200,0,3,0,0
440,20,-2,0,0,3,0,0
440,27,-3,0,0,3,0,0
450,15,284,200,0,4,0,0
450,20,-2,0,0,4,0,0
450,27,-3,0,0,4,0,0
450,45,603,0,0,4,0,0
460,12,1107,-200,3,17,0,3
460,12,138,-200,4,14,0,3
520,12,138,-200,1,15,0,3
520,15,284,20,0,5,0,0
520,20,2,0,0,5,0,0
520,27,3,0,0,5,0,0
530,12,1107,-200,5,18,0,3
530,15,284,20,0,6,0,0
530,20,2,0,0,6,0,0
530,27,3,0,0,6,0,0
540,15,284,20,0,7,0,0
540,20,2,0,0,7,0,0
540,27,3,0,0,7,0,0
550,15,284,20,0,8,0,0
550,20,2,0,0,8,0,0
550,27,3,0,0,8,0,0
550,45,614,0,0,8,0,0
590,12,138,-200,5,13,0,3
600,12,1107,-200,2,19,0,3
602,10,565,162,0,90,0,0
602,10,564,160,0,81,-24,0
602,10,564,160,0,82,24,0
602,19,7,0,0,81,0,0
602,19,-7,0,0,82,0,0
602,20,-1,1,0,81,0,0
602,20,1,-1,0,82,0,0
602,27,-7,7,0,81,0,0
602,27,7,-7,0,82,0,0
602,45,607,0,0,90,0,0
650,12,138,-200,3,14,0,3
660,12,1107,-200,1,16,0,3
692,10,564,50,0,42,24,0
692,10,565,52,0,50,0,0
692,10,564,50,0,41,-24,0
692,19,7,0,0,41,0,0
692,19,-7,0,0,42,0,0
692,20,-1,1,0,41,0,0
692,20,1,-1,0,42,0,0
692,27,-7,7,0,41,0,0
692,27,7,-7,0,42,0,0
692,45,607,0,0,50,0,0
700,12,138,-200,4,15,0,3
710,6,1119,232,0,9,0,0
710,6,1120,256,0,9,0,0
710,6,1111,214,0,9,-49,0
710,6,1112,232,0,9,-56,0
710,6,1113,250,0,9,-63,0
710,6,1114,250,0,9,-49,0
710,6,1115,208,0,9,-28,0
710,6,1116,232,0,9,-28,0
710,6,1117,256,0,9,-28,0
710,6,1118,214,0,9,-7,0
760,12,138,-200,6,13,0,3
780,12,1107,-200,5,17,0,3
800,15,285,120,0,1,0,0
800,33,513,0,0,1,0,0
800,45,607,0,0,1,0,0
810,15,285,100,-1,2,0,0
810,15,285,140,-1,3,0,0
810,45,628,0,0,2,0,0
810,45,628,0,0,3,0,0
820,12,138,-200,2,14,0,3
900,12,1107,-200,6,18,0,3
900,12,138,-200,3,15,0,3
902,10,565,222,0,50,0,0
902,10,564,220,0,41,-24,0
902,10,564,220,0,42,24,0
902,19,7,0,0,41,0,0
902,19,-7,0,0,42,0,0
902,20,-1,1,0,41,0,0
902,20,1,-1,0,42,0,0
902,27,-7,7,0,41,0,0
902,27,7,-7,0,42,0,0
902,45,607,0,0,50,0,0
930,12,1107,-200,4,19,0,3
960,12,138,-200,5,13,0,3
970,15,284,20,0,5,0,0
970,15,284,80,0,1,0,0
970,20,2,0,0,5,0,0
970,20,-2,0,0,1,0,0
970,27,3,0,0,5,0,0
970,27,-3,0,0,1,0,0
980,15,284,20,0,6,0,0
980,15,284,80,0,2,0,0
980,20,2,0,0,6,0,0
980,20,-2,0,0,2,0,0
980,27,3,0,0,6,0,0
980,27,-3,0,0,2,0,0
990,15,284,20,0,7,0,0
990,15,284,80,0,3,0,0
990,20,2,0,0,7,0,0
990,20,-2,0,0,3,0,0
990,27,3,0,0,7,0,0
990,27,-3,0,0,3,0,0
1000,12,138,-200,2,14,0,3
1000,15,284,80,0,4,0,0
1000,15,284,20,0,8,0,0
1000,20,-2,0,0,4,0,0
1000,20,2,0,0,8,0,0
1000,27,-3,0,0,4,0,0
1000,27,3,0,0,8,0,0
1000,45,628,0,0,4,0,0
1000,45,628,0,0,8,0,0
1010,12,1107,-200,2,16,0,3
1040,15,554,-200,1,0,0,0
1060,12,1107,-200,5,17,0,3
1060,15,554,-200,1,0,0,0
1080,12,138,-200,4,15,0,3
1080,15,555,-200,1,0,0,0
1100,15,554,-200,1,0,0,0
1120,15,554,-200,1,0,0,0
1130,15,462,-200,1,1,0,0
1130,45,628,0,0,1,0,0
1180,12,138,-200,3,13,0,3
1200,12,1107,-200,3,18,0,3
1200,12,138,-200,5,14,0,3
1210,6,1113,50,0,10,-63,0
1210,6,1114,50,0,10,-49,0
1210,6,1115,8,0,10,-28,0
1210,6,1116,32,0,10,-28,0
1210,6,1117,56,0,10,-28,0
1210,6,1118,14,0,10,-7,0
1210,6,1119,32,0,10,0,0
1210,6,1120,56,0,10,0,0
