time,type,data,data2,data3,data4,data5,data6
0,2,1,2,1,0,0,0
0,5,24,35,36,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
100,10,1197,120,1,1,0,0
100,10,1198,144,1,1,0,0
110,10,1197,120,1,2,0,0
110,10,1198,144,1,2,0,0
120,10,1197,120,1,3,0,0
120,10,1198,144,1,3,0,0
130,10,1197,120,1,4,0,0
130,10,1198,144,1,4,0,0
140,10,1197,120,1,5,0,0
140,10,1198,144,1,5,0,0
140,20,8,0,0,1,3,0
150,20,-8,0,0,2,2,0
160,20,8,0,0,3,3,0
170,20,-8,0,0,4,2,0
180,20,8,0,0,5,3,0
200,10,1218,200,0,11,-28,0
200,10,1219,200,0,99,0,0
200,10,1197,20,1,6,0,0
200,10,1198,44,1,6,0,0
200,45,604,0,0,11,0,0
201,20,1,0,0,11,0,0
201,27,1,0,0,11,0,0
201,39,99,11,0,11,0,0
210,10,1197,20,1,7,0,0
210,10,1198,44,1,7,0,0
220,10,1197,20,1,8,0,0
220,10,1198,44,1,8,0,0
230,10,1197,20,1,9,0,0
230,10,1198,44,1,9,0,0
240,10,1197,20,1,10,0,0
240,10,1198,44,1,10,0,0
240,20,10,0,0,6,3,0
244,6,1202,42,0,20,-29,0
244,6,1203,18,0,20,-1,0
244,6,1204,42,0,20,-1,0
244,6,1201,18,0,20,-29,0
250,20,8,0,0,7,3,0
260,20,10,0,0,8,3,0
270,20,8,0,0,9,3,0
280,20,10,0,0,10,3,0
300,6,1202,162,0,21,-29,0
300,6,1203,138,0,21,-1,0
300,6,1204,162,0,21,-1,0
300,6,1201,138,0,21,-29,0
300,10,1218,40,0,12,-28,0
300,10,1219,40,0,98,0,0
300,45,611,0,0,12,0,0
301,20,1,0,0,12,0,0
301,27,1,0,0,12,0,0
301,39,98,12,0,12,0,0
320,6,1216,260,-1,41,14,0
320,6,1217,260,-1,41,42,0
320,10,1215,260,-1,42,56,0
320,10,1213,260,-1,42,0,0
320,10,1214,260,-1,42,28,0
320,19,-2,-1,0,42,0,0
320,19,-2,-1,0,41,0,0
356,6,1201,186,0,22,-29,0
356,6,1202,210,0,22,-29,0
356,6,1203,186,0,22,-1,0
356,6,1204,210,0,22,-1,0
370,19,0,3,0,41,0,0
380,20,0,-4,0,42,0,0
400,10,1197,220,1,6,0,0
400,10,1198,244,1,6,0,0
410,10,1197,220,1,7,0,0
410,10,1198,244,1,7,0,0
420,10,1197,220,1,8,0,0
420,10,1198,244,1,8,0,0
430,10,1197,220,1,9,0,0
430,10,1198,244,1,9,0,0
440,10,1197,220,1,10,0,0
440,10,1198,244,1,10,0,0
440,20,-10,0,0,6,2,0
450,20,-8,0,0,7,2,0
460,20,-10,0,0,8,2,0
470,6,1216,-30,-1,41,14,0
470,6,1217,-30,-1,41,42,0
470,10,1215,-30,-1,42,56,0
470,10,1213,-30,-1,42,0,0
470,10,1214,-30,-1,42,28,0
470,19,2,-1,0,42,0,0
470,19,2,-1,0,41,0,0
470,20,-8,0,0,9,2,0
480,20,-10,0,0,10,2,0
490,6,1216,-40,-1,61,10,0
490,6,1217,-40,-1,61,38,0
490,10,1215,-40,-1,62,52,0
490,10,1213,-40,-1,62,-4,0
490,10,1214,-40,-1,62,24,0
490,19,2,-1,0,62,0,0
490,19,2,-1,0,61,0,0
510,10,1218,40,0,11,-28,0
510,10,1219,40,0,97,0,0
510,45,612,0,0,11,0,0
511,20,1,0,0,11,0,0
511,27,1,0,0,11,0,0
511,39,97,11,0,11,0,0
520,19,0,3,0,41,0,0
530,20,0,-4,0,42,0,0
540,10,1218,210,0,12,-28,0
540,10,1219,210,0,99,0,0
540,45,625,0,0,12,0,0
541,20,1,0,0,12,0,0
541,27,1,0,0,12,0,0
541,39,99,12,0,12,0,0
570,19,0,3,0,61,0,0
580,20,0,-4,0,62,0,0
600,10,1197,120,1,1,0,0
600,10,1198,144,1,1,0,0
610,10,1197,120,1,2,0,0
610,10,1198,144,1,2,0,0
620,10,1197,120,1,3,0,0
620,10,1198,144,1,3,0,0
630,10,1197,120,1,4,0,0
630,10,1198,144,1,4,0,0
640,10,1197,120,1,5,0,0
640,10,1198,144,1,5,0,0
640,10,1218,100,0,13,-28,0
640,10,1219,100,0,99,0,0
640,20,8,0,0,1,3,0
640,45,607,0,0,13,0,0
641,20,1,0,0,13,0,0
641,27,1,0,0,13,0,0
641,39,99,13,0,13,0,0
650,20,-8,0,0,2,2,0
660,20,8,0,0,3,3,0
670,20,-8,0,0,4,2,0
680,20,8,0,0,5,3,0
700,10,1197,220,1,6,0,0
700,10,1198,244,1,6,0,0
710,10,1197,220,1,7,0,0
710,10,1198,244,1,7,0,0
720,10,1197,220,1,8,0,0
720,10,1198,244,1,8,0,0
720,10,1218,170,0,14,-28,0
720,10,1219,170,0,99,0,0
720,45,609,0,0,14,0,0
721,20,1,0,0,14,0,0
721,27,1,0,0,14,0,0
721,39,99,14,0,14,0,0
730,10,1197,220,1,9,0,0
730,10,1198,244,1,9,0,0
740,10,1197,220,1,10,0,0
740,10,1198,244,1,10,0,0
740,20,-10,0,0,6,2,0
750,20,-8,0,0,7,2,0
760,20,-10,0,0,8,2,0
770,20,-8,0,0,9,2,0
780,20,-10,0,0,10,2,0
800,10,1197,20,1,6,0,0
800,10,1198,44,1,6,0,0
810,10,1197,20,1,7,0,0
810,10,1198,44,1,7,0,0
820,10,1197,20,1,8,0,0
820,10,1198,44,1,8,0,0
820,20,10,0,0,8,3,0
830,10,1197,20,1,9,0,0
830,10,1198,44,1,9,0,0
830,10,1218,170,0,14,-28,0
830,10,1219,170,0,99,0,0
830,45,615,0,0,14,0,0
831,20,1,0,0,14,0,0
831,27,1,0,0,14,0,0
