time,type,data,data2,data3,data4,data5,data6
0,2,1,2,1,0,0,0
0,5,35,36,0,0,0,0
0,9,0,0,0,0,0,0
0,14,0,0,0,0,0,0
0,37,98,0,0,0,0,0
0,48,0,0,0,0,0,0
100,15,1226,10,2,1,0,0
110,15,1226,10,2,2,0,0
120,15,1226,10,2,3,0,0
130,15,1226,10,2,4,0,0
140,15,1226,10,2,5,0,0
140,20,6,-6,0,1,0,0
140,45,603,0,0,5,0,0
150,20,6,-6,0,2,0,0
160,20,6,-6,0,3,0,0
170,20,-6,6,0,1,0,0
170,20,6,-6,0,4,0,0
180,20,-6,6,0,2,0,0
180,20,6,-6,0,5,0,0
190,20,-6,6,0,3,0,0
200,15,1226,210,2,6,0,0
200,20,-6,6,0,4,0,0
210,15,1226,210,2,7,0,0
210,20,-6,0,0,6,0,0
210,20,-6,6,0,5,0,0
220,15,1226,210,2,8,0,0
220,20,-6,0,0,7,0,0
230,15,1226,210,2,9,0,0
230,20,-6,0,0,8,0,0
230,20,6,8,0,6,0,0
240,15,1226,210,2,10,0,0
240,20,-6,0,0,9,0,0
240,20,6,8,0,7,0,0
240,45,604,0,0,10,0,0
250,20,6,-6,0,6,0,0
250,20,6,8,0,8,0,0
250,20,-6,0,0,10,0,0
260,20,6,8,0,9,0,0
260,20,6,-6,0,7,0,0
270,20,-6,6,0,6,0,0
270,20,6,-6,0,8,0,0
270,20,6,8,0,10,0,0
280,20,-6,6,0,7,0,0
280,20,6,-6,0,9,0,0
290,20,-6,6,0,8,0,0
290,20,6,-6,0,10,0,0
300,15,1226,10,2,1,0,0
300,20,-6,6,0,9,0,0
310,15,1226,10,2,2,0,0
310,20,6,0,0,1,0,0
310,20,-6,6,0,10,0,0
320,15,1226,10,2,3,0,0
320,20,6,0,0,2,0,0
330,15,1226,10,2,4,0,0
330,20,6,0,0,3,0,0
330,20,-6,8,0,1,0,0
340,15,1226,10,2,5,0,0
340,20,6,0,0,4,0,0
340,20,-6,8,0,2,0,0
340,45,625,0,0,5,0,0
350,20,-6,-6,0,1,0,0
350,20,-6,8,0,3,0,0
350,20,6,0,0,5,0,0
360,20,-6,8,0,4,0,0
360,20,-6,-6,0,2,0,0
370,20,6,6,0,1,0,0
370,20,-6,-6,0,3,0,0
370,20,-6,8,0,5,0,0
380,20,6,6,0,2,0,0
380,20,-6,-6,0,4,0,0
390,20,6,6,0,3,0,0
390,20,-6,-6,0,5,0,0
400,15,1226,270,0,6,30,0
400,19,-2,0,0,6,0,0
400,20,6,6,0,4,0,0
400,20,0,2,0,6,0,0
400,27,0,4,0,6,0,0
410,20,6,6,0,5,0,0
412,6,1249,-6,0,20,-1,0
412,6,1246,-30,0,20,-29,0
412,6,1247,-6,0,20,-29,0
412,6,1248,-30,0,20,-1,0
415,15,1226,270,0,7,30,0
415,19,-2,0,0,7,0,0
415,20,0,2,0,7,0,0
415,27,0,4,0,7,0,0
430,15,1226,270,0,8,30,0
430,19,-2,0,0,8,0,0
430,20,0,2,0,8,0,0
430,27,0,4,0,8,0,0
445,15,1226,270,0,9,30,0
445,19,-2,0,0,9,0,0
445,20,0,2,0,9,0,0
445,27,0,4,0,9,0,0
460,15,1226,270,0,10,30,0
460,19,-2,0,0,10,0,0
460,20,0,2,0,10,0,0
460,27,0,4,0,10,0,0
460,45,629,0,0,10,0,0
500,15,1226,-20,0,1,120,0
500,19,2,0,0,1,0,0
500,20,0,2,0,1,0,0
500,27,0,4,0,1,0,0
515,15,1226,-20,0,2,120,0
515,19,2,0,0,2,0,0
515,20,0,2,0,2,0,0
515,27,0,4,0,2,0,0
530,15,1226,-20,0,3,120,0
530,19,2,0,0,3,0,0
530,20,0,2,0,3,0,0
530,27,0,4,0,3,0,0
545,15,1226,-20,0,4,120,0
545,19,2,0,0,4,0,0
545,20,0,2,0,4,0,0
545,27,0,4,0,4,0,0
560,15,1226,-20,0,5,120,0
560,19,2,0,0,5,0,0
560,20,0,2,0,5,0,0
560,27,0,4,0,5,0,0
560,45,611,0,0,5,0,0
600,15,1226,-20,0,11,30,0
600,19,2,0,0,11,0,0
600,20,0,2,0,11,0,0
600,27,0,4,0,11,0,0
608,6,1253,-6,0,0,-1,0
608,6,1252,210,0,0,-1,0
615,15,1226,-20,0,12,30,0
615,19,2,0,0,12,0,0
615,20,0,2,0,12,0,0
615,27,0,4,0,12,0,0
630,15,1226,-20,0,13,30,0
630,19,2,0,0,13,0,0
630,20,0,2,0,13,0,0
630,27,0,4,0,13,0,0
636,6,1253,258,0,0,-1,0
645,15,1226,-20,0,14,30,0
645,19,2,0,0,14,0,0
645,20,0,2,0,14,0,0
645,27,0,4,0,14,0,0
660,15,1226,-20,0,15,30,0
660,19,2,0,0,15,0,0
660,20,0,2,0,15,0,0
660,27,0,4,0,15,0,0
660,45,621,0,0,15,0,0
700,15,1226,270,0,1,125,0
700,19,-2,0,0,1,0,0
700,20,0,2,0,1,0,0
700,27,0,6,0,1,0,0
715,15,1226,270,0,2,125,0
715,19,-2,0,0,2,0,0
715,20,0,2,0,2,0,0
715,27,0,6,0,2,0,0
730,15,1226,270,0,3,125,0
730,19,-2,0,0,3,0,0
730,20,0,2,0,3,0,0
730,27,0,6,0,3,0,0
745,15,1226,270,0,4,125,0
745,19,-2,0,0,4,0,0
745,20,0,2,0,4,0,0
745,27,0,6,0,4,0,0
760,15,1226,270,0,5,125,0
760,19,-2,0,0,5,0,0
760,20,0,2,0,5,0,0
760,27,0,6,0,5,0,0
760,45,603,0,0,5,0,0
800,13,0,0,0,0,0,0
804,6,1247,282,0,21,-29,0
804,6,1248,258,0,21,-1,0
804,6,1249,282,0,21,-1,0
804,6,1246,258,0,21,-29,0
850,15,1227,100,2,10,0,0
850,15,1228,124,2,10,0,0
850,58,1245,0,0,10,0,0
860,31,0,0,0,10,15,0
870,15,1229,30,2,19,-28,0
870,15,1230,54,2,19,-28,0
870,15,1231,30,2,19,0,0
870,15,1232,54,2,19,0,0
870,20,2,0,0,19,0,0
870,27,5,0,0,19,0,0
920,15,1229,130,2,18,-28,0
920,15,1230,154,2,18,-28,0
920,15,1231,130,2,18,0,0
920,15,1232,154,2,18,0,0
920,20,2,0,0,18,0,0
920,27,6,0,0,18,0,0
920,31,0,0,0,10,0,0
972,6,1246,258,0,22,-29,0
972,6,1247,282,0,22,-29,0
972,6,1248,258,0,22,-1,0
972,6,1249,282,0,22,-1,0
980,15,1229,100,2,17,-28,0
980,15,1230,124,2,17,-28,0
980,15,1231,100,2,17,0,0
980,15,1232,124,2,17,0,0
980,20,2,0,0,17,0,0
980,27,8,0,0,17,0,0
1000,15,1229,0,2,16,-28,0
1000,15,1230,24,2,16,-28,0
1000,15,1231,0,2,16,0,0
1000,15,1232,24,2,16,0,0
1000,20,2,0,0,16,0,0
1000,27,8,0,0,16,0,0
1020,15,1227,140,2,10,0,0
1020,15,1228,164,2,10,0,0
1020,58,1245,0,0,10,0,0
1030,31,0,0,0,10,15,0
1050,15,1229,0,2,19,-28,0
1050,15,1230,24,2,19,-28,0
1050,15,1231,0,2,19,0,0
1050,15,1232,24,2,19,0,0
1050,20,2,0,0,19,0,0
1050,27,10,0,0,19,0,0
1070,31,0,0,0,10,0,0
1100,15,1233,100,1,15,-28,0
1100,15,1234,124,1,15,-28,0
1100,15,1235,148,1,15,-28,0
1100,15,1236,112,1,15,0,0
1100,15,1237,136,1,15,0,0
1100,45,628,0,0,15,0,0
1105,31,0,0,0,15,20,0
1115,31,0,0,0,15,20,0
