id,animation,turret,fireFrequency,xMove,yMove,xAccel,yAccel,xCAccel,yCAccel,startX,startY,startXC,startYC,armor,size,graphic,explosionType,animate,shapeBank,xRev,yRev,deathGraphic,deathLevel,deathAnimation,launchFrequency,launchType,value,enemyDie,shapeBankFile
0,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,1,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,30,0,0,0,0,0,0,0,0,0,0,0,
1,8,127|59|9,60|0|0,0,0,0,0,0,0,0,0,0,0,254,1,1|3|5|7|39|41|43|45|0|0|0|0|0|0|0|0|0|0|0|0,36,2,2,0,0,1,40,0,90,2,2250,0,newsh4.shp
2,1,252|0|0,1|0|0,0,5,0,0,0,0,130,-13,125,0,10,1,169|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,26,0,10,0,0,0,0,0,0,0,25,0,newshf.shp
3,12,0|0|0,0|0|0,0,0,92,0,0,8,130,-13,100,0,2,0,171|171|190|190|209|209|228|228|247|247|266|266|0|0|0|0|0|0|0|0,0,1,1,0,0,0,0,0,0,0,5,0,newsh2.shp
4,20,0|0|0,0|0|0,0,1,0,0,0,0,130,-13,100,0,4,1,159|159|161|161|163|163|165|165|167|167|165|165|163|163|161|161|159|159|159|159,2,1,1,0,0,0,0,0,0,0,25,0,newsh2.shp
5,8,0|0|0,0|0|0,0,0,0,0,0,0,130,-13,100,0,6,1,229|231|233|235|237|239|241|243|0|0|0|0|0|0|0|0|0|0|0|0,4,1,1,0,0,0,0,0,0,0,20,0,newsh2.shp
6,1,0|0|78,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,85|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2,0,1,0,0,0,0,0,0,0,25,0,newsh2.shp
7,1,0|78|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,87|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2,0,1,0,0,0,0,0,0,0,25,0,newsh2.shp
8,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,123|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2,0,1,0,0,0,0,0,0,0,25,0,newsh2.shp
9,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,125|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2,0,1,0,0,0,0,0,0,0,25,0,newsh2.shp
10,8,0|0|0,0|0|0,0,1,0,0,0,0,130,-13,100,0,3,1,191|193|195|197|199|201|203|205|0|0|0|0|0|0|0|0|0|0|0|0,4,1,1,0,0,0,0,0,0,0,15,0,newsh2.shp
11,8,0|0|0,0|0|0,0,0,97,97,0,0,130,-13,100,0,6,1,243|241|239|237|235|233|231|229|0|0|0|0|0|0|0|0|0|0|0|0,6,1,1,0,0,0,0,0,0,0,20,0,newsh2.shp
12,8,0|0|0,0|0|0,0,1,0,0,0,0,130,-13,100,0,3,1,205|203|201|199|197|195|193|191|0|0|0|0|0|0|0|0|0|0|0|0,4,1,1,0,0,0,0,0,0,0,15,0,newsh2.shp
13,1,116|0|0,20|0|0,0,0,0,0,0,0,0,0,0,0,6,1,85|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,26,0,1,0,0,0,0,0,0,0,25,0,newsh2.shp
14,1,115|0|0,20|0|0,0,0,0,0,0,0,0,0,0,0,6,1,87|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,26,0,1,0,0,0,0,0,0,0,25,0,newsh2.shp
15,8,2|3|4,0|0|0,0,0,0,0,0,0,130,-13,125,0,10,1,91|45|93|39|43|129|41|131|0|0|0|0|0|0|0|0|0|0|0|0,3,0,1,0,0,0,0,0,0,0,20,0,newsh2.shp
16,12,0|0|0,0|0|0,0,0,0,0,0,8,150,-13,100,0,12,0,171|171|190|190|209|209|228|228|247|247|266|266|0|0|0|0|0|0|0|0,0,1,1,0,0,0,0,0,0,0,5,0,newsh2.shp
17,1,59|0|0,0|0|0,0,1,0,0,0,0,0,0,0,0,5,1,267|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0,1,0,0,0,0,0,0,0,20,0,newsh2.shp
18,1,0|0|0,0|0|0,0,0,0,0,16,0,0,0,0,0,50,1,7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0,1,0,0,0,0,0,0,0,0,0,newsh2.shp
19,1,0|0|0,0|0|0,0,0,0,0,16,0,0,0,0,0,50,1,9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0,1,0,0,0,0,0,0,0,0,0,newsh2.shp
20,1,0|0|0,0|0|0,0,0,0,0,16,0,0,0,0,0,50,1,11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0,1,0,0,0,0,0,0,0,500,0,newsh2.shp
21,1,0|0|0,0|0|0,0,0,0,0,-16,0,0,0,0,0,50,1,5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0,1,0,0,0,0,0,0,0,0,0,newsh2.shp
22,1,0|0|0,0|0|0,0,0,0,0,-16,0,0,0,0,0,50,1,3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0,1,0,0,0,0,0,0,0,0,0,newsh2.shp
23,1,0|0|0,0|0|0,0,0,0,0,-16,0,0,0,0,0,50,1,1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0,1,0,0,0,0,0,0,0,500,0,newsh2.shp
24,1,62|0|0,20|0|0,2,2,0,0,10,-20,-20,-3,0,0,2,1,269|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0,1,0,0,0,0,0,0,0,50,0,newsh2.shp
