time,type,data,data2,data3,data4,data5,data6
0,2,1,0,0,0,0,0
0,5,9,0,0,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
40,31,2,0,0,125,0,0
50,6,466,180,0,122,0,0
50,6,467,204,0,125,0,0
50,6,466,228,0,123,0,0
50,6,466,252,0,124,0,0
50,6,466,156,0,121,0,0
50,33,476,0,0,125,0,0
60,20,0,1,0,122,0,0
60,20,0,1,0,123,0,0
60,20,0,1,0,124,0,0
60,20,0,1,0,121,0,0
60,27,0,7,0,122,0,0
60,27,0,7,0,123,0,0
60,27,0,7,0,124,0,0
60,27,0,7,0,121,0,0
60,31,0,0,0,125,0,0
68,20,-1,-1,0,123,0,0
68,20,-1,-1,0,124,0,0
68,20,1,-1,0,121,0,0
68,20,1,-1,0,122,0,0
68,27,9,-9,0,122,0,0
68,27,-9,-9,0,124,0,0
68,27,8,-9,0,121,0,0
68,27,-8,-9,0,123,0,0
100,6,464,12,0,61,-28,0
102,6,464,36,0,61,-26,0
104,6,464,60,0,61,-24,0
106,6,464,84,0,61,-22,0
108,6,465,108,0,62,-20,0
108,33,503,0,0,62,0,0
108,45,628,0,0,62,0,0
110,6,464,132,0,61,-18,0
112,6,464,156,0,61,-16,0
114,6,464,180,0,61,-14,0
116,6,464,204,0,61,-12,0
202,6,464,36,0,82,-26,0
204,6,464,60,0,82,-24,0
206,6,464,84,0,82,-22,0
208,6,464,108,0,82,-20,0
210,6,464,132,0,82,-18,0
212,6,464,156,0,82,-16,0
214,6,465,180,0,83,-14,0
214,33,503,0,0,83,0,0
214,45,620,0,0,83,0,0
216,6,464,204,0,82,-12,0
218,6,464,228,0,82,-10,0
242,10,464,36,0,43,-26,0
244,10,464,60,0,43,-24,0
246,10,464,84,0,43,-22,0
248,10,464,108,0,43,-20,0
250,10,465,132,0,44,-18,0
250,33,474,0,0,44,0,0
252,10,464,156,0,43,-16,0
254,10,464,180,0,43,-14,0
256,10,464,204,0,43,-12,0
258,10,464,228,0,43,-10,0
260,10,464,252,0,43,-8,0
304,6,464,60,0,64,-24,0
306,6,464,84,0,64,-22,0
308,6,464,108,0,64,-20,0
310,6,464,132,0,64,-18,0
312,6,464,156,0,64,-16,0
314,6,464,180,0,64,-14,0
316,6,465,204,0,65,-12,0
316,33,503,0,0,65,0,0
316,45,617,0,0,65,0,0
318,6,464,228,0,64,-10,0
320,6,464,252,0,64,-8,0
322,6,464,276,0,64,-6,0
500,6,464,10,0,41,-28,0
502,6,464,36,0,41,-26,0
504,6,464,60,0,41,-24,0
506,6,464,84,0,41,-22,0
508,6,464,108,0,41,-20,0
510,6,464,132,0,41,-18,0
512,6,464,156,0,41,-16,0
514,6,464,180,0,41,-14,0
516,6,465,204,0,42,-12,0
516,33,474,0,0,42,0,0
518,6,464,228,0,41,-10,0
520,6,464,252,0,41,-8,0
522,6,464,276,0,41,-6,0
558,6,464,108,0,82,-20,0
560,6,465,132,0,83,-18,0
560,33,503,0,0,83,0,0
560,45,602,0,0,83,0,0
562,6,464,156,0,82,-16,0
592,31,2,0,0,41,0,0
594,6,464,180,0,63,-14,0
596,6,465,204,0,64,-12,0
596,33,503,0,0,64,0,0
596,45,628,0,0,64,0,0
598,6,464,228,0,63,-10,0
600,6,464,252,0,63,-8,0
602,6,464,276,0,63,-6,0
612,31,0,0,0,41,0,0
622,31,2,0,0,83,0,0
642,31,0,0,0,83,0,0
682,31,2,0,0,64,0,0
702,31,0,0,0,64,0,0
706,6,466,84,0,41,-22,0
708,6,466,108,0,42,-20,0
710,6,467,132,0,45,-18,0
710,33,512,0,0,45,0,0
710,45,615,0,0,45,0,0
712,6,466,156,0,43,-16,0
714,6,466,180,0,44,-14,0
720,20,1,-1,0,41,0,0
720,20,1,-1,0,42,0,0
720,20,-1,1,0,43,0,0
720,20,-1,1,0,44,0,0
720,27,7,-7,0,41,0,0
720,27,-7,7,0,43,0,0
720,27,7,-7,0,42,0,0
720,27,-7,7,0,44,0,0
800,31,2,0,0,45,0,0
840,31,0,0,0,45,0,0
850,6,466,252,0,84,0,0
850,6,466,156,0,81,0,0
850,6,466,180,0,82,0,0
850,6,467,204,0,85,0,0
