time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,5,20,17,23,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
48,6,554,210,0,0,0,0
76,6,554,18,0,0,0,0
76,6,554,186,0,0,0,0
104,6,554,66,0,0,0,0
132,6,554,138,0,0,0,0
160,6,554,66,0,0,0,0
160,6,554,234,0,0,0,0
188,6,554,162,0,0,0,0
216,6,554,90,0,0,0,0
244,6,554,138,0,0,0,0
244,6,554,210,0,0,0,0
272,6,552,-6,0,0,0,0
272,6,554,90,0,0,0,0
300,6,552,18,0,0,0,0
300,10,553,258,0,0,0,0
328,6,552,42,0,0,0,0
328,10,553,234,0,0,0,0
356,10,586,66,0,4,0,0
356,10,588,90,0,4,0,0
356,10,588,114,0,4,0,0
356,10,589,138,0,4,0,0
356,10,588,162,0,4,0,0
356,10,588,186,0,4,0,0
356,10,587,210,0,4,0,0
356,45,628,0,0,4,0,0
384,6,552,-6,0,0,0,0
384,10,553,258,0,0,0,0
412,6,568,138,0,9,-24,0
412,10,578,168,0,9,-24,0
412,10,579,106,0,9,-24,0
412,10,569,136,0,9,-48,0
412,10,572,136,0,9,0,0
412,10,553,258,0,0,0,0
440,10,553,282,0,0,0,0
496,6,552,138,0,0,0,0
496,10,553,114,0,0,0,0
512,6,568,238,0,6,-24,0
512,6,568,38,0,8,-24,0
512,10,569,236,0,6,-48,0
512,10,572,236,0,6,0,0
512,10,572,36,0,8,0,0
512,10,569,36,0,8,-48,0
524,6,552,162,0,0,0,0
524,10,553,90,0,0,0,0
612,6,567,138,0,5,-24,0
612,10,584,106,0,5,-24,0
612,10,582,136,0,5,-48,0
612,10,585,136,0,5,0,0
612,10,583,168,0,5,-24,0
692,6,554,186,0,0,0,0
692,6,554,66,0,0,0,0
712,6,568,253,0,7,-24,0
712,6,568,53,0,7,-24,0
712,10,581,21,0,7,-24,0
712,10,569,51,0,7,-48,0
712,10,572,51,0,7,0,0
712,10,580,283,0,7,-24,0
712,10,569,251,0,7,-48,0
712,10,572,251,0,7,0,0
712,45,628,0,0,7,0,0
872,6,567,258,0,9,0,0
872,45,602,0,0,9,0,0
916,6,552,-6,0,0,0,0
916,10,553,234,0,0,0,0
916,10,553,258,0,0,0,0
916,10,553,282,0,0,0,0
916,10,586,42,0,5,0,0
916,10,588,66,0,5,0,0
916,10,589,90,0,5,0,0
916,10,588,114,0,5,0,0
916,10,587,138,0,5,0,0
916,10,553,186,0,0,0,0
916,10,553,210,0,0,0,0
944,6,552,18,0,0,0,0
972,6,552,42,0,0,0,0
1000,6,552,66,0,0,0,0
1028,10,589,138,0,2,0,0
1028,10,587,162,0,2,0,0
1028,10,586,114,0,2,0,0
1056,10,553,210,0,0,0,0
1112,10,553,186,0,0,0,0
1140,10,586,210,0,3,0,0
1140,10,588,234,0,3,0,0
1140,10,589,258,0,3,0,0
1140,10,589,282,0,3,0,0
1140,10,586,90,0,4,0,0
1140,10,589,114,0,4,0,0
1140,10,587,138,0,4,0,0
1168,6,554,18,0,0,0,0
1168,10,553,162,0,0,0,0
1196,10,553,162,0,0,0,0
1224,6,554,114,0,0,0,0
1224,10,553,162,0,0,0,0
1252,6,567,42,0,6,-24,0
1252,10,583,74,0,6,-24,0
1252,10,584,12,0,6,-24,0
1252,10,582,40,0,6,-48,0
1252,10,585,40,0,6,0,0
1252,10,553,162,0,0,0,0
1280,10,553,138,0,0,0,0
1280,10,586,186,0,21,0,0
1280,10,588,210,0,21,0,0
1280,10,589,234,0,22,0,0
1280,10,587,258,0,21,0,0
1280,33,533,0,0,22,0,0
1308,6,552,-30,0,0,0,0
1308,6,554,90,0,0,0,0
1308,10,553,162,0,0,0,0
1336,6,552,-30,0,0,0,0
1336,6,554,42,0,0,0,0
1336,10,553,186,0,0,0,0
1364,6,552,-6,0,0,0,0
1364,10,553,186,0,0,0,0
1392,6,552,18,0,0,0,0
1420,6,586,42,0,5,0,0
1420,6,588,66,0,5,0,0
1420,6,589,90,0,5,0,0
1420,6,587,114,0,5,0,0
1420,10,553,162,0,0,0,0
1452,6,567,42,0,6,-24,0
1452,10,584,12,0,6,-24,0
1452,10,582,40,0,6,-48,0
1452,10,585,40,0,6,0,0
1452,10,583,74,0,6,-24,0
1476,6,552,-6,0,0,0,0
1492,6,567,242,0,7,-24,0
1492,10,584,212,0,7,-24,0
1492,10,582,240,0,7,-48,0
1492,10,585,240,0,7,0,0
1492,10,583,274,0,7,-24,0
1512,6,567,82,0,8,-24,0
1512,10,584,52,0,8,-24,0
1512,10,582,80,0,8,-48,0
1512,10,585,80,0,8,0,0
1512,10,583,114,0,8,-24,0
1552,6,568,142,0,9,-24,0
1552,10,584,112,0,9,-24,0
1552,10,582,140,0,9,-48,0
1552,10,585,140,0,9,0,0
1552,10,583,174,0,9,-24,0
1592,6,567,62,0,10,-24,0
1592,10,584,32,0,10,-24,0
1592,10,582,60,0,10,-48,0
1592,10,585,60,0,10,0,0
1592,10,583,94,0,10,-24,0
1642,6,568,222,0,11,-24,0
1642,10,584,192,0,11,-24,0
1642,10,582,220,0,11,-48,0
1642,10,585,220,0,11,0,0
1642,10,583,254,0,11,-24,0
1692,6,567,242,0,12,-24,0
1692,10,584,212,0,12,-24,0
1692,10,582,240,0,12,-48,0
1692,10,585,240,0,12,0,0
1692,10,583,274,0,12,-24,0
1722,6,568,122,0,13,-24,0
1722,10,584,92,0,13,-24,0
1722,10,582,120,0,13,-48,0
1722,10,585,120,0,13,0,0
1722,10,583,154,0,13,-24,0
1742,6,567,162,0,5,-24,0
1742,10,584,132,0,5,-24,0
1742,10,582,160,0,5,-48,0
1742,10,585,160,0,5,0,0
1742,10,583,194,0,5,-24,0
1762,6,567,62,0,6,-24,0
1762,10,584,32,0,6,-24,0
1762,10,582,60,0,6,-48,0
1762,10,585,60,0,6,0,0
1762,10,583,94,0,6,-24,0
1896,6,552,-6,0,0,0,0
1924,10,586,42,0,10,0,0
1924,10,588,66,0,10,0,0
1924,10,589,90,0,10,0,0
1924,10,587,114,0,10,0,0
1952,6,552,18,0,0,0,0
1952,10,553,138,0,0,0,0
1952,10,553,282,0,0,0,0
1980,10,553,138,0,0,0,0
1980,10,586,186,0,11,0,0
1980,10,588,210,0,11,0,0
1980,10,589,234,0,11,0,0
1980,10,587,258,0,11,0,0
2008,6,552,186,0,0,0,0
2008,10,553,162,0,0,0,0
2036,10,553,186,0,0,0,0
2064,10,553,186,0,0,0,0
2092,10,553,186,0,0,0,0
2120,6,552,186,0,0,0,0
2120,10,553,162,0,0,0,0
2148,10,553,162,0,0,0,0
2148,15,590,-10,1,19,0,0
2148,45,604,0,0,19,0,0
2176,10,553,138,0,0,0,0
2176,10,553,162,0,0,0,0
2190,15,590,22,1,18,0,0
2190,45,615,0,0,18,0,0
2204,6,552,138,0,0,0,0
2204,10,553,114,0,0,0,0
2232,10,553,114,0,0,0,0
2260,10,553,114,0,0,0,0
2288,10,553,90,0,0,0,0
2316,10,553,66,0,0,0,0
2344,6,552,186,0,0,0,0
2344,10,553,66,0,0,0,0
2372,6,552,186,0,0,0,0
2372,10,553,66,0,0,0,0
2372,15,590,234,1,16,0,0
2372,45,616,0,0,16,0,0
2380,10,503,126,0,0,0,0
2390,10,503,126,0,0,0,0
2400,6,552,186,0,0,0,0
2400,10,553,66,0,0,0,0
2400,10,503,126,0,0,0,0
2410,10,503,126,0,0,0,0
2420,10,503,126,0,0,0,0
2428,6,552,186,0,0,0,0
2428,10,553,66,0,0,0,0
2456,6,552,162,0,0,0,0
2456,10,553,90,0,0,0,0
2482,15,590,-10,1,17,0,0
2482,45,622,0,0,17,0,0
2596,6,552,90,0,0,0,0
2596,6,552,258,0,0,0,0
2596,10,553,234,0,0,0,0
2596,10,553,66,0,0,0,0
2624,6,552,258,0,0,0,0
2624,10,553,66,0,0,0,0
2624,10,586,114,0,7,0,0
2624,10,588,138,0,7,0,0
2624,10,588,162,0,7,0,0
2624,10,589,186,0,7,0,0
2624,10,587,210,0,7,0,0
2652,6,552,90,0,0,0,0
2652,10,553,234,0,0,0,0
2680,6,552,90,0,0,0,0
2680,10,553,234,0,0,0,0
2680,15,590,-10,1,19,0,0
2680,45,628,0,0,19,0,0
2700,15,590,12,1,18,0,0
2700,45,628,0,0,18,0,0
2708,6,552,90,0,0,0,0
2708,10,553,234,0,0,0,0
2736,6,586,114,0,8,0,0
2736,6,589,138,0,8,0,0
2736,6,588,162,0,8,0,0
2736,6,588,186,0,8,0,0
2736,6,587,210,0,8,0,0
2760,15,590,110,1,3,0,0
2760,15,590,160,1,4,0,0
2760,33,506,0,0,3,0,0
2760,33,534,0,0,4,0,0
2764,6,552,90,0,0,0,0
2764,10,553,234,0,0,0,0
2792,6,552,90,0,0,0,0
2792,10,553,258,0,0,0,0
2820,6,552,90,0,0,0,0
2820,10,553,258,0,0,0,0
2820,10,590,0,1,9,0,0
2820,33,591,0,0,9,0,0
2848,6,552,90,0,0,0,0
2848,10,553,258,0,0,0,0
2876,6,552,90,0,0,0,0
2876,10,553,234,0,0,0,0
2900,2,2,0,0,0,0,0
2900,6,568,62,0,6,-24,0
2900,10,584,32,0,6,-24,0
2900,10,582,60,0,6,-48,0
2900,10,585,60,0,6,0,0
2900,10,583,94,0,6,-24,0
2904,6,552,90,0,0,0,0
2904,10,553,234,0,0,0,0
2950,6,568,262,0,7,-24,0
2950,10,584,232,0,7,-24,0
2950,10,582,260,0,7,-48,0
2950,10,585,260,0,7,0,0
2950,10,583,294,0,7,-24,0
2960,6,552,66,0,0,0,0
2960,10,553,234,0,0,0,0
2988,6,552,42,0,0,0,0
2988,10,553,234,0,0,0,0
3000,6,567,162,0,8,-24,0
3000,10,584,132,0,8,-24,0
3000,10,582,160,0,8,-48,0
3000,10,585,160,0,8,0,0
3000,10,583,194,0,8,-24,0
3016,10,553,234,0,0,0,0
3044,6,552,18,0,0,0,0
3044,10,553,234,0,0,0,0
3050,6,568,62,0,9,-24,0
3050,6,568,262,0,3,-24,0
3050,10,582,60,0,9,-48,0
3050,10,585,60,0,9,0,0
3050,10,583,94,0,9,-24,0
3050,10,583,294,0,3,-24,0
3050,10,584,232,0,3,-24,0
3050,10,582,260,0,3,-48,0
3050,10,585,260,0,3,0,0
3050,10,584,32,0,9,-24,0
3072,6,552,18,0,0,0,0
3072,10,553,234,0,0,0,0
3100,6,552,18,0,0,0,0
3100,6,568,62,0,4,-24,0
3100,10,583,94,0,4,-24,0
3100,10,584,32,0,4,-24,0
3100,10,582,60,0,4,-48,0
3100,10,585,60,0,4,0,0
3100,10,553,234,0,0,0,0
3128,6,552,18,0,0,0,0
3128,10,553,258,0,0,0,0
3150,6,567,162,0,5,-24,0
3150,10,584,132,0,5,-24,0
3150,10,582,160,0,5,-48,0
3150,10,585,160,0,5,0,0
3150,10,583,194,0,5,-24,0
3156,6,552,18,0,0,0,0
3156,10,553,258,0,0,0,0
3184,6,552,18,0,0,0,0
3184,10,553,258,0,0,0,0
3212,6,552,18,0,0,0,0
3212,6,554,66,0,0,0,0
3212,10,553,258,0,0,0,0
3240,6,552,18,0,0,0,0
3240,6,554,210,0,0,0,0
3240,10,553,258,0,0,0,0
3260,15,590,50,1,3,0,0
3260,15,590,250,1,3,0,0
3268,6,552,18,0,0,0,0
3268,6,554,114,0,0,0,0
3268,10,553,258,0,0,0,0
3280,15,590,110,1,3,0,0
3280,15,590,190,1,3,0,0
3290,15,590,150,1,3,0,0
3290,33,506,0,0,3,0,0
3296,6,552,18,0,0,0,0
3296,10,553,258,0,0,0,0
3324,6,552,18,0,0,0,0
3324,6,554,162,0,0,0,0
3324,10,553,258,0,0,0,0
3350,6,565,62,0,5,-24,0
3350,6,565,262,0,5,-24,0
3352,6,552,18,0,0,0,0
3352,10,553,258,0,0,0,0
3370,6,567,72,0,5,-24,0
3370,6,567,272,0,5,-24,0
3380,6,552,18,0,0,0,0
3380,6,554,66,0,0,0,0
3380,10,553,258,0,0,0,0
3390,6,565,62,0,5,-24,0
3390,6,565,262,0,5,-24,0
3408,6,552,18,0,0,0,0
3408,6,554,138,0,0,0,0
3408,10,553,258,0,0,0,0
3410,6,565,52,0,5,-24,0
3410,6,565,252,0,5,-24,0
3430,6,565,42,0,5,-24,0
3430,6,565,242,0,5,-24,0
3436,6,552,18,0,0,0,0
3436,10,553,258,0,0,0,0
3450,6,567,32,0,5,-24,0
3450,6,567,232,0,5,-24,0
3464,6,552,18,0,0,0,0
3464,6,554,210,0,0,0,0
3464,10,553,258,0,0,0,0
3470,6,565,42,0,5,-24,0
3470,6,565,242,0,5,-24,0
3490,6,565,32,0,5,-24,0
3490,6,565,232,0,5,-24,0
3492,6,552,18,0,0,0,0
3492,6,554,66,0,0,0,0
3492,10,553,258,0,0,0,0
3510,6,565,42,0,5,-24,0
3510,6,565,242,0,5,-24,0
3520,6,552,18,0,0,0,0
3520,10,553,258,0,0,0,0
3530,6,567,52,0,5,-24,0
3530,6,567,252,0,5,-24,0
3548,6,552,18,0,0,0,0
3548,6,554,162,0,0,0,0
3548,10,553,258,0,0,0,0
3550,6,565,62,0,5,-24,0
3550,6,565,262,0,5,-24,0
3570,6,565,52,0,5,-24,0
3570,6,565,252,0,5,-24,0
3576,6,552,18,0,0,0,0
3576,10,553,258,0,0,0,0
3590,6,567,42,0,5,-24,0
3590,6,567,242,0,5,-24,0
3604,6,552,18,0,0,0,0
3604,6,554,90,0,0,0,0
3604,10,553,258,0,0,0,0
3610,6,567,32,0,5,-24,0
3610,6,567,232,0,5,-24,0
3632,6,552,18,0,0,0,0
3632,6,554,210,0,0,0,0
3632,10,553,258,0,0,0,0
3660,6,552,18,0,0,0,0
3660,10,553,258,0,0,0,0
3688,6,552,18,0,0,0,0
3688,10,553,258,0,0,0,0
3716,6,552,18,0,0,0,0
3716,6,554,138,0,0,0,0
3716,10,553,258,0,0,0,0
3732,6,568,53,0,7,-24,0
3732,6,568,253,0,7,-24,0
3732,10,569,51,0,7,-48,0
3732,10,569,251,0,7,-48,0
3732,10,572,251,0,7,0,0
3732,10,572,51,0,7,0,0
3732,45,628,0,0,7,0,0
3744,6,554,186,0,0,0,0
3744,6,552,18,0,0,0,0
3744,10,553,258,0,0,0,0
3772,6,552,18,0,0,0,0
3772,6,554,90,0,0,0,0
3772,10,553,258,0,0,0,0
3800,6,552,18,0,0,0,0
3800,10,553,258,0,0,0,0
3828,6,552,18,0,0,0,0
3828,10,553,258,0,0,0,0
3856,6,552,42,0,0,0,0
3856,10,553,234,0,0,0,0
3884,10,586,90,0,8,0,0
3884,10,588,114,0,8,0,0
3884,10,589,138,0,8,0,0
3884,10,588,162,0,8,0,0
3884,10,587,186,0,8,0,0
4100,11,0,0,0,0,0,0
5200,11,0,0,0,0,0,0
7700,11,0,0,0,0,0,0
9356,10,589,138,0,4,0,0
9356,10,588,186,0,4,0,0
9356,10,587,210,0,4,0,0
9356,10,586,66,0,4,0,0
9356,10,588,114,0,4,0,0
