time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,1,2,9,20,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0
100,15,10,10,2,1,0,0
100,45,628,0,0,1,0,0
110,15,10,10,2,2,0,0
120,15,10,10,2,3,0,0
130,15,10,10,2,4,0,0
132,12,121,42,0,20,0,0
132,12,125,114,0,21,0,0
140,15,10,10,2,5,0,0
140,45,607,0,0,5,0,0
140,60,1,1,0,5,0,0
160,20,12,-6,0,1,0,0
160,33,534,0,0,1,0,0
170,20,12,-6,0,2,0,0
180,20,12,-6,0,3,0,0
190,20,12,-6,0,4,0,0
200,15,12,240,2,6,0,0
200,20,12,-6,0,5,0,0
200,45,612,0,0,6,0,0
210,15,12,240,2,7,0,0
216,12,121,234,0,22,0,0
220,15,12,240,2,8,0,0
230,15,12,240,2,9,0,0
240,15,12,240,2,10,0,0
240,33,393,0,0,10,0,0
241,61,1,0,1,0,0,0
242,60,2,1,0,10,0,0
260,20,-12,-6,0,6,0,0
270,20,-12,-6,0,7,0,0
280,20,-12,-6,0,8,0,0
290,20,-12,-6,0,9,0,0
300,15,10,100,2,1,0,0
300,20,-12,-6,0,10,0,0
300,45,625,0,0,1,0,0
310,15,10,100,2,2,0,0
320,15,10,100,2,3,0,0
330,15,10,100,2,4,0,0
340,15,10,100,2,5,0,0
340,33,393,0,0,5,0,0
340,45,628,0,0,5,0,0
341,61,2,0,1,0,0,0
342,60,3,1,0,5,0,0
356,12,125,234,0,23,0,0
360,20,12,-6,0,1,0,0
370,20,12,-6,0,2,0,0
380,20,12,-6,0,3,0,0
384,12,121,138,0,24,0,0
390,20,12,-6,0,4,0,0
400,15,12,160,2,6,0,0
400,20,12,-6,0,5,0,0
400,45,608,0,0,6,0,0
410,15,12,160,2,7,0,0
420,15,12,160,2,8,0,0
430,15,12,160,2,9,0,0
440,15,12,160,2,10,0,0
440,33,393,0,0,10,0,0
440,45,628,0,0,10,0,0
441,61,3,0,1,0,0,0
442,60,4,1,0,10,0,0
460,20,-12,-6,0,6,0,0
470,20,-12,-6,0,7,0,0
480,20,-12,-6,0,8,0,0
490,20,-12,-6,0,9,0,0
500,20,-12,-6,0,10,0,0
524,12,121,186,0,25,0,0
600,15,5,20,6,11,0,0
600,45,628,0,0,11,0,0
608,12,121,114,0,26,0,0
615,15,5,20,6,12,0,0
615,20,5,-5,0,11,0,0
630,15,5,20,6,13,0,0
630,20,5,-5,0,12,0,0
645,15,5,20,6,14,0,0
645,20,5,-5,0,13,0,0
645,20,-5,-5,0,11,0,0
660,15,5,20,6,15,0,0
660,20,5,-5,0,14,0,0
660,20,-5,-5,0,12,0,0
660,45,628,0,0,15,0,0
664,12,125,234,0,27,0,0
675,20,5,-5,0,15,0,0
675,20,-5,-5,0,13,0,0
675,20,-5,5,0,11,0,0
690,20,-5,-5,0,14,0,0
690,20,-5,5,0,12,0,0
700,15,5,220,6,16,0,0
700,33,513,0,0,16,0,0
700,45,628,0,0,16,0,0
705,20,-5,-5,0,15,0,0
705,20,-5,5,0,13,0,0
705,20,5,5,0,11,0,0
715,15,5,220,6,17,0,0
715,20,-7,-5,0,16,0,0
720,20,5,5,0,12,0,0
720,20,-5,5,0,14,0,0
730,15,5,220,6,18,0,0
730,20,-7,-5,0,17,0,0
735,20,5,5,0,13,0,0
735,20,-5,5,0,15,0,0
745,15,5,220,6,19,0,0
745,20,-7,-5,0,18,0,0
745,20,7,-5,0,16,0,0
750,20,5,5,0,14,0,0
760,15,5,220,6,10,0,0
760,20,-7,-5,0,19,0,0
760,20,7,-5,0,17,0,0
765,20,5,5,0,15,0,0
775,20,-7,-5,0,10,0,0
775,20,7,-5,0,18,0,0
775,20,7,5,0,16,0,0
790,20,7,-5,0,19,0,0
790,20,7,5,0,17,0,0
805,20,7,-5,0,10,0,0
805,20,7,5,0,18,0,0
805,20,-7,5,0,16,0,0
820,20,7,5,0,19,0,0
820,20,-7,5,0,17,0,0
835,20,7,5,0,10,0,0
835,20,-7,5,0,18,0,0
850,20,-7,5,0,19,0,0
865,20,-7,5,0,10,0,0
870,6,13,40,3,4,-16,0
870,6,14,64,3,4,-16,0
870,10,8,40,3,3,0,0
870,10,9,64,3,3,0,0
916,12,121,66,0,28,0,0
920,6,13,120,3,6,-16,0
920,6,14,144,3,6,-16,0
920,10,8,120,3,5,0,0
920,10,9,144,3,5,0,0
970,6,13,180,1,2,-16,0
970,6,14,204,1,2,-16,0
970,10,8,180,1,1,0,0
970,10,9,204,1,1,0,0
970,33,392,0,0,2,0,0
1000,2,1,2,3,0,0,0
1000,6,7,164,1,4,-16,0
1000,6,6,220,1,6,-16,0
1000,6,7,244,1,6,-16,0
1000,6,6,140,1,4,-16,0
1000,10,9,244,1,5,0,0
1000,10,8,140,1,3,0,0
1000,10,9,164,1,3,0,0
1000,10,8,220,1,5,0,0
1000,33,392,0,0,4,0,0
1010,33,392,0,0,6,0,0
1050,19,0,-1,0,2,0,0
1055,19,0,-2,0,2,0,0
1060,19,0,-1,0,2,0,0
1060,19,0,-1,0,1,0,0
1065,19,0,0,0,2,0,0
1065,19,0,-2,0,1,0,0
1077,19,0,-1,0,2,0,0
1077,19,0,-1,0,1,0,0
1080,19,0,-1,0,6,0,0
1080,19,0,-1,0,4,0,0
1085,19,0,-2,0,6,0,0
1085,19,0,-2,0,4,0,0
1090,19,0,-1,0,3,0,0
1090,19,0,-1,0,5,0,0
1090,19,0,-1,0,6,0,0
1090,19,0,-1,0,4,0,0
1095,19,0,-2,0,3,0,0
1095,19,0,-2,0,5,0,0
1095,19,0,0,0,6,0,0
1095,19,0,0,0,4,0,0
1100,15,5,20,6,11,0,0
1100,19,0,-2,0,2,0,0
1100,19,0,-2,0,1,0,0
1107,19,0,-1,0,3,0,0
1107,19,0,-1,0,5,0,0
1107,19,0,-1,0,6,0,0
1107,19,0,-1,0,4,0,0
1115,15,5,20,6,12,0,0
1115,20,5,-5,0,11,0,0
1130,15,5,20,6,13,0,0
1130,19,0,-2,0,3,0,0
1130,19,0,-2,0,5,0,0
1130,19,0,-2,0,6,0,0
