time,type,data,data2,data3,data4,data5,data6
0,2,1,2,1,0,0,0
0,5,17,0,0,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
57,6,849,0,2,0,-1,0
57,6,849,24,2,0,-1,0
57,6,849,48,2,0,-1,0
57,6,849,72,2,0,-1,0
57,6,849,96,2,0,-1,0
57,6,849,216,2,0,-1,0
57,6,849,240,2,0,-1,0
57,6,849,264,2,0,-1,0
57,6,849,288,2,0,-1,0
57,6,849,312,2,0,-1,0
66,6,849,96,2,0,-1,0
66,6,849,216,2,0,-1,0
76,6,849,96,2,0,-1,0
76,6,849,216,2,0,-1,0
85,10,845,96,2,0,-1,0
85,10,845,216,2,0,-1,0
94,6,849,96,2,0,-1,0
94,6,849,216,2,0,-1,0
104,6,849,96,2,0,-1,0
104,6,849,216,2,0,-1,0
113,6,849,96,2,0,-1,0
113,6,846,120,2,0,-1,0
113,6,846,192,2,0,-1,0
113,6,849,216,2,0,-1,0
113,10,845,144,2,0,-1,0
113,10,845,168,2,0,-1,0
141,6,849,0,2,0,-1,0
141,6,849,24,2,0,-1,0
141,6,849,48,2,0,-1,0
150,6,849,0,2,0,-1,0
150,6,846,24,2,0,-1,0
150,6,849,48,2,0,-1,0
150,6,849,168,2,0,-1,0
150,6,849,192,2,0,-1,0
150,6,849,216,2,0,-1,0
160,6,849,0,2,0,-1,0
160,6,849,24,2,0,-1,0
160,6,849,48,2,0,-1,0
160,6,849,168,2,0,-1,0
160,6,846,192,2,0,-1,0
160,6,849,216,2,0,-1,0
169,6,849,168,2,0,-1,0
169,6,849,192,2,0,-1,0
169,6,849,216,2,0,-1,0
206,6,849,96,2,0,-1,0
206,6,849,168,2,0,-1,0
206,10,845,144,2,0,-1,0
206,10,845,120,2,0,-1,0
216,6,849,96,2,0,-1,0
216,6,849,168,2,0,-1,0
216,10,847,144,2,0,-1,0
216,10,847,120,2,0,-1,0
225,6,849,96,2,0,-1,0
225,6,849,168,2,0,-1,0
225,10,847,144,2,0,-1,0
225,10,847,120,2,0,-1,0
234,6,849,96,2,0,-1,0
234,6,849,168,2,0,-1,0
234,10,845,144,2,0,-1,0
234,10,845,120,2,0,-1,0
272,6,849,48,2,0,-1,0
272,6,849,96,2,0,-1,0
272,10,845,72,2,0,-1,0
281,6,849,48,2,0,-1,0
281,6,849,96,2,0,-1,0
290,6,849,48,2,0,-1,0
290,6,849,96,2,0,-1,0
300,6,849,48,2,0,-1,0
300,6,849,96,2,0,-1,0
300,6,849,144,2,0,-1,0
300,6,849,216,2,0,-1,0
300,6,849,288,2,0,-1,0
300,10,845,240,2,0,-1,0
300,10,845,264,2,0,-1,0
300,10,845,120,2,0,-1,0
309,6,849,48,2,0,-1,0
309,6,849,144,2,0,-1,0
309,6,849,216,2,0,-1,0
309,6,849,288,2,0,-1,0
318,6,849,48,2,0,-1,0
318,6,849,144,2,0,-1,0
318,6,849,216,2,0,-1,0
318,6,849,288,2,0,-1,0
318,10,845,168,2,0,-1,0
318,10,845,192,2,0,-1,0
328,6,849,48,2,0,-1,0
328,6,849,288,2,0,-1,0
337,6,849,48,2,0,-1,0
337,6,849,288,2,0,-1,0
346,6,849,48,2,0,-1,0
346,6,849,288,2,0,-1,0
356,6,849,48,2,0,-1,0
356,6,849,288,2,0,-1,0
365,6,849,48,2,0,-1,0
365,6,849,288,2,0,-1,0
374,6,849,48,2,0,-1,0
374,6,849,72,2,0,-1,0
374,6,849,96,2,0,-1,0
374,6,849,240,2,0,-1,0
374,6,849,264,2,0,-1,0
374,6,849,288,2,0,-1,0
384,6,846,72,2,0,-1,0
384,6,849,96,2,0,-1,0
384,6,849,240,2,0,-1,0
393,6,849,48,2,0,-1,0
393,6,849,72,2,0,-1,0
393,6,849,96,2,0,-1,0
393,6,849,240,2,0,-1,0
402,6,849,48,2,0,-1,0
402,6,849,240,2,0,-1,0
412,6,849,48,2,0,-1,0
412,6,849,144,2,0,-1,0
412,6,849,240,2,0,-1,0
412,6,849,264,2,0,-1,0
412,6,849,288,2,0,-1,0
412,6,849,312,2,0,-1,0
412,10,845,120,2,0,-1,0
412,10,845,72,2,0,-1,0
412,10,845,96,2,0,-1,0
421,6,849,144,2,0,-1,0
421,6,846,288,2,0,-1,0
421,6,849,312,2,0,-1,0
430,6,849,144,2,0,-1,0
430,6,849,312,2,0,-1,0
440,6,849,144,2,0,-1,0
440,6,849,312,2,0,-1,0
449,6,849,144,2,0,-1,0
449,6,849,312,2,0,-1,0
458,6,849,144,2,0,-1,0
458,6,849,312,2,0,-1,0
468,6,849,144,2,0,-1,0
468,6,849,192,2,0,-1,0
468,6,849,312,2,0,-1,0
468,10,845,168,2,0,-1,0
477,6,849,192,2,0,-1,0
477,6,849,312,2,0,-1,0
486,6,849,192,2,0,-1,0
486,6,849,312,2,0,-1,0
496,6,849,192,2,0,-1,0
496,6,849,312,2,0,-1,0
505,6,849,96,2,0,-1,0
505,6,849,120,2,0,-1,0
505,6,849,144,2,0,-1,0
505,6,849,168,2,0,-1,0
505,6,849,192,2,0,-1,0
505,6,849,312,2,0,-1,0
514,6,849,96,2,0,-1,0
514,6,846,120,2,0,-1,0
514,6,849,312,2,0,-1,0
524,6,849,96,2,0,-1,0
524,6,849,312,2,0,-1,0
533,6,849,96,2,0,-1,0
533,6,849,120,2,0,-1,0
533,6,849,144,2,0,-1,0
533,6,849,312,2,0,-1,0
542,6,849,144,2,0,-1,0
542,6,849,216,2,0,-1,0
542,6,849,240,2,0,-1,0
542,6,849,288,2,0,-1,0
542,6,849,312,2,0,-1,0
542,10,845,264,2,0,-1,0
552,6,849,144,2,0,-1,0
552,6,849,216,2,0,-1,0
561,6,849,0,2,0,-1,0
561,6,849,24,2,0,-1,0
561,6,849,48,2,0,-1,0
561,6,849,144,2,0,-1,0
561,6,849,216,2,0,-1,0
570,6,849,48,2,0,-1,0
570,6,849,144,2,0,-1,0
570,6,849,216,2,0,-1,0
580,6,849,48,2,0,-1,0
580,6,849,144,2,0,-1,0
580,6,849,216,2,0,-1,0
589,6,849,48,2,0,-1,0
589,6,849,144,2,0,-1,0
589,6,849,216,2,0,-1,0
598,6,849,48,2,0,-1,0
598,6,849,144,2,0,-1,0
598,6,849,216,2,0,-1,0
608,6,849,0,2,0,-1,0
608,6,849,24,2,0,-1,0
608,6,849,48,2,0,-1,0
608,6,849,120,2,0,-1,0
608,6,849,144,2,0,-1,0
608,6,849,216,2,0,-1,0
608,6,849,240,2,0,-1,0
617,6,849,120,2,0,-1,0
617,6,846,144,2,0,-1,0
617,6,846,216,2,0,-1,0
617,6,849,240,2,0,-1,0
626,6,849,120,2,0,-1,0
626,6,849,240,2,0,-1,0
636,6,849,120,2,0,-1,0
636,6,849,240,2,0,-1,0
636,10,845,216,2,0,-1,0
636,10,845,144,2,0,-1,0
645,6,849,120,2,0,-1,0
645,6,849,144,2,0,-1,0
645,6,849,216,2,0,-1,0
645,6,849,240,2,0,-1,0
654,6,849,144,2,0,-1,0
654,6,849,216,2,0,-1,0
664,6,849,144,2,0,-1,0
664,6,849,216,2,0,-1,0
664,10,845,192,2,0,-1,0
664,10,845,168,2,0,-1,0
673,6,849,0,2,0,-1,0
673,6,849,120,2,0,-1,0
673,6,849,144,2,0,-1,0
673,6,849,216,2,0,-1,0
673,6,849,240,2,0,-1,0
673,10,847,24,2,0,-1,0
673,10,847,48,2,0,-1,0
673,10,847,72,2,0,-1,0
673,10,847,96,2,0,-1,0
673,10,847,264,2,0,-1,0
673,10,847,288,2,0,-1,0
673,10,847,312,2,0,-1,0
720,6,849,144,2,0,-1,0
720,6,849,216,2,0,-1,0
720,10,845,192,2,0,-1,0
720,10,845,168,2,0,-1,0
729,6,849,144,2,0,-1,0
729,6,849,216,2,0,-1,0
738,6,849,0,2,0,-1,0
738,6,849,24,2,0,-1,0
738,6,849,48,2,0,-1,0
738,6,849,72,2,0,-1,0
738,6,849,96,2,0,-1,0
738,6,849,120,2,0,-1,0
738,6,849,144,2,0,-1,0
738,6,849,216,2,0,-1,0
738,6,849,240,2,0,-1,0
738,6,849,264,2,0,-1,0
738,6,849,288,2,0,-1,0
738,10,845,312,2,0,-1,0
