time,type,data,data2,data3,data4,data5,data6
0,0,0,0,0,0,0,0
0,2,2,4,6,0,0,0
0,5,10,13,16,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,64,2,1,3,0,0,0
50,2,1,2,3,0,0,0
50,6,500,140,3,0,0,0
50,62,7,0,0,0,0,0
60,6,500,80,3,0,0,0
60,62,7,0,0,0,0,0
70,6,500,120,3,0,0,0
70,62,7,0,0,0,0,0
75,6,500,160,3,0,0,0
75,62,7,0,0,0,0,0
80,6,500,40,3,0,0,0
80,62,7,0,0,0,0,0
85,6,500,100,3,0,0,0
85,62,7,0,0,0,0,0
100,2,1,2,3,0,0,0
100,6,500,140,3,0,0,0
100,62,7,0,0,0,0,0
110,6,500,180,3,0,0,0
110,62,7,0,0,0,0,0
120,6,500,120,3,0,0,0
120,62,7,0,0,0,0,0
125,6,500,60,3,0,0,0
125,62,7,0,0,0,0,0
130,6,500,100,3,0,0,0
130,62,7,0,0,0,0,0
135,6,500,200,3,0,0,0
135,62,7,0,0,0,0,0
150,6,500,240,3,0,0,0
150,62,7,0,0,0,0,0
160,6,500,30,3,0,0,0
160,62,7,0,0,0,0,0
170,6,500,200,3,0,0,0
170,62,7,0,0,0,0,0
175,6,500,80,3,0,0,0
175,62,7,0,0,0,0,0
180,6,500,140,3,0,0,0
180,15,163,210,3,2,0,0
180,15,163,130,3,1,0,0
180,62,13,0,0,0,0,0
180,62,7,0,0,0,0,0
185,6,500,210,3,0,0,0
185,62,7,0,0,0,0,0
200,15,163,190,4,4,0,0
200,15,163,150,4,3,0,0
200,62,13,0,0,0,0,0
220,15,164,170,5,5,0,0
220,20,3,0,0,2,3,0
220,20,-5,0,0,3,2,0
220,20,5,0,0,4,3,0
220,20,-3,0,0,1,2,0
220,33,392,0,0,5,0,0
220,45,616,0,0,5,0,0
220,62,13,0,0,0,0,0
280,15,163,110,2,2,0,0
280,15,163,30,2,1,0,0
280,62,13,0,0,0,0,0
300,15,163,90,3,4,0,0
300,15,163,50,3,3,0,0
300,62,13,0,0,0,0,0
320,15,164,70,4,5,0,0
320,20,6,0,0,2,3,0
320,20,-7,0,0,3,2,0
320,20,7,0,0,4,3,0
