time,type,data,data2,data3,data4,data5,data6
0,2,1,2,2,0,0,0
0,5,12,14,11,10,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,46,-1,1,0,0,0,0
0,51,155,100,12,61,-80,20
0,51,192,88,12,62,-60,20
0,51,194,112,12,62,-60,20
0,51,230,88,12,63,-40,20
0,51,232,112,12,63,-40,20
0,51,159,76,12,64,-24,60
0,51,161,100,12,64,-24,40
0,51,163,124,12,64,-24,60
0,51,197,76,12,64,0,60
0,51,199,100,12,65,0,40
0,51,201,124,12,64,0,60
1,33,396,0,0,65,0,0
1,39,65,64,0,0,0,0
2,20,2,0,0,64,0,0
2,27,3,0,0,64,0,0
4,20,2,0,0,63,0,0
4,27,3,0,0,63,0,0
6,20,2,0,0,62,0,0
6,27,3,0,0,62,0,0
8,20,2,0,0,61,0,0
8,27,3,0,0,61,0,0
20,51,155,200,12,41,-80,20
20,51,192,188,12,42,-60,20
20,51,194,212,12,42,-60,20
20,51,230,188,12,43,-40,20
20,51,232,212,12,43,-40,20
20,51,159,176,12,44,-24,60
20,51,161,200,12,44,-24,40
20,51,163,224,12,44,-24,60
20,51,197,176,12,44,0,60
20,51,199,200,12,45,0,40
20,51,201,224,12,44,0,60
21,33,396,0,0,45,0,0
21,39,45,44,0,0,0,0
22,20,2,0,0,44,0,0
22,27,4,-99,0,44,0,0
24,20,2,0,0,43,0,0
24,27,4,-99,0,43,0,0
26,20,2,0,0,42,0,0
26,27,4,-99,0,42,0,0
28,20,2,0,0,41,0,0
28,27,4,-99,0,41,0,0
49,6,770,66,0,20,0,0
49,6,771,90,0,20,0,0
49,6,768,66,0,20,-28,0
49,6,769,90,0,20,-28,0
92,20,-5,-3,0,44,0,0
92,27,99,-99,0,44,0,0
94,20,-5,-3,0,43,0,0
94,27,99,-99,0,43,0,0
96,20,-5,-3,0,42,0,0
96,27,99,-99,0,42,0,0
98,20,-5,-3,0,41,0,0
98,27,99,-99,0,41,0,0
112,20,8,3,0,44,0,0
114,20,8,3,0,43,0,0
116,20,8,3,0,42,0,0
118,20,8,3,0,41,0,0
120,49,131,72,14,2,-28,5
120,52,15,84,14,1,-28,15
120,52,51,60,14,1,0,15
120,52,53,84,14,1,0,15
120,52,13,60,14,1,-28,15
121,19,0,2,0,1,0,0
121,19,0,2,0,2,0,0
150,19,0,-1,0,2,0,0
170,20,6,-6,0,2,0,0
190,20,-6,4,0,2,0,0
200,49,131,102,14,3,-28,5
200,49,131,132,14,4,-28,5
200,49,131,162,14,5,-28,5
201,19,0,1,0,3,0,0
201,19,0,1,0,4,0,0
201,19,0,1,0,5,0,0
201,33,390,0,0,4,0,0
201,45,628,0,0,4,0,0
205,20,0,10,0,3,0,0
205,20,0,9,0,4,0,0
205,20,0,10,0,5,0,0
210,20,0,4,0,2,0,0
250,52,131,202,14,6,-28,5
250,52,131,232,14,7,-28,5
250,52,131,262,14,8,-28,5
251,19,0,1,0,6,0,0
251,19,0,1,0,7,0,0
251,19,0,1,0,8,0,0
251,33,390,0,0,7,0,0
251,45,628,0,0,7,0,0
255,20,0,10,0,6,0,0
255,20,0,9,0,7,0,0
255,20,0,10,0,8,0,0
273,6,754,66,0,21,0,0
273,6,753,42,0,21,0,0
290,52,131,42,14,13,-28,5
290,52,131,72,14,14,-28,5
290,52,131,102,14,15,-28,5
291,19,0,1,0,13,0,0
291,19,0,1,0,14,0,0
291,19,0,1,0,15,0,0
291,33,390,0,0,14,0,0
291,45,628,0,0,14,0,0
295,20,0,10,0,13,0,0
295,20,0,9,0,14,0,0
295,20,0,10,0,15,0,0
301,6,757,258,0,22,0,0
301,6,756,234,0,22,0,0
320,52,131,112,14,3,-28,5
320,52,131,142,14,4,-28,5
320,52,131,172,14,5,-28,5
321,19,0,1,0,3,0,0
321,19,0,1,0,4,0,0
321,19,0,1,0,5,0,0
321,33,390,0,0,4,0,0
321,45,628,0,0,4,0,0
325,20,0,10,0,3,0,0
325,20,0,9,0,4,0,0
325,20,0,10,0,5,0,0
330,49,131,72,14,2,-28,10
330,49,131,222,14,12,-28,10
330,52,51,60,14,1,0,15
330,52,53,84,14,1,0,15
330,52,13,60,14,1,-28,15
330,52,13,210,14,11,-28,15
330,52,15,234,14,11,-28,15
330,52,51,210,14,11,0,15
330,52,53,234,14,11,0,15
330,52,15,84,14,1,-28,15
331,19,0,2,0,2,0,0
331,19,0,2,0,1,0,0
331,19,0,3,0,11,0,0
331,19,0,3,0,12,0,0
357,6,757,234,0,23,0,0
357,6,756,210,0,23,0,0
360,19,0,-1,0,2,0,0
360,19,0,-1,0,12,0,0
380,20,6,-6,0,2,0,0
380,20,-6,-6,0,12,0,0
400,20,-6,4,0,2,0,0
400,20,6,4,0,12,0,0
413,6,754,90,0,24,0,0
413,6,753,66,0,24,0,0
420,20,0,4,0,2,0,0
420,20,0,4,0,12,0,0
430,52,169,-48,14,6,100,20
430,52,207,-24,14,6,100,20
431,19,4,0,0,6,0,0
441,6,742,114,0,0,0,0
441,6,743,138,0,0,0,0
441,6,744,162,0,0,0,0
460,52,169,-48,14,7,100,20
460,52,207,-24,14,7,100,20
461,19,4,0,0,7,0,0
469,6,739,114,0,0,0,0
469,6,740,138,0,0,0,0
469,6,741,162,0,0,0,0
490,52,169,-48,14,8,100,20
490,52,207,-24,14,8,100,20
491,19,4,0,0,8,0,0
491,45,827,0,0,8,0,0
500,52,245,300,14,1,70,20
500,52,283,324,14,1,70,20
501,19,-4,0,0,1,0,0
510,52,207,-24,14,9,100,20
510,52,169,-48,14,9,100,20
511,19,4,0,0,9,0,0
525,12,745,66,0,25,0,0
525,12,745,186,0,26,0,0
530,52,245,300,14,2,70,20
530,52,283,324,14,2,70,20
531,19,-4,0,0,2,0,0
560,52,245,300,14,3,70,20
560,52,283,324,14,3,70,20
561,19,-4,0,0,3,0,0
561,45,629,0,0,3,0,0
580,52,245,300,14,4,40,20
580,52,283,324,14,4,40,20
581,19,-4,0,0,4,0,0
620,52,131,18,14,10,-28,5
620,52,131,42,14,11,-28,5
620,52,131,72,14,12,-28,5
620,52,131,102,14,13,-28,5
620,52,131,126,14,14,-28,5
621,20,0,11,0,10,0,0
621,20,0,10,0,11,0,0
621,20,0,9,0,12,0,0
621,20,0,10,0,13,0,0
621,20,0,11,0,14,0,0
621,33,390,0,0,12,0,0
621,45,603,0,0,12,0,0
650,52,131,118,14,1,-28,5
650,52,131,142,14,2,-28,5
650,52,131,172,14,3,-28,5
650,52,131,202,14,4,-28,5
650,52,131,226,14,5,-28,5
651,20,0,11,0,1,0,0
651,20,0,10,0,2,0,0
651,20,0,9,0,3,0,0
651,20,0,10,0,4,0,0
651,20,0,11,0,5,0,0
651,33,390,0,0,3,0,0
651,45,625,0,0,3,0,0
680,52,131,68,14,6,-28,5
680,52,131,92,14,7,-28,5
680,52,131,122,14,8,-28,5
680,52,131,152,14,9,-28,5
680,52,131,176,14,15,-28,5
681,20,0,11,0,6,0,0
681,20,0,10,0,7,0,0
681,20,0,9,0,8,0,0
681,20,0,10,0,9,0,0
681,20,0,11,0,15,0,0
681,33,391,0,0,8,0,0
681,45,623,0,0,8,0,0
700,52,131,168,14,16,-28,5
700,52,131,192,14,17,-28,5
700,52,131,222,14,18,-28,5
700,52,131,252,14,19,-28,5
700,52,131,276,14,81,-28,5
701,20,0,11,0,16,0,0
701,20,0,10,0,17,0,0
701,20,0,9,0,18,0,0
701,20,0,10,0,19,0,0
701,20,0,11,0,81,0,0
701,33,391,0,0,18,0,0
701,45,607,0,0,18,0,0
749,6,742,90,0,0,0,0
749,6,743,114,0,0,0,0
749,6,744,138,0,0,0,0
750,52,131,118,14,10,-28,5
750,52,131,142,14,11,-28,5
750,52,131,172,14,12,-28,5
750,52,131,202,14,13,-28,5
750,52,131,226,14,14,-28,5
751,20,0,11,0,10,0,0
751,20,0,10,0,11,0,0
751,20,0,9,0,12,0,0
751,20,0,10,0,13,0,0
751,20,0,11,0,14,0,0
751,33,512,0,0,12,0,0
751,45,625,0,0,12,0,0
777,6,739,90,0,0,0,0
777,6,740,114,0,0,0,0
777,6,741,138,0,0,0,0
781,20,0,-10,0,13,0,0
790,51,155,200,12,41,-80,20
790,51,192,188,12,42,-60,20
790,51,194,212,12,42,-60,20
790,51,230,188,12,43,-40,20
790,51,232,212,12,43,-40,20
790,51,159,176,12,44,-24,60
790,51,161,200,12,44,-24,40
790,51,163,224,12,44,-24,60
790,51,197,176,12,44,0,60
790,51,199,200,12,45,0,40
790,51,201,224,12,44,0,60
791,33,396,0,0,45,0,0
791,39,45,44,0,0,0,0
792,20,2,0,0,44,0,0
792,27,4,-99,0,44,0,0
794,20,2,0,0,43,0,0
794,27,4,-99,0,43,0,0
796,20,2,0,0,42,0,0
796,27,4,-99,0,42,0,0
798,20,2,0,0,41,0,0
798,27,4,-99,0,41,0,0
800,51,155,50,12,61,-80,20
800,51,192,38,12,62,-60,20
800,51,194,62,12,62,-60,20
800,51,230,38,12,63,-40,20
800,51,232,62,12,63,-40,20
800,51,159,26,12,64,-24,60
800,51,161,50,12,64,-24,40
800,51,163,74,12,64,-24,60
800,51,197,26,12,64,0,60
800,51,199,50,12,65,0,40
800,51,201,74,12,64,0,60
801,33,396,0,0,65,0,0
801,39,65,64,0,0,0,0
802,20,2,0,0,64,0,0
802,27,4,-99,0,64,0,0
804,20,2,0,0,63,0,0
804,27,4,-99,0,63,0,0
806,20,2,0,0,62,0,0
806,27,4,-99,0,62,0,0
