time,type,data,data2,data3,data4,data5,data6
0,2,1,2,0,0,0,0
0,5,28,11,0,0,0,0
0,6,813,40,0,1,120,0
0,6,813,70,0,2,120,0
0,6,813,100,0,3,120,0
0,6,813,130,0,4,120,0
0,6,813,160,0,5,120,0
0,6,813,190,0,6,120,0
0,6,813,220,0,7,120,0
0,6,810,10,0,0,0,0
0,9,0,0,0,0,0,0
0,10,810,280,0,0,0,0
0,13,0,0,0,0,0,0
0,20,0,-6,0,3,0,0
0,20,0,-11,0,4,0,0
0,20,0,-7,0,5,0,0
0,20,0,-9,0,6,0,0
0,20,0,-8,0,7,0,0
0,20,0,-10,0,1,0,0
0,20,0,-8,0,2,0,0
0,28,0,0,0,0,0,0
20,6,810,10,0,0,0,0
20,10,810,280,0,0,0,0
40,6,810,10,0,0,0,0
40,10,810,280,0,0,0,0
40,17,813,100,0,0,0,0
60,6,810,10,0,0,0,0
60,10,810,280,0,0,0,0
80,6,810,10,0,0,0,0
80,10,810,280,0,0,0,0
80,17,809,60,0,10,0,0
100,6,810,10,0,0,0,0
100,10,810,280,0,0,0,0
100,20,10,0,0,10,0,0
120,6,810,20,0,0,0,0
120,10,810,270,0,0,0,0
130,20,-10,0,0,10,0,0
140,6,810,30,0,0,0,0
140,10,810,260,0,0,0,0
160,6,810,40,0,0,0,0
160,10,810,250,0,0,0,0
160,17,817,90,0,11,0,0
160,20,0,0,0,10,0,0
180,6,810,50,0,0,0,0
180,10,810,240,0,0,0,0
200,6,810,60,0,0,0,0
200,10,810,230,0,0,0,0
200,17,813,140,0,0,0,0
200,20,8,0,0,11,0,0
220,6,810,70,0,0,0,0
220,10,810,220,0,0,0,0
230,20,-8,0,0,11,0,0
240,6,810,80,0,0,0,0
240,10,810,210,0,0,0,0
240,17,809,180,0,12,0,0
260,6,810,80,0,0,0,0
260,10,810,210,0,0,0,0
260,20,0,0,0,11,0,0
280,6,810,90,0,0,0,0
280,10,810,200,0,0,0,0
300,6,810,100,0,0,0,0
300,10,810,190,0,0,0,0
300,20,-10,0,0,12,0,0
310,6,810,90,0,0,0,0
310,10,810,200,0,0,0,0
320,6,810,80,0,0,0,0
320,10,810,210,0,0,0,0
320,20,10,0,0,12,0,0
330,6,810,70,0,0,0,0
330,10,810,220,0,0,0,0
340,6,810,60,0,0,0,0
340,10,810,230,0,0,0,0
340,20,0,0,0,12,0,0
350,6,810,50,0,0,0,0
350,10,810,240,0,0,0,0
360,6,810,40,0,0,0,0
360,10,810,250,0,0,0,0
370,6,810,30,0,0,0,0
370,10,810,260,0,0,0,0
380,6,810,20,0,0,0,0
380,10,810,270,0,0,0,0
390,6,810,20,0,0,0,0
390,10,810,270,0,0,0,0
400,6,810,20,0,0,0,0
400,10,810,270,0,0,0,0
400,15,815,210,0,13,0,0
410,6,810,30,0,0,0,0
410,10,810,270,0,0,0,0
420,6,810,40,0,0,0,0
420,10,810,270,0,0,0,0
430,6,810,50,0,0,0,0
430,10,810,270,0,0,0,0
440,6,810,60,0,0,0,0
440,10,810,270,0,0,0,0
450,6,810,70,0,0,0,0
450,10,810,270,0,0,0,0
460,6,810,80,0,0,0,0
460,10,810,270,0,0,0,0
470,6,810,90,0,0,0,0
470,10,810,270,0,0,0,0
480,6,810,100,0,0,0,0
480,10,810,270,0,0,0,0
490,6,810,110,0,0,0,0
490,10,810,270,0,0,0,0
500,6,810,120,0,0,0,0
500,10,810,270,0,0,0,0
500,15,814,150,0,0,0,0
510,6,810,120,0,0,0,0
510,10,810,270,0,0,0,0
520,6,810,110,0,0,0,0
520,10,810,260,0,0,0,0
520,15,814,120,0,0,0,0
520,15,814,180,0,0,0,0
530,6,810,100,0,0,0,0
530,10,810,250,0,0,0,0
540,6,810,90,0,0,0,0
540,10,810,240,0,0,0,0
550,6,810,80,0,0,0,0
550,10,810,230,0,0,0,0
550,20,-10,0,0,13,0,0
560,6,810,70,0,0,0,0
560,10,810,220,0,0,0,0
570,6,810,60,0,0,0,0
570,10,810,210,0,0,0,0
570,20,10,0,0,13,0,0
580,6,810,50,0,0,0,0
580,10,810,200,0,0,0,0
590,6,810,40,0,0,0,0
590,10,810,190,0,0,0,0
590,20,0,0,0,13,0,0
600,6,810,30,0,0,0,0
600,10,810,180,0,0,0,0
600,15,814,110,0,0,0,0
610,6,810,30,0,0,0,0
610,10,810,190,0,0,0,0
620,6,810,40,0,0,0,0
620,10,810,190,0,0,0,0
620,15,814,80,0,0,0,0
620,15,814,140,0,0,0,0
630,6,810,50,0,0,0,0
630,10,810,200,0,0,0,0
640,6,810,60,0,0,0,0
640,10,810,210,0,0,0,0
650,6,810,70,0,0,0,0
650,10,810,220,0,0,0,0
660,6,810,80,0,0,0,0
660,10,810,230,0,0,0,0
670,6,810,90,0,0,0,0
670,10,810,240,0,0,0,0
680,6,810,100,0,0,0,0
680,10,810,250,0,0,0,0
680,17,813,140,0,201,0,0
681,60,1,1,0,201,0,0
690,6,810,110,0,0,0,0
690,10,810,260,0,0,0,0
700,6,810,120,0,0,0,0
700,10,810,270,0,0,0,0
700,20,10,0,0,201,0,0
710,6,810,120,0,0,0,0
710,10,810,270,0,0,0,0
720,6,810,110,0,0,0,0
720,10,810,270,0,0,0,0
720,17,817,200,0,11,0,0
730,6,810,100,0,0,0,0
730,10,810,270,0,0,0,0
730,20,-10,0,0,201,0,0
740,6,810,90,0,0,0,0
740,10,810,270,0,0,0,0
750,6,810,80,0,0,0,0
750,10,810,270,0,0,0,0
760,6,810,70,0,0,0,0
760,10,810,270,0,0,0,0
760,17,817,240,0,12,0,0
760,20,-10,0,0,11,0,0
760,20,0,0,0,201,0,0
770,6,810,60,0,0,0,0
770,10,810,270,0,0,0,0
780,6,810,50,0,0,0,0
780,10,810,270,0,0,0,0
790,6,810,40,0,0,0,0
790,10,810,270,0,0,0,0
790,20,10,0,0,11,0,0
800,6,810,30,0,0,0,0
800,10,810,270,0,0,0,0
800,17,817,170,0,13,0,0
800,20,-8,0,0,12,0,0
800,20,-10,0,0,201,0,0
810,6,810,30,0,0,0,0
810,10,810,270,0,0,0,0
820,6,810,20,0,0,0,0
820,10,810,280,0,0,0,0
820,20,8,0,0,12,0,0
820,20,0,0,0,11,0,0
821,20,-10,0,0,11,0,0
830,6,810,10,0,0,0,0
830,10,810,290,0,0,0,0
830,20,0,0,0,201,0,0
840,6,810,150,0,0,0,0
840,17,817,140,0,14,0,0
840,20,0,0,0,12,0,0
840,20,10,0,0,13,0,0
841,20,7,0,0,12,0,0
850,6,810,130,0,0,0,0
850,10,810,170,0,0,0,0
850,20,10,0,0,201,0,0
851,20,10,0,0,11,0,0
860,6,810,120,0,0,0,0
860,10,810,180,0,0,0,0
860,20,-10,0,0,14,0,0
