time,type,data,data2,data3,data4,data5,data6
0,0,0,0,0,0,0,0
0,2,1,2,2,0,0,0
0,5,12,14,11,29,0,0
0,9,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,46,1,0,0,0,0,0
76,6,819,258,0,2,0,0
76,6,819,282,0,3,0,0
76,6,819,234,0,1,0,0
76,19,-1,0,0,1,0,0
76,19,-1,0,0,3,0,0
76,19,-1,0,0,2,0,0
90,52,15,84,14,11,-28,15
90,52,51,60,14,11,0,15
90,52,53,84,14,11,0,15
90,52,13,160,14,12,-28,15
90,52,15,184,14,12,-28,15
90,52,51,160,14,12,0,15
90,52,53,184,14,12,0,15
90,52,13,60,14,11,-28,15
91,19,0,2,0,12,0,0
91,19,0,2,0,11,0,0
105,6,766,210,0,20,0,0
105,6,763,162,0,20,-28,0
105,6,764,186,0,20,-28,0
105,6,765,186,0,20,0,0
130,52,15,124,14,13,-28,15
130,52,51,100,14,13,0,15
130,52,53,124,14,13,0,15
130,52,13,100,14,13,-28,15
131,19,0,2,0,13,0,0
280,52,15,224,14,14,-28,15
280,52,51,200,14,14,0,15
280,52,53,224,14,14,0,15
280,52,13,200,14,14,-28,15
281,19,0,2,0,14,0,0
300,6,819,90,0,1,0,0
300,6,819,66,0,2,0,0
300,19,1,0,0,1,0,0
340,19,-2,0,0,2,0,0
352,19,0,-2,0,2,0,0
380,19,-2,0,0,2,0,0
380,52,15,214,14,12,-28,15
380,52,51,190,14,12,0,15
380,52,53,214,14,12,0,15
380,52,13,190,14,12,-28,15
381,19,0,2,0,12,0,0
390,52,51,100,14,11,0,15
390,52,53,124,14,11,0,15
390,52,13,100,14,11,-28,15
390,52,15,124,14,11,-28,15
391,19,0,2,0,11,0,0
392,19,0,-2,0,2,0,0
462,19,2,0,0,2,0,0
525,6,754,42,0,21,0,0
525,6,753,18,0,21,0,0
553,6,754,18,0,22,0,0
553,6,753,-6,0,22,0,0
692,6,819,42,0,5,0,0
692,6,819,-6,0,3,0,0
692,6,819,18,0,4,0,0
692,19,1,0,0,5,0,0
692,19,1,0,0,4,0,0
692,19,1,0,0,3,0,0
721,6,754,162,0,23,0,0
721,6,753,138,0,23,0,0
749,6,757,162,0,24,0,0
749,6,756,138,0,24,0,0
777,6,754,162,0,25,0,0
777,6,753,138,0,25,0,0
804,6,819,258,0,2,0,0
804,6,819,282,0,3,0,0
804,6,819,234,0,1,0,0
804,19,-1,0,0,1,0,0
804,19,-1,0,0,3,0,0
804,19,-1,0,0,2,0,0
945,6,769,42,0,26,-28,0
945,6,770,18,0,26,0,0
945,6,771,42,0,26,0,0
945,6,768,18,0,26,-28,0
1020,52,15,144,14,11,-28,15
1020,52,51,120,14,11,0,15
1020,52,53,144,14,11,0,15
1020,52,13,120,14,11,-28,15
1021,19,0,2,0,11,0,0
1029,6,765,234,0,27,0,0
1029,6,766,258,0,27,0,0
1029,6,763,210,0,27,-28,0
1029,6,764,234,0,27,-28,0
1050,52,15,194,14,12,-28,15
1050,52,51,170,14,12,0,15
1050,52,53,194,14,12,0,15
1050,52,13,170,14,12,-28,15
1051,19,0,2,0,12,0,0
1085,6,764,234,0,28,-28,0
1085,6,765,234,0,28,0,0
1085,6,766,258,0,28,0,0
1085,6,763,210,0,28,-28,0
1090,52,15,104,14,13,-28,15
1090,52,51,80,14,13,0,15
1090,52,53,104,14,13,0,15
1090,52,13,80,14,13,-28,15
1091,19,0,2,0,13,0,0
1197,6,754,42,0,29,0,0
1197,6,753,18,0,29,0,0
1281,6,769,42,0,30,-28,0
1281,6,770,18,0,30,0,0
1281,6,771,42,0,30,0,0
1281,6,768,18,0,30,-28,0
1300,52,283,324,14,1,70,20
1300,52,245,300,14,1,70,20
1301,19,-4,0,0,1,0,0
1330,52,283,324,14,2,110,20
1330,52,245,300,14,2,110,20
1331,19,-4,0,0,2,0,0
1360,52,283,324,14,3,90,20
1360,52,245,300,14,3,90,20
1361,19,-4,0,0,3,0,0
1380,52,283,324,14,4,40,20
1380,52,245,300,14,4,40,20
1381,19,-4,0,0,4,0,0
1393,10,758,18,0,31,-28,0
1393,10,759,18,0,31,0,0
1393,10,758,42,0,32,-28,0
1393,10,759,42,0,32,0,0
1420,52,283,324,14,5,60,20
1420,52,245,300,14,5,60,20
1421,19,-4,0,0,5,0,0
1450,52,15,144,14,11,-28,15
1450,52,51,120,14,11,0,15
1450,52,53,144,14,11,0,15
1450,52,13,120,14,11,-28,15
1451,19,0,2,0,11,0,0
1470,52,15,194,14,12,-28,15
1470,52,51,170,14,12,0,15
1470,52,53,194,14,12,0,15
1470,52,13,170,14,12,-28,15
1471,19,0,2,0,12,0,0
1505,6,754,42,0,33,0,0
1505,6,753,18,0,33,0,0
1550,52,283,324,14,6,40,20
1550,52,245,300,14,6,40,20
1551,19,-4,0,0,6,0,0
1580,52,283,324,14,7,80,20
1580,52,245,300,14,7,80,20
1581,19,-4,0,0,7,0,0
1610,52,283,324,14,8,120,20
1610,52,245,300,14,8,120,20
1611,19,-4,0,0,8,0,0
1617,6,753,18,0,34,0,0
1617,6,754,42,0,34,0,0
1630,52,283,324,14,9,120,20
1630,52,245,300,14,9,120,20
1631,19,-4,0,0,9,0,0
1640,52,283,324,14,1,90,20
1640,52,245,300,14,1,90,20
1641,19,-4,0,0,1,0,0
1660,52,283,324,14,2,110,20
1660,52,245,300,14,2,110,20
1661,19,-4,0,0,2,0,0
1670,52,283,324,14,3,40,20
1670,52,245,300,14,3,40,20
1671,19,-4,0,0,3,0,0
1680,52,283,324,14,4,10,20
1680,52,245,300,14,4,10,20
1681,19,-4,0,0,4,0,0
1700,52,283,324,14,5,110,20
1700,52,245,300,14,5,110,20
1701,19,-4,0,0,5,0,0
1710,52,283,324,14,6,100,20
1710,52,245,300,14,6,100,20
1711,19,-4,0,0,6,0,0
1729,6,768,18,0,35,-28,0
1729,6,769,42,0,35,-28,0
1729,6,770,18,0,35,0,0
1729,6,771,42,0,35,0,0
1730,52,283,324,14,7,70,20
1730,52,245,300,14,7,70,20
1731,19,-4,0,0,7,0,0
1740,52,283,324,14,8,40,20
1740,52,245,300,14,8,40,20
1741,19,-4,0,0,8,0,0
1841,6,769,42,0,36,-28,0
1841,6,770,18,0,36,0,0
1841,6,771,42,0,36,0,0
1841,6,768,18,0,36,-28,0
1841,10,759,186,0,37,0,0
1841,10,758,210,0,38,-28,0
1841,10,759,210,0,38,0,0
1841,10,758,186,0,37,-28,0
1953,10,759,18,0,39,0,0
1953,10,758,42,0,40,-28,0
1953,10,759,42,0,40,0,0
1953,10,758,18,0,39,-28,0
2009,10,759,42,0,21,0,0
2009,10,758,42,0,21,-28,0
2010,52,15,144,14,11,-28,15
2010,52,51,120,14,11,0,15
2010,52,53,144,14,11,0,15
2010,52,13,120,14,11,-28,15
2011,19,0,2,0,11,0,0
2020,52,15,194,14,12,-28,15
2020,52,51,170,14,12,0,15
2020,52,53,194,14,12,0,15
2020,52,13,170,14,12,-28,15
2021,19,0,2,0,12,0,0
2060,52,15,164,14,13,-28,15
2060,52,51,140,14,13,0,15
2060,52,53,164,14,13,0,15
2060,52,13,140,14,13,-28,15
2061,19,0,2,0,13,0,0
2090,52,15,244,14,14,-28,15
2090,52,51,220,14,14,0,15
2090,52,53,244,14,14,0,15
2090,52,13,220,14,14,-28,15
2091,19,0,2,0,14,0,0
2160,52,15,164,14,15,-28,15
2160,52,51,140,14,15,0,15
2160,52,53,164,14,15,0,15
2160,52,13,140,14,15,-28,15
2161,19,0,2,0,15,0,0
2190,52,15,114,14,16,-28,15
2190,52,51,90,14,16,0,15
2190,52,53,114,14,16,0,15
2190,52,13,190,14,17,-28,15
2190,52,15,214,14,17,-28,15
2190,52,51,190,14,17,0,15
2190,52,53,214,14,17,0,15
2190,52,13,90,14,16,-28,15
2191,19,0,2,0,17,0,0
2191,19,0,2,0,16,0,0
2210,52,15,64,14,18,-28,15
2210,52,51,40,14,18,0,15
2210,52,53,64,14,18,0,15
2210,52,13,240,14,19,-28,15
2210,52,15,264,14,19,-28,15
2210,52,51,240,14,19,0,15
2210,52,53,264,14,19,0,15
2210,52,13,40,14,18,-28,15
2211,19,0,2,0,19,0,0
2211,19,0,2,0,18,0,0
2316,6,819,186,0,1,0,0
2316,6,819,162,0,0,0,0
2373,10,759,234,0,22,0,0
2373,10,758,234,0,22,-28,0
2376,19,0,-2,0,1,0,0
2446,19,-2,0,0,1,0,0
2485,6,769,42,0,23,-28,0
2485,6,770,18,0,23,0,0
2485,6,771,42,0,23,0,0
2485,6,768,18,0,23,-28,0
2494,19,0,0,0,1,0,0
2513,10,758,210,0,24,-28,0
2513,10,759,210,0,24,0,0
2596,6,819,114,0,2,0,0
2606,19,2,0,0,2,0,0
2618,19,0,2,0,2,0,0
2653,10,759,114,0,25,0,0
2653,10,758,162,0,26,-28,0
2653,10,759,162,0,26,0,0
2653,10,758,114,0,25,-28,0
2681,10,759,90,0,27,0,0
2681,10,758,186,0,28,-28,0
2681,10,759,186,0,28,0,0
2681,10,758,90,0,27,-28,0
2820,6,819,90,0,2,0,0
2820,6,819,66,0,1,0,0
2849,10,758,138,0,29,-28,0
2849,10,759,138,0,29,0,0
2860,19,0,-2,0,2,0,0
2860,19,0,-2,0,1,0,0
2874,19,2,0,0,2,0,0
2874,19,-2,0,0,1,0,0
2876,6,819,66,0,3,0,0
2886,19,0,-2,0,1,0,0
2886,19,0,-2,0,2,0,0
2900,19,-2,0,0,1,0,0
2900,19,2,0,0,2,0,0
2904,6,819,66,0,4,0,0
2912,19,0,-2,0,1,0,0
2916,19,2,0,0,3,0,0
2926,19,0,0,0,1,0,0
2928,19,0,-2,0,3,0,0
2932,6,819,210,0,7,0,0
2936,19,0,-2,0,2,0,0
2942,19,2,0,0,3,0,0
2944,19,0,-2,0,4,0,0
2950,19,2,0,0,2,0,0
2954,19,0,-2,0,3,0,0
2958,19,-2,0,0,4,0,0
2960,6,819,114,0,5,0,0
2968,19,-2,0,0,3,0,0
2970,19,0,2,0,4,0,0
2972,19,2,0,0,7,0,0
2984,19,0,-2,0,7,0,0
2984,19,2,0,0,4,0,0
2986,19,0,-2,0,2,0,0
2988,6,819,234,0,8,0,0
2988,6,819,114,0,6,0,0
2989,10,759,210,0,31,0,0
2989,10,758,90,0,30,-28,0
2989,10,759,90,0,30,0,0
2989,10,758,210,0,31,-28,0
2996,19,0,-2,0,4,0,0
2998,19,-2,0,0,7,0,0
3000,19,-2,0,0,5,0,0
3010,19,-2,0,0,4,0,0
3014,19,-2,0,0,2,0,0
3022,19,0,-2,0,4,0,0
3022,19,0,-2,0,7,0,0
3024,19,0,-2,0,5,0,0
3026,19,0,2,0,2,0,0
3028,19,2,0,0,8,0,0
3028,19,2,0,0,6,0,0
3040,19,-2,0,0,2,0,0
3040,19,0,-2,0,8,0,0
3040,19,0,2,0,6,0,0
3050,19,2,0,0,7,0,0
3052,19,2,0,0,5,0,0
3054,19,-2,0,0,6,0,0
3068,19,-2,0,0,8,0,0
3072,6,819,138,0,9,0,0
3076,19,0,0,0,2,0,0
3078,19,2,0,0,4,0,0
3086,19,0,2,0,7,0,0
3088,19,0,2,0,5,0,0
3090,19,0,-2,0,6,0,0
3092,19,0,-2,0,8,0,0
3101,10,758,66,0,32,-28,0
3101,10,759,66,0,32,0,0
3102,19,-2,0,0,5,0,0
3104,19,0,0,0,6,0,0
3106,19,2,0,0,8,0,0
3112,19,0,-2,0,9,0,0
3114,19,-2,0,0,7,0,0
3114,19,0,0,0,5,0,0
3118,19,0,-2,0,8,0,0
3126,19,2,0,0,9,0,0
3126,19,0,0,0,7,0,0
3129,10,759,18,0,33,0,0
3129,10,758,210,0,34,-28,0
3129,10,759,210,0,34,0,0
3129,10,758,18,0,33,-28,0
3138,19,-2,0,0,9,0,0
3138,19,0,2,0,4,0,0
3146,19,0,0,0,8,0,0
3150,19,0,-2,0,9,0,0
3164,19,2,0,0,9,0,0
3188,19,0,-2,0,9,0,0
3208,19,0,0,0,4,0,0
3216,19,2,0,0,9,0,0
3240,6,819,66,0,0,0,0
3241,10,758,42,0,35,-28,0
3241,10,759,42,0,35,0,0
3252,19,0,2,0,9,0,0
3266,19,0,0,0,9,0,0
3297,10,759,114,0,36,0,0
3297,10,758,114,0,36,-28,0
3465,10,759,90,0,37,0,0
3465,10,758,90,0,37,-28,0
3470,52,15,144,14,11,-28,15
3470,52,51,120,14,11,0,15
3470,52,53,144,14,11,0,15
3470,52,13,220,14,13,-28,15
3470,52,15,244,14,13,-28,15
3470,52,51,220,14,13,0,15
3470,52,53,244,14,13,0,15
3470,52,13,120,14,11,-28,15
3471,19,0,2,0,13,0,0
3471,19,0,2,0,11,0,0
3510,52,15,164,14,15,-28,15
3510,52,51,140,14,15,0,15
3510,52,53,164,14,15,0,15
3510,52,13,140,14,15,-28,15
3511,19,0,2,0,15,0,0
3520,52,53,194,14,12,0,15
3520,52,13,170,14,12,-28,15
3520,52,15,194,14,12,-28,15
3520,52,51,170,14,12,0,15
3521,19,0,2,0,12,0,0
3540,52,15,114,14,16,-28,15
3540,52,51,90,14,16,0,15
3540,52,53,114,14,16,0,15
3540,52,13,190,14,17,-28,15
3540,52,15,214,14,17,-28,15
3540,52,51,190,14,17,0,15
3540,52,53,214,14,17,0,15
3540,52,13,90,14,16,-28,15
3541,19,0,2,0,17,0,0
3541,19,0,2,0,16,0,0
3660,52,15,64,14,18,-28,15
3660,52,51,40,14,18,0,15
3660,52,53,64,14,18,0,15
3660,52,13,240,14,19,-28,15
3660,52,15,264,14,19,-28,15
3660,52,51,240,14,19,0,15
3660,52,53,264,14,19,0,15
3660,52,13,40,14,18,-28,15
3661,19,0,2,0,19,0,0
3661,19,0,2,0,18,0,0
3745,10,759,42,0,38,0,0
3745,10,758,66,0,39,-28,0
3745,10,759,66,0,39,0,0
3745,10,758,90,0,40,-28,0
3745,10,759,90,0,40,0,0
3745,10,758,114,0,21,-28,0
3745,10,759,114,0,21,0,0
3745,10,758,42,0,38,-28,0
3760,52,15,164,14,15,-28,15
3760,52,51,140,14,15,0,15
3760,52,53,164,14,15,0,15
3760,52,13,140,14,15,-28,15
3761,19,0,2,0,15,0,0
3790,49,15,214,14,17,-28,15
3790,49,51,190,14,17,0,15
3790,49,53,214,14,17,0,15
3790,49,13,190,14,17,-28,15
3790,52,15,114,14,16,-28,15
3790,52,51,90,14,16,0,15
3790,52,53,114,14,16,0,15
3790,52,13,90,14,16,-28,15
3791,19,0,2,0,17,0,0
3791,19,0,2,0,16,0,0
3810,49,15,264,14,19,-28,15
3810,49,51,240,14,19,0,15
3810,49,53,264,14,19,0,15
3810,49,13,240,14,19,-28,15
3810,52,15,64,14,18,-28,15
3810,52,51,40,14,18,0,15
3810,52,53,64,14,18,0,15
3810,52,13,40,14,18,-28,15
3811,19,0,2,0,19,0,0
3811,19,0,2,0,18,0,0
3890,52,15,214,14,12,-28,15
3890,52,51,190,14,12,0,15
3890,52,53,214,14,12,0,15
3890,52,13,190,14,12,-28,15
3891,19,0,3,0,12,0,0
3920,52,15,264,14,13,-28,15
3920,52,51,240,14,13,0,15
3920,52,53,264,14,13,0,15
3920,52,13,240,14,13,-28,15
3921,19,0,3,0,13,0,0
3941,10,758,186,0,25,-28,0
3941,10,759,186,0,25,0,0
3941,10,758,114,0,22,-28,0
3941,10,759,114,0,22,0,0
3941,10,758,138,0,23,-28,0
3941,10,759,138,0,23,0,0
3941,10,758,162,0,24,-28,0
3941,10,759,162,0,24,0,0
3950,52,207,-24,14,1,100,20
3950,52,169,-48,14,1,100,20
3951,19,4,0,0,1,0,0
3960,52,283,324,14,2,70,20
3960,52,245,300,14,2,70,20
3961,19,-4,0,0,2,0,0
3970,52,207,-24,14,3,50,20
3970,52,169,-48,14,3,50,20
3971,19,4,0,0,3,0,0
3980,52,283,324,14,4,110,20
3980,52,245,300,14,4,110,20
3981,19,-4,0,0,4,0,0
4070,52,207,-24,14,5,90,20
4070,52,169,-48,14,5,90,20
4071,19,4,0,0,5,0,0
4080,52,283,324,14,6,120,20
4080,52,245,300,14,6,120,20
4081,19,-4,0,0,6,0,0
4090,49,15,214,14,17,-28,15
4090,49,51,190,14,17,0,15
4090,49,53,214,14,17,0,15
4090,49,13,190,14,17,-28,15
4090,52,15,114,14,16,-28,15
4090,52,51,90,14,16,0,15
4090,52,53,114,14,16,0,15
4090,52,13,90,14,16,-28,15
4091,19,0,2,0,17,0,0
4091,19,0,2,0,16,0,0
4109,6,757,258,0,26,0,0
4109,6,756,234,0,26,0,0
4110,49,15,264,14,19,-28,15
4110,49,51,240,14,19,0,15
4110,49,53,264,14,19,0,15
4110,49,13,240,14,19,-28,15
4110,52,15,64,14,18,-28,15
4110,52,51,40,14,18,0,15
4110,52,53,64,14,18,0,15
4110,52,13,40,14,18,-28,15
4111,19,0,2,0,19,0,0
4111,19,0,2,0,18,0,0
4150,52,207,-24,14,1,90,20
4150,52,169,-48,14,1,90,20
4151,19,4,0,0,1,0,0
4160,52,207,-24,14,2,20,20
4160,52,169,-48,14,2,20,20
4161,19,4,0,0,2,0,0
4170,52,207,-24,14,3,60,20
4170,52,169,-48,14,3,60,20
4171,19,4,0,0,3,0,0
4180,52,207,-24,14,4,30,20
4180,52,169,-48,14,4,30,20
4181,19,4,0,0,4,0,0
4190,52,207,-24,14,5,120,20
4190,52,169,-48,14,5,120,20
4191,19,4,0,0,5,0,0
4193,6,766,258,0,27,0,0
4193,6,763,210,0,27,-28,0
4193,6,764,234,0,27,-28,0
4193,6,765,234,0,27,0,0
4200,52,207,-24,14,6,100,20
4200,52,169,-48,14,6,100,20
4201,19,4,0,0,6,0,0
4210,52,207,-24,14,7,80,20
4210,52,169,-48,14,7,80,20
4211,19,4,0,0,7,0,0
4220,52,207,-24,14,8,110,20
4220,52,169,-48,14,8,110,20
4221,19,4,0,0,8,0,0
4230,52,207,-24,14,9,50,20
4230,52,169,-48,14,9,50,20
4231,19,4,0,0,9,0,0
4240,52,207,-24,14,1,80,20
4240,52,169,-48,14,1,80,20
4241,19,4,0,0,1,0,0
4250,52,207,-24,14,2,40,20
4250,52,169,-48,14,2,40,20
4251,19,4,0,0,2,0,0
4260,52,207,-24,14,3,20,20
4260,52,169,-48,14,3,20,20
4261,19,4,0,0,3,0,0
4270,52,207,-24,14,4,120,20
4270,52,169,-48,14,4,120,20
4271,19,4,0,0,4,0,0
4277,10,759,258,0,29,0,0
4277,10,758,234,0,28,-28,0
4277,10,759,234,0,28,0,0
4277,10,758,258,0,29,-28,0
4280,52,207,-24,14,5,90,20
4280,52,169,-48,14,5,90,20
4281,19,4,0,0,5,0,0
4290,52,207,-24,14,6,70,20
4290,52,169,-48,14,6,70,20
4291,19,4,0,0,6,0,0
4300,52,207,-24,14,7,110,20
4300,52,169,-48,14,7,110,20
4301,19,4,0,0,7,0,0
4360,49,15,34,14,11,-28,15
4360,49,51,10,14,11,0,15
4360,49,53,34,14,11,0,15
4360,49,13,10,14,11,-28,15
4361,6,757,258,0,30,0,0
4361,6,756,234,0,30,0,0
4361,19,0,5,0,11,0,0
4380,49,15,164,14,12,-28,15
4380,49,51,140,14,12,0,15
4380,49,53,164,14,12,0,15
4380,49,13,140,14,12,-28,15
4381,19,0,5,0,12,0,0
4400,49,15,204,14,13,-28,15
4400,49,51,180,14,13,0,15
4400,49,53,204,14,13,0,15
4400,49,13,180,14,13,-28,15
4401,19,0,5,0,13,0,0
4420,49,15,104,14,14,-28,15
4420,49,51,80,14,14,0,15
4420,49,53,104,14,14,0,15
4420,49,13,80,14,14,-28,15
4421,19,0,5,0,14,0,0
4440,49,15,34,14,15,-28,15
4440,49,51,10,14,15,0,15
4440,49,53,34,14,15,0,15
4440,49,13,10,14,15,-28,15
4441,19,0,5,0,15,0,0
4445,6,765,234,0,31,0,0
4445,6,766,258,0,31,0,0
4445,6,763,210,0,31,-28,0
4445,6,764,234,0,31,-28,0
4460,49,15,134,14,16,-28,15
4460,49,51,110,14,16,0,15
4460,49,53,134,14,16,0,15
4460,49,13,110,14,16,-28,15
4461,19,0,5,0,16,0,0
4480,52,15,84,14,17,-28,15
4480,52,51,60,14,17,0,15
4480,52,53,84,14,17,0,15
4480,52,13,60,14,17,-28,15
4481,19,0,5,0,17,0,0
4500,52,15,164,14,18,-28,15
4500,52,51,140,14,18,0,15
4500,52,53,164,14,18,0,15
4500,52,13,140,14,18,-28,15
4501,19,0,5,0,18,0,0
4529,6,764,234,0,32,-28,0
4529,6,765,234,0,32,0,0
4529,6,766,258,0,32,0,0
4529,6,763,210,0,32,-28,0
4560,52,207,-24,14,1,40,20
4560,52,169,-48,14,1,40,20
4561,19,4,0,0,1,0,0
4580,52,207,-24,14,2,80,20
4580,52,169,-48,14,2,80,20
4581,19,4,0,0,2,0,0
4600,52,207,-24,14,3,20,20
4600,52,169,-48,14,3,20,20
4601,19,4,0,0,3,0,0
4613,6,756,234,0,33,0,0
4613,6,757,258,0,33,0,0
4620,52,207,-24,14,4,60,20
4620,52,169,-48,14,4,60,20
4621,19,4,0,0,4,0,0
4630,52,207,-24,14,5,120,20
4630,52,169,-48,14,5,120,20
4631,19,4,0,0,5,0,0
4640,52,207,-24,14,6,90,20
4640,52,169,-48,14,6,90,20
4641,19,4,0,0,6,0,0
4650,52,207,-24,14,7,60,20
4650,52,169,-48,14,7,60,20
4651,19,4,0,0,7,0,0
4660,52,207,-24,14,8,110,20
4660,52,169,-48,14,8,110,20
4661,19,4,0,0,8,0,0
4670,52,207,-24,14,9,80,20
4670,52,169,-48,14,9,80,20
4671,19,4,0,0,9,0,0
4680,52,207,-24,14,1,120,20
4680,52,169,-48,14,1,120,20
4681,19,4,0,0,1,0,0
4690,52,207,-24,14,2,90,20
4690,52,169,-48,14,2,90,20
4691,19,4,0,0,2,0,0
4697,10,759,258,0,35,0,0
4697,10,758,234,0,34,-28,0
4697,10,759,234,0,34,0,0
4697,10,758,258,0,35,-28,0
4700,52,207,-24,14,3,30,20
4700,52,169,-48,14,3,30,20
4701,19,4,0,0,3,0,0
4710,49,207,-24,14,4,127,20
4710,49,169,-48,14,4,127,20
4711,19,4,0,0,4,0,0
4720,49,207,-24,14,5,60,20
4720,49,169,-48,14,5,60,20
4721,19,4,0,0,5,0,0
4730,52,207,-24,14,6,90,20
4730,52,169,-48,14,6,90,20
4731,19,4,0,0,6,0,0
4800,16,2,30,0,0,0,0
4800,34,0,0,0,0,0,0
4808,6,819,66,0,4,0,0
4808,6,819,-6,0,1,0,0
4808,6,819,18,0,2,0,0
4808,6,819,42,0,3,0,0
4808,19,1,0,0,4,0,0
4808,19,1,0,0,1,0,0
4808,19,1,0,0,3,0,0
4808,19,1,0,0,2,0,0
4810,52,53,84,14,17,0,15
4810,52,13,60,14,17,-28,15
4810,52,15,84,14,17,-28,15
4810,52,51,60,14,17,0,15
4811,19,0,5,0,17,0,0
4900,7,773,188,0,64,-56,0
4900,7,774,164,0,64,-28,0
4900,7,775,188,0,64,-28,0
4900,7,772,164,0,64,-56,0
4900,31,0,0,0,64,0,0
4900,35,6,0,0,0,0,0
4900,36,0,0,0,0,0,0
4900,51,155,164,14,64,-84,-6
4900,51,197,212,14,64,-56,-6
4900,51,229,140,14,64,-28,-6
4900,51,157,188,14,64,-84,-6
4900,51,159,212,14,64,-84,-6
4900,51,235,212,14,64,-28,-6
4900,51,267,152,14,64,0,-6
4900,51,269,176,14,64,0,-6
4900,51,271,200,14,64,0,-6
4900,51,191,140,14,64,-56,-6
4900,51,153,140,14,64,-84,-6
4900,79,64,0,0,0,0,0
4940,19,0,-2,0,64,0,0
4960,31,0,3,0,64,0,0
4970,20,0,2,0,64,0,0
4970,31,20,0,0,64,0,0
4980,20,0,-4,0,64,0,0
5000,19,0,-4,0,64,0,0
5000,20,0,0,0,64,0,0
5030,19,0,-2,0,64,0,0
5040,20,-8,8,0,64,0,0
5040,31,0,10,0,64,0,0
5070,20,0,0,0,64,0,0
5070,31,20,0,0,64,0,0
5080,20,8,-8,0,64,0,0
5110,20,8,-6,0,64,0,0
5110,31,0,10,0,64,0,0
5140,20,0,0,0,64,0,0
5140,31,20,0,0,64,0,0
5150,20,-8,6,0,64,0,0
5180,20,8,10,0,64,0,0
5180,31,0,10,0,64,0,0
5210,20,0,0,0,64,0,0
5210,31,20,0,0,64,0,0
5220,20,-8,-10,0,64,0,0
5250,20,-8,-15,0,64,0,0
5250,31,0,10,0,64,0,0
5280,20,0,0,0,64,0,0
5280,31,20,0,0,64,0,0
5290,20,8,15,0,64,0,0
5320,20,-10,10,0,64,0,0
5320,31,0,10,0,64,0,0
5350,20,0,0,0,64,0,0
