time,type,data,data2,data3,data4,data5,data6
0,2,1,0,0,0,0,0
0,5,9,20,0,0,0,0
0,8,0,0,0,0,0,0
0,14,0,0,0,0,0,0
100,10,679,100,0,1,-28,0
100,10,680,100,0,1,0,0
150,10,679,200,0,1,-28,0
150,10,680,200,0,1,0,0
190,10,679,160,0,1,-28,0
190,10,680,160,0,1,0,0
220,10,679,90,0,1,-28,0
220,10,680,90,0,1,0,0
240,10,679,20,0,1,-28,0
240,10,680,20,0,1,0,0
250,10,679,240,0,1,-28,0
250,10,680,240,0,1,0,0
260,10,679,120,0,1,-28,0
260,10,680,120,0,1,0,0
270,10,679,80,0,1,-28,0
270,10,680,80,0,1,0,0
280,10,679,180,0,1,-28,0
280,10,680,180,0,1,0,0
290,10,679,220,0,1,-28,0
290,10,680,220,0,1,0,0
300,10,679,110,0,1,-28,0
300,10,680,110,0,1,0,0
310,10,679,60,0,1,-28,0
310,10,680,60,0,1,0,0
320,10,679,150,0,11,-28,0
320,10,680,150,0,11,0,0
320,33,399,0,0,11,0,0
320,47,20,0,0,11,0,0
330,10,679,100,0,1,-28,0
330,10,680,100,0,1,0,0
340,10,679,40,0,1,-28,0
340,10,680,40,0,1,0,0
350,10,679,160,0,1,-28,0
350,10,680,160,0,1,0,0
360,10,679,240,0,1,-28,0
360,10,680,240,0,1,0,0
370,10,679,120,0,1,-28,0
370,10,680,120,0,1,0,0
380,10,679,90,0,1,-28,0
380,10,680,90,0,1,0,0
390,10,679,20,0,1,-28,0
390,10,680,20,0,1,0,0
400,10,679,240,0,1,-28,0
400,10,680,240,0,1,0,0
420,10,670,-24,0,2,-28,0
420,10,671,0,0,2,-28,0
420,10,672,24,0,2,-28,0
420,10,673,48,0,2,-28,0
420,10,674,-24,0,2,0,0
420,10,675,0,0,2,0,0
420,10,676,24,0,2,0,0
420,10,677,48,0,2,0,0
420,45,628,0,0,2,0,0
430,20,20,0,0,2,0,0
470,6,662,200,0,3,-28,0
470,6,663,224,0,3,-28,0
470,6,664,248,0,3,-28,0
470,6,665,272,0,3,-28,0
470,6,666,200,0,3,0,0
470,6,667,224,0,3,0,0
470,6,668,248,0,3,0,0
470,6,669,272,0,3,0,0
490,20,-20,0,0,3,0,0
490,45,628,0,0,3,0,0
520,10,670,-24,0,4,-28,0
520,10,671,0,0,4,-28,0
520,10,672,24,0,4,-28,0
520,10,673,48,0,4,-28,0
520,10,674,-24,0,4,0,0
520,10,675,0,0,4,0,0
520,10,676,24,0,4,0,0
520,10,677,48,0,4,0,0
520,45,628,0,0,4,0,0
570,6,662,200,0,5,-28,0
570,6,663,224,0,5,-28,0
570,6,664,248,0,5,-28,0
570,6,665,272,0,5,-28,0
570,6,666,200,0,5,0,0
570,6,667,224,0,5,0,0
570,6,668,248,0,5,0,0
570,6,669,272,0,5,0,0
570,20,20,0,0,4,0,0
600,13,0,0,0,0,0,0
610,20,-20,0,0,5,0,0
610,45,628,0,0,5,0,0
650,6,681,30,0,0,-70,0
650,10,681,190,0,0,-70,0
670,6,681,30,0,0,-66,0
670,10,681,190,0,0,-66,0
690,6,681,30,0,0,-62,0
690,10,681,190,0,0,-62,0
700,15,682,120,0,1,-28,0
700,15,683,144,0,1,-28,0
700,15,684,120,0,1,0,0
700,15,685,144,0,1,0,0
710,6,681,30,0,0,-58,0
710,10,681,190,0,0,-58,0
730,6,681,30,0,0,-54,0
730,10,681,190,0,0,-54,0
740,15,478,110,0,5,0,0
740,45,624,0,0,5,0,0
750,6,681,30,0,0,-50,0
750,10,681,190,0,0,-50,0
770,6,681,30,0,0,-46,0
770,10,681,190,0,0,-46,0
780,15,684,160,0,2,0,0
