time,type,data,data2,data3,data4,data5,data6
0,2,3,6,9,0,0,0
0,5,10,13,0,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,42,0,0,0,0,0,0
0,43,0,0,0,0,0,0
50,6,500,180,3,0,0,0
50,62,7,0,0,0,0,0
70,2,2,4,6,0,0,0
80,6,500,120,3,0,0,0
80,62,7,0,0,0,0,0
100,2,1,2,3,0,0,0
100,6,500,160,3,0,0,0
100,15,163,80,2,0,0,0
100,62,7,0,0,0,0,0
120,15,163,240,2,0,0,0
130,15,163,160,2,0,0,0
180,15,163,30,2,1,0,0
180,15,163,110,2,2,0,0
200,15,163,50,3,3,0,0
200,15,163,90,3,4,0,0
220,7,302,144,3,8,-56,-2
220,7,303,168,3,8,-56,-2
220,7,304,120,3,8,-28,-2
220,7,305,144,3,8,-28,-2
220,7,306,168,3,8,-28,-2
220,7,307,192,3,8,-28,-2
220,7,308,156,3,8,0,-2
220,15,164,70,4,5,0,0
220,20,6,0,0,4,3,0
220,20,-4,0,0,1,2,0
220,20,4,0,0,2,3,0
220,20,-6,0,0,3,2,0
220,33,392,0,0,5,0,0
220,45,615,0,0,5,0,0
280,15,163,130,2,1,0,0
280,15,163,210,2,2,0,0
300,15,163,150,3,3,0,0
300,15,163,190,3,4,0,0
300,20,-4,0,0,1,2,0
300,20,4,0,0,2,3,0
300,20,-6,0,0,3,2,0
300,20,6,0,0,4,3,0
320,15,164,170,4,19,0,0
320,45,616,0,0,19,0,0
380,15,163,105,3,1,0,0
380,15,163,185,3,2,0,0
400,15,163,125,4,3,0,0
400,15,163,165,4,4,0,0
400,15,164,145,5,18,0,0
400,20,4,-6,0,2,3,0
400,20,-6,-8,0,3,2,0
400,20,6,-8,0,4,3,0
400,20,-4,-6,0,1,2,0
400,45,626,0,0,18,0,0
440,15,165,20,3,5,0,0
440,33,394,0,0,5,0,0
450,15,165,20,3,6,0,0
450,33,394,0,0,6,0,0
460,15,165,20,3,7,0,0
460,20,4,-8,0,5,3,0
460,33,394,0,0,7,0,0
470,15,165,20,3,8,0,0
470,20,4,-8,0,6,3,0
470,33,394,0,0,8,0,0
480,15,165,220,3,9,0,0
480,20,4,-16,0,7,3,0
480,33,394,0,0,9,0,0
490,15,165,220,3,10,0,0
490,20,4,-32,0,8,3,0
490,33,394,0,0,10,0,0
500,15,165,220,3,11,0,0
500,20,-4,-8,0,9,2,0
500,33,394,0,0,11,0,0
510,15,165,220,3,12,0,0
510,20,-4,-8,0,10,2,0
510,33,394,0,0,12,0,0
520,15,165,20,3,1,0,0
520,20,-4,-16,0,11,2,0
520,33,394,0,0,1,0,0
530,15,165,20,3,2,0,0
530,20,-4,-32,0,12,2,0
530,33,394,0,0,2,0,0
540,15,165,20,3,3,0,0
540,20,4,-8,0,1,3,0
540,33,394,0,0,3,0,0
550,20,4,-8,0,2,3,0
550,20,4,-16,0,3,3,0
560,15,165,20,3,4,0,0
560,15,165,220,3,5,0,0
560,33,394,0,0,4,0,0
560,33,394,0,0,5,0,0
570,15,165,220,3,6,0,0
570,20,4,-32,0,4,3,0
570,33,394,0,0,6,0,0
580,15,165,220,3,7,0,0
580,20,-4,-8,0,5,2,0
580,33,394,0,0,7,0,0
590,15,165,220,3,8,0,0
590,20,-4,-8,0,6,2,0
590,33,394,0,0,8,0,0
600,15,165,20,3,9,0,0
600,20,-4,-16,0,7,2,0
600,33,394,0,0,9,0,0
610,15,165,20,3,10,0,0
610,20,-4,-32,0,8,2,0
610,33,394,0,0,10,0,0
620,15,165,20,3,11,0,0
620,20,4,-8,0,9,3,0
620,33,394,0,0,11,0,0
630,15,165,20,3,12,0,0
630,20,4,-8,0,10,3,0
630,33,394,0,0,12,0,0
640,15,165,220,3,1,0,0
640,20,4,-16,0,11,3,0
640,33,394,0,0,1,0,0
650,15,165,220,3,2,0,0
650,20,4,-32,0,12,3,0
650,33,394,0,0,2,0,0
660,15,165,220,3,3,0,0
660,20,-4,-8,0,1,2,0
660,33,394,0,0,3,0,0
670,15,165,220,3,4,0,0
670,20,-4,-8,0,2,2,0
670,33,394,0,0,4,0,0
680,20,-4,-16,0,3,2,0
690,20,-4,-32,0,4,2,0
748,6,162,210,0,0,0,0
776,6,162,162,0,0,0,0
800,10,351,200,1,10,-84,0
800,10,352,224,1,10,-84,0
800,10,353,248,1,10,-84,0
800,10,354,272,1,10,-84,0
800,10,355,200,1,10,-56,0
800,10,356,224,1,10,-56,0
800,10,357,248,1,10,-56,0
800,10,358,272,1,10,-56,0
800,10,359,200,1,10,-28,0
800,10,360,224,1,10,-28,0
800,10,361,248,1,10,-28,0
800,10,362,272,1,10,-28,0
800,10,363,212,1,10,0,0
800,10,364,236,1,10,0,0
800,10,365,260,1,10,0,0
814,10,349,224,1,10,-84,0
814,10,350,248,1,10,-84,0
814,45,628,0,0,10,0,0
830,19,0,1,0,10,0,0
832,6,162,18,0,0,0,0
832,6,162,114,0,0,0,0
870,19,0,2,0,10,0,0
1000,15,163,30,3,0,0,0
1000,15,163,70,3,0,0,0
1020,15,165,50,4,0,0,0
1050,7,302,244,1,109,-56,-2
1050,7,303,268,1,109,-56,-2
1050,7,304,220,1,109,-28,-2
1050,7,305,244,1,109,-28,-2
1050,7,306,268,1,109,-28,-2
1050,7,307,292,1,109,-28,-2
1050,7,308,256,1,109,0,-2
1050,15,163,210,3,0,0,0
1050,15,163,170,3,0,0,0
1050,20,-3,0,0,109,0,0
1050,27,-7,0,0,109,0,0
1050,45,628,0,0,109,0,0
1070,15,165,190,4,0,0,0
1090,15,163,60,3,0,0,0
1090,15,163,100,3,1,0,0
1110,15,165,80,4,0,0,0
1140,15,163,110,3,0,0,0
1140,15,163,150,3,0,0,0
1160,15,165,130,4,0,0,0
1200,7,302,244,3,109,-56,-2
1200,7,303,268,3,109,-56,-2
1200,7,304,220,3,109,-28,-2
1200,7,305,244,3,109,-28,-2
1200,7,306,268,3,109,-28,-2
1200,7,307,292,3,109,-28,-2
1200,7,308,256,3,109,0,-2
1200,45,628,0,0,109,0,0
1220,7,302,144,3,8,-56,-2
1220,7,303,168,3,8,-56,-2
1220,7,304,120,3,8,-28,-2
1220,7,305,144,3,8,-28,-2
1220,7,306,168,3,8,-28,-2
1220,7,307,192,3,8,-28,-2
1220,7,308,156,3,8,0,-2
1220,45,628,0,0,8,0,0
1220,45,603,0,0,10,0,0
1240,15,163,90,3,10,0,0
1240,15,163,50,3,0,0,0
1240,33,394,0,0,10,0,0
1260,15,165,70,4,0,0,0
1270,15,163,90,3,0,0,0
1270,15,163,130,3,11,0,0
1270,33,394,0,0,11,0,0
1270,45,611,0,0,11,0,0
1290,15,165,110,4,0,0,0
1320,7,306,68,3,8,-28,-2
1320,7,307,92,3,8,-28,-2
1320,7,308,56,3,8,0,-2
1320,7,302,44,3,8,-56,-2
1320,7,303,68,3,8,-56,-2
1320,7,304,20,3,8,-28,-2
1320,7,305,44,3,8,-28,-2
1500,7,302,164,3,8,-56,-2
1500,7,303,188,3,8,-56,-2
1500,7,304,140,3,8,-28,-2
1500,7,305,164,3,8,-28,-2
1500,7,306,188,3,8,-28,-2
1500,7,307,212,3,8,-28,-2
1500,7,308,176,3,8,0,-2
1500,19,0,2,0,8,0,0
1500,45,628,0,0,8,0,0
1505,19,0,1,0,8,0,0
1505,20,-4,-3,0,8,0,0
1505,27,-5,-3,0,8,0,0
1550,19,-99,-99,0,8,0,-3
1650,19,-99,-99,0,8,0,-2
1700,6,162,42,0,0,0,0
1700,15,166,130,3,1,0,0
1710,15,166,100,3,2,0,0
1710,15,166,160,3,3,0,0
1720,15,166,70,3,4,0,0
1720,15,166,190,3,5,0,0
1720,20,-6,-8,0,1,2,0
1720,20,6,-8,0,2,3,0
1720,20,-8,-6,0,3,2,0
1720,20,8,-6,0,4,3,0
1720,20,-6,-6,0,5,2,0
1720,45,617,0,0,1,0,0
1720,45,606,0,0,2,0,0
1720,45,631,0,0,3,0,0
1720,45,622,0,0,4,0,0
1720,45,614,0,0,5,0,0
1760,20,0,0,0,8,0,0
1840,15,165,10,3,6,0,0
1840,15,165,250,3,7,0,0
1845,15,165,30,3,8,0,0
1845,15,165,230,3,9,0,0
1855,20,0,-8,0,6,3,0
1855,20,0,-8,0,7,2,0
1860,20,0,-9,0,8,3,0
1860,20,0,-9,0,9,2,0
