time,type,data,data2,data3,data4,data5,data6
0,2,1,2,3,0,0,0
0,5,7,25,24,0,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,15,259,60,1,6,0,0
0,15,259,180,1,7,0,0
0,21,0,0,0,0,0,0
0,29,0,0,0,0,0,0
0,45,606,0,0,6,0,0
0,45,609,0,0,7,0,0
0,46,0,0,1,0,0,0
10,26,1,0,0,0,0,0
40,15,259,70,1,8,0,0
40,15,259,170,1,9,0,0
40,45,622,0,0,8,0,0
40,45,621,0,0,9,0,0
80,15,259,80,1,4,0,0
80,15,259,160,1,5,0,0
80,45,620,0,0,4,0,0
80,45,612,0,0,5,0,0
140,15,226,20,3,1,0,0
140,15,227,44,3,1,0,0
140,45,628,0,0,1,0,0
160,15,226,70,3,2,0,0
160,15,227,94,3,2,0,0
160,45,628,0,0,2,0,0
180,15,226,120,3,3,0,0
180,15,227,144,3,3,0,0
180,45,628,0,0,3,0,0
200,20,8,-6,0,1,0,0
220,20,8,-6,0,2,0,0
220,20,-8,-6,0,1,0,0
240,20,-8,-6,0,2,0,0
240,20,0,6,0,1,0,0
240,20,8,-6,0,3,0,0
260,20,0,6,0,2,0,0
260,20,-8,-6,0,3,0,0
280,20,0,6,0,3,0,0
320,15,226,220,3,1,0,0
320,15,227,244,3,1,0,0
320,45,628,0,0,1,0,0
340,15,226,170,2,2,0,0
340,15,227,194,2,2,0,0
340,45,628,0,0,2,0,0
345,15,559,6,0,10,0,0
345,19,2,2,0,10,0,0
360,15,226,120,2,3,0,0
360,15,227,144,2,3,0,0
360,45,628,0,0,3,0,0
369,19,0,0,0,10,0,0
380,20,-8,-6,0,1,0,0
400,20,8,-6,0,1,0,0
400,20,-8,-6,0,2,0,0
420,20,8,-6,0,2,0,0
420,20,0,6,0,1,0,0
420,20,-8,-6,0,3,0,0
440,20,8,-6,0,3,0,0
440,20,0,6,0,2,0,0
453,19,2,2,0,10,0,0
460,15,226,70,1,6,0,0
460,15,227,94,1,6,0,0
460,20,0,6,0,3,0,0
460,45,628,0,0,6,0,0
471,15,559,246,0,11,0,0
471,19,-2,2,0,11,0,0
477,19,0,2,0,10,0,0
480,15,227,144,1,7,0,0
480,15,226,120,1,7,0,0
480,45,628,0,0,7,0,0
519,19,0,0,0,11,0,0
520,15,226,220,1,8,0,0
520,15,227,244,1,8,0,0
520,20,8,-12,0,6,0,0
520,45,628,0,0,8,0,0
527,15,559,6,0,12,0,0
527,19,0,2,0,12,0,0
537,19,2,2,0,12,0,0
540,20,-8,-12,0,6,0,0
540,20,8,-12,0,7,0,0
560,20,0,6,0,6,0,0
560,20,-8,-12,0,7,0,0
580,20,-8,-12,0,8,0,0
580,20,0,6,0,7,0,0
585,19,0,0,0,12,0,0
600,15,259,100,3,1,0,0
600,15,259,148,3,2,0,0
600,20,8,-12,0,8,0,0
600,45,602,0,0,1,0,0
600,45,603,0,0,2,0,0
