time,type,data,data2,data3,data4,data5,data6
0,2,2,4,2,0,0,0
0,5,31,32,20,33,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,29,0,0,0,0,0,0
0,46,1,0,0,0,0,0
0,65,0,0,0,0,0,0
1,66,2,2,0,0,0,0
1,80,1,0,0,0,0,0
2,64,6,1,1,0,0,0
50,15,201,100,0,1,0,0
50,45,604,0,0,1,0,0
50,60,1,1,0,1,0,0
52,15,201,80,0,2,0,0
52,15,201,120,0,3,0,0
52,19,-1,3,0,2,0,0
52,19,0,4,0,1,0,0
52,19,1,3,0,3,0,0
72,19,0,4,0,2,0,0
72,19,0,4,0,3,0,0
100,15,202,-24,0,10,0,0
100,15,202,-24,0,11,0,0
100,15,202,-24,0,12,0,0
100,15,202,-24,0,13,0,0
110,19,4,0,0,10,0,0
130,19,3,0,0,11,0,0
150,15,201,200,0,4,0,0
150,19,3,0,0,10,0,0
150,19,2,0,0,12,0,0
150,45,613,0,0,4,0,0
150,61,1,0,8,0,0,0
151,60,2,1,0,4,0,0
152,15,201,180,0,5,0,0
152,15,201,220,0,6,0,0
152,19,0,4,0,4,0,0
152,19,1,3,0,6,0,0
152,19,-1,3,0,5,0,0
160,20,0,10,0,10,0,0
170,19,2,0,0,11,0,0
170,19,1,0,0,13,0,0
172,19,0,4,0,6,0,0
172,19,0,4,0,5,0,0
180,20,0,10,0,11,0,0
190,19,1,0,0,12,0,0
200,2,1,2,1,0,0,0
200,15,202,-24,0,14,0,0
200,15,202,-24,0,15,0,0
200,15,202,-24,0,16,0,0
200,15,202,-24,0,17,0,0
200,20,0,10,0,12,0,0
210,19,1,0,0,13,0,0
210,19,4,0,0,14,0,0
216,6,203,22,0,42,0,0
216,6,204,46,0,42,0,0
216,6,205,31,0,41,-3,0
216,19,1,0,0,42,0,0
216,19,1,0,0,41,7,0
216,31,30,0,0,41,0,0
216,45,508,0,0,42,0,0
220,20,0,10,0,13,0,0
230,19,3,0,0,15,0,0
250,19,2,0,0,16,0,0
250,19,3,0,0,14,0,0
260,20,0,10,0,14,0,0
270,19,1,0,0,17,0,0
270,19,2,0,0,15,0,0
280,20,0,10,0,15,0,0
290,19,1,0,0,16,0,0
300,15,202,284,0,10,0,0
300,15,202,284,0,11,0,0
300,15,202,284,0,12,0,0
300,15,202,284,0,13,0,0
300,20,0,10,0,16,0,0
310,19,1,0,0,17,0,0
310,19,-4,0,0,10,0,0
320,20,0,10,0,17,0,0
330,19,-3,0,0,11,0,0
350,19,-3,0,0,10,0,0
350,19,1,0,0,41,8,0
350,19,-2,0,0,12,0,0
350,31,0,0,0,41,0,0
356,19,1,0,0,41,5,0
360,20,0,10,0,10,0,0
362,19,1,0,0,41,3,0
368,19,1,0,0,41,2,0
368,31,0,30,0,41,0,0
370,19,-2,0,0,11,0,0
370,19,-1,0,0,13,0,0
380,20,0,10,0,11,0,0
390,19,-1,0,0,12,0,0
400,15,202,284,0,14,0,0
400,15,202,284,0,15,0,0
400,15,202,284,0,16,0,0
400,15,202,284,0,17,0,0
400,20,0,10,0,12,0,0
410,19,-1,0,0,13,0,0
410,19,-4,0,0,14,0,0
420,20,0,10,0,13,0,0
430,19,-3,0,0,15,0,0
450,15,201,40,0,4,0,0
450,19,-2,0,0,16,0,0
450,19,-3,0,0,14,0,0
450,45,611,0,0,4,0,0
450,61,2,0,8,0,0,0
451,60,3,1,0,4,0,0
452,15,201,20,0,5,0,0
452,15,201,60,0,6,0,0
452,19,-1,3,0,5,0,0
452,19,0,4,0,4,0,0
452,19,1,3,0,6,0,0
460,20,0,10,0,14,0,0
470,19,-1,0,0,17,0,0
470,19,-2,0,0,15,0,0
472,19,0,4,0,5,0,0
472,19,0,4,0,6,0,0
480,20,0,10,0,15,0,0
490,19,-1,0,0,16,0,0
500,15,201,220,0,1,0,0
500,15,202,-24,0,11,0,0
500,20,0,10,0,16,0,0
500,20,15,15,0,11,0,0
500,45,603,0,0,1,0,0
502,15,201,200,0,2,0,0
502,15,201,240,0,3,0,0
502,19,1,3,0,3,0,0
502,19,-1,3,0,2,0,0
502,19,0,4,0,1,0,0
510,19,-1,0,0,17,0,0
520,20,0,10,0,17,0,0
522,19,0,4,0,2,0,0
522,19,0,4,0,3,0,0
550,6,206,162,0,42,0,0
550,6,207,186,0,42,0,0
550,6,205,178,0,41,-3,0
550,15,202,284,0,4,0,0
550,19,-1,0,0,42,0,0
550,19,-1,0,0,41,7,0
550,20,-15,15,0,4,0,0
550,31,30,0,0,41,0,0
550,45,508,0,0,42,0,0
600,15,202,-24,0,12,0,0
600,20,14,15,0,12,0,0
608,6,203,90,0,62,0,0
608,6,204,114,0,62,0,0
608,6,205,99,0,61,-3,0
608,19,1,0,0,62,0,0
608,19,1,0,0,61,7,0
608,31,30,0,0,61,0,0
608,45,508,0,0,62,0,0
650,15,202,284,0,5,0,0
650,20,-14,15,0,5,0,0
664,6,206,234,0,82,0,0
664,6,207,258,0,82,0,0
664,6,205,250,0,81,-3,0
664,19,-1,0,0,82,0,0
664,19,-1,0,0,81,7,0
664,31,30,0,0,81,0,0
664,45,508,0,0,82,0,0
700,15,202,-24,0,13,0,0
700,20,13,15,0,13,0,0
748,6,203,18,0,102,0,0
748,6,204,42,0,102,0,0
748,6,205,27,0,101,-3,0
748,19,1,0,0,102,0,0
748,19,1,0,0,101,7,0
748,31,30,0,0,101,0,0
748,45,508,0,0,102,0,0
750,15,202,284,0,6,0,0
750,20,-13,15,0,6,0,0
800,15,202,-24,0,14,0,0
800,20,12,15,0,14,0,0
832,6,206,162,0,42,0,0
832,6,207,186,0,42,0,0
832,6,205,178,0,41,-3,0
832,19,-1,0,0,42,0,0
832,19,-1,0,0,41,7,0
832,31,30,0,0,41,0,0
832,45,508,0,0,42,0,0
850,15,202,284,0,7,0,0
850,20,-12,15,0,7,0,0
860,6,206,186,0,62,0,0
860,6,207,210,0,62,0,0
860,6,205,202,0,61,-3,0
860,19,-1,0,0,62,0,0
860,19,-1,0,0,61,7,0
860,31,30,0,0,61,0,0
860,45,508,0,0,62,0,0
900,15,202,-24,0,15,0,0
900,20,11,15,0,15,0,0
916,10,225,220,0,21,-33,0
916,12,208,210,0,21,0,0
950,15,202,284,0,8,0,0
950,20,-11,15,0,8,0,0
972,10,225,100,0,22,-33,0
972,12,208,90,0,22,0,0
1000,15,202,-24,0,16,0,0
1000,20,10,15,0,16,0,0
1050,15,202,284,0,9,0,0
1050,20,-10,15,0,9,0,0
1056,10,225,4,0,23,-33,0
1056,12,208,-6,0,23,0,0
1100,15,202,-24,0,17,0,0
1100,20,9,15,0,17,0,0
1112,6,203,42,0,82,0,0
1112,6,204,66,0,82,0,0
1112,6,205,51,0,81,-3,0
1112,19,1,0,0,82,0,0
1112,19,1,0,0,81,7,0
1112,31,30,0,0,81,0,0
1112,45,508,0,0,82,0,0
1150,15,202,284,0,1,0,0
1150,20,-9,15,0,1,0,0
1168,6,203,18,0,42,0,0
1168,6,204,42,0,42,0,0
1168,6,205,27,0,41,-3,0
1168,19,1,0,0,42,0,0
1168,19,1,0,0,41,7,0
1168,31,30,0,0,41,0,0
1168,45,508,0,0,42,0,0
1196,7,214,66,0,0,-84,0
1196,7,216,42,0,0,-56,0
1196,7,217,66,0,0,-56,0
1196,7,212,24,0,0,-78,0
1196,7,213,42,0,0,-84,0
1196,7,218,90,0,0,-84,0
1196,7,219,114,0,0,-70,0
1196,7,220,90,0,0,-56,0
1196,7,221,114,0,0,-56,0
1196,7,222,126,0,0,-56,0
1196,10,215,18,0,0,-56,0
1196,10,395,84,-1,0,-78,0
1196,10,395,72,-1,0,-78,0
1200,15,202,-24,0,18,0,0
1200,20,8,15,0,18,0,0
1250,15,202,284,0,2,0,0
1250,20,-8,15,0,2,0,0
1308,7,213,186,0,0,-84,0
1308,7,214,210,0,0,-84,0
1308,7,216,186,0,0,-56,0
1308,7,217,210,0,0,-56,0
1308,7,212,168,0,0,-78,0
1308,7,218,234,0,0,-84,0
1308,7,219,258,0,0,-70,0
1308,7,220,234,0,0,-56,0
1308,7,221,258,0,0,-56,0
1308,7,222,270,0,0,-56,0
1308,10,215,162,0,0,-56,0
1308,10,395,228,-1,0,-78,0
1308,10,395,216,-1,0,-78,0
1320,15,201,50,0,1,0,0
1320,45,607,0,0,1,0,0
1322,19,0,4,0,1,0,0
1330,15,201,50,0,2,0,0
1332,19,0,4,0,2,0,0
1336,10,225,52,0,24,-33,0
1336,12,208,42,0,24,0,0
1340,15,201,50,0,3,0,0
1342,19,0,4,0,3,0,0
1364,10,225,100,0,25,-33,0
1364,12,208,90,0,25,0,0
1420,15,201,194,0,4,0,0
1420,45,625,0,0,4,0,0
1420,61,3,0,6,0,0,0
1421,33,690,0,0,4,0,0
1422,19,0,4,0,4,0,0
1430,15,201,194,0,5,0,0
1432,19,0,4,0,5,0,0
1440,15,201,194,0,6,0,0
1442,19,0,4,0,6,0,0
1500,7,223,-24,0,10,0,0
1500,7,224,304,0,16,0,0
1530,7,223,-24,0,11,0,0
1530,7,224,304,0,17,0,0
1560,7,223,-24,0,12,0,0
1560,7,224,304,0,18,0,0
1590,7,223,-24,0,13,0,0
1590,7,224,304,0,19,0,0
1600,16,8,30,0,0,0,0
1644,6,222,246,0,0,-56,0
1644,7,214,114,0,0,-84,0
1644,7,215,66,0,0,-56,0
1644,7,216,90,0,0,-56,0
1644,7,217,114,0,0,-56,0
1644,7,228,138,0,0,-84,0
1644,7,229,162,0,0,-84,0
1644,7,230,186,0,0,-84,0
1644,7,231,138,0,0,-56,0
1644,7,232,162,0,0,-56,0
1644,7,233,186,0,0,-56,0
1644,7,212,72,0,0,-78,0
1644,7,218,210,0,0,-84,0
1644,7,219,234,0,0,-70,0
1644,7,220,210,0,0,-56,0
1644,7,221,234,0,0,-56,0
1644,7,213,90,0,0,-84,0
1650,19,1,0,0,13,0,0
1650,19,-1,0,0,16,0,0
1650,19,-1,0,0,17,0,0
1650,19,-1,0,0,18,0,0
1650,19,-1,0,0,19,0,0
1650,19,-1,0,0,7,0,0
1650,19,1,0,0,14,0,0
1650,19,1,0,0,15,0,0
1650,19,1,0,0,10,0,0
1650,19,1,0,0,11,0,0
1650,19,1,0,0,12,0,0
1690,16,7,30,0,0,0,0
1690,20,-8,0,0,16,0,0
1690,20,-8,0,0,17,0,0
1690,20,-8,0,0,18,0,0
1690,20,-8,0,0,19,0,0
1690,20,-8,0,0,7,0,0
1690,20,-8,0,0,8,0,0
1690,20,8,0,0,13,0,0
1690,20,8,0,0,14,0,0
1690,20,8,0,0,15,0,0
1690,20,8,0,0,10,0,0
1690,20,8,0,0,11,0,0
1690,20,8,0,0,12,0,0
1700,2,2,4,2,0,0,0
1710,2,3,6,3,0,0,0
1720,2,4,8,4,0,0,0
1730,2,5,10,5,0,0,0
1740,2,4,8,4,0,0,0
1750,2,3,6,3,0,0,0
1756,10,225,52,0,21,-33,0
1756,12,208,42,0,21,0,0
1780,2,2,4,2,0,0,0
1812,6,221,234,0,0,-56,0
1812,6,222,246,0,0,-56,0
1812,7,217,186,0,0,-56,0
1812,7,212,144,0,0,-78,0
1812,7,213,162,0,0,-84,0
1812,7,218,210,0,0,-84,0
1812,7,219,234,0,0,-70,0
1812,7,220,210,0,0,-56,0
1812,7,214,186,0,0,-84,0
1812,7,216,162,0,0,-56,0
1812,10,215,138,0,0,-56,0
1812,10,395,204,-1,0,-78,0
1812,10,395,192,-1,0,-78,0
1850,15,201,40,0,1,0,0
