time,type,data,data2,data3,data4,data5,data6
0,2,1,1,1,0,0,0
0,5,33,32,34,28,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,48,0,0,0,0,0,0
0,64,2,1,5,0,0,0
10,10,40,20,2,1,0,0
10,45,628,0,0,1,0,0
15,10,40,20,2,2,0,0
15,45,628,0,0,2,0,0
20,10,40,20,2,3,0,0
20,45,628,0,0,3,0,0
25,10,40,20,2,4,0,0
25,45,628,0,0,4,0,0
30,10,40,20,2,5,0,0
30,20,4,0,0,1,0,0
30,45,628,0,0,5,0,0
35,10,40,20,2,6,0,0
35,20,4,0,0,2,0,0
35,45,628,0,0,6,0,0
40,10,40,20,2,7,0,0
40,20,4,0,0,3,0,0
40,45,628,0,0,7,0,0
45,10,40,20,2,8,0,0
45,20,4,0,0,4,0,0
45,45,628,0,0,8,0,0
50,10,40,20,2,9,0,0
50,20,4,0,0,5,0,0
50,20,-4,0,0,1,0,0
50,45,628,0,0,9,0,0
55,20,-4,0,0,2,0,0
55,20,4,0,0,6,0,0
60,10,40,240,2,11,0,0
60,20,4,0,0,7,0,0
60,20,-4,0,0,3,0,0
60,45,628,0,0,11,0,0
65,10,40,240,2,12,0,0
65,20,4,0,0,8,0,0
65,20,-4,0,0,4,0,0
65,45,628,0,0,12,0,0
70,10,40,240,2,13,0,0
70,20,4,0,0,9,0,0
70,20,-4,0,0,5,0,0
70,20,0,0,0,1,0,0
70,45,628,0,0,13,0,0
75,10,40,240,2,14,0,0
75,20,0,0,0,2,0,0
75,20,-4,0,0,6,0,0
75,45,628,0,0,14,0,0
80,10,40,240,2,15,0,0
80,20,-4,0,0,7,0,0
80,20,-3,0,0,11,0,0
80,20,0,0,0,3,0,0
80,45,628,0,0,15,0,0
85,10,40,240,2,16,0,0
85,20,-4,0,0,8,0,0
85,20,-3,0,0,12,0,0
85,20,0,0,0,4,0,0
85,45,628,0,0,16,0,0
90,10,40,240,2,17,0,0
90,20,-4,0,0,9,0,0
90,20,-3,0,0,13,0,0
90,20,0,0,0,5,0,0
90,45,628,0,0,17,0,0
95,10,40,240,2,18,0,0
95,20,-3,0,0,14,0,0
95,20,0,0,0,6,0,0
95,45,628,0,0,18,0,0
100,10,40,240,2,19,0,0
100,20,0,0,0,7,0,0
100,20,-3,0,0,15,0,0
100,20,3,0,0,11,0,0
100,45,628,0,0,19,0,0
105,20,3,0,0,12,0,0
105,20,0,0,0,8,0,0
105,20,-3,0,0,16,0,0
110,10,40,20,2,1,0,0
110,20,-3,0,0,17,0,0
110,20,3,0,0,13,0,0
110,20,0,0,0,9,0,0
110,45,628,0,0,1,0,0
115,10,40,20,2,2,0,0
115,20,-3,0,0,18,0,0
115,20,3,0,0,14,0,0
115,45,628,0,0,2,0,0
120,10,40,20,2,3,0,0
120,20,-3,0,0,19,0,0
120,20,3,0,0,15,0,0
120,20,0,0,0,11,0,0
120,45,628,0,0,3,0,0
125,10,40,20,2,4,0,0
125,20,0,0,0,12,0,0
125,20,3,0,0,16,0,0
125,45,628,0,0,4,0,0
130,10,40,20,2,5,0,0
130,20,3,0,0,17,0,0
130,20,3,0,0,1,0,0
130,20,0,0,0,13,0,0
130,45,628,0,0,5,0,0
135,10,40,20,2,6,0,0
135,20,3,0,0,18,0,0
135,20,3,0,0,2,0,0
135,20,0,0,0,14,0,0
135,45,628,0,0,6,0,0
140,10,40,20,2,7,0,0
140,20,3,0,0,19,0,0
140,20,3,0,0,3,0,0
140,20,0,0,0,15,0,0
140,45,628,0,0,7,0,0
145,10,40,20,2,8,0,0
145,20,3,0,0,4,0,0
145,20,0,0,0,16,0,0
145,45,628,0,0,8,0,0
150,10,40,20,2,9,0,0
150,20,0,0,0,17,0,0
150,20,3,0,0,5,0,0
150,20,-3,0,0,1,0,0
150,45,628,0,0,9,0,0
155,20,-3,0,0,2,0,0
155,20,0,0,0,18,0,0
155,20,3,0,0,6,0,0
160,10,40,240,2,11,0,0
160,20,3,0,0,7,0,0
160,20,-3,0,0,3,0,0
160,20,0,0,0,19,0,0
160,45,628,0,0,11,0,0
165,10,40,240,2,12,0,0
165,20,3,0,0,8,0,0
165,20,-3,0,0,4,0,0
165,45,628,0,0,12,0,0
170,10,40,240,2,13,0,0
170,20,3,0,0,9,0,0
170,20,-3,0,0,5,0,0
170,20,0,0,0,1,0,0
170,45,628,0,0,13,0,0
175,10,40,240,2,14,0,0
175,20,0,0,0,2,0,0
175,20,-3,0,0,6,0,0
175,45,628,0,0,14,0,0
180,10,40,240,2,15,0,0
180,20,-3,0,0,7,0,0
180,20,-3,0,0,11,0,0
180,20,0,0,0,3,0,0
180,45,628,0,0,15,0,0
185,10,40,240,2,16,0,0
185,20,-3,0,0,8,0,0
185,20,-3,0,0,12,0,0
185,20,0,0,0,4,0,0
185,45,628,0,0,16,0,0
190,10,40,240,2,17,0,0
190,20,-3,0,0,9,0,0
190,20,-3,0,0,13,0,0
190,20,0,0,0,5,0,0
