time,type,data,data2,data3,data4,data5,data6
0,2,1,1,1,0,0,0
0,5,31,3,20,32,0,0
0,7,223,0,0,10,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,15,129,60,2,31,0,0
0,45,628,0,0,31,0,0
0,64,3,1,8,0,0,0
20,15,129,200,2,32,0,0
20,45,628,0,0,32,0,0
30,7,223,0,0,11,0,0
40,15,129,100,2,33,0,0
40,45,628,0,0,33,0,0
60,7,223,0,0,12,0,0
60,15,129,150,2,34,0,0
60,45,628,0,0,34,0,0
80,15,129,250,2,35,0,0
80,45,628,0,0,35,0,0
90,7,223,0,0,13,0,0
100,7,224,344,0,16,0,0
100,15,129,30,2,36,0,0
100,45,628,0,0,36,0,0
120,15,129,220,2,37,0,0
120,45,628,0,0,37,0,0
130,7,224,344,0,17,0,0
140,15,129,120,2,38,0,0
140,45,628,0,0,38,0,0
160,7,224,344,0,18,0,0
160,15,129,200,2,39,0,0
160,45,628,0,0,39,0,0
180,15,129,160,2,31,0,0
180,45,628,0,0,31,0,0
190,7,224,344,0,19,0,0
190,19,1,-1,0,10,0,0
190,19,1,-1,0,11,0,0
190,19,1,-1,0,12,0,0
190,19,1,-1,0,13,0,0
190,20,8,0,0,10,0,0
190,20,8,0,0,11,0,0
190,20,8,0,0,12,0,0
190,20,8,0,0,13,0,0
200,7,132,40,1,20,0,0
200,15,131,-24,0,1,24,0
200,15,129,80,2,32,0,0
200,19,2,0,0,1,0,0
200,20,1,0,0,20,0,0
200,27,8,0,0,20,0,0
200,45,628,0,0,32,0,0
200,45,602,0,0,1,0,0
210,7,132,40,1,21,0,0
210,20,1,0,0,21,0,0
210,27,8,0,0,21,0,0
220,7,132,40,1,22,0,0
220,20,1,0,0,22,0,0
220,27,8,0,0,22,0,0
230,7,132,40,1,23,0,0
230,20,1,0,0,23,0,0
230,27,8,0,0,23,0,0
240,7,132,40,1,24,0,0
240,15,131,-24,0,3,24,0
240,19,2,0,0,3,0,0
240,20,1,0,0,24,0,0
240,27,8,0,0,24,0,0
240,45,603,0,0,3,0,0
250,7,132,40,1,25,0,0
250,20,1,0,0,25,0,0
250,27,8,0,0,25,0,0
260,7,132,40,1,26,0,0
260,20,1,0,0,26,0,0
260,27,8,0,0,26,0,0
270,7,132,40,1,27,0,0
270,20,1,0,0,27,0,0
270,27,8,0,0,27,0,0
280,7,132,40,1,28,0,0
280,15,131,-24,0,5,24,0
280,19,2,0,0,5,0,0
280,20,1,0,0,28,0,0
280,27,8,0,0,28,0,0
280,45,607,0,0,5,0,0
290,7,132,40,1,29,0,0
290,19,-1,-1,0,19,0,0
290,19,-1,-1,0,16,0,0
290,19,-1,-1,0,17,0,0
290,19,-1,-1,0,18,0,0
290,20,1,0,0,29,0,0
290,27,8,0,0,29,0,0
300,7,223,0,0,10,0,0
300,15,131,334,0,2,48,0
300,19,-2,0,0,2,0,0
300,45,615,0,0,2,0,0
330,7,223,0,0,11,0,0
340,15,131,334,0,4,48,0
340,19,-2,0,0,4,0,0
340,45,614,0,0,4,0,0
360,7,223,0,0,12,0,0
380,15,131,334,0,6,48,0
380,19,-2,0,0,6,0,0
380,45,629,0,0,6,0,0
390,7,223,0,0,13,0,0
390,20,-8,0,0,18,0,0
390,20,-8,0,0,19,0,0
390,20,-8,0,0,16,0,0
390,20,-8,0,0,17,0,0
400,7,132,200,1,20,0,0
400,20,-1,0,0,20,0,0
400,27,-8,0,0,20,0,0
410,7,132,200,1,21,0,0
410,20,-1,0,0,21,0,0
410,27,-8,0,0,21,0,0
420,7,132,200,1,22,0,0
420,20,-1,0,0,22,0,0
