time,type,data,data2,data3,data4,data5,data6
0,2,1,2,1,0,0,0
0,5,33,31,9,32,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,15,296,-20,0,1,30,0
0,19,3,0,0,1,0,0
0,62,5,0,0,0,0,0
0,64,2,1,7,0,0,0
5,15,296,-20,0,2,50,0
5,19,3,0,0,2,0,0
5,62,5,0,0,0,0,0
10,15,296,-20,0,3,70,0
10,19,3,0,0,3,0,0
10,62,5,0,0,0,0,0
15,15,296,-20,0,4,90,0
15,19,3,0,0,4,0,0
15,62,5,0,0,0,0,0
20,15,296,-20,0,5,110,0
20,19,3,0,0,5,0,0
20,19,0,0,0,1,0,0
20,45,628,0,0,5,0,0
20,62,5,0,0,0,0,0
25,19,0,0,0,2,0,0
30,19,0,0,0,3,0,0
35,19,0,0,0,4,0,0
40,19,0,0,0,5,0,0
50,15,296,270,0,11,30,0
50,19,0,4,0,5,0,0
50,19,-3,0,0,11,0,0
50,20,-1,0,0,5,0,0
50,27,-8,0,0,5,0,0
50,62,5,0,0,0,0,0
55,15,296,270,0,12,50,0
55,19,0,4,0,4,0,0
55,19,-3,0,0,12,0,0
55,20,-1,0,0,4,0,0
55,27,-8,0,0,4,0,0
55,62,5,0,0,0,0,0
60,15,296,270,0,13,70,0
60,19,0,4,0,3,0,0
60,19,-3,0,0,13,0,0
60,20,-1,0,0,3,0,0
60,27,-8,0,0,3,0,0
60,62,5,0,0,0,0,0
65,15,296,270,0,14,90,0
65,19,0,4,0,2,0,0
65,19,-3,0,0,14,0,0
65,20,-1,0,0,2,0,0
65,27,-8,0,0,2,0,0
65,62,5,0,0,0,0,0
70,15,296,270,0,15,110,0
70,19,0,4,0,1,0,0
70,19,-3,0,0,15,0,0
70,19,0,0,0,11,0,0
70,20,-1,0,0,1,0,0
70,27,-8,0,0,1,0,0
70,45,628,0,0,15,0,0
70,62,5,0,0,0,0,0
75,19,0,0,0,12,0,0
80,19,0,0,0,13,0,0
85,19,0,0,0,14,0,0
90,19,0,0,0,15,0,0
100,15,296,-20,0,6,30,0
100,19,0,4,0,15,0,0
100,19,3,0,0,6,0,0
100,20,1,0,0,15,0,0
100,27,8,0,0,15,0,0
100,62,5,0,0,0,0,0
100,66,3,1,0,0,0,0
101,15,381,90,1,39,0,0
101,45,622,0,0,39,0,0
105,15,296,-20,0,7,50,0
105,19,0,4,0,14,0,0
105,19,3,0,0,7,0,0
105,20,1,0,0,14,0,0
105,27,8,0,0,14,0,0
105,62,5,0,0,0,0,0
110,15,296,-20,0,8,70,0
110,19,0,4,0,13,0,0
110,19,3,0,0,8,0,0
110,20,1,0,0,13,0,0
110,27,8,0,0,13,0,0
110,62,5,0,0,0,0,0
115,15,296,-20,0,9,90,0
115,19,0,4,0,12,0,0
115,19,3,0,0,9,0,0
115,20,1,0,0,12,0,0
115,27,8,0,0,12,0,0
115,62,5,0,0,0,0,0
120,15,296,-20,0,10,110,0
120,19,0,4,0,11,0,0
120,19,3,0,0,10,0,0
120,19,0,0,0,6,0,0
120,20,1,0,0,11,0,0
120,27,8,0,0,11,0,0
120,45,628,0,0,10,0,0
120,62,5,0,0,0,0,0
125,19,0,0,0,7,0,0
130,19,0,0,0,8,0,0
135,19,0,0,0,9,0,0
140,19,0,0,0,39,0,0
140,19,0,0,0,10,0,0
150,15,296,270,0,16,30,0
150,19,0,4,0,10,0,0
150,19,-3,0,0,16,0,0
150,20,1,0,0,10,0,0
150,27,8,0,0,10,0,0
150,62,5,0,0,0,0,0
155,15,296,270,0,17,50,0
155,19,0,4,0,9,0,0
155,19,-3,0,0,17,0,0
155,20,1,0,0,9,0,0
155,27,8,0,0,9,0,0
155,62,5,0,0,0,0,0
160,15,296,270,0,18,70,0
160,19,0,4,0,8,0,0
160,19,-3,0,0,18,0,0
160,20,1,0,0,8,0,0
160,27,8,0,0,8,0,0
160,62,5,0,0,0,0,0
165,15,296,270,0,19,90,0
165,19,0,4,0,7,0,0
165,19,-3,0,0,19,0,0
165,20,1,0,0,7,0,0
165,27,8,0,0,7,0,0
165,62,5,0,0,0,0,0
170,15,296,270,0,41,110,0
170,19,0,4,0,6,0,0
170,19,-3,0,0,41,0,0
170,19,0,0,0,16,0,0
170,20,1,0,0,6,0,0
170,27,8,0,0,6,0,0
170,45,628,0,0,41,0,0
170,62,5,0,0,0,0,0
175,19,0,0,0,17,0,0
180,19,0,0,0,18,0,0
185,19,0,0,0,19,0,0
190,19,0,0,0,41,0,0
200,7,293,130,2,21,-28,0
200,7,287,130,2,0,0,0
200,7,297,110,2,0,-10,0
200,7,297,150,2,0,-10,0
200,7,293,210,2,22,-28,0
200,7,287,210,2,0,0,0
200,7,297,190,2,0,-10,0
200,7,297,230,2,0,-10,0
200,19,0,4,0,41,0,0
200,20,-1,0,0,41,0,0
200,20,0,5,0,39,0,0
200,27,-8,0,0,41,0,0
200,31,0,0,0,39,0,0
200,45,629,0,0,22,0,0
200,45,624,0,0,21,0,0
200,62,13,0,0,0,0,0
200,62,13,0,0,0,0,0
205,19,0,4,0,19,0,0
205,20,-1,0,0,19,0,0
205,27,-8,0,0,19,0,0
210,19,0,4,0,18,0,0
210,20,-1,0,0,18,0,0
210,27,-8,0,0,18,0,0
215,19,0,4,0,17,0,0
215,20,-1,0,0,17,0,0
215,27,-8,0,0,17,0,0
220,19,0,4,0,16,0,0
220,20,-1,0,0,16,0,0
220,27,-8,0,0,16,0,0
240,7,293,50,2,23,-20,0
240,7,297,70,2,0,-40,0
240,7,287,80,2,0,-20,0
240,7,297,70,2,0,0,0
240,7,293,300,2,24,-20,0
240,7,297,280,2,0,-40,0
240,7,287,270,2,0,-20,0
240,7,297,280,2,0,0,0
240,45,609,0,0,24,0,0
240,45,604,0,0,23,0,0
240,62,13,0,0,0,0,0
240,62,13,0,0,0,0,0
280,7,294,170,2,61,-28,0
280,7,295,170,2,61,-28,0
280,7,297,170,2,0,0,0
280,7,287,150,2,0,-10,0
280,7,297,190,2,0,-10,0
280,62,13,0,0,0,0,0
300,15,296,-20,0,1,30,0
300,19,3,0,0,1,0,0
300,62,5,0,0,0,0,0
305,15,296,-20,0,2,50,0
305,19,3,0,0,2,0,0
305,62,5,0,0,0,0,0
310,15,296,-20,0,3,70,0
310,19,3,0,0,3,0,0
310,62,5,0,0,0,0,0
315,15,296,-20,0,4,90,0
315,19,3,0,0,4,0,0
315,62,5,0,0,0,0,0
320,15,296,-20,0,5,110,0
320,19,3,0,0,5,0,0
320,19,0,0,0,1,0,0
320,45,628,0,0,5,0,0
320,62,5,0,0,0,0,0
325,19,0,0,0,2,0,0
330,19,0,0,0,3,0,0
335,19,0,0,0,4,0,0
340,7,294,300,2,21,-20,0
340,7,297,280,2,0,-40,0
340,7,287,270,2,0,-20,0
340,7,297,280,2,0,0,0
340,19,0,0,0,5,0,0
340,45,617,0,0,21,0,0
340,62,13,0,0,0,0,0
350,15,296,270,0,11,30,0
350,19,0,4,0,5,0,0
350,19,-3,0,0,11,0,0
350,20,-1,0,0,5,0,0
350,27,-8,0,0,5,0,0
350,62,5,0,0,0,0,0
355,15,296,270,0,12,50,0
355,19,0,4,0,4,0,0
355,19,-3,0,0,12,0,0
355,20,-1,0,0,4,0,0
355,27,-8,0,0,4,0,0
355,62,5,0,0,0,0,0
360,15,296,270,0,13,70,0
360,19,0,4,0,3,0,0
360,19,-3,0,0,13,0,0
360,20,-1,0,0,3,0,0
360,27,-8,0,0,3,0,0
360,62,5,0,0,0,0,0
365,15,296,270,0,14,90,0
365,19,0,4,0,2,0,0
365,19,-3,0,0,14,0,0
365,20,-1,0,0,2,0,0
365,27,-8,0,0,2,0,0
365,62,5,0,0,0,0,0
370,15,296,270,0,15,110,0
370,19,0,4,0,1,0,0
370,19,-3,0,0,15,0,0
370,19,0,0,0,11,0,0
370,20,-1,0,0,1,0,0
370,27,-8,0,0,1,0,0
370,45,628,0,0,15,0,0
370,62,5,0,0,0,0,0
375,19,0,0,0,12,0,0
380,19,0,0,0,13,0,0
385,19,0,0,0,14,0,0
390,7,295,50,2,22,-20,0
390,7,297,70,2,0,-40,0
390,7,287,80,2,0,-20,0
390,7,297,70,2,0,0,0
390,19,0,0,0,15,0,0
390,45,615,0,0,22,0,0
390,62,13,0,0,0,0,0
400,15,296,-20,0,6,30,0
400,19,0,4,0,15,0,0
400,19,3,0,0,6,0,0
400,20,1,0,0,15,0,0
400,27,8,0,0,15,0,0
400,62,5,0,0,0,0,0
405,15,296,-20,0,7,50,0
405,19,0,4,0,14,0,0
405,19,3,0,0,7,0,0
405,20,1,0,0,14,0,0
405,27,8,0,0,14,0,0
405,62,5,0,0,0,0,0
410,15,296,-20,0,8,70,0
410,19,0,4,0,13,0,0
410,19,3,0,0,8,0,0
410,20,1,0,0,13,0,0
410,27,8,0,0,13,0,0
410,62,5,0,0,0,0,0
415,15,296,-20,0,9,90,0
415,19,0,4,0,12,0,0
415,19,3,0,0,9,0,0
415,20,1,0,0,12,0,0
415,27,8,0,0,12,0,0
415,62,5,0,0,0,0,0
420,15,296,-20,0,10,110,0
420,19,0,4,0,11,0,0
420,19,3,0,0,10,0,0
420,19,0,0,0,6,0,0
420,20,1,0,0,11,0,0
420,27,8,0,0,11,0,0
420,45,628,0,0,10,0,0
420,62,5,0,0,0,0,0
425,19,0,0,0,7,0,0
430,19,0,0,0,8,0,0
435,19,0,0,0,9,0,0
440,7,294,300,2,23,-20,0
440,7,297,280,2,0,-40,0
440,7,287,270,2,0,-20,0
440,7,297,280,2,0,0,0
440,19,0,0,0,10,0,0
440,45,613,0,0,23,0,0
440,62,13,0,0,0,0,0
450,15,296,270,0,16,30,0
450,19,0,4,0,10,0,0
450,19,-3,0,0,16,0,0
450,20,1,0,0,10,0,0
450,27,8,0,0,10,0,0
450,62,5,0,0,0,0,0
455,15,296,270,0,17,50,0
455,19,0,4,0,9,0,0
455,19,-3,0,0,17,0,0
455,20,1,0,0,9,0,0
455,27,8,0,0,9,0,0
455,62,5,0,0,0,0,0
460,15,296,270,0,18,70,0
460,19,0,4,0,8,0,0
460,19,-3,0,0,18,0,0
460,20,1,0,0,8,0,0
460,27,8,0,0,8,0,0
460,62,5,0,0,0,0,0
465,15,296,270,0,19,90,0
465,19,0,4,0,7,0,0
465,19,-3,0,0,19,0,0
465,20,1,0,0,7,0,0
465,27,8,0,0,7,0,0
465,62,5,0,0,0,0,0
470,15,296,270,0,41,110,0
470,19,0,4,0,6,0,0
470,19,-3,0,0,41,0,0
470,19,0,0,0,16,0,0
470,20,1,0,0,6,0,0
470,27,8,0,0,6,0,0
470,45,628,0,0,41,0,0
470,62,5,0,0,0,0,0
475,19,0,0,0,17,0,0
480,19,0,0,0,18,0,0
485,19,0,0,0,19,0,0
490,7,295,50,2,24,-20,0
490,7,297,70,2,0,-40,0
490,7,287,80,2,0,-20,0
490,7,297,70,2,0,0,0
490,19,0,0,0,41,0,0
490,45,602,0,0,24,0,0
490,62,13,0,0,0,0,0
500,19,0,4,0,41,0,0
500,20,-1,0,0,41,0,0
500,27,-8,0,0,41,0,0
505,19,0,4,0,19,0,0
505,20,-1,0,0,19,0,0
505,27,-8,0,0,19,0,0
510,19,0,4,0,18,0,0
510,20,-1,0,0,18,0,0
510,27,-8,0,0,18,0,0
515,19,0,4,0,17,0,0
515,20,-1,0,0,17,0,0
515,27,-8,0,0,17,0,0
520,19,0,4,0,16,0,0
520,20,-1,0,0,16,0,0
520,27,-8,0,0,16,0,0
550,7,293,130,2,21,-28,0
550,7,287,130,2,0,0,0
550,7,297,110,2,0,-10,0
550,7,297,150,2,0,-10,0
550,7,293,210,2,22,-28,0
550,7,287,210,2,0,0,0
550,7,297,190,2,0,-10,0
550,7,297,230,2,0,-10,0
550,45,611,0,0,22,0,0
550,45,603,0,0,21,0,0
550,62,13,0,0,0,0,0
550,62,13,0,0,0,0,0
600,7,293,50,2,23,-20,0
600,7,297,70,2,0,-40,0
600,7,287,80,2,0,-20,0
600,7,297,70,2,0,0,0
600,7,293,300,2,24,-20,0
600,7,297,280,2,0,-40,0
600,7,287,270,2,0,-20,0
600,7,297,280,2,0,0,0
600,45,612,0,0,24,0,0
600,45,827,0,0,23,0,0
600,45,602,0,0,25,0,0
600,62,13,0,0,0,0,0
600,62,13,0,0,0,0,0
640,7,293,50,2,25,-20,0
640,7,297,70,2,0,-40,0
640,7,287,80,2,0,-20,0
640,7,297,70,2,0,0,0
640,7,293,300,2,26,-20,0
640,7,297,280,2,0,-40,0
640,7,287,270,2,0,-20,0
640,7,297,280,2,0,0,0
640,45,604,0,0,26,0,0
640,62,13,0,0,0,0,0
640,62,13,0,0,0,0,0
660,7,293,100,2,27,-28,0
660,7,287,100,2,0,0,0
660,7,297,80,2,0,-10,0
660,7,297,120,2,0,-10,0
660,7,293,240,2,21,-28,0
660,7,287,240,2,0,0,0
660,7,297,220,2,0,-10,0
660,7,297,260,2,0,-10,0
660,45,617,0,0,21,0,0
660,45,607,0,0,27,0,0
660,45,609,0,0,22,0,0
660,45,608,0,0,23,0,0
660,62,13,0,0,0,0,0
660,62,13,0,0,0,0,0
690,7,297,120,2,0,-40,0
690,7,287,130,2,0,-20,0
690,7,297,120,2,0,0,0
690,7,293,240,2,23,-20,0
690,7,293,100,2,22,-20,0
690,7,297,220,2,0,-40,0
690,7,287,210,2,0,-20,0
690,7,297,220,2,0,0,0
690,62,13,0,0,0,0,0
690,62,13,0,0,0,0,0
709,66,3,10,0,0,0,0
710,15,293,150,3,0,-28,0
710,15,287,150,3,0,0,0
710,15,297,130,3,0,-10,0
710,15,297,170,3,0,-10,0
710,15,293,90,3,0,-28,0
710,15,287,90,3,0,0,0
710,15,297,70,3,0,-10,0
710,15,297,110,3,0,-10,0
710,62,13,0,0,0,0,0
710,62,13,0,0,0,0,0
750,15,293,30,6,0,-28,0
750,15,287,30,6,0,0,0
750,15,297,10,6,0,-10,0
750,15,297,50,6,0,-10,0
750,62,26,0,0,0,0,0
770,15,293,230,6,0,-28,0
770,15,287,230,6,0,0,0
770,15,297,210,6,0,-10,0
770,15,297,250,6,0,-10,0
770,62,26,0,0,0,0,0
790,15,293,30,6,0,-28,0
790,15,287,30,6,0,0,0
790,15,297,10,6,0,-10,0
790,15,297,50,6,0,-10,0
790,62,26,0,0,0,0,0
810,15,293,230,6,0,-28,0
810,15,287,230,6,0,0,0
810,15,297,210,6,0,-10,0
810,15,297,250,6,0,-10,0
810,62,26,0,0,0,0,0
830,15,293,30,6,0,-28,0
830,15,287,30,6,0,0,0
830,15,297,10,6,0,-10,0
830,15,297,50,6,0,-10,0
830,62,26,0,0,0,0,0
850,15,293,230,6,0,-28,0
850,15,287,230,6,0,0,0
850,15,297,210,6,0,-10,0
850,15,297,250,6,0,-10,0
850,62,26,0,0,0,0,0
870,15,293,30,6,0,-28,0
870,15,287,30,6,0,0,0
870,15,297,10,6,0,-10,0
870,15,297,50,6,0,-10,0
870,62,26,0,0,0,0,0
890,15,293,230,6,0,-28,0
890,15,287,230,6,0,0,0
890,15,297,210,6,0,-10,0
890,15,297,250,6,0,-10,0
890,62,26,0,0,0,0,0
900,15,296,-20,0,1,30,0
900,15,296,270,0,11,30,0
900,19,6,0,0,1,0,0
900,19,-6,0,0,11,0,0
900,62,5,0,0,0,0,0
900,62,5,0,0,0,0,0
905,15,296,270,0,12,50,0
905,15,296,-20,0,2,50,0
905,19,6,0,0,2,0,0
905,19,-6,0,0,12,0,0
905,62,5,0,0,0,0,0
905,62,5,0,0,0,0,0
910,15,297,50,6,0,-10,0
910,15,296,-20,0,3,70,0
910,15,293,30,6,0,-28,0
910,15,296,270,0,13,70,0
910,15,287,30,6,0,0,0
910,15,297,10,6,0,-10,0
910,19,6,0,0,3,0,0
910,19,-6,0,0,13,0,0
910,62,26,0,0,0,0,0
910,62,5,0,0,0,0,0
910,62,5,0,0,0,0,0
915,15,296,270,0,14,90,0
915,15,296,-20,0,4,90,0
915,19,6,0,0,4,0,0
915,19,-6,0,0,14,0,0
915,62,5,0,0,0,0,0
915,62,5,0,0,0,0,0
920,15,296,-20,0,5,110,0
920,15,296,270,0,15,110,0
920,19,0,0,0,1,0,0
920,19,6,0,0,5,0,0
920,19,-6,0,0,15,0,0
920,19,0,0,0,11,0,0
920,45,628,0,0,5,0,0
920,45,628,0,0,15,0,0
920,62,5,0,0,0,0,0
920,62,5,0,0,0,0,0
925,19,0,0,0,2,0,0
925,19,0,0,0,12,0,0
930,15,293,230,6,0,-28,0
930,15,287,230,6,0,0,0
930,15,297,210,6,0,-10,0
930,15,297,250,6,0,-10,0
930,19,0,0,0,3,0,0
930,19,0,0,0,13,0,0
930,62,26,0,0,0,0,0
935,19,0,0,0,4,0,0
935,19,0,0,0,14,0,0
940,19,0,0,0,5,0,0
940,19,0,0,0,15,0,0
