time,type,data,data2,data3,data4,data5,data6
0,2,1,2,1,0,0,0
0,5,33,34,32,12,0,0
0,8,0,0,0,0,0,0
0,13,0,0,0,0,0,0
0,46,-1,1,0,0,0,0
20,15,342,130,2,1,0,0
20,15,343,154,2,1,0,0
20,45,628,0,0,1,0,0
40,19,6,0,0,1,0,1
40,20,1,-4,0,1,0,0
40,27,8,-2,0,1,0,0
60,15,342,30,2,2,0,0
60,15,343,54,2,2,0,0
60,45,628,0,0,2,0,0
80,19,6,0,0,2,0,1
80,20,1,-4,0,2,0,0
80,27,8,-2,0,2,0,0
100,15,342,100,2,3,0,0
100,15,343,124,2,3,0,0
100,45,628,0,0,3,0,0
120,19,6,0,0,3,0,1
120,20,1,-4,0,3,0,0
120,27,8,-2,0,3,0,0
140,15,342,10,2,4,0,0
140,15,343,34,2,4,0,0
140,45,628,0,0,4,0,0
160,19,6,0,0,4,0,1
160,20,1,-4,0,4,0,0
160,27,8,-2,0,4,0,0
170,15,342,210,2,5,0,0
170,15,343,234,2,5,0,0
170,45,628,0,0,5,0,0
190,19,6,0,0,5,0,1
190,20,1,-4,0,5,0,0
190,27,8,-2,0,5,0,0
200,15,342,120,2,6,0,0
200,15,343,144,2,6,0,0
200,45,628,0,0,6,0,0
220,19,6,0,0,6,0,1
220,20,1,-4,0,6,0,0
220,27,8,-2,0,6,0,0
230,15,342,10,2,7,0,0
230,15,343,34,2,7,0,0
230,45,628,0,0,7,0,0
250,19,6,0,0,7,0,2
250,20,1,-3,0,7,0,0
250,27,6,-2,0,7,0,0
260,15,342,110,2,8,0,0
260,15,343,134,2,8,0,0
260,45,628,0,0,8,0,0
280,19,6,0,0,8,0,2
280,20,1,-3,0,8,0,0
280,27,6,-2,0,8,0,0
290,15,342,180,2,9,0,0
290,15,343,204,2,9,0,0
290,45,628,0,0,9,0,0
300,15,342,70,2,1,0,0
300,15,343,94,2,1,0,0
300,45,628,0,0,1,0,0
310,19,6,0,0,9,0,2
310,20,1,-3,0,9,0,0
310,27,6,-2,0,9,0,0
320,19,6,0,0,1,0,1
320,20,1,-4,0,1,0,0
320,27,8,-2,0,1,0,0
330,15,342,180,2,2,0,0
330,15,343,204,2,2,0,0
330,45,628,0,0,2,0,0
350,19,6,0,0,2,0,1
350,20,1,-4,0,2,0,0
350,27,8,-2,0,2,0,0
360,15,342,120,2,3,0,0
360,15,343,144,2,3,0,0
360,45,628,0,0,3,0,0
380,19,6,0,0,3,0,1
380,20,1,-4,0,3,0,0
380,27,8,-2,0,3,0,0
390,15,342,30,2,4,0,0
390,15,343,54,2,4,0,0
390,45,628,0,0,4,0,0
400,15,340,130,1,10,0,0
400,45,605,0,0,10,0,0
410,19,6,0,0,4,0,1
410,20,1,-4,0,4,0,0
410,27,8,-2,0,4,0,0
430,20,1,0,0,10,0,0
430,27,1,0,0,10,0,0
440,15,342,210,2,5,0,0
440,15,343,234,2,5,0,0
440,45,628,0,0,5,0,0
460,19,6,0,0,5,0,1
460,20,1,-4,0,5,0,0
460,27,8,-2,0,5,0,0
470,20,1,1,0,10,0,0
470,27,2,1,0,10,0,0
490,15,342,100,2,6,0,0
490,15,343,124,2,6,0,0
490,45,628,0,0,6,0,0
510,19,6,0,0,6,0,1
510,20,1,-4,0,6,0,0
510,20,1,1,0,10,0,0
510,27,3,2,0,10,0,0
510,27,8,-2,0,6,0,0
540,15,342,160,2,7,0,0
540,15,343,184,2,7,0,0
540,45,628,0,0,7,0,0
550,19,0,0,0,10,0,0
550,20,0,0,0,10,0,0
560,19,6,0,0,7,0,1
560,20,1,-4,0,7,0,0
560,27,8,-2,0,7,0,0
580,31,12,0,0,10,1,0
590,15,342,10,2,8,0,0
590,15,343,34,2,8,0,0
590,45,628,0,0,8,0,0
600,15,340,40,1,11,0,0
600,45,619,0,0,11,0,0
610,19,6,0,0,8,0,1
610,20,1,-4,0,8,0,0
